,image,score
0,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana__image_55.jpg,"[[[[0.5167797  0.62434226 0.4497343 ]
   [0.5241185  0.62090826 0.44504037]
   [0.51836073 0.63681173 0.47979242]
   [0.5062299  0.61274797 0.49737564]
   [0.50132287 0.64261025 0.32999095]
   [0.46009505 0.58870804 0.2857967 ]
   [0.44462812 0.6382341  0.5205144 ]
   [0.46940708 0.46659735 0.22780192]
   [0.4842463  0.6678329  0.26746646]
   [0.5059985  0.61039877 0.25723973]
   [0.5152673  0.6893827  0.12310629]
   [0.35375935 0.5109992  0.73865813]
   [0.3455371  0.5518279  0.78931886]
   [0.4684845  0.47162452 0.5761075 ]
   [0.47357064 0.66075313 0.37038976]
   [0.54418343 0.43361732 0.684819  ]
   [0.51677555 0.6419526  0.23415217]]]]"
1,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana__image_142.jpg,"[[[[0.58361125 0.29599923 0.00881982]
   [0.6356305  0.1682879  0.01609526]
   [0.6404006  0.1330321  0.01559692]
   [0.63212883 0.12390389 0.0095396 ]
   [0.67099124 0.10359553 0.01309437]
   [0.49224827 0.24221799 0.02047675]
   [0.5019284  0.25318703 0.07990883]
   [0.50991756 0.2603032  0.2448268 ]
   [0.5135005  0.263347   0.17451046]
   [0.6111002  0.1765196  0.13911797]
   [0.6515125  0.14521515 0.330272  ]
   [0.31701317 0.40122777 0.5012503 ]
   [0.3139215  0.4003576  0.5685814 ]
   [0.5559329  0.610368   0.39673164]
   [0.53948563 0.6050592  0.23204966]
   [0.67144436 0.7235378  0.42682472]
   [0.66418344 0.69633085 0.3629311 ]]]]"
2,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana__image_25.jpg,"[[[[0.5198161  0.61144495 0.54420054]
   [0.51229835 0.63130397 0.5889149 ]
   [0.51485586 0.63053244 0.5057389 ]
   [0.4806232  0.62964684 0.46456873]
   [0.48069817 0.6238932  0.5408473 ]
   [0.44908613 0.5845864  0.5538965 ]
   [0.45076048 0.57379943 0.73494387]
   [0.5628157  0.63142085 0.7917095 ]
   [0.572179   0.6289526  0.8488505 ]
   [0.64525646 0.69231945 0.4554257 ]
   [0.6690278  0.7011905  0.8136996 ]
   [0.29036877 0.41005278 0.72645116]
   [0.28743905 0.40170413 0.89877117]
   [0.47672623 0.34074688 0.7072522 ]
   [0.4717426  0.32394224 0.7389928 ]
   [0.6227186  0.25308254 0.5145414 ]
   [0.6377433  0.21342897 0.60429543]]]]"
3,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana__image_118.jpg,"[[[[0.60503393 0.61955255 0.54693484]
   [0.6051661  0.6380153  0.48493695]
   [0.604859   0.6388123  0.44844306]
   [0.5703953  0.6457067  0.86623555]
   [0.57088965 0.64170045 0.7863015 ]
   [0.51252484 0.62181103 0.6843682 ]
   [0.5188108  0.58808184 0.7148196 ]
   [0.6173044  0.6980362  0.5911167 ]
   [0.65080774 0.6887488  0.8297545 ]
   [0.7098617  0.77798504 0.61195546]
   [0.7372774  0.78326285 0.81844085]
   [0.25884706 0.39966625 0.8573955 ]
   [0.26378423 0.39121702 0.8530787 ]
   [0.48537508 0.30639684 0.6175436 ]
   [0.48334652 0.28751084 0.8028138 ]
   [0.6693705  0.22211416 0.66161555]
   [0.6709824  0.17836732 0.8843184 ]]]]"
4,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana__image_134.jpg,"[[[[0.6047949  0.320396   0.74471   ]
   [0.588952   0.3031536  0.7782172 ]
   [0.59071213 0.3013237  0.71129936]
   [0.53973836 0.3141804  0.79498225]
   [0.5379457  0.31073755 0.56502014]
   [0.5060754  0.365694   0.881774  ]
   [0.49557757 0.37004432 0.73275834]
   [0.6326002  0.28931904 0.7442585 ]
   [0.62213427 0.29414964 0.609938  ]
   [0.7466638  0.2044951  0.8007596 ]
   [0.73492014 0.21530843 0.67221314]
   [0.22900942 0.5770262  0.82974744]
   [0.2317647  0.5797614  0.8522609 ]
   [0.46113867 0.687265   0.9226998 ]
   [0.459181   0.6905669  0.8516094 ]
   [0.6603743  0.7969332  0.8061818 ]
   [0.6465638  0.79088086 0.8047573 ]]]]"
5,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana__image_81.jpg,"[[[[0.31177396 0.42883176 0.27488664]
   [0.30657476 0.41237998 0.3552559 ]
   [0.3142927  0.40846276 0.30806816]
   [0.30260462 0.4010595  0.28117412]
   [0.3249901  0.39913365 0.32401285]
   [0.3046441  0.4100104  0.2718722 ]
   [0.32767087 0.41584116 0.18580192]
   [0.30784202 0.40049022 0.18960108]
   [0.33612216 0.38680062 0.17543058]
   [0.305226   0.4093208  0.30178463]
   [0.32578924 0.39921167 0.19665112]
   [0.2766609  0.51226664 0.10527196]
   [0.3016081  0.5371219  0.07736303]
   [0.18460399 0.5080765  0.15840702]
   [0.25014108 0.55460757 0.07118115]
   [0.32420847 0.6210426  0.20285368]
   [0.32726794 0.6245244  0.28526038]]]]"
6,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana__image_189.jpg,"[[[[0.62072164 0.43786177 0.7302354 ]
   [0.6332016  0.41727206 0.79771143]
   [0.63376904 0.41972855 0.82784796]
   [0.6060582  0.36283976 0.8618903 ]
   [0.61113507 0.3649974  0.7380671 ]
   [0.50033736 0.3623744  0.7718689 ]
   [0.51247084 0.37868994 0.7553403 ]
   [0.6341294  0.2740104  0.6997834 ]
   [0.63438237 0.28393322 0.5376704 ]
   [0.7412858  0.17088847 0.8315899 ]
   [0.73422474 0.18731804 0.6243431 ]
   [0.23389961 0.58794653 0.673355  ]
   [0.2391519  0.5916017  0.70729846]
   [0.47905472 0.74192226 0.9145043 ]
   [0.48173153 0.7434354  0.8568717 ]
   [0.6970376  0.8788058  0.8101785 ]
   [0.6820372  0.8593694  0.9252892 ]]]]"
7,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana__image_77.jpg,"[[[[0.67770153 0.48068234 0.7628831 ]
   [0.6872685  0.46316597 0.74007076]
   [0.68986374 0.46285194 0.65929776]
   [0.6316867  0.42912298 0.7569829 ]
   [0.63981    0.42504105 0.66755563]
   [0.5338868  0.46178955 0.70885277]
   [0.526243   0.3817673  0.7350619 ]
   [0.6493637  0.3129689  0.76605976]
   [0.6315909  0.24943675 0.8364666 ]
   [0.73313767 0.24542159 0.5650214 ]
   [0.7351291  0.09446965 0.7451472 ]
   [0.291248   0.644391   0.8443401 ]
   [0.31257436 0.5908678  0.8512927 ]
   [0.50523645 0.80674297 0.8430549 ]
   [0.5287533  0.74875146 0.7907415 ]
   [0.6931514  0.92065024 0.72907305]
   [0.67661095 0.85047203 0.8844311 ]]]]"
8,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana__image_34.jpg,"[[[[0.66609037 0.59418374 0.6838583 ]
   [0.67431384 0.61092937 0.5906129 ]
   [0.67213786 0.6122832  0.58616626]
   [0.6353237  0.6407275  0.6068465 ]
   [0.6324248  0.6450563  0.50698996]
   [0.5733329  0.6378352  0.84254915]
   [0.5752133  0.6258644  0.735662  ]
   [0.6570028  0.73853076 0.73568743]
   [0.6706109  0.7330557  0.6852593 ]
   [0.7142861  0.8584496  0.6688865 ]
   [0.7272986  0.8620887  0.76146674]
   [0.37145573 0.4246379  0.8088587 ]
   [0.37086326 0.42547017 0.85123354]
   [0.5407243  0.29961532 0.9309287 ]
   [0.5387766  0.29403964 0.9210273 ]
   [0.68914264 0.21228014 0.8138337 ]
   [0.6945314  0.20575443 0.84243304]]]]"
9,Downward-Facing_Dog_pose_or_Adho_Mukha_Svanasana__image_140.jpg,"[[[[0.50050354 0.57322156 0.625546  ]
   [0.49794084 0.58806777 0.46600598]
   [0.4960787  0.58724403 0.57108295]
   [0.45934194 0.5925895  0.63615316]
   [0.46168867 0.58727324 0.6836334 ]
   [0.40309587 0.55205446 0.716392  ]
   [0.41458154 0.5308616  0.72073394]
   [0.5086052  0.63710874 0.6321108 ]
   [0.5284903  0.6186705  0.85893947]
   [0.5874054  0.7313924  0.6252822 ]
   [0.6098818  0.7297903  0.80047476]
   [0.18463416 0.3208493  0.8800842 ]
   [0.18234767 0.30995157 0.84076196]
   [0.40115812 0.20595825 0.81798714]
   [0.3948168  0.19894727 0.91859925]
   [0.58592004 0.11670803 0.7547816 ]
   [0.59034866 0.0976491  0.81882906]]]]"
