,image,score
0,Akarna_Dhanurasana_image_37.jpg,"[[[[0.5493847  0.46520424 0.48487595]
   [0.5281636  0.4697996  0.4178231 ]
   [0.52606905 0.452821   0.5948132 ]
   [0.5247304  0.43382177 0.0736894 ]
   [0.5226813  0.38904953 0.7163683 ]
   [0.65926    0.4366641  0.5425    ]
   [0.58647394 0.2846304  0.5838449 ]
   [0.7264186  0.5981223  0.58906704]
   [0.54041123 0.13102286 0.8320044 ]
   [0.772718   0.77768755 0.72002184]
   [0.5461277  0.29015228 0.29620653]
   [0.85404843 0.30014226 0.5763457 ]
   [0.84854966 0.2298122  0.53134394]
   [0.86251163 0.5374554  0.3747643 ]
   [0.62566334 0.11176187 0.40105602]
   [0.87590295 0.83925545 0.28033197]
   [0.88705474 0.84909815 0.24990794]]]]"
1,Akarna_Dhanurasana_image_1.jpg,"[[[[0.37595206 0.518655   0.7037171 ]
   [0.35217738 0.5394784  0.9135862 ]
   [0.35162178 0.51676345 0.73793626]
   [0.34874234 0.60864514 0.6765916 ]
   [0.35306177 0.55427027 0.6883538 ]
   [0.38347197 0.6677733  0.7317607 ]
   [0.43878716 0.5188211  0.9136376 ]
   [0.26833177 0.7720965  0.9200227 ]
   [0.5112219  0.39547583 0.7464736 ]
   [0.3645743  0.62404805 0.6450451 ]
   [0.593365   0.25587252 0.7829793 ]
   [0.7017137  0.66834587 0.7971968 ]
   [0.67988986 0.6155782  0.8646304 ]
   [0.73133594 0.42360482 0.82363653]
   [0.5585011  0.42181623 0.68486726]
   [0.7178916  0.20368503 0.8027864 ]
   [0.7053827  0.47520223 0.3284569 ]]]]"
2,Akarna_Dhanurasana_image_6.jpg,"[[[[0.47456318 0.45076412 0.60461366]
   [0.46009925 0.4631678  0.7309741 ]
   [0.45532766 0.43964228 0.5884494 ]
   [0.4623148  0.4508381  0.65580857]
   [0.45432937 0.39812684 0.6922327 ]
   [0.5432624  0.47516215 0.7641088 ]
   [0.47091532 0.3206188  0.8047215 ]
   [0.60935485 0.5908042  0.9428658 ]
   [0.4321763  0.17797965 0.61888075]
   [0.641187   0.7401988  0.65070117]
   [0.44862866 0.2929551  0.51860046]
   [0.71526384 0.34304297 0.84247494]
   [0.7027845  0.2573354  0.7156934 ]
   [0.72270405 0.5561632  0.56246775]
   [0.52682066 0.12418811 0.846983  ]
   [0.66913253 0.7511957  0.2033684 ]
   [0.69963616 0.2621237  0.11197437]]]]"
3,Akarna_Dhanurasana_image_10.jpg,"[[[[0.43949872 0.5739333  0.7455776 ]
   [0.43442872 0.5738532  0.64961344]
   [0.4198569  0.568373   0.5501816 ]
   [0.41329068 0.6351393  0.7286416 ]
   [0.39039123 0.63629645 0.42529288]
   [0.5079238  0.6569446  0.84909743]
   [0.35548705 0.7692951  0.6615063 ]
   [0.5802964  0.4576577  0.87696224]
   [0.19575065 0.76693654 0.6836135 ]
   [0.62298506 0.26049456 0.8906563 ]
   [0.2987824  0.66048205 0.5803328 ]
   [0.66765136 0.7446786  0.5045566 ]
   [0.491248   0.82587576 0.06654216]
   [0.5240876  0.6355442  0.09822338]
   [0.5040565  0.66190356 0.13327381]
   [0.69837976 0.20126873 0.3683179 ]
   [0.687978   0.20465948 0.25166553]]]]"
4,Akarna_Dhanurasana_image_2.jpg,"[[[[0.29453653 0.43912244 0.46706298]
   [0.28561246 0.43824562 0.38536614]
   [0.2850439  0.42879227 0.55466825]
   [0.28861266 0.41859183 0.34856573]
   [0.2872838  0.39325818 0.67957914]
   [0.33003822 0.4215563  0.68815625]
   [0.32060948 0.35747224 0.7482036 ]
   [0.34516445 0.499462   0.33955994]
   [0.33870688 0.35536665 0.37808102]
   [0.3228069  0.49897337 0.33025485]
   [0.31375036 0.40162462 0.21725881]
   [0.49684563 0.4243588  0.5735722 ]
   [0.5040591  0.40449917 0.80200607]
   [0.41349947 0.5072405  0.24617821]
   [0.34359932 0.4427264  0.5070553 ]
   [0.4616247  0.60518116 0.3764285 ]
   [0.47467586 0.5840531  0.3363366 ]]]]"
5,Akarna_Dhanurasana_image_8.jpg,"[[[[0.55164254 0.70478904 0.5678548 ]
   [0.5414901  0.714662   0.61599034]
   [0.5432282  0.70116943 0.37179032]
   [0.5427734  0.74243575 0.64800525]
   [0.5426826  0.7103893  0.39418018]
   [0.56568664 0.7804251  0.33009198]
   [0.5810182  0.7112775  0.58164793]
   [0.53383696 0.8257101  0.1931363 ]
   [0.6224176  0.66106015 0.40155664]
   [0.5062232  0.86018157 0.6101431 ]
   [0.64906234 0.56263995 0.35294923]
   [0.6523278  0.82941616 0.27447623]
   [0.65447885 0.7781453  0.34392527]
   [0.59346205 0.8853953  0.40604836]
   [0.6172875  0.6955081  0.18693362]
   [0.7129406  0.58245087 0.36207348]
   [0.7077939  0.5919201  0.15100731]]]]"
6,Akarna_Dhanurasana_image_46.jpg,"[[[[0.37259775 0.5846558  0.86322063]
   [0.35786447 0.60338473 0.6913175 ]
   [0.3612322  0.5675261  0.684599  ]
   [0.3846733  0.6238825  0.47311378]
   [0.38902092 0.54653376 0.5834124 ]
   [0.44067842 0.6522971  0.6931102 ]
   [0.47229013 0.52091664 0.9104712 ]
   [0.38252366 0.79267967 0.4457134 ]
   [0.562907   0.51616204 0.6510246 ]
   [0.32890606 0.6948637  0.54664433]
   [0.6469556  0.48732322 0.65054953]
   [0.62779844 0.610991   0.6583154 ]
   [0.62785596 0.5321218  0.54224753]
   [0.64839697 0.5614029  0.5056649 ]
   [0.6618446  0.4995071  0.5216742 ]
   [0.78974825 0.49615145 0.5150238 ]
   [0.7857144  0.47072595 0.47527072]]]]"
7,Akarna_Dhanurasana_image_16.jpg,"[[[[0.2692248  0.34982672 0.610351  ]
   [0.26384366 0.35945502 0.5338231 ]
   [0.2636757  0.33741236 0.7057928 ]
   [0.26661617 0.3757697  0.33277798]
   [0.27004153 0.3254949  0.43800864]
   [0.29859054 0.38960236 0.45202336]
   [0.31194577 0.31437087 0.49281627]
   [0.29413092 0.44680214 0.25433186]
   [0.37276447 0.32706943 0.4190823 ]
   [0.29643968 0.43890134 0.2776432 ]
   [0.3987938  0.33373266 0.19968419]
   [0.4153373  0.3781197  0.60611546]
   [0.40931916 0.32659867 0.4170736 ]
   [0.43880942 0.3919725  0.17854121]
   [0.37498072 0.24146323 0.37039146]
   [0.49079025 0.37297124 0.4545717 ]
   [0.451775   0.33447522 0.30167282]]]]"
8,Akarna_Dhanurasana_image_11.jpg,"[[[[0.21673763 0.58867806 0.7893191 ]
   [0.1706778  0.6289468  0.5489373 ]
   [0.17344512 0.56857127 0.7982892 ]
   [0.16770828 0.722503   0.7366089 ]
   [0.16958733 0.6008174  0.44560707]
   [0.33516887 0.7030232  0.629206  ]
   [0.19653282 0.74497724 0.56815255]
   [0.5055859  0.47040626 0.69161636]
   [0.29974073 0.6467574  0.15427884]
   [0.6679441  0.2801472  0.8217603 ]
   [0.31210393 0.59719276 0.15716015]
   [0.72535366 0.82959557 0.7314633 ]
   [0.592375   0.7500038  0.35352415]
   [0.77055395 0.49017534 0.6446919 ]
   [0.76788574 0.463927   0.7226346 ]
   [0.90558046 0.1861511  0.51063883]
   [0.895115   0.18442434 0.41898578]]]]"
9,Akarna_Dhanurasana_image_15.jpg,"[[[[0.40922707 0.44959894 0.5661406 ]
   [0.39341533 0.45467666 0.62751144]
   [0.3853884  0.42420024 0.50878483]
   [0.40474653 0.44221288 0.4697262 ]
   [0.39664704 0.3696222  0.55635744]
   [0.53593796 0.46893957 0.65286595]
   [0.49431115 0.2845359  0.4518537 ]
   [0.62706727 0.6148016  0.6534389 ]
   [0.46619186 0.30317536 0.17599532]
   [0.659157   0.76524526 0.5797794 ]
   [0.2611774  0.24046223 0.30835414]
   [0.7468013  0.37824714 0.67133105]
   [0.7765498  0.2749403  0.60052633]
   [0.77201647 0.6172217  0.6199588 ]
   [0.7978161  0.598895   0.66635287]
   [0.71922886 0.8052622  0.34702593]
   [0.26439905 0.24245332 0.59667975]]]]"
