,image,score
0,Side-Reclining_Leg_Lift_pose_or_Anantasana__image_43.jpg,"[[[[0.61743623 0.22742736 0.8311718 ]
   [0.5943062  0.22779663 0.6950182 ]
   [0.62183744 0.19772    0.57178366]
   [0.58649105 0.24027577 0.52725875]
   [0.64775825 0.18661174 0.5221987 ]
   [0.57594484 0.28837657 0.7714347 ]
   [0.70513    0.21008724 0.7093249 ]
   [0.45370966 0.34586632 0.7670411 ]
   [0.7427047  0.10781013 0.62086225]
   [0.2708084  0.4401431  0.47793412]
   [0.657954   0.1504189  0.7522151 ]
   [0.62349856 0.47785422 0.6049787 ]
   [0.7205675  0.49978873 0.8485936 ]
   [0.695483   0.67926365 0.7094162 ]
   [0.72099715 0.6609631  0.50800776]
   [0.7354218  0.863416   0.81656504]
   [0.7343586  0.8402238  0.10995943]]]]"
1,Side-Reclining_Leg_Lift_pose_or_Anantasana__image_19.jpg,"[[[[0.5247558  0.80592275 0.82169044]
   [0.5178153  0.82939523 0.6580052 ]
   [0.49933878 0.806245   0.7760041 ]
   [0.53229344 0.8420148  0.57983327]
   [0.48136407 0.77962184 0.74253726]
   [0.5924153  0.7886858  0.65464103]
   [0.5059082  0.7266204  0.8496049 ]
   [0.61239684 0.9418954  0.7395426 ]
   [0.42982963 0.62203693 0.7569082 ]
   [0.533862   0.8640013  0.69487447]
   [0.3918439  0.48440492 0.3013323 ]
   [0.61107206 0.53101206 0.6956312 ]
   [0.5669036  0.5331993  0.7338238 ]
   [0.57374007 0.33174387 0.77940595]
   [0.43127015 0.60923284 0.7707896 ]
   [0.5842914  0.11471297 0.87134767]
   [0.39483938 0.48830092 0.593416  ]]]]"
2,Side-Reclining_Leg_Lift_pose_or_Anantasana__image_14.jpg,"[[[[0.4801024  0.24059422 0.8695455 ]
   [0.46602756 0.24951905 0.55188996]
   [0.47856805 0.22581667 0.8960333 ]
   [0.47137627 0.2691928  0.7181175 ]
   [0.50167054 0.22427467 0.79161006]
   [0.4725363  0.3202202  0.7496901 ]
   [0.5497324  0.22564563 0.71068674]
   [0.36334345 0.35766295 0.711432  ]
   [0.56044847 0.12517267 0.84044117]
   [0.2529877  0.37212604 0.81966656]
   [0.5323943  0.15822527 0.5162454 ]
   [0.5512283  0.488985   0.8490366 ]
   [0.6225234  0.47655612 0.5857335 ]
   [0.36120173 0.4944163  0.7669794 ]
   [0.7046018  0.66490686 0.94522285]
   [0.17846063 0.46531394 0.6903484 ]
   [0.76313    0.86133504 0.8421036 ]]]]"
3,Side-Reclining_Leg_Lift_pose_or_Anantasana__image_30.jpg,"[[[[0.5183408  0.32342654 0.1919074 ]
   [0.51437557 0.32058147 0.17714286]
   [0.51647663 0.31517616 0.12783387]
   [0.5359613  0.31978023 0.1458919 ]
   [0.5402848  0.30985466 0.14308599]
   [0.5609606  0.3461463  0.16194305]
   [0.5627931  0.32483166 0.25980914]
   [0.5831171  0.3237919  0.11810685]
   [0.58316696 0.3027243  0.09009966]
   [0.53538394 0.26314566 0.09700797]
   [0.54183656 0.2638738  0.09041829]
   [0.5859513  0.3693233  0.10667153]
   [0.571555   0.3522856  0.1292153 ]
   [0.57176    0.3218157  0.20762907]
   [0.5733357  0.3215545  0.18121602]
   [0.5795357  0.2936773  0.1416819 ]
   [0.5819963  0.28904983 0.13389228]]]]"
4,Side-Reclining_Leg_Lift_pose_or_Anantasana__image_3.jpg,"[[[[0.6503144  0.14866133 0.810467  ]
   [0.6258589  0.15162984 0.6779206 ]
   [0.6533804  0.11648966 0.82455325]
   [0.62362194 0.16874652 0.68371475]
   [0.6826197  0.10343584 0.5572913 ]
   [0.6398456  0.24222162 0.7557215 ]
   [0.77397203 0.1496856  0.68188536]
   [0.5103674  0.23329721 0.70383716]
   [0.80535954 0.02529314 0.565696  ]
   [0.37117338 0.21449578 0.743596  ]
   [0.69236815 0.06193864 0.7971872 ]
   [0.7306904  0.44095963 0.8383851 ]
   [0.80439603 0.44246423 0.5440185 ]
   [0.49927324 0.36755115 0.37930635]
   [0.7922708  0.6533157  0.7903351 ]
   [0.31748766 0.2841838  0.7533946 ]
   [0.79931635 0.869606   0.4990035 ]]]]"
5,Side-Reclining_Leg_Lift_pose_or_Anantasana__image_2.jpg,"[[[[0.7369903  0.37466082 0.46096137]
   [0.73635334 0.38737798 0.39171383]
   [0.7334853  0.37763533 0.48752853]
   [0.7502386  0.40334472 0.35064578]
   [0.7329001  0.37825543 0.33907786]
   [0.76720583 0.38920796 0.46691626]
   [0.74869514 0.34090123 0.55108094]
   [0.7991305  0.4205218  0.31958997]
   [0.7319023  0.35196328 0.15116987]
   [0.7779362  0.40895078 0.24204786]
   [0.6234973  0.3411634  0.41360167]
   [0.7937523  0.3181448  0.41883045]
   [0.77577835 0.29392257 0.47751337]
   [0.77152014 0.29679227 0.21146318]
   [0.76892847 0.2675573  0.41668016]
   [0.7767953  0.20580137 0.28020215]
   [0.77254236 0.21015999 0.35286015]]]]"
6,Side-Reclining_Leg_Lift_pose_or_Anantasana__image_42.jpg,"[[[[0.5872786  0.22873056 0.4276581 ]
   [0.5763286  0.22245301 0.5071192 ]
   [0.5677814  0.22674333 0.5778803 ]
   [0.5884275  0.2242883  0.66236126]
   [0.5756983  0.23094174 0.4388898 ]
   [0.6589557  0.26513815 0.511421  ]
   [0.5833412  0.28343484 0.5417468 ]
   [0.4735466  0.31930593 0.31322068]
   [0.4596879  0.31539816 0.7028278 ]
   [0.33894876 0.29352322 0.21354073]
   [0.34104043 0.28166083 0.74650717]
   [0.6636783  0.5014205  0.7055425 ]
   [0.6213715  0.48898965 0.73105884]
   [0.66711843 0.65643835 0.5617855 ]
   [0.47076222 0.3914986  0.41770124]
   [0.6752591  0.81170326 0.48606732]
   [0.33552033 0.29327884 0.48037577]]]]"
7,Side-Reclining_Leg_Lift_pose_or_Anantasana__image_35.jpg,"[[[[0.61628956 0.82168496 0.1961352 ]
   [0.6005719  0.8428877  0.1510366 ]
   [0.59740955 0.8351927  0.20965953]
   [0.6107108  0.8327074  0.1666717 ]
   [0.60555625 0.839135   0.21960838]
   [0.6573222  0.7965056  0.17669179]
   [0.63248634 0.79203874 0.18019062]
   [0.5265069  0.7377931  0.23805022]
   [0.5894413  0.7970407  0.09102008]
   [0.6638588  0.865953   0.07094955]
   [0.5937479  0.812266   0.07836293]
   [0.70700353 0.6360653  0.33046776]
   [0.6949283  0.6148369  0.42263678]
   [0.5045748  0.7283722  0.22622663]
   [0.5324343  0.7374543  0.13552547]
   [0.27740058 0.66091645 0.32695657]
   [0.30201897 0.7302474  0.32816434]]]]"
8,Side-Reclining_Leg_Lift_pose_or_Anantasana__image_10.jpg,"[[[[0.5505423  0.18071891 0.38981006]
   [0.525623   0.17315568 0.44098568]
   [0.54589665 0.14017166 0.3153055 ]
   [0.5621983  0.14804192 0.3135593 ]
   [0.5842194  0.12709975 0.49472392]
   [0.5886689  0.23114286 0.5242598 ]
   [0.65844136 0.17621341 0.30657434]
   [0.5312566  0.2578314  0.09234469]
   [0.5735037  0.13130161 0.08343244]
   [0.493856   0.14517292 0.27881694]
   [0.49095896 0.11312284 0.27666697]
   [0.6307189  0.46492738 0.70631397]
   [0.7192698  0.47963354 0.57621557]
   [0.44241786 0.43316764 0.5110364 ]
   [0.70425975 0.679761   0.86665523]
   [0.2952472  0.308712   0.69258034]
   [0.7073463  0.8801388  0.50206995]]]]"
9,Side-Reclining_Leg_Lift_pose_or_Anantasana__image_22.jpg,"[[[[0.7184152  0.4790103  0.4774365 ]
   [0.7110274  0.4896774  0.42183366]
   [0.70904046 0.4814179  0.53021526]
   [0.7234455  0.50152576 0.5373353 ]
   [0.71180457 0.48425755 0.4893039 ]
   [0.74031156 0.4881048  0.7023831 ]
   [0.69979733 0.43471497 0.7759973 ]
   [0.74210477 0.510671   0.1808224 ]
   [0.6297871  0.43251482 0.31673262]
   [0.7288093  0.5109433  0.12602004]
   [0.4978954  0.4078927  0.32284385]
   [0.7715482  0.39196602 0.37510714]
   [0.73005056 0.34776324 0.48291832]
   [0.68366396 0.4461665  0.34406394]
   [0.639226   0.33343458 0.40486452]
   [0.50767124 0.43995297 0.32484323]
   [0.762049   0.148737   0.34282565]]]]"
