,image,score
0,Half_Moon_Pose_or_Ardha_Chandrasana__image_32.jpg,"[[[[0.59146297 0.84060854 0.6693705 ]
   [0.5992013  0.8621419  0.5739399 ]
   [0.5763329  0.85803586 0.5398464 ]
   [0.60536695 0.85197324 0.7636537 ]
   [0.55481434 0.8534579  0.662825  ]
   [0.61141133 0.7930908  0.69493127]
   [0.50558877 0.80696666 0.86837524]
   [0.70833033 0.7677796  0.93224686]
   [0.4010567  0.80999905 0.8940698 ]
   [0.783262   0.8001676  0.8527598 ]
   [0.32545793 0.82563174 0.8231899 ]
   [0.56013054 0.63411504 0.66979724]
   [0.46219453 0.6439537  0.8205907 ]
   [0.65680665 0.61818403 0.8595    ]
   [0.39446366 0.5084766  0.8019236 ]
   [0.7789546  0.62219745 0.7541519 ]
   [0.34452194 0.40181088 0.8855094 ]]]]"
1,Half_Moon_Pose_or_Ardha_Chandrasana__image_54.jpg,"[[[[0.4650205  0.32253543 0.29303083]
   [0.46160033 0.31539723 0.24131735]
   [0.46327254 0.31753585 0.27267775]
   [0.4671631  0.31690457 0.36642632]
   [0.47921652 0.31876644 0.37533635]
   [0.48361033 0.3638147  0.28294176]
   [0.4941538  0.33752725 0.32816628]
   [0.572727   0.5026929  0.33316565]
   [0.58596396 0.34749755 0.40380314]
   [0.72057104 0.51671076 0.3024218 ]
   [0.69299155 0.36078915 0.5075506 ]
   [0.49999097 0.48610142 0.16497351]
   [0.51091564 0.44609973 0.14612818]
   [0.5606202  0.5212834  0.30446595]
   [0.5592621  0.5141927  0.2850489 ]
   [0.72291553 0.52110815 0.3005528 ]
   [0.7225462  0.51987064 0.21971639]]]]"
2,Half_Moon_Pose_or_Ardha_Chandrasana__image_110.jpg,"[[[[0.4782171  0.7272733  0.6073377 ]
   [0.46690226 0.7351687  0.72927344]
   [0.48130858 0.73470676 0.67299515]
   [0.46203247 0.72416276 0.69082   ]
   [0.4845402  0.71803355 0.7481954 ]
   [0.40502915 0.67528903 0.77533466]
   [0.50534785 0.6669046  0.6380972 ]
   [0.29558071 0.67706245 0.48546162]
   [0.62134796 0.6549693  0.69936633]
   [0.19836794 0.69513863 0.6998705 ]
   [0.7202027  0.6648089  0.8544806 ]
   [0.36700347 0.5269144  0.6837006 ]
   [0.42540324 0.5151626  0.7386782 ]
   [0.5379384  0.5090836  0.24434072]
   [0.5736147  0.4997561  0.39316458]
   [0.71998096 0.50738204 0.39761645]
   [0.73315537 0.50251335 0.5031681 ]]]]"
3,Half_Moon_Pose_or_Ardha_Chandrasana__image_190.jpg,"[[[[0.43789276 0.7625133  0.68670213]
   [0.459252   0.7742573  0.7182084 ]
   [0.446052   0.77398735 0.7781148 ]
   [0.49912986 0.7511313  0.67562693]
   [0.47028533 0.7648354  0.7643046 ]
   [0.555556   0.6719221  0.8039554 ]
   [0.40459374 0.6950937  0.64775175]
   [0.67690873 0.6805248  0.6738492 ]
   [0.30840552 0.68744403 0.6939916 ]
   [0.7887841  0.7036058  0.78138655]
   [0.22872943 0.6988716  0.91387624]
   [0.48846328 0.457531   0.727236  ]
   [0.3825261  0.46756655 0.9554367 ]
   [0.6230731  0.43713322 0.8950597 ]
   [0.2790158  0.28251806 0.85058975]
   [0.80067337 0.4532316  0.84227514]
   [0.22013582 0.1427751  0.836009  ]]]]"
4,Half_Moon_Pose_or_Ardha_Chandrasana__image_1.jpg,"[[[[0.42821944 0.68831575 0.7536513 ]
   [0.43421188 0.7090502  0.7170394 ]
   [0.40818486 0.701082   0.6149002 ]
   [0.43989357 0.70366615 0.53955525]
   [0.37802878 0.68670493 0.6299347 ]
   [0.4651873  0.6580867  0.79320246]
   [0.35124022 0.6479114  0.68035847]
   [0.5486479  0.66332823 0.76719075]
   [0.28091118 0.6175977  0.59539956]
   [0.63045937 0.6863573  0.6486137 ]
   [0.19983116 0.61583257 0.788517  ]
   [0.46901965 0.49718845 0.79268426]
   [0.38206857 0.49179024 0.8712949 ]
   [0.5399327  0.49296704 0.6532014 ]
   [0.36171076 0.3644745  0.56588465]
   [0.655444   0.5267023  0.78374654]
   [0.3018743  0.22381958 0.9218901 ]]]]"
5,Half_Moon_Pose_or_Ardha_Chandrasana__image_14.jpg,"[[[[0.47509152 0.19283435 0.7784856 ]
   [0.46106797 0.1836748  0.59589124]
   [0.4814713  0.17455764 0.6005763 ]
   [0.45965582 0.20525685 0.7729003 ]
   [0.5038106  0.19227159 0.7632315 ]
   [0.43375844 0.27356496 0.88226634]
   [0.55989367 0.2730171  0.8783854 ]
   [0.3189448  0.2901359  0.90904677]
   [0.67977107 0.29865548 0.9317168 ]
   [0.2274287  0.28719965 0.90769887]
   [0.78132755 0.3027598  0.95714813]
   [0.44816726 0.4882411  0.8037786 ]
   [0.4923821  0.4920915  0.9191812 ]
   [0.63483363 0.49567252 0.37210497]
   [0.6446958  0.49918225 0.86692125]
   [0.8201112  0.49498314 0.7660838 ]
   [0.4637458  0.86717933 0.90920013]]]]"
6,Half_Moon_Pose_or_Ardha_Chandrasana__image_188.jpg,"[[[[0.52095854 0.70348185 0.5518717 ]
   [0.53721344 0.7138442  0.47384635]
   [0.5095738  0.7150186  0.6862517 ]
   [0.55576736 0.6957932  0.503231  ]
   [0.49997038 0.7007136  0.4760946 ]
   [0.58422595 0.6197467  0.61595905]
   [0.4492778  0.64627063 0.4974784 ]
   [0.6859516  0.59273624 0.54531777]
   [0.36623466 0.61038095 0.5539685 ]
   [0.7980166  0.6068034  0.5531696 ]
   [0.27835545 0.60614455 0.580724  ]
   [0.50557375 0.45789942 0.7364833 ]
   [0.41441116 0.46956056 0.5546506 ]
   [0.64355534 0.43197453 0.5847653 ]
   [0.41654098 0.42868045 0.20825627]
   [0.79248005 0.44671577 0.6112793 ]
   [0.3681002  0.17447238 0.52823806]]]]"
7,Half_Moon_Pose_or_Ardha_Chandrasana__image_195.jpg,"[[[[0.4346891  0.14127897 0.5249797 ]
   [0.4183962  0.12803034 0.6662477 ]
   [0.4526004  0.12238644 0.45432186]
   [0.39669594 0.1519849  0.5148362 ]
   [0.472249   0.14911497 0.53875667]
   [0.36364147 0.22640932 0.7774189 ]
   [0.51617104 0.24089745 0.7594432 ]
   [0.21713507 0.26236445 0.78201413]
   [0.6328183  0.263676   0.7218317 ]
   [0.1194496  0.27237585 0.68910205]
   [0.7265449  0.24823655 0.752281  ]
   [0.367486   0.48721215 0.80690014]
   [0.4772926  0.45637658 0.6574433 ]
   [0.31682795 0.70046175 0.59406126]
   [0.6514808  0.5057258  0.7934262 ]
   [0.2694956  0.86456597 0.7057381 ]
   [0.8473917  0.49110132 0.6705467 ]]]]"
8,Half_Moon_Pose_or_Ardha_Chandrasana__image_68.jpg,"[[[[0.45708022 0.788951   0.74340284]
   [0.4738402  0.804997   0.7312492 ]
   [0.45286468 0.8030669  0.6600117 ]
   [0.5163421  0.7912974  0.60637975]
   [0.47445425 0.7893122  0.75153047]
   [0.55905986 0.7170928  0.69012153]
   [0.4224827  0.7167316  0.67524964]
   [0.691221   0.7160493  0.8054759 ]
   [0.29473564 0.68584764 0.85772353]
   [0.7994965  0.7339342  0.67068744]
   [0.18108146 0.70831615 0.9116242 ]
   [0.49806187 0.49299324 0.69013065]
   [0.4635605  0.48479277 0.8594137 ]
   [0.4574841  0.31056663 0.8068669 ]
   [0.6441022  0.49537808 0.71146333]
   [0.42417467 0.12339736 0.8834003 ]
   [0.8422118  0.53272647 0.8426151 ]]]]"
9,Half_Moon_Pose_or_Ardha_Chandrasana__image_193.jpg,"[[[[0.6906952  0.7019164  0.60118306]
   [0.6859968  0.71786696 0.5488008 ]
   [0.66998076 0.7139541  0.7824419 ]
   [0.6742775  0.7120506  0.74134266]
   [0.6360578  0.7024309  0.60745054]
   [0.69103533 0.66331565 0.7697484 ]
   [0.6007059  0.67068213 0.6517126 ]
   [0.78711    0.641099   0.47301304]
   [0.49494916 0.66001314 0.3734291 ]
   [0.863251   0.64352757 0.7486344 ]
   [0.43260092 0.6576671  0.81904197]
   [0.6287918  0.52293026 0.74120957]
   [0.5534774  0.51528984 0.81460494]
   [0.7399867  0.59236115 0.33173436]
   [0.56925    0.35280493 0.71523184]
   [0.8707215  0.51655966 0.64203024]
   [0.58172315 0.23674993 0.64073074]]]]"
