,image,score
0,Bound_Angle_Pose_or_Baddha_Konasana__image_117.jpg,"[[[[0.3336907  0.5132943  0.6179269 ]
   [0.31422    0.51545984 0.5611319 ]
   [0.31507337 0.5002106  0.560688  ]
   [0.30797246 0.47540805 0.75201595]
   [0.30703628 0.44134077 0.78522563]
   [0.41149545 0.51929927 0.85221463]
   [0.42319044 0.37976196 0.8905434 ]
   [0.5729935  0.5667765  0.79525167]
   [0.6156202  0.45303205 0.5833536 ]
   [0.6759776  0.66336435 0.6745599 ]
   [0.7124739  0.60361767 0.78068304]
   [0.68464994 0.51583177 0.8538427 ]
   [0.6936707  0.40340212 0.6855056 ]
   [0.7180227  0.6813407  0.21328655]
   [0.72990036 0.4146153  0.5014513 ]
   [0.740422   0.5531511  0.4752003 ]
   [0.7533443  0.60233164 0.52061963]]]]"
1,Bound_Angle_Pose_or_Baddha_Konasana__image_66.jpg,"[[[[0.5559415  0.4178236  0.359964  ]
   [0.55481976 0.41632006 0.32006028]
   [0.5658358  0.39044696 0.3225783 ]
   [0.4572311  0.44024083 0.5003308 ]
   [0.46893188 0.3432041  0.3144799 ]
   [0.40062568 0.59311855 0.4975616 ]
   [0.35190773 0.30144078 0.810384  ]
   [0.6157667  0.6420618  0.7307652 ]
   [0.5731249  0.3652458  0.33097994]
   [0.737517   0.45436814 0.47331792]
   [0.67117363 0.34968066 0.39256036]
   [0.53933865 0.7148701  0.7500091 ]
   [0.5316835  0.54494005 0.51152116]
   [0.6397143  0.89679426 0.7653441 ]
   [0.60450315 0.40897986 0.12771124]
   [0.7478812  0.46240073 0.82597655]
   [0.6962931  0.35634524 0.51029813]]]]"
2,Bound_Angle_Pose_or_Baddha_Konasana__image_101.jpg,"[[[[0.39379132 0.4992427  0.696283  ]
   [0.3950611  0.5180134  0.59778637]
   [0.3904241  0.4864818  0.57815045]
   [0.35502395 0.56733316 0.6448095 ]
   [0.34357905 0.45269758 0.7265873 ]
   [0.29730007 0.6315598  0.7646738 ]
   [0.28179938 0.3825503  0.60930437]
   [0.44453645 0.64045966 0.72055966]
   [0.44689894 0.3690983  0.6878187 ]
   [0.48688802 0.57177633 0.7174958 ]
   [0.47282308 0.4458581  0.6901273 ]
   [0.3767335  0.580546   0.50816184]
   [0.37291995 0.4046339  0.6483147 ]
   [0.3969778  0.9049793  0.8793307 ]
   [0.3871411  0.09866974 0.92769605]
   [0.4897363  0.56224155 0.2577542 ]
   [0.4693216  0.43029103 0.2423761 ]]]]"
3,Bound_Angle_Pose_or_Baddha_Konasana__image_74.jpg,"[[[[0.45568997 0.53227055 0.59435105]
   [0.44404173 0.5466045  0.577954  ]
   [0.44459808 0.52042043 0.80689967]
   [0.44786608 0.5715031  0.8327544 ]
   [0.44561347 0.5115196  0.744246  ]
   [0.49970657 0.6119384  0.6657044 ]
   [0.49106333 0.47581056 0.8090928 ]
   [0.59067845 0.62757283 0.57365143]
   [0.5924634  0.46094453 0.68827343]
   [0.6587582  0.636759   0.6250523 ]
   [0.6684895  0.44321868 0.5562584 ]
   [0.6779587  0.56655866 0.7114701 ]
   [0.67615813 0.500556   0.74006087]
   [0.6320609  0.70671695 0.55031824]
   [0.6593887  0.41677883 0.39664614]
   [0.6724581  0.6383932  0.26970762]
   [0.69157976 0.5261158  0.4940814 ]]]]"
4,Bound_Angle_Pose_or_Baddha_Konasana__image_90.jpg,"[[[[0.5035618  0.495375   0.8222985 ]
   [0.48131475 0.50833285 0.78476423]
   [0.4853566  0.4763746  0.6987437 ]
   [0.46928704 0.52652067 0.76817983]
   [0.47940946 0.454658   0.7582447 ]
   [0.5588841  0.58448756 0.89034575]
   [0.5607331  0.41007784 0.77389765]
   [0.6971286  0.5583594  0.5635594 ]
   [0.7039432  0.44903535 0.8867781 ]
   [0.80994475 0.54035085 0.7331747 ]
   [0.8069497  0.45812762 0.9017773 ]
   [0.79936814 0.5498807  0.82344764]
   [0.79855675 0.4626438  0.83842355]
   [0.7644768  0.72412205 0.8442757 ]
   [0.7762685  0.27305037 0.91925555]
   [0.8361734  0.538822   0.6951544 ]
   [0.8427357  0.46268493 0.8657362 ]]]]"
5,Bound_Angle_Pose_or_Baddha_Konasana__image_94.jpg,"[[[[0.49058375 0.40439284 0.3921462 ]
   [0.5017599  0.38714916 0.44932258]
   [0.5108746  0.3914465  0.3988499 ]
   [0.47608572 0.3655027  0.5333896 ]
   [0.4879858  0.36544293 0.34300712]
   [0.43404478 0.45245525 0.49179885]
   [0.4417605  0.42436397 0.22845866]
   [0.48255914 0.48907125 0.225798  ]
   [0.48399693 0.4778801  0.22609197]
   [0.5389957  0.5237672  0.3042989 ]
   [0.5471902  0.4817773  0.11542608]
   [0.4286192  0.73558897 0.7258014 ]
   [0.4607389  0.62179273 0.4169908 ]
   [0.52155596 0.48863295 0.2598182 ]
   [0.5205678  0.471795   0.26546454]
   [0.54275024 0.53629243 0.5749015 ]
   [0.5488833  0.53924704 0.31298524]]]]"
6,Bound_Angle_Pose_or_Baddha_Konasana__image_99.jpg,"[[[[0.2678556  0.48027188 0.8520362 ]
   [0.24065275 0.50607836 0.9409635 ]
   [0.24082023 0.45550567 0.8719838 ]
   [0.26364383 0.537669   0.7455645 ]
   [0.26260114 0.42392027 0.8722259 ]
   [0.41321653 0.61069405 0.94323736]
   [0.3961771  0.34819922 0.9687283 ]
   [0.62257415 0.60292584 0.7658474 ]
   [0.607541   0.3460619  0.9054507 ]
   [0.76809347 0.5783677  0.8729079 ]
   [0.76096475 0.35975397 0.9009239 ]
   [0.75050735 0.55084795 0.9441701 ]
   [0.7436299  0.4023067  0.90767837]
   [0.73922455 0.82639885 0.9177116 ]
   [0.7194571  0.1270967  0.95215195]
   [0.8402075  0.5377587  0.70215005]
   [0.835306   0.4015967  0.84225196]]]]"
7,Bound_Angle_Pose_or_Baddha_Konasana__image_144.jpg,"[[[[0.22928974 0.50991553 0.90713376]
   [0.20912428 0.52544796 0.8478543 ]
   [0.20936763 0.4910212  0.92627525]
   [0.21680817 0.5518894  0.75461   ]
   [0.22084454 0.46941262 0.63815695]
   [0.32331696 0.6054604  0.92712474]
   [0.3242523  0.41354933 0.8888284 ]
   [0.4665864  0.61998266 0.8824323 ]
   [0.4752214  0.40365818 0.72998446]
   [0.60722    0.58249444 0.8085785 ]
   [0.61172646 0.43264365 0.8221545 ]
   [0.5748895  0.5588037  0.84645027]
   [0.57296324 0.44415036 0.66329426]
   [0.53274775 0.7628145  0.8906855 ]
   [0.5345373  0.24186933 0.9014261 ]
   [0.64804727 0.5644684  0.7516694 ]
   [0.6524987  0.44139102 0.7010777 ]]]]"
8,Bound_Angle_Pose_or_Baddha_Konasana__image_121.jpg,"[[[[0.329801   0.4804181  0.8152477 ]
   [0.30816895 0.49955913 0.75516415]
   [0.31291613 0.4743167  0.7447493 ]
   [0.30223373 0.5625372  0.7614455 ]
   [0.3116292  0.50407124 0.64467514]
   [0.4154487  0.6284303  0.7669056 ]
   [0.42285714 0.4750704  0.78985286]
   [0.6045914  0.6048829  0.84760314]
   [0.5850956  0.43642718 0.84354985]
   [0.72311795 0.4985634  0.70040333]
   [0.6983581  0.42550516 0.5131674 ]
   [0.6824517  0.625536   0.89781606]
   [0.6877808  0.5329354  0.74738264]
   [0.7204758  0.72969884 0.91095686]
   [0.67729795 0.28830636 0.76120055]
   [0.75427943 0.50960416 0.6032927 ]
   [0.73856723 0.48720145 0.54912364]]]]"
9,Bound_Angle_Pose_or_Baddha_Konasana__image_40.jpg,"[[[[0.3147372  0.47918442 0.75272834]
   [0.29561284 0.46314877 0.67809224]
   [0.296216   0.46231756 0.6308893 ]
   [0.3006716  0.40535903 0.72281903]
   [0.30476505 0.40097436 0.87120324]
   [0.38795087 0.42091006 0.75316334]
   [0.40141296 0.3399597  0.64557284]
   [0.55404913 0.35741657 0.32420808]
   [0.57101864 0.30657062 0.75149924]
   [0.6905797  0.29603735 0.5737586 ]
   [0.71055895 0.26247212 0.75369793]
   [0.6800468  0.4344979  0.88825977]
   [0.6950218  0.3448903  0.59192705]
   [0.6502486  0.60498744 0.8872713 ]
   [0.7745447  0.4483389  0.5963059 ]
   [0.74664056 0.5140242  0.4108066 ]
   [0.7575583  0.5075105  0.55598956]]]]"
