,image,score
0,Boat_Pose_or_Paripurna_Navasana__image_190.jpg,"[[[[0.5115702  0.5044728  0.08546725]
   [0.4759687  0.5468714  0.09782787]
   [0.48372346 0.4748552  0.0877863 ]
   [0.4807524  0.5545598  0.04167036]
   [0.48013163 0.419075   0.03400896]
   [0.48307142 0.607791   0.07947224]
   [0.5041703  0.38137817 0.03821012]
   [0.38970217 0.5796758  0.10032725]
   [0.68230146 0.34261692 0.12878403]
   [0.46393532 0.59321135 0.08794671]
   [0.557856   0.24195051 0.1407515 ]
   [0.5099781  0.5408045  0.06051516]
   [0.50255656 0.3947198  0.09770964]
   [0.59776425 0.5412653  0.03917336]
   [0.7000341  0.37278906 0.24715498]
   [0.5919691  0.45408508 0.05283053]
   [0.5562734  0.24476524 0.33563134]]]]"
1,Boat_Pose_or_Paripurna_Navasana__image_60.jpg,"[[[[0.5507405  0.28658384 0.8004261 ]
   [0.542772   0.2668147  0.6558952 ]
   [0.5422363  0.2669084  0.6596358 ]
   [0.5647114  0.23021775 0.59521323]
   [0.57001644 0.22639869 0.8417192 ]
   [0.6567648  0.28371632 0.66353494]
   [0.6749145  0.23845464 0.8094664 ]
   [0.69428015 0.38873237 0.8657901 ]
   [0.6964684  0.38128117 0.82638556]
   [0.6841805  0.49382833 0.5211144 ]
   [0.7003189  0.50102484 0.83208996]
   [0.86932963 0.3987998  0.73752785]
   [0.8754507  0.4083932  0.84041506]
   [0.6506558  0.50290245 0.33935016]
   [0.66163194 0.49836642 0.2638319 ]
   [0.53315735 0.6534281  0.63102776]
   [0.53012955 0.6614261  0.38291487]]]]"
2,Boat_Pose_or_Paripurna_Navasana__image_41.jpg,"[[[[0.4866101  0.30949652 0.49182487]
   [0.48453793 0.30850634 0.40573668]
   [0.48631227 0.30362108 0.5170279 ]
   [0.4930739  0.30846825 0.4528594 ]
   [0.4971938  0.29754192 0.38397372]
   [0.5093097  0.324385   0.54144984]
   [0.5161178  0.30264828 0.4266314 ]
   [0.49878496 0.3859218  0.25637355]
   [0.49296984 0.2895367  0.37083155]
   [0.48251566 0.40885806 0.33415133]
   [0.46863347 0.27844468 0.2902025 ]
   [0.5423067  0.3526852  0.39742234]
   [0.55083627 0.33998996 0.38094395]
   [0.51115626 0.38605565 0.28981918]
   [0.5381881  0.327393   0.40628093]
   [0.49222717 0.40993565 0.486217  ]
   [0.49231884 0.40593845 0.39111987]]]]"
3,Boat_Pose_or_Paripurna_Navasana__image_159.jpg,"[[[[0.4449728  0.6357865  0.8390996 ]
   [0.4260134  0.65841055 0.73107964]
   [0.42642888 0.65805304 0.7037044 ]
   [0.45842516 0.7168389  0.8390267 ]
   [0.45616794 0.71538234 0.82018375]
   [0.5685466  0.68230623 0.69265574]
   [0.56619155 0.69480085 0.77046824]
   [0.54079187 0.43573084 0.6258434 ]
   [0.54110557 0.43536872 0.73612887]
   [0.512572   0.250247   0.7436071 ]
   [0.50795287 0.25123677 0.7188809 ]
   [0.6971602  0.35300854 0.68011534]
   [0.6946713  0.36578432 0.7814748 ]
   [0.38202044 0.21296382 0.3782596 ]
   [0.38803822 0.22778684 0.64814895]
   [0.5091384  0.22408192 0.25409275]
   [0.5023931  0.22784561 0.27146673]]]]"
4,Boat_Pose_or_Paripurna_Navasana__image_53.jpg,"[[[[0.81977487 0.6120333  0.1385373 ]
   [0.8107662  0.6250342  0.06051023]
   [0.80855924 0.61109054 0.08735161]
   [0.8090566  0.6310896  0.04290666]
   [0.8060121  0.6107061  0.07081925]
   [0.84719217 0.6160993  0.15021755]
   [0.83771247 0.60814416 0.12730156]
   [0.8309481  0.5971641  0.09276806]
   [0.8205989  0.5006215  0.10646684]
   [0.5742017  0.7978761  0.08238528]
   [0.815641   0.58759874 0.13300276]
   [0.479733   0.5060499  0.01125988]
   [0.47599468 0.44473693 0.01282652]
   [0.5144651  0.4973113  0.02278483]
   [0.55494696 0.39017704 0.01524214]
   [0.75399333 0.40128073 0.03199292]
   [0.8095554  0.2196295  0.01921585]]]]"
5,Boat_Pose_or_Paripurna_Navasana__image_203.jpg,"[[[[0.3769393  0.62205565 0.5507014 ]
   [0.36172116 0.6382066  0.47391307]
   [0.3630182  0.6369984  0.6718716 ]
   [0.38544852 0.6779798  0.7863848 ]
   [0.38436407 0.67631507 0.725077  ]
   [0.4618882  0.6685575  0.70718634]
   [0.46928334 0.6749407  0.6169365 ]
   [0.47417593 0.5313486  0.6628326 ]
   [0.48202962 0.56623137 0.34173763]
   [0.4386932  0.3783073  0.58163214]
   [0.43272203 0.3864208  0.5804807 ]
   [0.6964418  0.49985024 0.8569553 ]
   [0.6935482  0.5050502  0.86558336]
   [0.49265045 0.37597182 0.40887475]
   [0.49846384 0.38110363 0.36106128]
   [0.3592071  0.21122105 0.7526711 ]
   [0.36494216 0.22332773 0.62070376]]]]"
6,Boat_Pose_or_Paripurna_Navasana__image_113.jpg,"[[[[0.40836275 0.27288562 0.8461325 ]
   [0.39363876 0.25175914 0.7270152 ]
   [0.39667907 0.2497123  0.77038103]
   [0.4141346  0.20155847 0.71838397]
   [0.4256069  0.19445737 0.8483116 ]
   [0.4827841  0.27631935 0.6094405 ]
   [0.55229837 0.20469111 0.8647289 ]
   [0.49723324 0.4213833  0.6171709 ]
   [0.5164947  0.41645846 0.69229823]
   [0.46039268 0.55617464 0.44854462]
   [0.47585908 0.5443495  0.5662163 ]
   [0.6855916  0.45335928 0.9078598 ]
   [0.7154393  0.4576287  0.9387387 ]
   [0.42370585 0.5700072  0.6276991 ]
   [0.43395665 0.5572466  0.558501  ]
   [0.3938929  0.8055274  0.6219464 ]
   [0.39587697 0.8119444  0.7882022 ]]]]"
7,Boat_Pose_or_Paripurna_Navasana__image_198.jpg,"[[[[0.3620803  0.34969628 0.7922814 ]
   [0.3457386  0.34207302 0.65669644]
   [0.3485686  0.32856557 0.66114587]
   [0.358674   0.30609572 0.7118424 ]
   [0.3665434  0.27881408 0.6653707 ]
   [0.4223529  0.34197146 0.4741066 ]
   [0.4524462  0.28186372 0.76654166]
   [0.45761678 0.4501125  0.5414974 ]
   [0.47907552 0.44203454 0.82673424]
   [0.4615574  0.55961406 0.21804614]
   [0.47979054 0.5740523  0.73072755]
   [0.64215237 0.44067633 0.76896554]
   [0.65187156 0.43098632 0.84059316]
   [0.40278208 0.5140056  0.74127084]
   [0.40998888 0.4981253  0.4839491 ]
   [0.4109258  0.71017885 0.74843025]
   [0.42460892 0.6827779  0.27232337]]]]"
8,Boat_Pose_or_Paripurna_Navasana__image_3.jpg,"[[[[0.26468325 0.49527785 0.5612467 ]
   [0.25343373 0.48984742 0.52089375]
   [0.2550422  0.50104856 0.7426436 ]
   [0.2641186  0.4649734  0.6486934 ]
   [0.26660118 0.50149816 0.6013383 ]
   [0.31026134 0.42218742 0.7228764 ]
   [0.32067615 0.51800853 0.65407276]
   [0.296853   0.3505512  0.6669007 ]
   [0.3288439  0.60762274 0.52320576]
   [0.2886694  0.27265513 0.7473944 ]
   [0.28454062 0.7004921  0.59199286]
   [0.4981727  0.5219768  0.6611679 ]
   [0.5016078  0.5205395  0.65117276]
   [0.6188015  0.63344294 0.5886522 ]
   [0.6629404  0.44526604 0.5747137 ]
   [0.6756965  0.70538175 0.33244684]
   [0.7290168  0.4897436  0.39435127]]]]"
9,Boat_Pose_or_Paripurna_Navasana__image_95.jpg,"[[[[0.7587995  0.22236206 0.04676356]
   [0.756738   0.21781304 0.04721166]
   [0.75960016 0.21212831 0.05631688]
   [0.7544194  0.25882927 0.02020739]
   [0.77427787 0.20360148 0.0323349 ]
   [0.8251506  0.27457473 0.07262669]
   [0.8285793  0.27050474 0.05600127]
   [0.8156804  0.39351365 0.04903063]
   [0.74687994 0.31068602 0.03782295]
   [0.7586245  0.36435446 0.0546881 ]
   [0.7387564  0.3418587  0.03235035]
   [0.8306648  0.41415688 0.09594578]
   [0.77549464 0.4464592  0.08284943]
   [0.7980448  0.55861837 0.12939219]
   [0.78202534 0.5325974  0.09193055]
   [0.80415416 0.744793   0.38323233]
   [0.8039995  0.7450837  0.29852512]]]]"
