,image,score
0,Bow_Pose_or_Dhanurasana__image_125.jpg,"[[[[0.40068126 0.07980494 0.68625724]
   [0.37812296 0.10835708 0.63511413]
   [0.381024   0.06841312 0.63833994]
   [0.38524815 0.16489314 0.5345691 ]
   [0.38843733 0.08668383 0.48423398]
   [0.43523222 0.24695076 0.27651423]
   [0.41519108 0.2189389  0.17238073]
   [0.628386   0.23966204 0.45700395]
   [0.46554998 0.2547272  0.10351965]
   [0.45271885 0.26371065 0.2749386 ]
   [0.44323507 0.2688809  0.40642205]
   [0.5847398  0.33491257 0.13240716]
   [0.5401213  0.3043326  0.19220291]
   [0.39485094 0.36390343 0.16705558]
   [0.37958762 0.38283014 0.21950044]
   [0.33360735 0.36011907 0.09916571]
   [0.31305537 0.3688023  0.09179355]]]]"
1,Bow_Pose_or_Dhanurasana__image_159.jpg,"[[[[0.573473   0.17437042 0.61513966]
   [0.5229184  0.2286307  0.8397467 ]
   [0.5237236  0.13907985 0.671158  ]
   [0.54768884 0.32479256 0.56266475]
   [0.5273458  0.12234409 0.2571381 ]
   [0.67457515 0.3762377  0.22917923]
   [0.6391964  0.13337062 0.41096   ]
   [0.34401983 0.39534062 0.6709425 ]
   [0.268031   0.18439604 0.7003802 ]
   [0.13740616 0.5224928  0.29656708]
   [0.1117141  0.3630371  0.48279387]
   [0.7619391  0.552045   0.65385985]
   [0.7984818  0.515556   0.42540446]
   [0.46289983 0.8437643  0.5104207 ]
   [0.33018118 0.3802157  0.11834295]
   [0.21841478 0.5639276  0.45757744]
   [0.21953724 0.56525105 0.2866494 ]]]]"
2,Bow_Pose_or_Dhanurasana__image_17.jpg,"[[[[0.48565346 0.47866902 0.75662905]
   [0.4498192  0.4983781  0.5391184 ]
   [0.45635098 0.44634253 0.91587913]
   [0.44849882 0.53349215 0.60936403]
   [0.46194816 0.41609946 0.8363281 ]
   [0.5385795  0.5740763  0.49660307]
   [0.5576701  0.4417995  0.70672417]
   [0.4094162  0.67531306 0.3985132 ]
   [0.36211056 0.5377078  0.8596071 ]
   [0.2521649  0.79063076 0.54057205]
   [0.26171622 0.5961381  0.720176  ]
   [0.6473838  0.72057265 0.7864639 ]
   [0.6371902  0.6697496  0.79932547]
   [0.5230168  0.9003764  0.8560217 ]
   [0.4668773  0.6338784  0.23879191]
   [0.31094483 0.8565477  0.6301945 ]
   [0.38481522 0.6904672  0.09674766]]]]"
3,Bow_Pose_or_Dhanurasana__image_23.jpg,"[[[[0.30269006 0.7933144  0.63420635]
   [0.2984966  0.7678474  0.53877985]
   [0.29862452 0.7713926  0.70941913]
   [0.3505108  0.7145326  0.648514  ]
   [0.35283956 0.718996   0.789913  ]
   [0.4552658  0.68900484 0.8109822 ]
   [0.44708073 0.6916901  0.7924805 ]
   [0.45577273 0.48467937 0.64354074]
   [0.4506729  0.48378533 0.6596592 ]
   [0.42157474 0.31799167 0.75924104]
   [0.41561043 0.2945296  0.5161646 ]
   [0.70038545 0.5458426  0.63042915]
   [0.7146363  0.565629   0.8049882 ]
   [0.66993654 0.26458403 0.71326095]
   [0.6950084  0.2561345  0.7968818 ]
   [0.423925   0.28165743 0.79589385]
   [0.4177618  0.2710833  0.76373327]]]]"
4,Bow_Pose_or_Dhanurasana__image_129.jpg,"[[[[0.48359835 0.82127887 0.7020691 ]
   [0.4711514  0.8020179  0.70477575]
   [0.47130546 0.80131406 0.73874754]
   [0.49417862 0.7486775  0.6900851 ]
   [0.4999324  0.750707   0.6120578 ]
   [0.55041575 0.6947263  0.7984813 ]
   [0.57679296 0.6953049  0.7772812 ]
   [0.5002434  0.5114698  0.5852219 ]
   [0.50648284 0.5064233  0.7688148 ]
   [0.4074917  0.3955033  0.57907414]
   [0.43770024 0.3438709  0.5858016 ]
   [0.70263815 0.4513837  0.8129675 ]
   [0.72430843 0.44762236 0.66506875]
   [0.6043666  0.22355354 0.8350391 ]
   [0.6136505  0.19191651 0.90186936]
   [0.4255814  0.35952893 0.42652056]
   [0.43231001 0.31256545 0.7528966 ]]]]"
5,Bow_Pose_or_Dhanurasana__image_77.jpg,"[[[[0.38970152 0.89452195 0.54886496]
   [0.3766246  0.87763476 0.6698705 ]
   [0.377162   0.8746818  0.62898344]
   [0.40088987 0.83081174 0.76556873]
   [0.40285823 0.83041304 0.7534061 ]
   [0.47743347 0.79414475 0.69919443]
   [0.4713265  0.75710726 0.52565145]
   [0.45435914 0.6384296  0.7849141 ]
   [0.45582902 0.62681484 0.7213878 ]
   [0.38894236 0.5017472  0.39673457]
   [0.39761126 0.48930907 0.80513006]
   [0.6334973  0.6411145  0.815215  ]
   [0.63971895 0.63622046 0.8229621 ]
   [0.6074005  0.46484226 0.31022152]
   [0.62713593 0.41407648 0.80841064]
   [0.48094103 0.47040704 0.23997876]
   [0.48976657 0.46766537 0.18505242]]]]"
6,Bow_Pose_or_Dhanurasana__image_15.jpg,"[[[[0.3446745  0.11223354 0.4499244 ]
   [0.3288381  0.10215469 0.5197059 ]
   [0.32323384 0.11834417 0.51463646]
   [0.3416858  0.13669659 0.5372681 ]
   [0.3364033  0.16545102 0.5963838 ]
   [0.44250095 0.24805807 0.9175768 ]
   [0.4307312  0.257235   0.69650084]
   [0.44538638 0.5011646  0.5314154 ]
   [0.4658334  0.49524114 0.56768036]
   [0.38900828 0.7097807  0.6484422 ]
   [0.42818648 0.6438207  0.21527265]
   [0.6946095  0.51412165 0.63835144]
   [0.66921955 0.51558256 0.5703538 ]
   [0.69671994 0.90215397 0.81783456]
   [0.6807899  0.7967434  0.3796532 ]
   [0.40317672 0.7465461  0.68131477]
   [0.40629196 0.70423675 0.46388665]]]]"
7,Bow_Pose_or_Dhanurasana__image_50.jpg,"[[[[0.52607244 0.7839681  0.73606086]
   [0.5064514  0.7701625  0.7963661 ]
   [0.5077502  0.77192885 0.85241294]
   [0.5156151  0.7162588  0.7072204 ]
   [0.51766795 0.7214227  0.80569273]
   [0.56441736 0.6474331  0.8473373 ]
   [0.56238216 0.65482014 0.89927125]
   [0.48837712 0.4975377  0.68117267]
   [0.48853803 0.49836448 0.8582557 ]
   [0.38793343 0.3858398  0.48169777]
   [0.38392925 0.38246253 0.76028043]
   [0.7031137  0.41488266 0.93064374]
   [0.7102237  0.41988742 0.9410335 ]
   [0.5592332  0.15937865 0.840508  ]
   [0.55956334 0.15384439 0.78091943]
   [0.3817873  0.33351463 0.77703005]
   [0.3808643  0.340348   0.7490778 ]]]]"
8,Bow_Pose_or_Dhanurasana__image_127.jpg,"[[[[0.41916007 0.61100084 0.28666806]
   [0.41762653 0.60245615 0.39551175]
   [0.4117676  0.61218923 0.2574269 ]
   [0.43029818 0.60857    0.27806333]
   [0.4225421  0.6219317  0.29877424]
   [0.4659272  0.6070091  0.29860118]
   [0.45206165 0.64800096 0.4620878 ]
   [0.36633793 0.6686846  0.4955834 ]
   [0.37281945 0.670152   0.7225423 ]
   [0.33029342 0.54690033 0.42275968]
   [0.32871056 0.54851997 0.49295002]
   [0.5530505  0.5161284  0.55671185]
   [0.54798836 0.5624872  0.44877127]
   [0.4458355  0.36989155 0.91621405]
   [0.40495852 0.49902242 0.05260553]
   [0.3763944  0.4751542  0.3084864 ]
   [0.37622556 0.48699173 0.24569127]]]]"
9,Bow_Pose_or_Dhanurasana__image_75.jpg,"[[[[0.5108637  0.63440686 0.5076026 ]
   [0.492402   0.64347637 0.38918898]
   [0.50461525 0.6239114  0.45942256]
   [0.4862648  0.68297315 0.37435356]
   [0.5117874  0.6298833  0.22084591]
   [0.53625596 0.75242704 0.35694778]
   [0.5800381  0.6413393  0.46703267]
   [0.569775   0.84850657 0.21419853]
   [0.63249415 0.6355612  0.24494624]
   [0.44199613 0.8767419  0.22526461]
   [0.53303194 0.67159706 0.159965  ]
   [0.65073645 0.791794   0.22539498]
   [0.6768566  0.7191622  0.20156416]
   [0.58711505 0.80572706 0.10178018]
   [0.6296599  0.6846678  0.03842863]
   [0.5873622  0.85688984 0.11160011]
   [0.59554386 0.8221427  0.10351616]]]]"
