,image,score
0,Camel_Pose_or_Ustrasana__image_152.jpg,"[[[[0.3700567  0.5907722  0.6113004 ]
   [0.35085422 0.58464915 0.48042563]
   [0.35721058 0.591933   0.4938258 ]
   [0.33479187 0.55433595 0.58502364]
   [0.3427907  0.57659274 0.46180314]
   [0.36202705 0.48598644 0.6063053 ]
   [0.37960434 0.5843086  0.66258657]
   [0.4607815  0.42893693 0.4572348 ]
   [0.49466038 0.5879775  0.6010503 ]
   [0.5998609  0.51285136 0.2968037 ]
   [0.6066787  0.61102813 0.60124636]
   [0.53924596 0.41623867 0.58640116]
   [0.5444315  0.47658888 0.49587685]
   [0.69931996 0.41193303 0.19587702]
   [0.70983356 0.51680255 0.5455119 ]
   [0.65835303 0.4407245  0.1339719 ]
   [0.68559295 0.5172483  0.26286504]]]]"
1,Camel_Pose_or_Ustrasana__image_140.jpg,"[[[[0.25443277 0.79025435 0.58177656]
   [0.26890483 0.8076288  0.6019787 ]
   [0.26887834 0.803811   0.5148087 ]
   [0.31203994 0.78707474 0.82421166]
   [0.30939582 0.78535575 0.84511924]
   [0.34601164 0.7240412  0.64307046]
   [0.34519973 0.71153337 0.83978355]
   [0.5208399  0.71857727 0.87885916]
   [0.50969    0.7030126  0.6969297 ]
   [0.65964395 0.7265181  0.5659942 ]
   [0.6317124  0.7032631  0.7032929 ]
   [0.48637176 0.5030745  0.69660985]
   [0.47984487 0.49329802 0.7406771 ]
   [0.7268275  0.5034013  0.9348791 ]
   [0.6908466  0.50343454 0.8705768 ]
   [0.71681935 0.72277117 0.8724501 ]
   [0.68232644 0.69769573 0.642404  ]]]]"
2,Camel_Pose_or_Ustrasana__image_142.jpg,"[[[[0.23391068 0.5892941  0.37768972]
   [0.25209147 0.61074567 0.3486846 ]
   [0.23375477 0.5839571  0.47412091]
   [0.2758219  0.6128838  0.5599234 ]
   [0.23711634 0.5612627  0.4902047 ]
   [0.27409378 0.6328493  0.75338435]
   [0.23800628 0.4356424  0.6863372 ]
   [0.50272626 0.60130554 0.81982666]
   [0.46393952 0.44772157 0.04221184]
   [0.6798318  0.60821164 0.70647144]
   [0.7212846  0.47387612 0.11271819]
   [0.5464332  0.4664464  0.9407724 ]
   [0.5347967  0.3122718  0.7217756 ]
   [0.9093286  0.5286262  0.44598183]
   [0.86428607 0.2956789  0.63360137]
   [0.7645988  0.63283753 0.7522535 ]
   [0.76395255 0.46016848 0.4248103 ]]]]"
3,Camel_Pose_or_Ustrasana__image_6.jpg,"[[[[0.3605314  0.7728521  0.6017594 ]
   [0.37633628 0.7720232  0.6581331 ]
   [0.3735455  0.77117574 0.71040785]
   [0.38933042 0.72322243 0.8236846 ]
   [0.3858839  0.72281134 0.8687295 ]
   [0.37661892 0.6678174  0.6895257 ]
   [0.36739933 0.66104424 0.7620908 ]
   [0.5263947  0.6384826  0.54395705]
   [0.51041627 0.63785726 0.90219593]
   [0.661448   0.647796   0.6462096 ]
   [0.62712926 0.6288198  0.5335022 ]
   [0.50097775 0.4487061  0.8078829 ]
   [0.49573135 0.4476726  0.7871149 ]
   [0.748942   0.44253367 0.9526226 ]
   [0.6926556  0.43913114 0.7513578 ]
   [0.7114852  0.642348   0.8471037 ]
   [0.668053   0.62691283 0.64274293]]]]"
4,Camel_Pose_or_Ustrasana__image_31.jpg,"[[[[0.4232069  0.67237544 0.24957678]
   [0.4554553  0.691276   0.22293478]
   [0.45059437 0.7053653  0.32881248]
   [0.44864008 0.64280766 0.35461116]
   [0.44254902 0.64628595 0.3107723 ]
   [0.4074351  0.60389894 0.6258899 ]
   [0.41124767 0.6077398  0.67870635]
   [0.58045596 0.5981116  0.826886  ]
   [0.5691423  0.5962067  0.61799335]
   [0.74769604 0.55981374 0.55026394]
   [0.73939556 0.5604222  0.38487267]
   [0.4777759  0.37232628 0.7682172 ]
   [0.4702745  0.38554803 0.7094834 ]
   [0.78775066 0.26738736 0.89248294]
   [0.7823032  0.26960632 0.830737  ]
   [0.7867552  0.5482939  0.73654115]
   [0.77898014 0.53687274 0.75264907]]]]"
5,Camel_Pose_or_Ustrasana__image_184.jpg,"[[[[0.30008513 0.7775191  0.3854067 ]
   [0.30798817 0.77706736 0.2637975 ]
   [0.30606207 0.7758356  0.52199936]
   [0.34308252 0.736503   0.32183075]
   [0.3366762  0.7378901  0.41642135]
   [0.35887268 0.65279144 0.53690934]
   [0.34618655 0.6616529  0.4418832 ]
   [0.53875434 0.6713485  0.7765328 ]
   [0.5314076  0.669661   0.32371035]
   [0.6855168  0.70826054 0.6304694 ]
   [0.67921436 0.70668584 0.2580715 ]
   [0.53027487 0.45355642 0.49293408]
   [0.5045789  0.42783338 0.55154204]
   [0.80053616 0.49493155 0.48734087]
   [0.8040379  0.48598775 0.3633883 ]
   [0.74943185 0.7126447  0.23403518]
   [0.747017   0.7084482  0.14352262]]]]"
6,Camel_Pose_or_Ustrasana__image_18.jpg,"[[[[0.07578912 0.23516963 0.5866174 ]
   [0.09700329 0.20364518 0.6309227 ]
   [0.09916092 0.20213155 0.89287955]
   [0.18275172 0.20246097 0.71036804]
   [0.18997529 0.20260672 0.8722612 ]
   [0.2596777  0.35519588 0.73055345]
   [0.2854144  0.2720088  0.87078553]
   [0.50527513 0.3467101  0.58083725]
   [0.5499417  0.23689975 0.7173039 ]
   [0.71240413 0.30141467 0.88078344]
   [0.775663   0.1659625  0.89939725]
   [0.46821943 0.7162163  0.53881043]
   [0.4732404  0.6411762  0.5937939 ]
   [0.7932447  0.6685901  0.7348675 ]
   [0.87973064 0.5287987  0.853892  ]
   [0.7875791  0.34463426 0.6340684 ]
   [0.85547936 0.16416287 0.7850287 ]]]]"
7,Camel_Pose_or_Ustrasana__image_32.jpg,"[[[[0.22121555 0.20749438 0.70880926]
   [0.24983689 0.20181522 0.6310385 ]
   [0.24921156 0.2028153  0.6156868 ]
   [0.2903658  0.2639273  0.7897624 ]
   [0.28328004 0.27367982 0.6071349 ]
   [0.28109145 0.3842673  0.9002509 ]
   [0.28328383 0.39607635 0.785674  ]
   [0.5194753  0.43501005 0.76211715]
   [0.52981573 0.43357798 0.7339242 ]
   [0.7101519  0.38115078 0.7605242 ]
   [0.7207147  0.38329852 0.6206743 ]
   [0.4417987  0.7009737  0.64263815]
   [0.4382889  0.7127835  0.66919816]
   [0.79489183 0.6449978  0.78223497]
   [0.829226   0.66502786 0.848965  ]
   [0.82536846 0.36950862 0.62689394]
   [0.8440097  0.3709188  0.7024504 ]]]]"
8,Camel_Pose_or_Ustrasana__image_23.jpg,"[[[[0.41971022 0.57294697 0.83260584]
   [0.43694258 0.5786589  0.5966276 ]
   [0.42354602 0.5817605  0.68655986]
   [0.48067996 0.5381927  0.76039016]
   [0.44793352 0.5476268  0.432568  ]
   [0.5169644  0.48756453 0.7130727 ]
   [0.39883617 0.453236   0.6392447 ]
   [0.64826757 0.5154916  0.63449275]
   [0.29836074 0.54183334 0.68634254]
   [0.75791013 0.56308883 0.7019412 ]
   [0.25225294 0.6304791  0.80205303]
   [0.6453715  0.35763615 0.7940194 ]
   [0.63078874 0.25031498 0.88684475]
   [0.8628543  0.39454144 0.8606096 ]
   [0.81842375 0.30724385 0.57747674]
   [0.7757485  0.5580881  0.7377575 ]
   [0.7503539  0.4356861  0.664049  ]]]]"
9,Camel_Pose_or_Ustrasana__image_157.jpg,"[[[[0.6241449  0.3015293  0.47896406]
   [0.64153    0.31880048 0.581826  ]
   [0.62152016 0.2693295  0.51894236]
   [0.5939039  0.34248975 0.5096893 ]
   [0.56003714 0.24588065 0.5380495 ]
   [0.5353325  0.43380937 0.7741525 ]
   [0.44820452 0.22264338 0.8776462 ]
   [0.7173191  0.3795267  0.87225443]
   [0.5213131  0.07173722 0.93655175]
   [0.730163   0.21272027 0.8156276 ]
   [0.6334229  0.19353552 0.420596  ]
   [0.25806764 0.6061875  0.56914794]
   [0.20597215 0.46257764 0.6142959 ]
   [0.5239394  0.74082196 0.9186562 ]
   [0.5748608  0.4070728  0.09957387]
   [0.74319345 0.90408397 0.7279275 ]
   [0.6349038  0.20355809 0.25347432]]]]"
