,image,score
0,Child_Pose_or_Balasana__image_40.jpg,"[[[[0.5050184  0.43910563 0.36281213]
   [0.5199316  0.46899578 0.27441984]
   [0.5291296  0.44417274 0.31644782]
   [0.5042331  0.47824606 0.4137151 ]
   [0.52975    0.42384204 0.38541263]
   [0.42834675 0.48961276 0.55835783]
   [0.48211914 0.345477   0.4525243 ]
   [0.43535084 0.5255957  0.17012827]
   [0.5692959  0.4661155  0.10965118]
   [0.52889943 0.6250719  0.47811076]
   [0.576204   0.5093221  0.6797649 ]
   [0.3947709  0.3326067  0.58841896]
   [0.40335318 0.23471807 0.6486734 ]
   [0.57552    0.35791194 0.51429546]
   [0.5728577  0.23081434 0.6338054 ]
   [0.52626747 0.37983772 0.14335828]
   [0.47347838 0.21342754 0.32252225]]]]"
1,Child_Pose_or_Balasana__image_146.jpg,"[[[[0.66894263 0.6791168  0.48357242]
   [0.667178   0.70839655 0.6453447 ]
   [0.66877407 0.7079652  0.64871967]
   [0.6095781  0.7237776  0.6530282 ]
   [0.61268467 0.7196378  0.7025092 ]
   [0.5383441  0.6236878  0.7417795 ]
   [0.56096685 0.6148381  0.74511427]
   [0.59768724 0.41431427 0.368668  ]
   [0.6250885  0.40235317 0.7742967 ]
   [0.646916   0.2673827  0.5876232 ]
   [0.688186   0.24502507 0.8128796 ]
   [0.42458472 0.2934283  0.8616684 ]
   [0.42807814 0.28299302 0.6962165 ]
   [0.61891705 0.507858   0.39340448]
   [0.6272425  0.50904983 0.36823323]
   [0.6491252  0.24883431 0.6140046 ]
   [0.6865431  0.24348164 0.36344308]]]]"
2,Child_Pose_or_Balasana__image_56.jpg,"[[[[0.42709163 0.37652028 0.23263851]
   [0.44124728 0.40336218 0.38081062]
   [0.44110104 0.37827644 0.31856343]
   [0.40269014 0.43944424 0.36859134]
   [0.39345968 0.370956   0.38343212]
   [0.34718266 0.46142218 0.3396111 ]
   [0.34360918 0.29563424 0.3123806 ]
   [0.45040256 0.5459633  0.5689283 ]
   [0.41166127 0.256912   0.34792805]
   [0.5253331  0.6617755  0.6415975 ]
   [0.53082454 0.2510082  0.6560628 ]
   [0.29220513 0.3891205  0.39699516]
   [0.29116228 0.27873492 0.40887633]
   [0.44329062 0.530257   0.6478144 ]
   [0.39133665 0.26017287 0.4256201 ]
   [0.5243892  0.6658681  0.44192687]
   [0.5251256  0.23937106 0.24944708]]]]"
3,Child_Pose_or_Balasana__image_231.jpg,"[[[[0.8301055  0.26517195 0.41252756]
   [0.8159415  0.24270263 0.5839988 ]
   [0.8125908  0.23199664 0.37859997]
   [0.741671   0.23384911 0.33636183]
   [0.7331252  0.22383353 0.42080566]
   [0.7192285  0.40906033 0.2186777 ]
   [0.6715179  0.31637666 0.5121715 ]
   [0.7403494  0.5753973  0.05210907]
   [0.7178202  0.4193487  0.19030516]
   [0.8047225  0.5026652  0.06717157]
   [0.8140739  0.43111372 0.10517792]
   [0.6446117  0.81948763 0.5686747 ]
   [0.6787797  0.67537224 0.26495308]
   [0.83028024 0.48573026 0.20420517]
   [0.7983064  0.4228993  0.37547046]
   [0.8159863  0.79310423 0.30210072]
   [0.7941983  0.5465144  0.10109545]]]]"
4,Child_Pose_or_Balasana__image_16.jpg,"[[[[0.6306282  0.3675735  0.585187  ]
   [0.6341275  0.33955175 0.67148936]
   [0.62993664 0.34293708 0.5679909 ]
   [0.5885874  0.31308845 0.58939236]
   [0.58078635 0.3159837  0.6777047 ]
   [0.55262405 0.39339417 0.70455074]
   [0.49476483 0.3705076  0.7933354 ]
   [0.63431805 0.5760143  0.35075277]
   [0.54022396 0.5575993  0.46717384]
   [0.6514196  0.69650096 0.49015495]
   [0.58358073 0.6721299  0.29429266]
   [0.49681255 0.71592396 0.8797497 ]
   [0.4758002  0.7219716  0.85789835]
   [0.62303936 0.46307573 0.63126314]
   [0.56832165 0.4547244  0.5290529 ]
   [0.63454014 0.6959148  0.7537384 ]
   [0.59186524 0.69953454 0.486884  ]]]]"
5,Child_Pose_or_Balasana__image_44.jpg,"[[[[0.7064426  0.49216744 0.5630171 ]
   [0.7058257  0.4708247  0.5530887 ]
   [0.7040248  0.47121754 0.43864736]
   [0.6630731  0.4571524  0.64101136]
   [0.6581158  0.45343783 0.5480105 ]
   [0.62912244 0.5125138  0.5418151 ]
   [0.60829246 0.5027062  0.66629106]
   [0.7241399  0.41436684 0.35414234]
   [0.67531806 0.4317916  0.3248204 ]
   [0.72215533 0.3232264  0.51970613]
   [0.695787   0.33932456 0.49613214]
   [0.5960349  0.7752494  0.8731562 ]
   [0.5867597  0.7717251  0.770506  ]
   [0.6931372  0.5803259  0.47849715]
   [0.6804395  0.580143   0.44296035]
   [0.6940019  0.7720537  0.8316731 ]
   [0.6864643  0.7623112  0.54563594]]]]"
6,Child_Pose_or_Balasana__image_13.jpg,"[[[[0.55734736 0.37246722 0.52374244]
   [0.5404697  0.35497442 0.522819  ]
   [0.54091513 0.35450357 0.49280167]
   [0.4972084  0.36617655 0.77536815]
   [0.4978848  0.36530852 0.75575924]
   [0.49032283 0.4555333  0.7522582 ]
   [0.4784137  0.44637978 0.8198537 ]
   [0.58244425 0.29996234 0.68840224]
   [0.5679179  0.31535113 0.60670227]
   [0.58365005 0.25237587 0.16449852]
   [0.5640404  0.26954073 0.4035027 ]
   [0.5256297  0.7737827  0.7259417 ]
   [0.52024156 0.7619014  0.5873411 ]
   [0.65143585 0.5401271  0.8241409 ]
   [0.63642114 0.52813077 0.637656  ]
   [0.65011543 0.7789936  0.72190773]
   [0.6323611  0.76101315 0.7232658 ]]]]"
7,Child_Pose_or_Balasana__image_36.jpg,"[[[[0.38016358 0.30067462 0.51387805]
   [0.36259997 0.27541688 0.67425627]
   [0.36430258 0.27485228 0.7263732 ]
   [0.29290324 0.2660298  0.73877054]
   [0.2972243  0.26824445 0.5808256 ]
   [0.26191851 0.38205388 0.73272014]
   [0.26820657 0.37409014 0.60954285]
   [0.3325748  0.5711367  0.7404949 ]
   [0.32542577 0.5727601  0.74265987]
   [0.36651915 0.7291688  0.7712471 ]
   [0.3613569  0.722635   0.49553782]
   [0.24601851 0.7248232  0.8129392 ]
   [0.24751304 0.7233247  0.7502681 ]
   [0.3527898  0.43976933 0.83381945]
   [0.35326648 0.4330545  0.5872061 ]
   [0.36320716 0.7321763  0.48011613]
   [0.35196346 0.71992624 0.45203856]]]]"
8,Child_Pose_or_Balasana__image_190.jpg,"[[[[0.8354255  0.59619856 0.08421916]
   [0.83131605 0.5995213  0.07632987]
   [0.83483183 0.56794363 0.04873877]
   [0.83753014 0.59906965 0.02240471]
   [0.8640025  0.48537657 0.03105093]
   [0.84388864 0.5990035  0.04556642]
   [0.8637114  0.48937157 0.05411163]
   [0.8270968  0.59651464 0.0296852 ]
   [0.5701627  0.3017061  0.01240913]
   [0.8341166  0.5880215  0.03389777]
   [0.7540729  0.31602785 0.02928156]
   [0.7765539  0.28957447 0.07297792]
   [0.7646374  0.2694251  0.0680634 ]
   [0.8342098  0.57852226 0.05317723]
   [0.7747989  0.27027017 0.04044067]
   [0.7877208  0.46230447 0.0430757 ]
   [0.87714785 0.14202514 0.01013356]]]]"
9,Child_Pose_or_Balasana__image_108.jpg,"[[[[0.4734894  0.36442307 0.45658824]
   [0.4780438  0.39569935 0.3904511 ]
   [0.48355904 0.3851945  0.32203278]
   [0.42276922 0.39619532 0.61690587]
   [0.42958015 0.3719536  0.7114292 ]
   [0.3093166  0.39799267 0.8501112 ]
   [0.3861846  0.26119217 0.83578044]
   [0.42207414 0.5383126  0.7235199 ]
   [0.51456577 0.41818187 0.82705563]
   [0.4955623  0.700474   0.77482027]
   [0.58331126 0.581959   0.86056626]
   [0.23829073 0.09666518 0.46773988]
   [0.27250138 0.00572089 0.17812032]
   [0.38757056 0.27022326 0.21262963]
   [0.43752295 0.21523535 0.45271978]
   [0.16570655 0.31757903 0.257297  ]
   [0.3152187  0.82870865 0.2936984 ]]]]"
