,image,score
0,Cockerel_Pose_image_78.jpg,"[[[[0.28579313 0.4078058  0.52857834]
   [0.25202012 0.42998236 0.615584  ]
   [0.26718605 0.38653818 0.663282  ]
   [0.2607036  0.49720085 0.5536831 ]
   [0.28297243 0.38267943 0.17014253]
   [0.3650112  0.5975249  0.79121387]
   [0.40606356 0.40198934 0.82225424]
   [0.57061654 0.6350199  0.4812448 ]
   [0.585235   0.45353606 0.5771039 ]
   [0.61442363 0.63185865 0.37010613]
   [0.6292587  0.54565924 0.46460783]
   [0.6136721  0.61719733 0.4677834 ]
   [0.6152252  0.5028271  0.761871  ]
   [0.6607285  0.7747492  0.37356526]
   [0.646998   0.3106302  0.7565364 ]
   [0.74602836 0.61170787 0.2547864 ]
   [0.6962618  0.51746863 0.32127255]]]]"
1,Cockerel_Pose_image_30.jpg,"[[[[0.27672443 0.47405654 0.86441576]
   [0.22853698 0.5125001  0.8673322 ]
   [0.22735673 0.43482208 0.85179645]
   [0.23211418 0.56737363 0.85597754]
   [0.23225851 0.3844645  0.560315  ]
   [0.36456972 0.6648872  0.87618303]
   [0.38126147 0.2919894  0.8523501 ]
   [0.6443218  0.6301744  0.48750433]
   [0.7105927  0.3850674  0.12085155]
   [0.67511237 0.3847195  0.4201646 ]
   [0.72754085 0.6219901  0.30290523]
   [0.6250358  0.5934666  0.82979643]
   [0.63211143 0.39816177 0.89945626]
   [0.82450664 0.8131644  0.7977755 ]
   [0.8490191  0.19792849 0.6960568 ]
   [0.6878855  0.38854787 0.9169835 ]
   [0.7235658  0.6370553  0.40115315]]]]"
2,Cockerel_Pose_image_12.jpg,"[[[[0.32240552 0.50985944 0.5578215 ]
   [0.30288112 0.5423424  0.48112187]
   [0.2975873  0.48166627 0.5411069 ]
   [0.26961437 0.6076062  0.5186579 ]
   [0.2601463  0.457644   0.68832356]
   [0.3235478  0.7106938  0.7867211 ]
   [0.2795457  0.36771157 0.82757616]
   [0.5535971  0.63404685 0.7155907 ]
   [0.5231773  0.36497065 0.6833744 ]
   [0.65481055 0.5832118  0.32892367]
   [0.6533547  0.41139618 0.539218  ]
   [0.5375742  0.6019218  0.7032424 ]
   [0.5171049  0.42823586 0.8907313 ]
   [0.6428157  0.8382572  0.78026104]
   [0.5915021  0.1514754  0.88991535]
   [0.60719943 0.5463625  0.18435715]
   [0.57855976 0.48709604 0.16444892]]]]"
3,Cockerel_Pose_image_13.jpg,"[[[[0.39831203 0.5073242  0.8750387 ]
   [0.38405314 0.5208941  0.86883277]
   [0.3821132  0.49253425 0.87114733]
   [0.39491183 0.5439331  0.66493815]
   [0.39231813 0.47561976 0.582049  ]
   [0.45584756 0.57977843 0.6937142 ]
   [0.45652673 0.4440628  0.720759  ]
   [0.5744368  0.57623154 0.4263474 ]
   [0.5692554  0.44268614 0.7073552 ]
   [0.61148876 0.5208202  0.21937275]
   [0.63547283 0.45799792 0.5897955 ]
   [0.63137144 0.55460376 0.59543097]
   [0.6312925  0.47614923 0.6964533 ]
   [0.5851642  0.6510134  0.85980743]
   [0.59085816 0.3590883  0.86974305]
   [0.6383842  0.50252545 0.1383997 ]
   [0.643569   0.4882293  0.18276937]]]]"
4,Cockerel_Pose_image_96.jpg,"[[[[0.20464359 0.48988461 0.7899287 ]
   [0.16927259 0.5191741  0.6274259 ]
   [0.16996594 0.46284384 0.6652791 ]
   [0.1743134  0.5537319  0.87409985]
   [0.17937045 0.42784962 0.8885811 ]
   [0.30030617 0.63690937 0.8790067 ]
   [0.2923273  0.3404303  0.84876335]
   [0.50881064 0.59074944 0.6854177 ]
   [0.527475   0.37901613 0.67516375]
   [0.69941413 0.58850026 0.84196746]
   [0.7081976  0.40362507 0.6434098 ]
   [0.5150601  0.56366205 0.7832418 ]
   [0.5177957  0.4299995  0.82365626]
   [0.5379626  0.74547637 0.7594614 ]
   [0.50639176 0.2201312  0.89685065]
   [0.5684407  0.51855457 0.18447348]
   [0.6989331  0.4008943  0.3873688 ]]]]"
5,Cockerel_Pose_image_109.jpg,"[[[[0.49793607 0.36604398 0.70172465]
   [0.48405492 0.38061768 0.48943794]
   [0.48444504 0.3426945  0.5191468 ]
   [0.44029564 0.4171295  0.50584817]
   [0.45640618 0.33577505 0.49921897]
   [0.4339125  0.5103053  0.6370769 ]
   [0.4381569  0.34789068 0.3550872 ]
   [0.5868346  0.631864   0.852157  ]
   [0.58138627 0.36963427 0.70294875]
   [0.71688    0.6385224  0.79852384]
   [0.70409566 0.3911522  0.81153184]
   [0.35833794 0.6120564  0.60782135]
   [0.33391148 0.49994525 0.4669964 ]
   [0.43337035 0.53347015 0.52596015]
   [0.43221998 0.45784426 0.18383439]
   [0.44789752 0.59429544 0.12849028]
   [0.4455681  0.5172948  0.16509266]]]]"
6,Cockerel_Pose_image_52.jpg,"[[[[0.25422555 0.7368595  0.40289712]
   [0.21947007 0.73621935 0.2596976 ]
   [0.21991825 0.74144614 0.41810784]
   [0.1918124  0.6677044  0.23358111]
   [0.20282602 0.7064804  0.41469622]
   [0.2892685  0.57388836 0.78171575]
   [0.30428323 0.5848455  0.8071921 ]
   [0.47315753 0.48980984 0.42501587]
   [0.5457421  0.48695117 0.6571873 ]
   [0.5860596  0.47280255 0.3303221 ]
   [0.611954   0.478563   0.5825166 ]
   [0.58696204 0.2905612  0.6389834 ]
   [0.63146245 0.26091245 0.76699126]
   [0.5961968  0.6031911  0.60955656]
   [0.7474329  0.639041   0.91854113]
   [0.6728883  0.45707282 0.26795712]
   [0.78597265 0.42780477 0.3041523 ]]]]"
7,Cockerel_Pose_image_103.jpg,"[[[[0.62387764 0.40301174 0.4335459 ]
   [0.6202156  0.39966184 0.39771348]
   [0.62208956 0.39913568 0.38061386]
   [0.61508197 0.41496816 0.5437682 ]
   [0.6183971  0.40623602 0.36281908]
   [0.6114654  0.44615683 0.38444147]
   [0.6114371  0.443231   0.43850923]
   [0.63692755 0.4629033  0.48407748]
   [0.6398344  0.4540646  0.23057666]
   [0.6694152  0.484727   0.3199712 ]
   [0.66290826 0.4760224  0.2524815 ]
   [0.614688   0.50544995 0.4097477 ]
   [0.6163489  0.5058655  0.4728198 ]
   [0.67448425 0.46970156 0.35653177]
   [0.66765803 0.4750119  0.21484847]
   [0.70026356 0.4887962  0.3074102 ]
   [0.696929   0.4947076  0.2926789 ]]]]"
8,Cockerel_Pose_image_23.jpg,"[[[[0.32641396 0.52940965 0.5237792 ]
   [0.30485544 0.5527849  0.8370688 ]
   [0.3036007  0.5110888  0.87458915]
   [0.32015687 0.5845446  0.8227023 ]
   [0.31282255 0.47779998 0.6335238 ]
   [0.41984025 0.62733835 0.5592273 ]
   [0.41199666 0.41918746 0.745615  ]
   [0.60414225 0.61432016 0.41457903]
   [0.6125312  0.43009514 0.64840746]
   [0.751799   0.58526444 0.3710988 ]
   [0.6230227  0.44500637 0.44254223]
   [0.6365921  0.5729911  0.4645916 ]
   [0.62889665 0.4616804  0.6894264 ]
   [0.636469   0.7576341  0.70322394]
   [0.647504   0.29072085 0.7634615 ]
   [0.70773023 0.4485978  0.28353223]
   [0.6633912  0.5731647  0.2820307 ]]]]"
9,Cockerel_Pose_image_15.jpg,"[[[[0.20810145 0.52544737 0.8004513 ]
   [0.1684428  0.56279016 0.6292863 ]
   [0.17090923 0.49140513 0.65134084]
   [0.19182464 0.607065   0.6753189 ]
   [0.18833803 0.44138628 0.61191595]
   [0.3487805  0.6645     0.8959771 ]
   [0.33710605 0.36194846 0.74433357]
   [0.6078154  0.61721414 0.7608943 ]
   [0.6159461  0.3593492  0.49248677]
   [0.8458421  0.5907919  0.41064128]
   [0.83835757 0.36997572 0.57924736]
   [0.6471617  0.56192815 0.7876216 ]
   [0.6503527  0.41975468 0.8352536 ]
   [0.63734496 0.84027654 0.8503239 ]
   [0.6597289  0.16811833 0.71870255]
   [0.6990646  0.47349274 0.23752141]
   [0.71219397 0.54851866 0.55726564]]]]"
