,image,score
0,Corpse_Pose_or_Savasana__image_46.jpg,"[[[[0.43631348 0.495372   0.24553268]
   [0.43354547 0.4821397  0.19860625]
   [0.45249414 0.47303393 0.32027593]
   [0.48199135 0.48602036 0.34217227]
   [0.523171   0.48346096 0.50342596]
   [0.44934982 0.5797117  0.1415058 ]
   [0.5287462  0.5305755  0.55754524]
   [0.4828176  0.67724633 0.11036605]
   [0.5907361  0.6441452  0.32727253]
   [0.41547298 0.6629306  0.19740194]
   [0.65179276 0.7660306  0.7621266 ]
   [0.25309494 0.36015797 0.5942536 ]
   [0.47575969 0.77394503 0.06455399]
   [0.28002247 0.5248386  0.28972453]
   [0.28418976 0.50252813 0.6026538 ]
   [0.4057106  1.0098186  0.07615472]
   [0.29288664 0.6675608  0.28326637]]]]"
1,Corpse_Pose_or_Savasana__image_11.jpg,"[[[[0.4985546  0.72633624 0.598755  ]
   [0.5297987  0.7476346  0.46112332]
   [0.508802   0.7435138  0.72916377]
   [0.61337286 0.73306406 0.67023265]
   [0.5636667  0.7352152  0.50125396]
   [0.6432051  0.63453996 0.85426855]
   [0.49132302 0.57503545 0.16711222]
   [0.72226274 0.3631134  0.7525063 ]
   [0.2806614  0.35665232 0.36637735]
   [0.7607288  0.14063695 0.76424974]
   [0.28459606 0.20749846 0.26914826]
   [0.60509914 0.14640857 0.43354067]
   [0.24652746 0.19358136 0.7457742 ]
   [0.71160686 0.3238724  0.03942544]
   [0.26913863 0.00673794 0.17906997]
   [0.7706333  0.11817111 0.06004588]
   [0.5584849  0.11918688 0.05478615]]]]"
2,Corpse_Pose_or_Savasana__image_62.jpg,"[[[[0.3304699  0.35203683 0.8006797 ]
   [0.36024913 0.31141657 0.61724037]
   [0.3842627  0.3106971  0.8438585 ]
   [0.46917737 0.33665705 0.5607876 ]
   [0.49849585 0.34130248 0.6381131 ]
   [0.41338995 0.58854604 0.57733965]
   [0.5320857  0.5033946  0.8111419 ]
   [0.44899788 0.78655994 0.33936772]
   [0.60717225 0.6935571  0.7587154 ]
   [0.40745914 0.969831   0.09909499]
   [0.6598612  0.838859   0.88309497]
   [0.43955654 1.0025338  0.03550516]
   [0.53180873 0.9932779  0.0615997 ]
   [0.32480443 0.81198    0.01246195]
   [0.5247532  0.5146085  0.04224828]
   [0.44793725 0.94971174 0.04078662]
   [0.50898623 0.9268989  0.01402275]]]]"
3,Corpse_Pose_or_Savasana__image_122.jpg,"[[[[0.47088033 0.596423   0.52387154]
   [0.49511755 0.61362356 0.7266083 ]
   [0.49330562 0.613749   0.73899454]
   [0.5572585  0.59378314 0.7250727 ]
   [0.55238026 0.5942334  0.74359965]
   [0.5653894  0.48917407 0.6616801 ]
   [0.5515704  0.4733404  0.28960958]
   [0.60924447 0.3231885  0.5428749 ]
   [0.58967197 0.3156172  0.67457217]
   [0.6332071  0.17695491 0.82816136]
   [0.6172173  0.17593652 0.44660744]
   [0.56329805 0.12733075 0.5331288 ]
   [0.54032815 0.1499003  0.50052327]
   [0.6227206  0.05284744 0.05267843]
   [0.6060878  0.05745539 0.05715049]
   [0.6322866  0.0751858  0.04257873]
   [0.62851423 0.07918216 0.06656989]]]]"
4,Corpse_Pose_or_Savasana__image_155.jpg,"[[[[0.19085823 0.4872808  0.27801946]
   [0.176463   0.50100714 0.33707604]
   [0.17660154 0.4814574  0.419385  ]
   [0.18188266 0.5130467  0.36839315]
   [0.18240646 0.47058582 0.37415716]
   [0.24886388 0.53986317 0.39038646]
   [0.2389582  0.45905358 0.49169052]
   [0.37770995 0.5734465  0.42808023]
   [0.38117403 0.45678246 0.24493794]
   [0.5143948  0.5978972  0.22250171]
   [0.49574938 0.4222451  0.13133486]
   [0.46605912 0.5436599  0.3377424 ]
   [0.46738043 0.45138323 0.23015328]
   [0.658425   0.5320775  0.46487007]
   [0.64993274 0.44341624 0.3177387 ]
   [0.8789768  0.5483259  0.50693816]
   [0.8812418  0.46904552 0.43479973]]]]"
5,Corpse_Pose_or_Savasana__image_193.jpg,"[[[[0.6405784  0.22841346 0.58788365]
   [0.6435868  0.22244962 0.4149277 ]
   [0.6479435  0.21460864 0.58358914]
   [0.66983896 0.22422011 0.5021132 ]
   [0.68483514 0.2081627  0.5176187 ]
   [0.6615822  0.2941769  0.76489234]
   [0.6886033  0.23095511 0.699013  ]
   [0.70161563 0.38866776 0.28332555]
   [0.7351878  0.24980652 0.5787912 ]
   [0.6788022  0.4882334  0.19662797]
   [0.74338275 0.25645974 0.41661873]
   [0.6848542  0.4797137  0.7963201 ]
   [0.7119236  0.44709718 0.7776958 ]
   [0.71073985 0.65097916 0.46117282]
   [0.74566203 0.5896401  0.22359881]
   [0.74504167 0.86637604 0.63599104]
   [0.78715193 0.7345455  0.62435097]]]]"
6,Corpse_Pose_or_Savasana__image_20.jpg,"[[[[0.5291554  0.85432124 0.46638176]
   [0.54703695 0.86899865 0.4594152 ]
   [0.54444593 0.8684185  0.53813684]
   [0.5920902  0.8581259  0.58603424]
   [0.5876369  0.8594023  0.5581963 ]
   [0.59151745 0.7778949  0.6046342 ]
   [0.57979107 0.7727289  0.5665819 ]
   [0.6225382  0.64024675 0.74150527]
   [0.607646   0.63730735 0.62506115]
   [0.634428   0.51286215 0.69277716]
   [0.6245171  0.5153795  0.5903537 ]
   [0.5869062  0.51426333 0.6559752 ]
   [0.5709684  0.51513416 0.71728903]
   [0.5993611  0.34010997 0.48827702]
   [0.5875351  0.3431058  0.66921455]
   [0.61438644 0.14150786 0.60767347]
   [0.58306235 0.15518282 0.673496  ]]]]"
7,Corpse_Pose_or_Savasana__image_58.jpg,"[[[[0.39206564 0.8283598  0.6356672 ]
   [0.405373   0.8436641  0.55894583]
   [0.39305657 0.8401775  0.53822184]
   [0.45121998 0.83595884 0.6930314 ]
   [0.4283122  0.8312043  0.53003305]
   [0.46714762 0.7799084  0.7006955 ]
   [0.40726534 0.765182   0.616844  ]
   [0.49797922 0.6851627  0.27820203]
   [0.4157106  0.64033365 0.5065812 ]
   [0.5161581  0.5679247  0.76705384]
   [0.42668086 0.56735325 0.23939463]
   [0.45859578 0.5531679  0.7756734 ]
   [0.40129265 0.5567008  0.7668151 ]
   [0.46520922 0.35977918 0.6129815 ]
   [0.42029122 0.37429976 0.40438253]
   [0.47552112 0.17766622 0.52088505]
   [0.4169258  0.20992056 0.5842982 ]]]]"
8,Corpse_Pose_or_Savasana__image_102.jpg,"[[[[0.36933056 0.85297716 0.6882213 ]
   [0.38324633 0.8671583  0.6428109 ]
   [0.37265807 0.8641063  0.64722157]
   [0.42161667 0.8497692  0.62482053]
   [0.40465695 0.8522925  0.60917467]
   [0.4347816  0.78091615 0.7266828 ]
   [0.37874946 0.77202654 0.73804504]
   [0.46854505 0.6469493  0.6081805 ]
   [0.38001984 0.6484566  0.3818093 ]
   [0.49668673 0.5642978  0.6698561 ]
   [0.37810725 0.5671997  0.25798818]
   [0.41870427 0.52530056 0.53664994]
   [0.3630794  0.5274023  0.73129654]
   [0.43852746 0.33925438 0.7111398 ]
   [0.38396922 0.342535   0.5690302 ]
   [0.46675378 0.14672759 0.84689623]
   [0.39594734 0.18593946 0.8216248 ]]]]"
9,Corpse_Pose_or_Savasana__image_187.jpg,"[[[[0.43688056 0.14756607 0.592802  ]
   [0.4484724  0.1325109  0.63572127]
   [0.45134744 0.13232249 0.44503623]
   [0.48572603 0.14330307 0.5929917 ]
   [0.4956131  0.13988063 0.6298486 ]
   [0.4780821  0.21995331 0.7874121 ]
   [0.5209698  0.18990085 0.74866575]
   [0.51755106 0.3277122  0.5624728 ]
   [0.57752925 0.3116091  0.77564   ]
   [0.5178558  0.4394408  0.3904524 ]
   [0.5542821  0.43500465 0.52358204]
   [0.47214055 0.4753067  0.8935122 ]
   [0.5113525  0.4780319  0.7137986 ]
   [0.4041981  0.66721714 0.55030715]
   [0.4353483  0.6798692  0.65868986]
   [0.4985692  0.83330756 0.42300734]
   [0.53376114 0.8441596  0.5839382 ]]]]"
