,image,score
0,Cradle_or_Hindolasana_image_3.jpg,"[[[[0.5491761  0.4973247  0.4363106 ]
   [0.54691315 0.50155467 0.42794672]
   [0.54335904 0.49752572 0.54537326]
   [0.5444783  0.51176405 0.4401065 ]
   [0.5421986  0.4905915  0.42371872]
   [0.56357455 0.5236054  0.44762084]
   [0.56186587 0.4856229  0.4981857 ]
   [0.5901477  0.5335462  0.3771395 ]
   [0.58159715 0.4663912  0.4681184 ]
   [0.6141664  0.52635825 0.295344  ]
   [0.6046448  0.466005   0.46567822]
   [0.6264547  0.51687604 0.44574207]
   [0.6268414  0.49238315 0.46854973]
   [0.6618189  0.5199425  0.29602832]
   [0.6600517  0.4919826  0.35687092]
   [0.6977194  0.5267501  0.17367053]
   [0.6907219  0.48703292 0.1952681 ]]]]"
1,Cradle_or_Hindolasana_image_62.jpg,"[[[[0.31151533 0.48139963 0.62456167]
   [0.28966272 0.49815264 0.73236996]
   [0.2921404  0.46155828 0.9132762 ]
   [0.3044853  0.52256835 0.88056654]
   [0.30796033 0.4363648  0.69813716]
   [0.39506587 0.5715776  0.8049984 ]
   [0.4087173  0.39077654 0.89189845]
   [0.5103699  0.6745583  0.8786633 ]
   [0.51723516 0.33168983 0.8554009 ]
   [0.4970426  0.53358555 0.44372764]
   [0.5034875  0.46063346 0.5688845 ]
   [0.66243976 0.55521375 0.6394396 ]
   [0.6532136  0.44769564 0.7242142 ]
   [0.49809015 0.5750697  0.26689565]
   [0.66495496 0.4094982  0.6878148 ]
   [0.7287597  0.45847178 0.27609932]
   [0.7783684  0.4154051  0.7055527 ]]]]"
2,Cradle_or_Hindolasana_image_33.jpeg,"[[[[0.35822317 0.5006932  0.6927167 ]
   [0.3382407  0.5221931  0.91233724]
   [0.34121612 0.47705933 0.9073152 ]
   [0.37103227 0.5539902  0.875057  ]
   [0.3727147  0.4471039  0.81842715]
   [0.48118085 0.6165704  0.8003705 ]
   [0.4869113  0.3769574  0.9085294 ]
   [0.57435083 0.76810855 0.9529881 ]
   [0.589123   0.25596854 0.72295094]
   [0.5741596  0.61506253 0.8556296 ]
   [0.57246107 0.39734864 0.6995791 ]
   [0.78019077 0.5304061  0.88584095]
   [0.7757258  0.4116822  0.8516675 ]
   [0.5705008  0.70114464 0.63702285]
   [0.80894846 0.12771122 0.9157833 ]
   [0.58246386 0.61437386 0.4357218 ]
   [0.840262   0.44963664 0.8814011 ]]]]"
3,Cradle_or_Hindolasana_image_16.jpg,"[[[[0.43489757 0.5439277  0.68886566]
   [0.4193788  0.5571324  0.8251874 ]
   [0.42117536 0.5266107  0.8069295 ]
   [0.42991078 0.5715772  0.85624635]
   [0.4317695  0.5003433  0.7691762 ]
   [0.49534652 0.60273176 0.7566798 ]
   [0.49013332 0.4797904  0.7194818 ]
   [0.56808084 0.66326296 0.69120556]
   [0.54234296 0.36630437 0.7724386 ]
   [0.58035487 0.5457772  0.6275779 ]
   [0.5741728  0.45676792 0.50591904]
   [0.70086163 0.5710377  0.43569037]
   [0.7044827  0.5015113  0.5352852 ]
   [0.72073    0.71498644 0.73178893]
   [0.5529403  0.41739836 0.10248686]
   [0.70546925 0.5637521  0.21277222]
   [0.6959518  0.5164748  0.35724556]]]]"
4,Cradle_or_Hindolasana_image_5.jpg,"[[[[0.27883247 0.53560317 0.5288828 ]
   [0.25697196 0.5569504  0.83743024]
   [0.25736594 0.5125135  0.76137924]
   [0.27168372 0.57488793 0.6398961 ]
   [0.2734167  0.47887528 0.8686249 ]
   [0.38994795 0.65007603 0.8688718 ]
   [0.39750978 0.4144557  0.85397124]
   [0.48471183 0.8101832  0.61314434]
   [0.51797175 0.33349267 0.5341789 ]
   [0.506492   0.6862125  0.41540504]
   [0.5098561  0.4490029  0.1877891 ]
   [0.72675127 0.60815483 0.80138665]
   [0.7130654  0.44493893 0.637748  ]
   [0.7625522  0.69176984 0.03354992]
   [0.759233   0.2818278  0.34194115]
   [0.79442376 0.5862501  0.03920531]
   [0.79333735 0.5587651  0.05235999]]]]"
5,Cradle_or_Hindolasana_image_55.jpg,"[[[[0.36071518 0.584404   0.759404  ]
   [0.33902562 0.6024503  0.8973475 ]
   [0.33774886 0.5618334  0.844216  ]
   [0.34943718 0.62348217 0.6218862 ]
   [0.34737074 0.5342528  0.81125903]
   [0.4471919  0.6684673  0.7155453 ]
   [0.43160728 0.48396075 0.6683393 ]
   [0.5920888  0.767548   0.87962914]
   [0.5529944  0.32888007 0.72197527]
   [0.5245991  0.75349003 0.48989126]
   [0.51425827 0.432782   0.6950383 ]
   [0.7034373  0.60174227 0.7768823 ]
   [0.6893719  0.5098401  0.8717724 ]
   [0.7861963  0.80348706 0.91411567]
   [0.4918269  0.44666228 0.4616527 ]
   [0.7868622  0.5028109  0.76485467]
   [0.7169769  0.5546944  0.26251003]]]]"
6,Cradle_or_Hindolasana_image_12.jpeg,"[[[[0.38692248 0.6362041  0.5744906 ]
   [0.36084592 0.65184706 0.3577718 ]
   [0.36349905 0.6278935  0.52024233]
   [0.36583784 0.69072926 0.5303862 ]
   [0.36637643 0.6292412  0.44360247]
   [0.48550913 0.7355004  0.22948316]
   [0.46322843 0.6022905  0.34726244]
   [0.58205765 0.7817822  0.13230254]
   [0.52426827 0.5371656  0.14611702]
   [0.53926957 0.6676914  0.06408695]
   [0.54249394 0.51614493 0.16113137]
   [0.59751415 0.68594027 0.04778009]
   [0.5923144  0.5770198  0.05618365]
   [0.49728316 0.64971566 0.02775438]
   [0.4827214  0.57694453 0.09381879]
   [0.572182   0.55337286 0.05663594]
   [0.5624295  0.5179263  0.14388458]]]]"
7,Cradle_or_Hindolasana_image_32.jpg,"[[[[0.37551108 0.476255   0.6516707 ]
   [0.36261106 0.49111897 0.777748  ]
   [0.36295837 0.46543193 0.68437636]
   [0.37139022 0.5115722  0.73163295]
   [0.36960626 0.4521754  0.71903956]
   [0.4387205  0.55451614 0.7641601 ]
   [0.44531712 0.41489956 0.8067815 ]
   [0.51051456 0.6269607  0.83521104]
   [0.5147092  0.31556776 0.8129194 ]
   [0.5026711  0.49719912 0.73223513]
   [0.5349911  0.4095858  0.54893726]
   [0.6792594  0.5172442  0.6441279 ]
   [0.6715625  0.443749   0.6680394 ]
   [0.6826578  0.6292917  0.6191236 ]
   [0.5210797  0.33579645 0.3077951 ]
   [0.6717748  0.45084217 0.38391685]
   [0.68090284 0.49271476 0.45311457]]]]"
8,Cradle_or_Hindolasana_image_9.jpg,"[[[[0.19257702 0.50341535 0.8584115 ]
   [0.15528265 0.5334387  0.8008721 ]
   [0.15582629 0.47774574 0.85584223]
   [0.16843799 0.57215524 0.9136446 ]
   [0.16704106 0.4423263  0.9515388 ]
   [0.34224063 0.6523721  0.6694234 ]
   [0.32843703 0.36088824 0.903196  ]
   [0.45798138 0.7985573  0.9276631 ]
   [0.51126426 0.18347198 0.9482261 ]
   [0.50272906 0.564643   0.56750315]
   [0.5237665  0.39679825 0.7825054 ]
   [0.7558787  0.59345603 0.6690817 ]
   [0.75045294 0.46537557 0.85586154]
   [0.77963585 0.8087954  0.97291654]
   [0.45603338 0.30413452 0.61564773]
   [0.85232013 0.45567957 0.79710805]
   [0.82368773 0.56597227 0.19645345]]]]"
9,Cradle_or_Hindolasana_image_23.jpg,"[[[[0.19732459 0.72728384 0.88452715]
   [0.16099226 0.72599006 0.896954  ]
   [0.15685773 0.7087297  0.6223443 ]
   [0.14059058 0.65054184 0.6857076 ]
   [0.13098098 0.60519695 0.8721051 ]
   [0.33313826 0.74037254 0.742158  ]
   [0.2861646  0.42869017 0.8595611 ]
   [0.5039427  0.95569164 0.8828587 ]
   [0.54010254 0.2906393  0.9464903 ]
   [0.55146885 0.74697167 0.5616917 ]
   [0.5346442  0.5072158  0.34749255]
   [0.7355482  0.6230578  0.7494053 ]
   [0.73769534 0.46615848 0.92600334]
   [0.502983   0.84808004 0.6679418 ]
   [0.8980301  0.12378725 0.92938846]
   [0.558378   0.7448853  0.28992057]
   [0.8885663  0.57986766 0.7775005 ]]]]"
