,image,score
0,Crane_(Crow)_Pose_or_Bakasana__image_59.jpg,"[[[[0.54429066 0.694578   0.64614904]
   [0.5286886  0.7120114  0.8075265 ]
   [0.52926123 0.71086484 0.8068303 ]
   [0.46614876 0.69742787 0.8187958 ]
   [0.46766818 0.69405717 0.8110823 ]
   [0.43795705 0.616271   0.69984186]
   [0.45577043 0.61175483 0.7632699 ]
   [0.59597313 0.46149775 0.6929676 ]
   [0.6003051  0.45994058 0.8683606 ]
   [0.7477321  0.42625937 0.6998373 ]
   [0.7709111  0.4260951  0.8054473 ]
   [0.27331963 0.31602216 0.81746095]
   [0.27336273 0.3071325  0.83449805]
   [0.47146618 0.53163356 0.8298223 ]
   [0.47491658 0.54493624 0.8491974 ]
   [0.51849747 0.28490672 0.69510484]
   [0.5214265  0.28341958 0.8427927 ]]]]"
1,Crane_(Crow)_Pose_or_Bakasana__image_16.jpg,"[[[[0.5177841  0.26452866 0.26202577]
   [0.47681823 0.25847968 0.37274766]
   [0.50155056 0.24337246 0.23707715]
   [0.43353814 0.2928404  0.3468908 ]
   [0.4438113  0.26456684 0.14064497]
   [0.43467346 0.41294414 0.6022946 ]
   [0.41304207 0.4004645  0.3558481 ]
   [0.58464843 0.52766275 0.5766392 ]
   [0.5719952  0.5248192  0.30568236]
   [0.785219   0.524942   0.39862055]
   [0.74050725 0.5143218  0.1167662 ]
   [0.3163185  0.7072873  0.08776964]
   [0.2393851  0.6823937  0.16347331]
   [0.55329406 0.6739122  0.14118129]
   [0.4891777  0.6892119  0.12233595]
   [0.5425214  0.84274673 0.09439246]
   [0.53720194 0.70733    0.04395808]]]]"
2,Crane_(Crow)_Pose_or_Bakasana__image_23.jpg,"[[[[0.539547   0.17028731 0.6662473 ]
   [0.5188181  0.1636167  0.5996263 ]
   [0.52129316 0.15134561 0.65421194]
   [0.43764216 0.21640474 0.5912634 ]
   [0.43810377 0.18476796 0.47111955]
   [0.41314158 0.37269184 0.5375457 ]
   [0.3366551  0.24997954 0.7391989 ]
   [0.5818595  0.62538    0.63005185]
   [0.48149893 0.4370044  0.5059229 ]
   [0.7887968  0.6481487  0.67255676]
   [0.67780036 0.4912139  0.69983494]
   [0.24754176 0.72171515 0.8717067 ]
   [0.21537153 0.6224339  0.7416526 ]
   [0.5823139  0.6270714  0.6357906 ]
   [0.49097994 0.4518545  0.33419073]
   [0.5441678  0.8353558  0.78890973]
   [0.5086758  0.76206905 0.36482844]]]]"
3,Crane_(Crow)_Pose_or_Bakasana__image_22.jpg,"[[[[0.48379838 0.1867162  0.7013701 ]
   [0.45126072 0.16116436 0.8174486 ]
   [0.45244932 0.15837583 0.7429887 ]
   [0.36408386 0.20466815 0.7757039 ]
   [0.36621612 0.20120066 0.73671055]
   [0.34213328 0.32649305 0.7430594 ]
   [0.32716277 0.33876905 0.56213886]
   [0.61783594 0.5449397  0.8314766 ]
   [0.60195524 0.54562527 0.5545744 ]
   [0.8502137  0.6022393  0.8236956 ]
   [0.8125603  0.60270816 0.41337058]
   [0.18892607 0.7502181  0.64788544]
   [0.17537236 0.75838923 0.50072974]
   [0.44208175 0.4181681  0.7366454 ]
   [0.4343714  0.44968772 0.50655204]
   [0.5552764  0.78947    0.6972485 ]
   [0.53875506 0.7854598  0.5846585 ]]]]"
4,Crane_(Crow)_Pose_or_Bakasana__image_61.jpg,"[[[[0.5878744  0.50100875 0.537663  ]
   [0.5834117  0.5157107  0.54060036]
   [0.58887386 0.4873493  0.45157397]
   [0.551296   0.54024917 0.6216704 ]
   [0.5617012  0.45690924 0.6464712 ]
   [0.5072865  0.59009033 0.7774849 ]
   [0.51200116 0.4060215  0.6293472 ]
   [0.6045506  0.59890324 0.56768197]
   [0.6028252  0.3948268  0.7645545 ]
   [0.7175642  0.5911894  0.60603595]
   [0.7122139  0.41468185 0.8539013 ]
   [0.33474565 0.55164146 0.6755677 ]
   [0.3386041  0.46066502 0.7437154 ]
   [0.49898693 0.58406806 0.5869146 ]
   [0.48099783 0.4039404  0.49999762]
   [0.6033001  0.59259903 0.10472698]
   [0.5836451  0.43845594 0.08298051]]]]"
5,Crane_(Crow)_Pose_or_Bakasana__image_5.jpg,"[[[[0.6027227  0.36096707 0.65991837]
   [0.59178424 0.35231185 0.62337613]
   [0.59341836 0.34906304 0.49051493]
   [0.5533955  0.3580613  0.59141666]
   [0.55820805 0.35421768 0.50475425]
   [0.55200016 0.40319884 0.62083113]
   [0.53626966 0.40497202 0.59811944]
   [0.6230655  0.48908493 0.6543144 ]
   [0.6007339  0.49566695 0.22829822]
   [0.7149802  0.4804869  0.7167712 ]
   [0.5811454  0.58560497 0.41311046]
   [0.4179134  0.54240185 0.52621925]
   [0.41398194 0.5445436  0.5107675 ]
   [0.5624755  0.46352437 0.3515341 ]
   [0.55831563 0.49361822 0.32537138]
   [0.5942765  0.5882383  0.31504595]
   [0.5842873  0.5910288  0.6592022 ]]]]"
6,Crane_(Crow)_Pose_or_Bakasana__image_19.jpg,"[[[[0.5615712  0.64684355 0.5593837 ]
   [0.5597369  0.63792247 0.3936731 ]
   [0.55871683 0.633038   0.5445412 ]
   [0.53447556 0.6458734  0.49942958]
   [0.5367236  0.6316748  0.5720319 ]
   [0.5052681  0.70905036 0.5812867 ]
   [0.5008942  0.66087484 0.63713   ]
   [0.5455702  0.76105595 0.3804291 ]
   [0.5501698  0.7487842  0.3228981 ]
   [0.64248264 0.7670792  0.42293116]
   [0.64300466 0.75605106 0.45789254]
   [0.38582388 0.7895974  0.4774933 ]
   [0.3851397  0.77814215 0.521251  ]
   [0.5152783  0.7641937  0.50452113]
   [0.51698226 0.7442884  0.19212835]
   [0.51748824 0.8642293  0.33231968]
   [0.51667595 0.86393696 0.23428698]]]]"
7,Crane_(Crow)_Pose_or_Bakasana__image_67.jpg,"[[[[0.6111917  0.6913947  0.7328843 ]
   [0.5929188  0.7138301  0.76650274]
   [0.59083223 0.7104875  0.82430106]
   [0.52989703 0.7016988  0.59617984]
   [0.5285001  0.69797546 0.8473504 ]
   [0.50878227 0.62894523 0.5550637 ]
   [0.5131495  0.61672556 0.6625743 ]
   [0.6100679  0.486465   0.6936758 ]
   [0.61055046 0.47558898 0.8577078 ]
   [0.7560505  0.47837865 0.7949012 ]
   [0.77382517 0.47245628 0.72733814]
   [0.26113153 0.42839634 0.8152347 ]
   [0.26992017 0.41399598 0.8166976 ]
   [0.51405483 0.4818133  0.5044672 ]
   [0.51161754 0.48380846 0.3686922 ]
   [0.4103708  0.30061632 0.7149665 ]
   [0.41247293 0.28346685 0.76194865]]]]"
8,Crane_(Crow)_Pose_or_Bakasana__image_11.jpg,"[[[[0.7090536  0.67698765 0.6113814 ]
   [0.69045603 0.67916775 0.5769587 ]
   [0.69025385 0.6767281  0.5337322 ]
   [0.6585216  0.6486568  0.4840813 ]
   [0.6607923  0.64050895 0.59019697]
   [0.6616291  0.581872   0.6046534 ]
   [0.6808144  0.57452404 0.47047907]
   [0.62022376 0.5323333  0.13537958]
   [0.72750497 0.5339957  0.6233199 ]
   [0.6237362  0.5146682  0.18167734]
   [0.77644277 0.47084904 0.23882718]
   [0.5940522  0.3459777  0.6012947 ]
   [0.5964866  0.32869762 0.72845155]
   [0.7035682  0.55222195 0.24521996]
   [0.7148257  0.5457889  0.33821568]
   [0.77625066 0.46067193 0.25419784]
   [0.6814557  0.5042296  0.11052789]]]]"
9,Crane_(Crow)_Pose_or_Bakasana__image_51.jpg,"[[[[0.6223239  0.49874535 0.5492451 ]
   [0.6062971  0.52285665 0.48480365]
   [0.61022484 0.47814554 0.50821877]
   [0.5544854  0.5480657  0.574625  ]
   [0.5603217  0.43913758 0.5312261 ]
   [0.5124057  0.63156855 0.59907734]
   [0.51609313 0.36792263 0.4994199 ]
   [0.5586685  0.6535265  0.54778343]
   [0.5643552  0.33125865 0.7882143 ]
   [0.691945   0.65287066 0.9414212 ]
   [0.6927274  0.33217403 0.9283591 ]
   [0.24674772 0.53578067 0.8504263 ]
   [0.24662784 0.39744553 0.85528046]
   [0.46580404 0.658173   0.78703177]
   [0.49210134 0.2990244  0.81116474]
   [0.51168925 0.5961984  0.08674561]
   [0.505508   0.37961215 0.10620049]]]]"
