,image,score
0,Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana__image_25.jpg,"[[[[0.59727204 0.33682063 0.61283416]
   [0.58654714 0.33389136 0.5902608 ]
   [0.58945924 0.33102584 0.4665436 ]
   [0.56709826 0.35489336 0.40641266]
   [0.5730073  0.34771153 0.48439392]
   [0.5725015  0.4050287  0.7067717 ]
   [0.58629113 0.3836131  0.770558  ]
   [0.65331346 0.42295298 0.50310004]
   [0.6396666  0.40751645 0.29220027]
   [0.65900844 0.3616724  0.27936152]
   [0.65715075 0.3515408  0.35738194]
   [0.57303125 0.52262443 0.5941434 ]
   [0.57515854 0.52486354 0.58044994]
   [0.6019808  0.5939325  0.38036546]
   [0.60155046 0.5706708  0.48419172]
   [0.6160257  0.6823796  0.5581131 ]
   [0.6182945  0.6828892  0.44501093]]]]"
1,Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana__image_14.jpg,"[[[[0.40864846 0.7944596  0.67136794]
   [0.39498645 0.8066094  0.5999697 ]
   [0.39103132 0.7985001  0.42403919]
   [0.37171558 0.7870512  0.5270062 ]
   [0.36228046 0.7686727  0.6695799 ]
   [0.38209605 0.7052495  0.7692403 ]
   [0.394984   0.7192119  0.7176771 ]
   [0.49876872 0.6878089  0.53318053]
   [0.5583853  0.703613   0.776192  ]
   [0.5278606  0.77101266 0.420225  ]
   [0.56151676 0.7979295  0.5172975 ]
   [0.4251241  0.49521157 0.75521564]
   [0.43840665 0.49785572 0.72818744]
   [0.46112442 0.3248878  0.6778499 ]
   [0.47200504 0.31989443 0.7964207 ]
   [0.4822766  0.17263266 0.55684173]
   [0.49764368 0.15643397 0.7211157 ]]]]"
2,Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana__image_26.jpg,"[[[[0.55098426 0.9090544  0.54194766]
   [0.53273994 0.918663   0.5478728 ]
   [0.53005314 0.91793376 0.7171112 ]
   [0.48706126 0.8873904  0.64806837]
   [0.48222208 0.8842756  0.66365033]
   [0.50034004 0.7942925  0.67217624]
   [0.510209   0.77322274 0.68275994]
   [0.60781217 0.83709896 0.32191995]
   [0.66917455 0.76841855 0.9147763 ]
   [0.64270985 0.9385646  0.5265436 ]
   [0.66407114 0.9283594  0.35884368]
   [0.5201201  0.53720623 0.85213315]
   [0.5370914  0.5317437  0.74638325]
   [0.5699454  0.30334374 0.8211113 ]
   [0.5901213  0.28603005 0.8710542 ]
   [0.60607433 0.06814858 0.42468995]
   [0.618683   0.04677208 0.7042772 ]]]]"
3,Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana__image_24.jpg,"[[[[0.5858087  0.8166151  0.72934204]
   [0.5685682  0.82439077 0.6761703 ]
   [0.56664175 0.8251846  0.70768714]
   [0.5309436  0.7940631  0.61617917]
   [0.52931815 0.7928075  0.6509498 ]
   [0.5387322  0.70606077 0.7590848 ]
   [0.55012697 0.734665   0.809645  ]
   [0.67377764 0.6823681  0.5195141 ]
   [0.69475996 0.7298214  0.78400576]
   [0.6838625  0.749978   0.11910248]
   [0.6957442  0.84513074 0.71356225]
   [0.5474648  0.47911307 0.7278673 ]
   [0.5541087  0.48858976 0.6296447 ]
   [0.5998895  0.28605208 0.76883847]
   [0.6078544  0.28697723 0.6774702 ]
   [0.638062   0.10973309 0.6671119 ]
   [0.6446003  0.09942898 0.83870304]]]]"
4,Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana__image_18.jpg,"[[[[0.5752913  0.19843966 0.59206706]
   [0.5534985  0.18732867 0.5886442 ]
   [0.5553368  0.18605177 0.6345954 ]
   [0.49871805 0.21013641 0.5653683 ]
   [0.4998605  0.20895118 0.6432593 ]
   [0.51199967 0.2961357  0.69361866]
   [0.50573343 0.30693272 0.78664064]
   [0.66538465 0.31027853 0.7834904 ]
   [0.64368427 0.3119113  0.44843653]
   [0.66228515 0.16308607 0.47940493]
   [0.6213085  0.20565706 0.23151444]
   [0.52527255 0.6328518  0.6553175 ]
   [0.53218263 0.6217425  0.53343505]
   [0.57723176 0.7471951  0.31506586]
   [0.5843743  0.7437695  0.45031178]
   [0.6198864  0.8946934  0.5926703 ]
   [0.6193382  0.8867115  0.34094366]]]]"
5,Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana__image_30.jpg,"[[[[0.50998414 0.78185505 0.64090943]
   [0.49660435 0.7912748  0.7407849 ]
   [0.4952474  0.78907573 0.770343  ]
   [0.46569866 0.76600623 0.69552416]
   [0.4640437  0.763163   0.6800673 ]
   [0.4817627  0.69998485 0.7056211 ]
   [0.48015764 0.69859767 0.7581051 ]
   [0.6176257  0.66109824 0.7516826 ]
   [0.6189504  0.66278476 0.7402323 ]
   [0.6099481  0.7724748  0.5296    ]
   [0.61321896 0.7795453  0.5647151 ]
   [0.5001566  0.47244957 0.726209  ]
   [0.50614727 0.4720968  0.8423253 ]
   [0.5464465  0.29078317 0.7283807 ]
   [0.548201   0.29374704 0.5759312 ]
   [0.5629795  0.15316695 0.5614752 ]
   [0.5743281  0.11518587 0.7948249 ]]]]"
6,Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana__image_35.jpg,"[[[[0.6672643  0.78604656 0.5979569 ]
   [0.65731996 0.7933508  0.2663102 ]
   [0.6534257  0.78696984 0.35890386]
   [0.6352638  0.77864486 0.09864496]
   [0.63131076 0.7572474  0.5187023 ]
   [0.6381048  0.7150013  0.37316617]
   [0.6424604  0.6846302  0.5038319 ]
   [0.7151961  0.6838864  0.28937823]
   [0.7401414  0.65539414 0.45892763]
   [0.7387138  0.74207824 0.47528958]
   [0.75349027 0.7455437  0.36692867]
   [0.63501316 0.5174144  0.63555616]
   [0.64070076 0.5225278  0.61538595]
   [0.66792417 0.41212907 0.50501716]
   [0.6685297  0.41479683 0.25921908]
   [0.67641306 0.31394964 0.6817248 ]
   [0.67880934 0.30119723 0.5826073 ]]]]"
7,Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana__image_34.jpg,"[[[[0.45084438 0.22833765 0.626395  ]
   [0.43677145 0.22724204 0.6738985 ]
   [0.4366127  0.2285209  0.6428148 ]
   [0.42764962 0.25309965 0.7435058 ]
   [0.42615643 0.2579726  0.76029414]
   [0.468799   0.28744984 0.80080104]
   [0.4630809  0.31413788 0.6637613 ]
   [0.59962237 0.29810554 0.86721104]
   [0.5965487  0.3171024  0.7070722 ]
   [0.5996207  0.2041776  0.7463889 ]
   [0.5883208  0.20987575 0.45002574]
   [0.5138162  0.4837799  0.6453532 ]
   [0.5134672  0.48683634 0.7000384 ]
   [0.54411113 0.6602102  0.8591661 ]
   [0.5385855  0.65814185 0.66501594]
   [0.55641663 0.82577765 0.90195537]
   [0.55582976 0.8150762  0.63752335]]]]"
8,Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana__image_21.jpg,"[[[[0.63092774 0.2542213  0.6646933 ]
   [0.614593   0.2500908  0.5966102 ]
   [0.61795497 0.2492589  0.59377855]
   [0.5831024  0.27899185 0.7920316 ]
   [0.5896407  0.27323735 0.7149084 ]
   [0.5983529  0.343561   0.600553  ]
   [0.6063476  0.34288797 0.6947988 ]
   [0.7482978  0.36872658 0.60486114]
   [0.73859674 0.36260593 0.5309109 ]
   [0.7674367  0.25375718 0.4220234 ]
   [0.7640221  0.25581607 0.6226095 ]
   [0.62316287 0.54352295 0.5416524 ]
   [0.62518394 0.54771715 0.6951218 ]
   [0.6722501  0.67128515 0.7444378 ]
   [0.6716411  0.6756429  0.76644105]
   [0.69112086 0.8522937  0.8048384 ]
   [0.6844611  0.84462166 0.6692911 ]]]]"
9,Dolphin_Plank_Pose_or_Makara_Adho_Mukha_Svanasana__image_23.jpg,"[[[[0.71934    0.84534276 0.5165759 ]
   [0.69977295 0.84795517 0.6182804 ]
   [0.6982986  0.84696907 0.6528566 ]
   [0.6743883  0.81216156 0.3370239 ]
   [0.6731357  0.81048644 0.7107665 ]
   [0.68867797 0.71426845 0.518951  ]
   [0.7031974  0.7356412  0.66399956]
   [0.84110516 0.7242048  0.49763143]
   [0.85381854 0.74976516 0.63780653]
   [0.8514912  0.84003556 0.2995934 ]
   [0.86457807 0.8661371  0.6168556 ]
   [0.6984535  0.4499665  0.2541795 ]
   [0.72017115 0.46743092 0.368802  ]
   [0.7579532  0.29776585 0.22877891]
   [0.76232255 0.2984595  0.2965813 ]
   [0.79914993 0.10915789 0.37998012]
   [0.80114275 0.11311899 0.41729555]]]]"
