,image,score
0,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_22.jpg,"[[[[0.877662   0.39867246 0.6305433 ]
   [0.86101395 0.38263008 0.58804345]
   [0.8691302  0.37900093 0.74404216]
   [0.81207466 0.398668   0.7538881 ]
   [0.8205323  0.39157623 0.76453465]
   [0.76246536 0.46554044 0.5292541 ]
   [0.7599731  0.43710163 0.69348586]
   [0.81405044 0.6106653  0.691986  ]
   [0.91422313 0.46817616 0.5548706 ]
   [0.9473724  0.5965382  0.731106  ]
   [0.931874   0.36743653 0.5941506 ]
   [0.49924517 0.5757191  0.8801046 ]
   [0.5028464  0.5527495  0.8585031 ]
   [0.69263786 0.70057225 0.9006114 ]
   [0.6960176  0.6836534  0.50507367]
   [0.86545163 0.83197904 0.5589053 ]
   [0.8665299  0.82614005 0.68401057]]]]"
1,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_11.jpg,"[[[[0.74720407 0.3532852  0.7271385 ]
   [0.7484408  0.3296789  0.56016904]
   [0.7447442  0.3271975  0.59076697]
   [0.691714   0.3101861  0.67897415]
   [0.69344944 0.30388653 0.7887291 ]
   [0.63489276 0.3674862  0.75904185]
   [0.61933994 0.3558043  0.79477596]
   [0.8671173  0.36710012 0.85100955]
   [0.79212    0.36189562 0.3123077 ]
   [0.8856904  0.17761378 0.82508135]
   [0.80569774 0.18583596 0.55205214]
   [0.23479693 0.514683   0.93709654]
   [0.23462452 0.49024427 0.93021435]
   [0.51471657 0.6993771  0.95819414]
   [0.51371527 0.68466586 0.91060394]
   [0.7509365  0.8951001  0.88414854]
   [0.7405867  0.8471908  0.77323323]]]]"
2,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_20.jpg,"[[[[0.6557682  0.27930817 0.55676943]
   [0.6453869  0.25884414 0.7480793 ]
   [0.64502245 0.2586799  0.71000206]
   [0.5953613  0.2502412  0.65327865]
   [0.59719855 0.2480357  0.6027248 ]
   [0.56637514 0.30581203 0.7709242 ]
   [0.5536409  0.2997449  0.7127892 ]
   [0.70927465 0.32916275 0.5376477 ]
   [0.66836107 0.33790934 0.48887092]
   [0.7282223  0.3314855  0.5241833 ]
   [0.71587    0.32647148 0.664189  ]
   [0.25732252 0.40646017 0.89744073]
   [0.26238137 0.40868515 0.8234975 ]
   [0.4563211  0.55689347 0.9039089 ]
   [0.45587978 0.55297714 0.89807826]
   [0.63593787 0.66668224 0.8343977 ]
   [0.6297178  0.66295147 0.8317667 ]]]]"
3,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_42.jpg,"[[[[0.6069257  0.5500056  0.6055596 ]
   [0.6208362  0.58115137 0.37854546]
   [0.62382436 0.5828858  0.42935723]
   [0.59450036 0.610654   0.6899177 ]
   [0.5979832  0.6145694  0.7016361 ]
   [0.54031944 0.5889349  0.8017053 ]
   [0.5487586  0.589187   0.7013445 ]
   [0.6233975  0.6139902  0.49610528]
   [0.67325634 0.6282615  0.64489406]
   [0.6274184  0.7091039  0.6483954 ]
   [0.67039275 0.7309823  0.7544075 ]
   [0.30581984 0.42398733 0.833203  ]
   [0.30973902 0.4207437  0.8725811 ]
   [0.48640743 0.2764232  0.8376909 ]
   [0.4924447  0.2829798  0.84221697]
   [0.61974216 0.19603509 0.8419455 ]
   [0.64009243 0.19634952 0.84316564]]]]"
4,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_6.jpg,"[[[[0.8395639  0.5366374  0.7023222 ]
   [0.84791434 0.5572313  0.6358665 ]
   [0.8476854  0.5577418  0.5891942 ]
   [0.82439417 0.59848654 0.7353053 ]
   [0.8244363  0.5945061  0.473919  ]
   [0.77949274 0.57333314 0.7570891 ]
   [0.7873669  0.57270455 0.6088745 ]
   [0.8658746  0.6000202  0.34146455]
   [0.89333564 0.6038505  0.36256638]
   [0.8776093  0.6968959  0.63463587]
   [0.8947305  0.718302   0.5508453 ]
   [0.5271421  0.45504647 0.8598203 ]
   [0.5251914  0.45469868 0.87403893]
   [0.7163194  0.31476232 0.8977913 ]
   [0.71763194 0.31033123 0.85205746]
   [0.8575824  0.2113095  0.7372784 ]
   [0.8636129  0.20745374 0.786446  ]]]]"
5,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_7.jpg,"[[[[0.71543956 0.60306895 0.7193543 ]
   [0.72412074 0.6191882  0.699498  ]
   [0.72351444 0.6213081  0.4976901 ]
   [0.6966694  0.6498756  0.7816523 ]
   [0.6949058  0.6515036  0.7321668 ]
   [0.6453425  0.63683033 0.6566529 ]
   [0.6468971  0.6290123  0.73011386]
   [0.7305229  0.70605415 0.67643374]
   [0.7514932  0.7028048  0.5903207 ]
   [0.74462277 0.8130373  0.65511894]
   [0.7659091  0.82926863 0.6518624 ]
   [0.4141005  0.47173086 0.8418754 ]
   [0.41273278 0.46845803 0.9011578 ]
   [0.58817995 0.35238543 0.8139259 ]
   [0.5869953  0.346444   0.8884535 ]
   [0.72469735 0.2790109  0.84039026]
   [0.7353925  0.26426017 0.621631  ]]]]"
6,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_24.jpg,"[[[[0.56760705 0.43641317 0.4114373 ]
   [0.57819915 0.42415342 0.2975485 ]
   [0.5776372  0.4232047  0.27394375]
   [0.5759797  0.42093012 0.24611586]
   [0.5754938  0.4162522  0.28378525]
   [0.5451326  0.45570025 0.6572797 ]
   [0.53294307 0.44586885 0.63512033]
   [0.6281038  0.4831275  0.24263962]
   [0.5267588  0.45225495 0.3268596 ]
   [0.6480802  0.4687054  0.25819197]
   [0.5424343  0.42586756 0.10757327]
   [0.40733317 0.5817443  0.59481937]
   [0.39329147 0.59226346 0.7660818 ]
   [0.53444576 0.68044424 0.6987703 ]
   [0.53744143 0.4648204  0.5642797 ]
   [0.6280726  0.7457152  0.7590383 ]
   [0.64492595 0.48027867 0.282581  ]]]]"
7,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_14.jpg,"[[[[0.6684384  0.43263626 0.630235  ]
   [0.66662365 0.41150412 0.5219278 ]
   [0.6672904  0.4093845  0.63471466]
   [0.63135266 0.40068787 0.4357179 ]
   [0.62973565 0.39782387 0.7026372 ]
   [0.5874514  0.43949777 0.6445087 ]
   [0.5770785  0.4394728  0.70568407]
   [0.7112887  0.44636488 0.819466  ]
   [0.6856173  0.4466185  0.6301197 ]
   [0.70557934 0.33740464 0.6201637 ]
   [0.6849053  0.35364482 0.46701545]
   [0.3660533  0.5422774  0.8529059 ]
   [0.36173448 0.5473366  0.8703933 ]
   [0.5265327  0.6570138  0.8928896 ]
   [0.5197815  0.65232193 0.87751555]
   [0.66086054 0.7615171  0.8537117 ]
   [0.645034   0.7513478  0.6629172 ]]]]"
8,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_29.jpg,"[[[[0.6439942  0.5778917  0.6468726 ]
   [0.64303255 0.59844714 0.5350235 ]
   [0.64075005 0.5997811  0.4732414 ]
   [0.62272626 0.61446214 0.56496304]
   [0.6196815  0.6136367  0.6553337 ]
   [0.59362507 0.5680062  0.5408684 ]
   [0.5904729  0.58042616 0.6632089 ]
   [0.65970105 0.63092613 0.5281031 ]
   [0.6708881  0.6450472  0.7109274 ]
   [0.6781124  0.7043885  0.4973723 ]
   [0.68534076 0.6812499  0.42277288]
   [0.4023898  0.4348327  0.81891596]
   [0.40369028 0.43578842 0.8302668 ]
   [0.52424204 0.32283098 0.8182945 ]
   [0.5237819  0.32147577 0.7247587 ]
   [0.63846    0.19093862 0.8209085 ]
   [0.6390307  0.18966605 0.7982294 ]]]]"
9,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_36.jpg,"[[[[0.65820175 0.32167444 0.6725307 ]
   [0.65371287 0.303177   0.7280425 ]
   [0.65376055 0.30049527 0.69799334]
   [0.6151769  0.30057514 0.722947  ]
   [0.61573124 0.29665527 0.6771064 ]
   [0.58764064 0.34811854 0.81907326]
   [0.5807499  0.34046212 0.80842245]
   [0.6998641  0.298214   0.8323295 ]
   [0.67652684 0.30951875 0.6162598 ]
   [0.6941834  0.21782939 0.75647515]
   [0.67808574 0.22310756 0.65183705]
   [0.3752837  0.48930928 0.8813103 ]
   [0.37343845 0.49316445 0.863367  ]
   [0.5368053  0.5978876  0.87128663]
   [0.53242433 0.59923506 0.827705  ]
   [0.67559844 0.7226137  0.7892517 ]
   [0.65608084 0.7156343  0.828526  ]]]]"
10,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_32.jpg,"[[[[0.702172   0.6384618  0.43486473]
   [0.69484514 0.66329706 0.72150654]
   [0.6959588  0.66421354 0.71485484]
   [0.6435802  0.6812236  0.8649391 ]
   [0.64161724 0.6810697  0.7953885 ]
   [0.5918056  0.6386452  0.74309546]
   [0.5971721  0.63931596 0.84607416]
   [0.72684234 0.67094356 0.6829244 ]
   [0.7577715  0.6849759  0.8909593 ]
   [0.75333774 0.8067134  0.51209533]
   [0.7711036  0.82343805 0.8511851 ]
   [0.31257764 0.46544978 0.90724385]
   [0.3132998  0.46492428 0.88066655]
   [0.5320893  0.29075876 0.7274873 ]
   [0.53414345 0.27996722 0.8284186 ]
   [0.69404507 0.14581993 0.85105085]
   [0.7045859  0.11003584 0.9038013 ]]]]"
11,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_39.jpg,"[[[[0.35451797 0.22478825 0.04666539]
   [0.32466528 0.19964084 0.02012123]
   [0.32510394 0.2006476  0.03231964]
   [0.25482476 0.3059834  0.0460141 ]
   [0.2545474  0.3086605  0.06437913]
   [0.3155568  0.18839148 0.15246598]
   [0.3163379  0.20032959 0.237282  ]
   [0.46820217 0.23300786 0.08272176]
   [0.50611156 0.26145533 0.06638582]
   [0.48043802 0.20298557 0.08144924]
   [0.54901457 0.21108904 0.20262857]
   [0.40684986 0.46302658 0.5484535 ]
   [0.42520326 0.45988598 0.62036777]
   [0.5487654  0.6483001  0.86240554]
   [0.55622476 0.641403   0.7095669 ]
   [0.6513838  0.790871   0.73770905]
   [0.654883   0.7794756  0.7049324 ]]]]"
12,Dolphin_Pose_or_Ardha_Pincha_Mayurasana__image_21.jpg,"[[[[0.65795916 0.38274166 0.6004992 ]
   [0.6661352  0.3639421  0.73306066]
   [0.6636455  0.36567467 0.66597223]
   [0.66068023 0.334226   0.67236876]
   [0.65429825 0.33485198 0.5657099 ]
   [0.61217064 0.3389962  0.7494768 ]
   [0.59945935 0.34542945 0.7943083 ]
   [0.69681484 0.32060716 0.488658  ]
   [0.6701002  0.32981592 0.39705205]
   [0.68334836 0.24526264 0.434684  ]
   [0.6694674  0.28189126 0.29589912]
   [0.4352424  0.4763176  0.7586039 ]
   [0.4293636  0.47301704 0.6607993 ]
   [0.54869664 0.5829227  0.62485987]
   [0.5444147  0.5857701  0.5997206 ]
   [0.6311957  0.6948622  0.75330144]
   [0.62415373 0.6751188  0.45091256]]]]"
