,image,score
0,Eight-Angle_Pose_or_Astavakrasana__image_78.jpg,"[[[[0.49834982 0.46805283 0.53430706]
   [0.47184005 0.49562135 0.42051777]
   [0.4748609  0.4473914  0.61897004]
   [0.45437825 0.50666744 0.66966623]
   [0.44146135 0.40917373 0.7501023 ]
   [0.46963295 0.53802073 0.6866728 ]
   [0.4547309  0.3025667  0.71563417]
   [0.5741443  0.6242254  0.6101239 ]
   [0.58211035 0.2215254  0.9115357 ]
   [0.6969389  0.6148622  0.7504585 ]
   [0.73752105 0.24801011 0.73769456]
   [0.5399549  0.48319864 0.5445177 ]
   [0.5632422  0.3795963  0.5670239 ]
   [0.50891227 0.65113986 0.39327642]
   [0.5620819  0.624287   0.36668944]
   [0.6088855  0.8779038  0.4190215 ]
   [0.583082   0.62180877 0.27543843]]]]"
1,Eight-Angle_Pose_or_Astavakrasana__image_73.jpg,"[[[[0.42481875 0.7038603  0.7518892 ]
   [0.40192306 0.7227976  0.8162612 ]
   [0.3994944  0.68448967 0.8199185 ]
   [0.40097225 0.74910295 0.5952974 ]
   [0.3936265  0.6601243  0.77780247]
   [0.45150557 0.8228944  0.66912943]
   [0.4438085  0.6235804  0.6944112 ]
   [0.5013699  0.8384347  0.6745767 ]
   [0.5198935  0.5339874  0.5225976 ]
   [0.6074807  0.83716697 0.8962577 ]
   [0.62286824 0.5586145  0.6606301 ]
   [0.56987333 0.7137181  0.51287067]
   [0.5308163  0.60787416 0.33704433]
   [0.5234698  0.54365677 0.31553456]
   [0.49145126 0.4857785  0.3645673 ]
   [0.54632324 0.34504724 0.47921807]
   [0.5476622  0.33629587 0.54845554]]]]"
2,Eight-Angle_Pose_or_Astavakrasana__image_54.jpg,"[[[[0.38982946 0.6185512  0.6748644 ]
   [0.35398838 0.6509887  0.8474959 ]
   [0.34548116 0.58446985 0.77319336]
   [0.3591703  0.68427455 0.6480075 ]
   [0.34238264 0.540611   0.7379096 ]
   [0.45546576 0.6727551  0.509043  ]
   [0.3890397  0.50911814 0.70626915]
   [0.60693955 0.6505439  0.35332942]
   [0.5383933  0.43425748 0.19310199]
   [0.6695212  0.64751667 0.43769422]
   [0.6352771  0.36918008 0.12646498]
   [0.5724854  0.48520812 0.20637353]
   [0.5217596  0.3954698  0.25326854]
   [0.5903555  0.5519173  0.333159  ]
   [0.42985332 0.3751929  0.21095909]
   [0.51492655 0.21367377 0.4704926 ]
   [0.4362555  0.18195719 0.24228643]]]]"
3,Eight-Angle_Pose_or_Astavakrasana__image_47.jpg,"[[[[0.43816566 0.31273988 0.7169045 ]
   [0.4034339  0.33610326 0.7158866 ]
   [0.4058892  0.28379923 0.6479334 ]
   [0.3848352  0.37337798 0.61410683]
   [0.40099263 0.24909279 0.7676432 ]
   [0.40126088 0.45716286 0.54770887]
   [0.42533374 0.19160402 0.73078966]
   [0.48973945 0.59025055 0.4786696 ]
   [0.4530105  0.17423072 0.7625958 ]
   [0.60842884 0.57920873 0.11532647]
   [0.6080776  0.19072643 0.81122863]
   [0.5001229  0.4995817  0.50956494]
   [0.53801626 0.39207286 0.41611758]
   [0.4534378  0.6533559  0.4208776 ]
   [0.53418064 0.60203534 0.5153126 ]
   [0.5565514  0.8267596  0.77360207]
   [0.57579887 0.8074833  0.47264668]]]]"
4,Eight-Angle_Pose_or_Astavakrasana__image_94.jpg,"[[[[0.45415914 0.7531139  0.79662436]
   [0.41682184 0.78122354 0.82559323]
   [0.41462237 0.7200668  0.88560134]
   [0.42486927 0.8093921  0.69561327]
   [0.42543426 0.664559   0.7578488 ]
   [0.5134313  0.89558166 0.8381486 ]
   [0.44566318 0.56986636 0.7707198 ]
   [0.54599243 0.9400759  0.55834544]
   [0.56045246 0.4419057  0.35949045]
   [0.707841   0.8883656  0.950845  ]
   [0.721618   0.4712064  0.6971123 ]
   [0.6306122  0.6494998  0.5683428 ]
   [0.5495918  0.5518492  0.70832866]
   [0.5785412  0.45826307 0.26366264]
   [0.46753478 0.3876949  0.50938034]
   [0.54904056 0.18441905 0.60061896]
   [0.5483912  0.15817825 0.597173  ]]]]"
5,Eight-Angle_Pose_or_Astavakrasana__image_34.jpg,"[[[[0.52459884 0.5294547  0.66202927]
   [0.5033396  0.5495727  0.6776341 ]
   [0.5054526  0.5101845  0.6399366 ]
   [0.47575402 0.58008164 0.59582865]
   [0.47748357 0.48600253 0.55013895]
   [0.4666388  0.63971674 0.59876686]
   [0.43562534 0.45481175 0.42228976]
   [0.47448358 0.73254776 0.7812446 ]
   [0.4917246  0.38897362 0.490681  ]
   [0.5984908  0.68879443 0.6791911 ]
   [0.5929424  0.41534674 0.7292752 ]
   [0.49164602 0.6022532  0.4193242 ]
   [0.46438944 0.5013821  0.23924448]
   [0.4690193  0.7121475  0.3104677 ]
   [0.4756774  0.4055925  0.36806375]
   [0.52426434 0.6379537  0.04845814]
   [0.48850745 0.22602192 0.80403256]]]]"
6,Eight-Angle_Pose_or_Astavakrasana__image_123.jpg,"[[[[0.70655036 0.58280426 0.49948886]
   [0.7011776  0.6106836  0.3388025 ]
   [0.689521   0.5848624  0.45547155]
   [0.70754206 0.6354845  0.4598744 ]
   [0.6860269  0.5856361  0.53889954]
   [0.7176426  0.6300007  0.22163597]
   [0.6788537  0.54293776 0.6642809 ]
   [0.72314835 0.66206217 0.3792988 ]
   [0.7140579  0.4506413  0.4399207 ]
   [0.78248805 0.6603764  0.41117266]
   [0.78886664 0.4551592  0.54923594]
   [0.72610587 0.4566714  0.23563349]
   [0.71096313 0.4344608  0.33765024]
   [0.71311635 0.41637886 0.14752142]
   [0.6928077  0.35060817 0.23343049]
   [0.6854016  0.32321584 0.47456205]
   [0.6806454  0.3216886  0.34827358]]]]"
7,Eight-Angle_Pose_or_Astavakrasana__image_5.jpg,"[[[[0.7132631  0.6098059  0.5644469 ]
   [0.6979819  0.6329204  0.61691266]
   [0.68971485 0.5968996  0.6702047 ]
   [0.6998287  0.66582453 0.58788806]
   [0.671638   0.58316606 0.5866839 ]
   [0.74197036 0.70907193 0.6869843 ]
   [0.676836   0.5387624  0.7000219 ]
   [0.80310285 0.7187301  0.52051014]
   [0.77464324 0.4303282  0.25302613]
   [0.8900762  0.7170883  0.7151791 ]
   [0.8255235  0.44505635 0.12897182]
   [0.82026494 0.53222173 0.23960988]
   [0.755616   0.46106642 0.21007277]
   [0.81942934 0.40209258 0.2741245 ]
   [0.81139654 0.24148244 0.6420778 ]
   [0.79460144 0.26481798 0.39102986]
   [0.7754864  0.310525   0.19068213]]]]"
8,Eight-Angle_Pose_or_Astavakrasana__image_80.jpg,"[[[[0.46899447 0.5961705  0.744244  ]
   [0.4377804  0.6273651  0.78800637]
   [0.4329409  0.5753709  0.865505  ]
   [0.40304798 0.6682314  0.73101705]
   [0.39983135 0.54068905 0.7902441 ]
   [0.44566622 0.75462276 0.66221005]
   [0.41656202 0.5105942  0.5834821 ]
   [0.5358296  0.92194647 0.9201963 ]
   [0.47370914 0.35978994 0.6501182 ]
   [0.7038165  0.8993569  0.88287467]
   [0.6960761  0.39455304 0.79272765]
   [0.59371996 0.6629659  0.5988353 ]
   [0.49413097 0.5538828  0.33743367]
   [0.5778833  0.40800384 0.37565303]
   [0.5382147  0.3598992  0.3568285 ]
   [0.5590229  0.15619498 0.74040455]
   [0.5599547  0.1599647  0.5153921 ]]]]"
9,Eight-Angle_Pose_or_Astavakrasana__image_1.jpg,"[[[[0.49096504 0.64768094 0.67062545]
   [0.4887059  0.67790693 0.639233  ]
   [0.45750847 0.6594712  0.61348325]
   [0.52100146 0.76571935 0.72539204]
   [0.44497174 0.7032467  0.4618194 ]
   [0.5661138  0.8272758  0.7960245 ]
   [0.4395174  0.61957204 0.52630395]
   [0.6277342  0.793956   0.6245778 ]
   [0.5437781  0.3855109  0.3968547 ]
   [0.73984575 0.77437395 0.91965467]
   [0.73285866 0.47501674 0.46836436]
   [0.6169098  0.5618267  0.6477045 ]
   [0.51661754 0.51908296 0.679568  ]
   [0.6335037  0.4208342  0.6196022 ]
   [0.581854   0.3438395  0.43569422]
   [0.660846   0.19178692 0.75785184]
   [0.6381712  0.16201726 0.39957577]]]]"
