,image,score
0,Extended_Puppy_Pose_or_Uttana_Shishosana__image_48.jpg,"[[[[0.6343175  0.32862437 0.6178218 ]
   [0.629254   0.30670744 0.60925764]
   [0.6287984  0.30520913 0.61027735]
   [0.58655655 0.30832747 0.6063299 ]
   [0.58656126 0.30067885 0.6717719 ]
   [0.54996383 0.3525614  0.72064537]
   [0.54175407 0.35374856 0.80434275]
   [0.6459958  0.23369414 0.67020136]
   [0.6094056  0.2421585  0.6202365 ]
   [0.65306735 0.11907139 0.6345002 ]
   [0.6222373  0.12807748 0.49018887]
   [0.4111836  0.58185506 0.7222481 ]
   [0.40797818 0.5841015  0.69685936]
   [0.6284588  0.65401894 0.8492269 ]
   [0.61704767 0.65334284 0.83924633]
   [0.63509446 0.85747236 0.7620108 ]
   [0.62872845 0.8343857  0.7599887 ]]]]"
1,Extended_Puppy_Pose_or_Uttana_Shishosana__image_12.jpg,"[[[[0.63442975 0.6568706  0.5708966 ]
   [0.6223284  0.66500485 0.6088256 ]
   [0.6269634  0.66454977 0.4450523 ]
   [0.59555286 0.6369257  0.44402364]
   [0.59817076 0.63564175 0.5387482 ]
   [0.5755165  0.5898184  0.67579085]
   [0.5926418  0.5807655  0.7061604 ]
   [0.6162596  0.7280755  0.62679946]
   [0.661205   0.73100394 0.7714753 ]
   [0.62341654 0.8524674  0.58241475]
   [0.6571859  0.8810822  0.71651435]
   [0.41833618 0.33747113 0.75638694]
   [0.4217686  0.33534646 0.8514355 ]
   [0.64370763 0.33688107 0.7169952 ]
   [0.6639489  0.32739836 0.9504272 ]
   [0.61781055 0.14779057 0.79672027]
   [0.6397211  0.13300616 0.8442878 ]]]]"
2,Extended_Puppy_Pose_or_Uttana_Shishosana__image_16.jpg,"[[[[0.38732678 0.58474714 0.0181301 ]
   [0.370253   0.51330036 0.02328792]
   [0.38685253 0.5820476  0.00869753]
   [0.36793894 0.49094713 0.02089752]
   [0.39558798 0.5412929  0.01536658]
   [0.38162288 0.47103626 0.04582324]
   [0.33392763 0.58709866 0.15207726]
   [0.552667   0.6104515  0.05207134]
   [0.35154524 0.61994934 0.04355033]
   [0.328585   0.55699885 0.09148186]
   [0.35006002 0.5990544  0.05425918]
   [0.45651504 0.5500372  0.0457916 ]
   [0.47198582 0.6148603  0.06051328]
   [0.5565921  0.61684096 0.23316446]
   [0.56000805 0.62542284 0.1230104 ]
   [0.54763156 0.824379   0.1713697 ]
   [0.54989284 0.81674564 0.23788035]]]]"
3,Extended_Puppy_Pose_or_Uttana_Shishosana__image_11.jpg,"[[[[0.64909273 0.39088637 0.448349  ]
   [0.6453808  0.38441142 0.5370859 ]
   [0.64169663 0.38675424 0.36472967]
   [0.6477829  0.39528602 0.5105681 ]
   [0.64260733 0.39710933 0.37890658]
   [0.6525431  0.41066554 0.53888494]
   [0.63264763 0.4211728  0.60510296]
   [0.67834485 0.3365984  0.4592925 ]
   [0.6558876  0.34814185 0.38167736]
   [0.69614995 0.24787116 0.7256898 ]
   [0.6798519  0.26247212 0.52257013]
   [0.5103188  0.5589735  0.67917556]
   [0.513316   0.56138605 0.59121037]
   [0.6802059  0.5859041  0.8176057 ]
   [0.66883266 0.5879902  0.68359697]
   [0.67749894 0.7259936  0.8115002 ]
   [0.66527545 0.70622814 0.41713017]]]]"
4,Extended_Puppy_Pose_or_Uttana_Shishosana__image_1.jpg,"[[[[0.3474462  0.30613306 0.16699773]
   [0.33284965 0.30505612 0.18846951]
   [0.3299672  0.29903844 0.14941074]
   [0.29979253 0.34759963 0.50847435]
   [0.29889297 0.34506842 0.3038132 ]
   [0.31042966 0.41414973 0.603669  ]
   [0.27465254 0.40353844 0.68311787]
   [0.36243784 0.26375744 0.5495144 ]
   [0.33045292 0.27684265 0.37431246]
   [0.37416014 0.1411967  0.49780023]
   [0.32097325 0.1783105  0.408804  ]
   [0.15135816 0.63209295 0.7070145 ]
   [0.14489119 0.6268444  0.67160285]
   [0.34770745 0.70524484 0.81373733]
   [0.3153427  0.6952524  0.740952  ]
   [0.33959115 0.8967452  0.7236542 ]
   [0.3149277  0.8694215  0.52292097]]]]"
5,Extended_Puppy_Pose_or_Uttana_Shishosana__image_29.jpg,"[[[[0.65955174 0.77231133 0.6693933 ]
   [0.6439631  0.7683771  0.5288597 ]
   [0.64461637 0.7686604  0.5919147 ]
   [0.62581956 0.7138216  0.57843876]
   [0.62505704 0.715345   0.68906754]
   [0.63049626 0.6525456  0.77166575]
   [0.63791156 0.6479569  0.6667609 ]
   [0.67868435 0.8437265  0.8293995 ]
   [0.68673986 0.8459409  0.6623138 ]
   [0.69276625 0.9856144  0.3714685 ]
   [0.7035288  0.9930643  0.15410955]
   [0.42131448 0.36155584 0.5643076 ]
   [0.41699153 0.36301085 0.7923013 ]
   [0.66968066 0.28669786 0.8282212 ]
   [0.6758543  0.285775   0.7855012 ]
   [0.6349802  0.04200194 0.78036976]
   [0.6417237  0.03102315 0.7535428 ]]]]"
6,Extended_Puppy_Pose_or_Uttana_Shishosana__image_8.jpg,"[[[[0.6881853  0.7185799  0.51471096]
   [0.67589986 0.7175328  0.60122573]
   [0.67591065 0.71798766 0.53475577]
   [0.65154207 0.6911716  0.5936395 ]
   [0.65058976 0.6864111  0.37431023]
   [0.6562798  0.65972304 0.35724822]
   [0.66222656 0.65946674 0.52802026]
   [0.702497   0.7461417  0.47965935]
   [0.7098414  0.7409372  0.44947097]
   [0.6924849  0.8256382  0.29926813]
   [0.7077366  0.8420611  0.31080377]
   [0.5419221  0.45556772 0.76854336]
   [0.54088795 0.4572312  0.8115247 ]
   [0.70881194 0.4426916  0.8237387 ]
   [0.72147447 0.43677545 0.66995925]
   [0.69306797 0.29087073 0.7613939 ]
   [0.7015593  0.28413567 0.7929996 ]]]]"
7,Extended_Puppy_Pose_or_Uttana_Shishosana__image_2.jpg,"[[[[0.76684994 0.28707653 0.55109584]
   [0.74944615 0.26960433 0.55755603]
   [0.7477739  0.2686367  0.642605  ]
   [0.71164715 0.3022745  0.8071395 ]
   [0.7084619  0.30069813 0.8161985 ]
   [0.7138472  0.366026   0.8312832 ]
   [0.68923783 0.36694598 0.7504466 ]
   [0.7675059  0.21926595 0.73055196]
   [0.7282828  0.23547405 0.434214  ]
   [0.788575   0.10154237 0.7822602 ]
   [0.73912644 0.127944   0.6525406 ]
   [0.57096225 0.57715094 0.8169993 ]
   [0.5629027  0.57396805 0.8108135 ]
   [0.7404714  0.7098026  0.86715674]
   [0.7045162  0.7076499  0.6650237 ]
   [0.71850556 0.89386    0.7766066 ]
   [0.6921801  0.8647928  0.79724526]]]]"
8,Extended_Puppy_Pose_or_Uttana_Shishosana__image_49.jpg,"[[[[0.5293457  0.29106513 0.7250787 ]
   [0.51062936 0.28621387 0.72188145]
   [0.5087542  0.28669912 0.7226471 ]
   [0.49530408 0.32295862 0.78328866]
   [0.48986936 0.32608688 0.6948302 ]
   [0.50980383 0.35256281 0.8123514 ]
   [0.48881903 0.37976077 0.6906163 ]
   [0.55107707 0.2164737  0.8515019 ]
   [0.5213152  0.25056314 0.5920865 ]
   [0.5597722  0.10591826 0.67156607]
   [0.52951497 0.14132723 0.42011985]
   [0.34346995 0.57417965 0.6461796 ]
   [0.3448158  0.58512044 0.80085355]
   [0.55770534 0.63839155 0.837999  ]
   [0.5336088  0.64762175 0.7702183 ]
   [0.5431191  0.84690297 0.77793676]
   [0.5283735  0.8341951  0.80866355]]]]"
9,Extended_Puppy_Pose_or_Uttana_Shishosana__image_27.jpg,"[[[[0.61629874 0.37117872 0.5300565 ]
   [0.6154585  0.34620595 0.6634857 ]
   [0.61455506 0.34303668 0.5474329 ]
   [0.5706724  0.33362675 0.7492382 ]
   [0.56861717 0.32705954 0.68850684]
   [0.5256643  0.39880848 0.80377406]
   [0.5076014  0.38392273 0.77089924]
   [0.61490715 0.24818864 0.8266906 ]
   [0.5752275  0.25210303 0.66779816]
   [0.64458585 0.09074329 0.7698548 ]
   [0.61619306 0.10786252 0.495922  ]
   [0.36612818 0.6954271  0.91098225]
   [0.36135206 0.6744927  0.84960884]
   [0.623519   0.6690524  0.84314525]
   [0.5909843  0.63994753 0.82712483]
   [0.5877047  0.8996603  0.84371215]
   [0.5648854  0.83655167 0.84589136]]]]"
