,image,score
0,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana__image_128.jpg,"[[[[0.41760272 0.31258622 0.39294145]
   [0.4037325  0.31882071 0.47053725]
   [0.41374564 0.30195045 0.43578985]
   [0.38616806 0.33505005 0.5552941 ]
   [0.4123724  0.3000258  0.2793343 ]
   [0.39937982 0.3778939  0.46167555]
   [0.45849687 0.31413305 0.49895364]
   [0.40542915 0.39203298 0.21238849]
   [0.4602121  0.28902134 0.15899505]
   [0.40784055 0.37500703 0.14159523]
   [0.4302698  0.29273626 0.1850866 ]
   [0.45127767 0.4591315  0.40493026]
   [0.46608913 0.41397884 0.3469567 ]
   [0.44463268 0.41122735 0.2293886 ]
   [0.4769606  0.37227118 0.17795183]
   [0.4687687  0.43709153 0.2218783 ]
   [0.47491774 0.4297025  0.26213738]]]]"
1,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana__image_14.jpg,"[[[[0.4055686  0.5459754  0.39024165]
   [0.4032906  0.55427665 0.581551  ]
   [0.39746425 0.5494087  0.621537  ]
   [0.42207012 0.5467346  0.47560573]
   [0.4120433  0.54150873 0.49624965]
   [0.4563677  0.51766706 0.60065   ]
   [0.40306866 0.51741165 0.5441691 ]
   [0.5065228  0.5153041  0.26221913]
   [0.35508707 0.5243412  0.46112728]
   [0.58225137 0.49992922 0.5263927 ]
   [0.30391723 0.58751196 0.6612064 ]
   [0.47749242 0.3640908  0.42464116]
   [0.44118944 0.37977642 0.34395933]
   [0.4999003  0.50425607 0.08811709]
   [0.5208983  0.296956   0.27041113]
   [0.5880585  0.21103336 0.3689896 ]
   [0.58994186 0.21073528 0.323903  ]]]]"
2,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana__image_3.jpg,"[[[[0.41102916 0.34985492 0.75435954]
   [0.3908876  0.3504519  0.6340961 ]
   [0.4075858  0.33537582 0.6861342 ]
   [0.38624635 0.38488048 0.8865951 ]
   [0.42064136 0.3542783  0.74303454]
   [0.39309144 0.42499578 0.5230076 ]
   [0.49604982 0.3948504  0.7951267 ]
   [0.30897093 0.3632481  0.5477118 ]
   [0.59843105 0.40537047 0.61452615]
   [0.27023926 0.28373033 0.6135401 ]
   [0.6989434  0.41876146 0.49448022]
   [0.5150255  0.6069459  0.78893286]
   [0.5502348  0.5643483  0.68296933]
   [0.61843306 0.7825026  0.868643  ]
   [0.5575922  0.43283704 0.7149572 ]
   [0.68682843 0.94102716 0.7603953 ]
   [0.70792747 0.43134004 0.72674626]]]]"
3,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana__image_158.jpg,"[[[[0.26579392 0.45576736 0.51601094]
   [0.2537952  0.4471421  0.75439566]
   [0.2774092  0.4357027  0.76088977]
   [0.26765716 0.45603576 0.7532529 ]
   [0.32367563 0.4382064  0.7289887 ]
   [0.2655179  0.5401226  0.85721   ]
   [0.4101675  0.4810541  0.87342376]
   [0.25378254 0.64255744 0.9265109 ]
   [0.54399496 0.49243638 0.85264033]
   [0.35168096 0.7088044  0.66020143]
   [0.6893369  0.4821719  0.71842086]
   [0.46091372 0.71846867 0.82036966]
   [0.4962951  0.64872944 0.7880962 ]
   [0.59534127 0.846538   0.8721391 ]
   [0.52634615 0.47362852 0.70189524]
   [0.72830164 0.9824446  0.76159734]
   [0.71794224 0.48405507 0.6888739 ]]]]"
4,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana__image_55.jpg,"[[[[0.3541478  0.34390432 0.67020404]
   [0.3549985  0.3166051  0.75662607]
   [0.34263447 0.3358717  0.74893945]
   [0.3940211  0.29639992 0.55076015]
   [0.36886513 0.33887556 0.39190057]
   [0.5235496  0.29174128 0.7060782 ]
   [0.39394626 0.40377796 0.71983004]
   [0.6939356  0.289069   0.6484284 ]
   [0.2506207  0.37561572 0.49185404]
   [0.71769977 0.32890195 0.34503308]
   [0.09686535 0.24824265 0.6251366 ]
   [0.65898097 0.4781484  0.7816329 ]
   [0.633233   0.5737605  0.87125033]
   [0.71652997 0.26112977 0.8322041 ]
   [0.7595715  0.72981423 0.9168933 ]
   [0.9491505  0.2187971  0.61332214]
   [0.8730182  0.89480376 0.6854455 ]]]]"
5,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana__image_129.jpg,"[[[[0.3346324  0.66791844 0.8064112 ]
   [0.3502145  0.681125   0.6815332 ]
   [0.33088264 0.6728867  0.6658656 ]
   [0.39062336 0.6866381  0.42953056]
   [0.35609144 0.6726002  0.6516995 ]
   [0.45363292 0.6625841  0.812098  ]
   [0.33298445 0.6134862  0.75237465]
   [0.547968   0.651033   0.60680133]
   [0.25657174 0.67414886 0.6019098 ]
   [0.563088   0.63151705 0.2646889 ]
   [0.20301066 0.72920984 0.6793294 ]
   [0.5191709  0.535617   0.59317017]
   [0.4822522  0.45569178 0.7426117 ]
   [0.58138204 0.6501845  0.84201264]
   [0.60814166 0.35091892 0.8215072 ]
   [0.7032945  0.65410984 0.8243782 ]
   [0.708675   0.28272    0.8065125 ]]]]"
6,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana__image_34.jpg,"[[[[0.46625987 0.32914704 0.52344346]
   [0.45306858 0.32511756 0.44251472]
   [0.47637397 0.31040996 0.41618565]
   [0.46641976 0.33434665 0.3673125 ]
   [0.5155169  0.31377694 0.43919754]
   [0.45092398 0.3803713  0.628794  ]
   [0.5939577  0.33795324 0.55377626]
   [0.34251195 0.3737104  0.71295255]
   [0.7066906  0.31409824 0.6376434 ]
   [0.23125432 0.35542184 0.75911266]
   [0.8594285  0.30788627 0.5839211 ]
   [0.63040763 0.5381116  0.5808976 ]
   [0.65353554 0.4446373  0.6492556 ]
   [0.7444368  0.61168075 0.5778476 ]
   [0.69791305 0.3420281  0.5639814 ]
   [0.8637201  0.70560145 0.6041977 ]
   [0.88827324 0.3196205  0.5068696 ]]]]"
7,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana__image_100.jpg,"[[[[0.42162204 0.40760118 0.44294143]
   [0.40871006 0.40444583 0.52295667]
   [0.42205498 0.39144483 0.45437956]
   [0.40693927 0.3991565  0.64772725]
   [0.4309602  0.37376896 0.50238746]
   [0.4178788  0.43399358 0.47190478]
   [0.48826587 0.37973827 0.6723292 ]
   [0.34032246 0.40452123 0.50179124]
   [0.5633074  0.39195886 0.67621934]
   [0.29607546 0.3352417  0.64555466]
   [0.5881712  0.42521253 0.44172367]
   [0.5317047  0.5474391  0.79760516]
   [0.5556232  0.4878073  0.5220216 ]
   [0.6394977  0.6454475  0.9015472 ]
   [0.5923645  0.38793263 0.89119226]
   [0.71861035 0.7334832  0.8317454 ]
   [0.71943235 0.3990869  0.89167553]]]]"
8,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana__image_147.jpg,"[[[[0.43155536 0.58580035 0.66224897]
   [0.43871972 0.60256183 0.53018117]
   [0.42150235 0.5926472  0.51205957]
   [0.46739435 0.61384887 0.50508565]
   [0.43450585 0.5924987  0.448329  ]
   [0.5252215  0.57421607 0.66528475]
   [0.42513302 0.55764365 0.5940803 ]
   [0.6193978  0.56249017 0.45719638]
   [0.3605961  0.6178659  0.4940946 ]
   [0.6956607  0.56777716 0.5358721 ]
   [0.33912703 0.7019225  0.38147655]
   [0.58080703 0.42005503 0.54905665]
   [0.52823126 0.37820706 0.49967727]
   [0.66823417 0.3055383  0.19611086]
   [0.6444645  0.27385652 0.470525  ]
   [0.7048699  0.23262782 0.17796093]
   [0.704793   0.21085687 0.42549497]]]]"
9,Extended_Revolved_Side_Angle_Pose_or_Utthita_Parsvakonasana__image_74.jpg,"[[[[0.44404474 0.35330984 0.8652612 ]
   [0.42489672 0.357744   0.67338485]
   [0.44312778 0.33783492 0.7523974 ]
   [0.41791394 0.38776323 0.66869086]
   [0.4604603  0.35262808 0.7698295 ]
   [0.4120635  0.44062474 0.4935216 ]
   [0.529683   0.39289084 0.84377766]
   [0.33937544 0.3547886  0.45906094]
   [0.63264626 0.4096916  0.7976511 ]
   [0.3152138  0.2854746  0.53597635]
   [0.72406876 0.4233685  0.60855985]
   [0.5522772  0.62102795 0.69460535]
   [0.59703034 0.56025445 0.74224484]
   [0.6498613  0.7787144  0.9145425 ]
   [0.57830334 0.42656904 0.51055926]
   [0.7184566  0.93563366 0.7263363 ]
   [0.73459476 0.42801636 0.657779  ]]]]"
