,image,score
0,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana__image_181.jpg,"[[[[0.42506546 0.31250697 0.68868786]
   [0.40509003 0.30768725 0.6631576 ]
   [0.4327972  0.2955113  0.765093  ]
   [0.39470255 0.31512544 0.6598673 ]
   [0.46029735 0.29714188 0.7498617 ]
   [0.3780175  0.37076908 0.621072  ]
   [0.5195337  0.34112468 0.6974038 ]
   [0.2681146  0.38485456 0.841681  ]
   [0.62530726 0.33234978 0.8542536 ]
   [0.15965183 0.38601047 0.8514971 ]
   [0.72323763 0.29874963 0.89243   ]
   [0.49452347 0.566894   0.91890234]
   [0.53466624 0.49325886 0.89338535]
   [0.647611   0.6613588  0.8900775 ]
   [0.6632152  0.38728178 0.8119036 ]
   [0.77487034 0.76210135 0.7382192 ]
   [0.7756108  0.30906117 0.7582425 ]]]]"
1,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana__image_193.jpg,"[[[[0.5059097  0.5243307  0.49417531]
   [0.4918563  0.5197011  0.47159982]
   [0.5043191  0.5131992  0.39325768]
   [0.47864205 0.53400373 0.5954949 ]
   [0.5009119  0.51732117 0.39032975]
   [0.47181866 0.5479328  0.49273914]
   [0.5293012  0.55826634 0.5025727 ]
   [0.5178657  0.55761755 0.10389227]
   [0.6057933  0.5502119  0.5018965 ]
   [0.32707855 0.59949607 0.60553324]
   [0.68082327 0.5556106  0.4580554 ]
   [0.47638172 0.6887432  0.5358651 ]
   [0.5064035  0.6973363  0.6667669 ]
   [0.5990581  0.75113857 0.42037717]
   [0.6088359  0.65017444 0.40887073]
   [0.7326565  0.79296654 0.6494147 ]
   [0.69648504 0.57097256 0.43187326]]]]"
2,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana__image_154.jpg,"[[[[0.4289076  0.3393231  0.74058634]
   [0.43640286 0.3281868  0.6161023 ]
   [0.44781667 0.3274413  0.644224  ]
   [0.46227574 0.34249824 0.5437872 ]
   [0.47968566 0.34696713 0.5033362 ]
   [0.4078711  0.40665033 0.71042   ]
   [0.52889764 0.40798432 0.6585327 ]
   [0.3072323  0.39462575 0.72258735]
   [0.62002015 0.41096514 0.8901827 ]
   [0.24020204 0.38574547 0.6220885 ]
   [0.71939063 0.38019982 0.8005359 ]
   [0.45840687 0.6124999  0.7435487 ]
   [0.5045882  0.56052196 0.67062545]
   [0.5958323  0.6939598  0.80113184]
   [0.639532   0.48441163 0.8456229 ]
   [0.73020333 0.7545337  0.7250877 ]
   [0.7390351  0.39614773 0.66620755]]]]"
3,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana__image_163.jpg,"[[[[0.5096265  0.30826008 0.5941763 ]
   [0.50022304 0.29455277 0.62149   ]
   [0.52636427 0.2998528  0.6175229 ]
   [0.49163356 0.30056393 0.70095533]
   [0.54845816 0.32215467 0.3863425 ]
   [0.43407407 0.33808434 0.6656626 ]
   [0.58080024 0.37269145 0.8096013 ]
   [0.3445437  0.35576373 0.85011554]
   [0.64198524 0.39986637 0.62015617]
   [0.24773195 0.35974094 0.8267973 ]
   [0.72917783 0.3517912  0.4342955 ]
   [0.49033645 0.54208297 0.90944463]
   [0.544538   0.50693953 0.79512495]
   [0.6304998  0.6390836  0.9246671 ]
   [0.6514342  0.4157173  0.860547  ]
   [0.7711415  0.7115432  0.750466  ]
   [0.7512399  0.34341586 0.6167143 ]]]]"
4,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana__image_162.jpg,"[[[[0.4476292  0.44968158 0.5533063 ]
   [0.43085837 0.44551814 0.6641906 ]
   [0.4569565  0.42932832 0.64246756]
   [0.42861748 0.44910035 0.5866383 ]
   [0.4738237  0.421903   0.5889136 ]
   [0.4188535  0.49052793 0.5495171 ]
   [0.53057975 0.46322384 0.5899822 ]
   [0.32852602 0.52905387 0.3948227 ]
   [0.6143571  0.46920127 0.7090329 ]
   [0.2759309  0.52226037 0.38463846]
   [0.7036508  0.45107394 0.5966092 ]
   [0.4955249  0.66116375 0.63373893]
   [0.542706   0.6143622  0.58599436]
   [0.6253466  0.73485637 0.81045145]
   [0.6560098  0.5317627  0.8396124 ]
   [0.7372549  0.7927446  0.8405313 ]
   [0.73633015 0.46821624 0.29415587]]]]"
5,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana__image_180.jpg,"[[[[0.32414526 0.36477453 0.71925783]
   [0.3246456  0.3533899  0.80549586]
   [0.33125135 0.348894   0.758702  ]
   [0.35313556 0.351846   0.76822835]
   [0.37115535 0.34153852 0.75762165]
   [0.34857833 0.4200521  0.6899384 ]
   [0.44520828 0.35752878 0.6377097 ]
   [0.27228886 0.4791636  0.67165965]
   [0.52940404 0.30827332 0.75056106]
   [0.20358078 0.52900964 0.8838534 ]
   [0.6037106  0.24372762 0.8913358 ]
   [0.5315621  0.5192621  0.83316386]
   [0.55498123 0.4497818  0.90045375]
   [0.67408013 0.5971313  0.92918056]
   [0.67947584 0.37009493 0.94866925]
   [0.7960131  0.66636825 0.84667844]
   [0.78792095 0.27852917 0.81878036]]]]"
6,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana__image_12.jpg,"[[[[0.4901461  0.6690414  0.5758318 ]
   [0.49903923 0.6831557  0.53867024]
   [0.48682106 0.6814083  0.6600998 ]
   [0.5372167  0.6864655  0.6125146 ]
   [0.509881   0.686445   0.6229876 ]
   [0.57863605 0.654345   0.7542373 ]
   [0.48144695 0.630774   0.7974826 ]
   [0.665121   0.66892266 0.42386016]
   [0.40367553 0.62149876 0.23454133]
   [0.7318399  0.6836727  0.6953674 ]
   [0.3267733  0.63014185 0.84217626]
   [0.57913554 0.5113097  0.6178982 ]
   [0.5112446  0.47434685 0.69518113]
   [0.6644223  0.57133585 0.60677075]
   [0.6345376  0.39455795 0.816097  ]
   [0.7428183  0.65774125 0.5110546 ]
   [0.7361248  0.34902352 0.7142926 ]]]]"
7,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana__image_16.jpg,"[[[[0.38369295 0.435573   0.5262269 ]
   [0.37919256 0.42764023 0.5301511 ]
   [0.39686978 0.424988   0.6310161 ]
   [0.38167658 0.44278365 0.71140254]
   [0.4100599  0.44601178 0.6936346 ]
   [0.338825   0.49830702 0.61227524]
   [0.45696566 0.49271092 0.64020836]
   [0.23308514 0.4944265  0.6056694 ]
   [0.55349094 0.4963876  0.48547298]
   [0.16523983 0.48486963 0.8519291 ]
   [0.6552616  0.4252411  0.29918006]
   [0.42329744 0.6681216  0.71593714]
   [0.45181337 0.6433013  0.71195626]
   [0.55342746 0.76038766 0.7764496 ]
   [0.5646009  0.5317258  0.727444  ]
   [0.6694427  0.8341195  0.479818  ]
   [0.66415584 0.43765196 0.42238837]]]]"
8,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana__image_139.jpg,"[[[[0.39371762 0.6877439  0.6936602 ]
   [0.41311538 0.70542735 0.745647  ]
   [0.4014015  0.70399094 0.7445039 ]
   [0.4689325  0.68180114 0.7354773 ]
   [0.44375443 0.6895501  0.6962115 ]
   [0.5201853  0.6238401  0.8648548 ]
   [0.40293732 0.6268801  0.57268894]
   [0.64331615 0.6379504  0.7941342 ]
   [0.36181074 0.7459939  0.6514142 ]
   [0.7556257  0.6790026  0.7056746 ]
   [0.36181912 0.85337305 0.64069283]
   [0.51502407 0.39649507 0.9171139 ]
   [0.46036685 0.36176193 0.7377684 ]
   [0.6330877  0.56696635 0.74483746]
   [0.60086584 0.21052952 0.8979954 ]
   [0.7571367  0.6802501  0.76955694]
   [0.74853134 0.08827709 0.87271345]]]]"
9,Extended_Revolved_Triangle_Pose_or_Utthita_Trikonasana__image_105.jpg,"[[[[0.5245254  0.2674477  0.7101562 ]
   [0.5301598  0.2530343  0.6819655 ]
   [0.53704435 0.25616273 0.80997264]
   [0.56132203 0.2736131  0.724195  ]
   [0.57490444 0.28447792 0.6588747 ]
   [0.5190788  0.37380722 0.45443696]
   [0.61248296 0.35595328 0.77376187]
   [0.37241644 0.3547687  0.8327599 ]
   [0.7388267  0.36536992 0.74252456]
   [0.26858258 0.356066   0.865935  ]
   [0.8382561  0.34980983 0.7802897 ]
   [0.5281779  0.586108   0.79063624]
   [0.55586785 0.55150497 0.5505317 ]
   [0.72747487 0.68702334 0.8912211 ]
   [0.74597806 0.43299997 0.6795535 ]
   [0.8774842  0.76069796 0.8731714 ]
   [0.8697027  0.34774157 0.46237713]]]]"
