,image,score
0,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_141.jpg,"[[[[0.84444547 0.4376401  0.52122897]
   [0.82741964 0.42575693 0.6931159 ]
   [0.8282899  0.4249752  0.6256207 ]
   [0.79199785 0.44900754 0.8176528 ]
   [0.79235226 0.44565073 0.8016552 ]
   [0.76954097 0.5064451  0.77161515]
   [0.7670659  0.5156108  0.86458755]
   [0.90015936 0.5245945  0.8728342 ]
   [0.878113   0.52661866 0.7921745 ]
   [0.89930934 0.41004872 0.5848245 ]
   [0.8862285  0.4170947  0.6637709 ]
   [0.53979295 0.51748616 0.65921646]
   [0.5360703  0.5137812  0.70017564]
   [0.34605807 0.4986974  0.5942789 ]
   [0.35019767 0.4916441  0.61583865]
   [0.15224096 0.48395145 0.66133296]
   [0.15250015 0.48626846 0.55038434]]]]"
1,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_114.jpg,"[[[[0.8694814  0.5409354  0.41558912]
   [0.86032265 0.55137396 0.43553627]
   [0.85908663 0.5529608  0.4611215 ]
   [0.8120726  0.5524342  0.35923195]
   [0.8117213  0.55134714 0.36951402]
   [0.7860117  0.47108492 0.58848256]
   [0.7676565  0.47969174 0.5460415 ]
   [0.8902127  0.4534155  0.24426582]
   [0.8667613  0.45930806 0.1635434 ]
   [0.9348228  0.53393376 0.15286852]
   [0.9550028  0.5248557  0.12315784]
   [0.57433474 0.44040608 0.51121044]
   [0.57521313 0.43827203 0.5264279 ]
   [0.30050555 0.44200882 0.6181264 ]
   [0.30628204 0.44533688 0.6928269 ]
   [0.19100866 0.4418736  0.19177228]
   [0.19452453 0.44909385 0.18914153]]]]"
2,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_135.jpg,"[[[[0.8434284  0.41718465 0.57694274]
   [0.82544035 0.40989158 0.6201881 ]
   [0.8243469  0.41023612 0.61386424]
   [0.7864796  0.43591157 0.700766  ]
   [0.7837758  0.438482   0.6869293 ]
   [0.77410436 0.53073496 0.8091982 ]
   [0.7591322  0.52695084 0.75692904]
   [0.9214306  0.5782752  0.8103815 ]
   [0.8772835  0.5712372  0.5366852 ]
   [0.90980464 0.4494276  0.71762645]
   [0.89207613 0.4563982  0.66031   ]
   [0.5489274  0.6000076  0.67920727]
   [0.54680157 0.5879497  0.7093519 ]
   [0.42154387 0.5563358  0.6092813 ]
   [0.42134574 0.5502531  0.56903845]
   [0.19146192 0.49125415 0.48271647]
   [0.19496687 0.49022466 0.3571443 ]]]]"
3,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_81.jpg,"[[[[0.71575046 0.8136927  0.16025122]
   [0.71280235 0.8046778  0.1274506 ]
   [0.71463966 0.8098352  0.12532401]
   [0.71925783 0.7920087  0.12237105]
   [0.72669286 0.807747   0.15614486]
   [0.70010036 0.79399955 0.12630329]
   [0.70340955 0.84666055 0.09298672]
   [0.7257443  0.7925841  0.09194962]
   [0.7573798  0.8291203  0.11669902]
   [0.7506159  0.8125976  0.1153823 ]
   [0.75189686 0.8213549  0.1251115 ]
   [0.64605606 0.82370913 0.06446156]
   [0.6701145  0.86176014 0.0485773 ]
   [0.58059514 0.82164055 0.08334599]
   [0.61361486 0.8462612  0.09780105]
   [0.5785095  0.823522   0.06916597]
   [0.6040343  0.84007007 0.08200438]]]]"
4,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_146.jpg,"[[[[0.6675335  0.5744082  0.5830945 ]
   [0.6607097  0.5828639  0.34776157]
   [0.6694195  0.5665528  0.48033485]
   [0.6483905  0.5764689  0.31507596]
   [0.6638131  0.5421097  0.43267158]
   [0.5894117  0.5560832  0.56323236]
   [0.6229126  0.5109167  0.63519436]
   [0.61488295 0.56122196 0.19677845]
   [0.6926567  0.492116   0.6091476 ]
   [0.67563385 0.57420737 0.32975665]
   [0.70459455 0.4905902  0.71238476]
   [0.5063109  0.5400005  0.5974972 ]
   [0.5547116  0.50612855 0.46694842]
   [0.35088122 0.54090726 0.57387483]
   [0.6133098  0.5006571  0.5036549 ]
   [0.23683387 0.5400155  0.36503386]
   [0.25110838 0.50840884 0.09254017]]]]"
5,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_157.jpg,"[[[[0.78955233 0.45668063 0.6617921 ]
   [0.789239   0.44569626 0.60505515]
   [0.78731424 0.44006407 0.6308848 ]
   [0.7672786  0.44175193 0.6030091 ]
   [0.764831   0.43675044 0.54297924]
   [0.7310397  0.47581196 0.6304438 ]
   [0.72150856 0.47463536 0.779197  ]
   [0.83643097 0.5021981  0.76195073]
   [0.80910283 0.5065713  0.4801847 ]
   [0.8199213  0.39968228 0.55998677]
   [0.80866724 0.4148475  0.5801769 ]
   [0.5513663  0.4973838  0.6640528 ]
   [0.5477022  0.49876425 0.55454844]
   [0.40344915 0.4605718  0.54447   ]
   [0.40655214 0.4593132  0.5528141 ]
   [0.24824199 0.39793473 0.6274536 ]
   [0.25108135 0.40087605 0.70178086]]]]"
6,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_125.jpg,"[[[[0.6760715  0.47892    0.5395429 ]
   [0.6792979  0.48363578 0.36083087]
   [0.6792869  0.47340938 0.43403018]
   [0.6814327  0.49074912 0.3928448 ]
   [0.6820622  0.47116438 0.3617595 ]
   [0.6538362  0.50334615 0.3998388 ]
   [0.64890206 0.4779058  0.5052116 ]
   [0.689195   0.51627916 0.27118704]
   [0.68706846 0.49608994 0.41981637]
   [0.70800865 0.51005846 0.29337466]
   [0.71147627 0.49918696 0.50223404]
   [0.52777004 0.51637363 0.4646275 ]
   [0.5113599  0.49488986 0.62504566]
   [0.3842075  0.4774089  0.35608643]
   [0.3901726  0.47196394 0.5853746 ]
   [0.2995001  0.45154002 0.35071984]
   [0.2996493  0.4514903  0.3931943 ]]]]"
7,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_120.jpg,"[[[[0.7424168  0.4913548  0.76430184]
   [0.7266767  0.5088964  0.64166194]
   [0.72597545 0.50598055 0.5923777 ]
   [0.6800395  0.49968547 0.57280856]
   [0.6794716  0.493637   0.6940227 ]
   [0.6536036  0.4320211  0.72809243]
   [0.6512607  0.44028568 0.7437956 ]
   [0.7777214  0.4265123  0.77799135]
   [0.7785869  0.42374015 0.7452197 ]
   [0.7732551  0.53377503 0.50062746]
   [0.77952486 0.5358499  0.71472645]
   [0.44432944 0.4474472  0.6145693 ]
   [0.44068506 0.443677   0.6175775 ]
   [0.27648845 0.4786432  0.5410736 ]
   [0.2734568  0.47702274 0.6709344 ]
   [0.18975177 0.52988005 0.38908353]
   [0.13547565 0.5303301  0.6873908 ]]]]"
8,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_152.jpg,"[[[[0.8121649  0.5093991  0.5292402 ]
   [0.8130885  0.5132204  0.42458296]
   [0.8220149  0.50647825 0.4879197 ]
   [0.8106638  0.52177966 0.5229497 ]
   [0.8277911  0.508637   0.5024308 ]
   [0.7757169  0.50749314 0.6202752 ]
   [0.78972864 0.49417096 0.6032503 ]
   [0.8312119  0.4956238  0.1893024 ]
   [0.86473054 0.48188248 0.5484885 ]
   [0.8451566  0.5007566  0.19877012]
   [0.8698983  0.50211316 0.44488847]
   [0.6217884  0.48742077 0.36390865]
   [0.61695933 0.48833877 0.5648734 ]
   [0.6622133  0.48463565 0.19926569]
   [0.6785921  0.4811356  0.18621531]
   [0.44965598 0.50457454 0.4757109 ]
   [0.45117494 0.5030266  0.5073219 ]]]]"
9,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_78.jpg,"[[[[0.6985318  0.39390013 0.44233355]
   [0.70492435 0.393411   0.50264066]
   [0.70621794 0.40432495 0.49466592]
   [0.69315606 0.40255442 0.44930273]
   [0.69460666 0.41996172 0.41388208]
   [0.63937116 0.37060305 0.3734468 ]
   [0.6483537  0.42885828 0.42070574]
   [0.65725404 0.37049168 0.25651243]
   [0.6512093  0.44430625 0.11392511]
   [0.7571378  0.3536705  0.42820895]
   [0.75622606 0.43110427 0.19390868]
   [0.53688586 0.3890527  0.4294301 ]
   [0.555398   0.41528708 0.40878898]
   [0.6529801  0.37514338 0.326474  ]
   [0.65168536 0.406301   0.18511713]
   [0.5299922  0.3952948  0.04248208]
   [0.50718945 0.4416206  0.0660421 ]]]]"
10,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_55.jpg,"[[[[0.76705414 0.48392308 0.36882633]
   [0.759123   0.46650314 0.39417905]
   [0.75721735 0.46341813 0.44499066]
   [0.72424823 0.47081965 0.6402372 ]
   [0.7248442  0.4681431  0.6303261 ]
   [0.6825566  0.5185979  0.81979626]
   [0.6858582  0.51866406 0.9099144 ]
   [0.824474   0.54713887 0.875335  ]
   [0.79736733 0.5375578  0.80867255]
   [0.82022655 0.4333818  0.82223076]
   [0.80284834 0.43989003 0.8103845 ]
   [0.46478018 0.5162997  0.71070176]
   [0.46181604 0.5270776  0.8653189 ]
   [0.34833893 0.35951573 0.6669955 ]
   [0.30561876 0.6299728  0.8768707 ]
   [0.2333228  0.22720884 0.8401236 ]
   [0.19169363 0.73232573 0.8884641 ]]]]"
11,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_122.jpg,"[[[[0.87364405 0.49024615 0.56412035]
   [0.8607551  0.47812992 0.5691782 ]
   [0.86106324 0.4768208  0.5631908 ]
   [0.8314686  0.49887222 0.7413269 ]
   [0.8302584  0.49841955 0.79341906]
   [0.83258814 0.56155306 0.7241417 ]
   [0.8197175  0.5665165  0.80675375]
   [0.9469604  0.5876244  0.85137725]
   [0.90572023 0.5862447  0.4349594 ]
   [0.9348972  0.49052688 0.51581824]
   [0.9190746  0.49848124 0.6017593 ]
   [0.6087232  0.6075578  0.6617178 ]
   [0.5998322  0.6055406  0.7607826 ]
   [0.40160644 0.56266916 0.8182432 ]
   [0.40254688 0.5610422  0.6664015 ]
   [0.23695207 0.54557323 0.6414486 ]
   [0.23824929 0.5485562  0.68360597]]]]"
12,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_69.jpg,"[[[[0.84550923 0.49536034 0.5979767 ]
   [0.8354444  0.47788867 0.6643854 ]
   [0.835163   0.47385383 0.6331331 ]
   [0.787435   0.47864696 0.72704303]
   [0.7913885  0.47243795 0.71313065]
   [0.7384516  0.53189427 0.78458995]
   [0.74380374 0.5070075  0.6995813 ]
   [0.89649284 0.54095787 0.77846736]
   [0.87451845 0.530819   0.38312113]
   [0.8973997  0.42586166 0.65719247]
   [0.8766613  0.42976794 0.66395825]
   [0.49459317 0.51287407 0.7809306 ]
   [0.492039   0.5035347  0.8034052 ]
   [0.3064701  0.4967972  0.558546  ]
   [0.30463246 0.49143812 0.743834  ]
   [0.11579312 0.48265368 0.40804616]
   [0.12671483 0.4777467  0.7313033 ]]]]"
13,Feathered_Peacock_Pose_or_Pincha_Mayurasana__image_145.jpg,"[[[[0.8677985  0.46258888 0.713749  ]
   [0.86031634 0.4481151  0.7003283 ]
   [0.8597586  0.44207847 0.7152202 ]
   [0.8093164  0.44652402 0.74376255]
   [0.812298   0.44158936 0.63192236]
   [0.7464764  0.50076973 0.7421696 ]
   [0.7442825  0.49613956 0.74713683]
   [0.9152208  0.5066934  0.9213613 ]
   [0.8929065  0.504818   0.48653874]
   [0.9195255  0.37275973 0.7143373 ]
   [0.9093528  0.3809859  0.73119235]
   [0.50127673 0.48628697 0.71585494]
   [0.49856356 0.47729722 0.7742699 ]
   [0.3052997  0.4821016  0.67044085]
   [0.30739498 0.47529534 0.35004678]
   [0.11573555 0.48191726 0.7114092 ]
   [0.1161541  0.48211953 0.7142392 ]]]]"
