,image,score
0,Firefly_Pose_or_Tittibhasana__image_62.jpg,"[[[[0.36260307 0.50668    0.38904065]
   [0.35646886 0.5038548  0.23109587]
   [0.35392794 0.5213176  0.12515141]
   [0.35974696 0.51609564 0.43995374]
   [0.35522127 0.5659535  0.4930328 ]
   [0.4045401  0.5068085  0.59256864]
   [0.39531344 0.60234    0.51407427]
   [0.38855225 0.41883788 0.2516755 ]
   [0.4252676  0.62715596 0.22573105]
   [0.3441634  0.36702362 0.42080516]
   [0.328741   0.57549375 0.12163814]
   [0.5496005  0.595522   0.5202339 ]
   [0.5305776  0.65566915 0.5369039 ]
   [0.49142152 0.52348226 0.15184775]
   [0.48107287 0.6463615  0.30706915]
   [0.5766217  0.5431803  0.14530541]
   [0.5440243  0.65002865 0.15201785]]]]"
1,Firefly_Pose_or_Tittibhasana__image_66.jpg,"[[[[0.3688843  0.4841836  0.83335376]
   [0.33992735 0.50785583 0.914667  ]
   [0.33753717 0.46531352 0.8984014 ]
   [0.340209   0.5412738  0.54375386]
   [0.33523637 0.44533348 0.6547477 ]
   [0.40891346 0.5834378  0.5935172 ]
   [0.41652876 0.3905705  0.85158145]
   [0.52795064 0.68911    0.8160597 ]
   [0.5303639  0.3042575  0.87156487]
   [0.6522508  0.6465471  0.92993313]
   [0.65760696 0.3271903  0.9114262 ]
   [0.49327356 0.54858696 0.67353785]
   [0.4925986  0.4227028  0.7425653 ]
   [0.4207085  0.7373815  0.41103953]
   [0.41094652 0.22241284 0.82579106]
   [0.37763116 0.89883333 0.7584234 ]
   [0.3655131  0.11325099 0.7391304 ]]]]"
2,Firefly_Pose_or_Tittibhasana__image_29.jpg,"[[[[0.3248313  0.28173432 0.56769663]
   [0.30436262 0.2933476  0.67531765]
   [0.30873233 0.28021926 0.5878415 ]
   [0.28901044 0.35188523 0.6527481 ]
   [0.29936805 0.32639712 0.40235433]
   [0.31505066 0.44509125 0.70345956]
   [0.3366563  0.3948587  0.55063653]
   [0.45832705 0.5256256  0.12921657]
   [0.44793135 0.38278314 0.35740802]
   [0.3986845  0.53502685 0.11922739]
   [0.45911703 0.3356413  0.23131558]
   [0.3369954  0.76345724 0.30033636]
   [0.38198414 0.5685082  0.0612017 ]
   [0.5216359  0.49050096 0.6611835 ]
   [0.48700878 0.4266866  0.5945103 ]
   [0.6893039  0.4986483  0.50852585]
   [0.63193786 0.42038783 0.5015295 ]]]]"
3,Firefly_Pose_or_Tittibhasana__image_12.jpg,"[[[[0.4127219  0.6040457  0.55040574]
   [0.38599756 0.6184723  0.7676216 ]
   [0.38710603 0.5847431  0.73099345]
   [0.37393996 0.5847415  0.3665416 ]
   [0.3698016  0.5093007  0.69537514]
   [0.4046977  0.5888326  0.7213081 ]
   [0.42645597 0.41777942 0.5429315 ]
   [0.43253696 0.64218557 0.2504376 ]
   [0.58053905 0.35068384 0.2915923 ]
   [0.36805367 0.81907994 0.77465326]
   [0.73386323 0.31190285 0.88993573]
   [0.49223918 0.3242044  0.28500193]
   [0.4951976  0.25993627 0.45584235]
   [0.42471257 0.6317504  0.21789217]
   [0.49477673 0.4319962  0.4589886 ]
   [0.45938078 0.41407755 0.09291996]
   [0.4774595  0.40118265 0.33608177]]]]"
4,Firefly_Pose_or_Tittibhasana__image_43.jpg,"[[[[0.39370304 0.65257025 0.52842146]
   [0.37100485 0.65800935 0.6066268 ]
   [0.37483853 0.6545276  0.45706803]
   [0.35057226 0.60819167 0.660429  ]
   [0.35543272 0.6063545  0.5164104 ]
   [0.36319324 0.5336586  0.5466234 ]
   [0.4313871  0.5555372  0.5604913 ]
   [0.45332098 0.5404159  0.2037306 ]
   [0.49357656 0.5757341  0.1248226 ]
   [0.6296101  0.4850892  0.3747127 ]
   [0.68438447 0.4708822  0.6375684 ]
   [0.5640626  0.36574367 0.53480524]
   [0.598714   0.37685442 0.8998151 ]
   [0.45161724 0.58098006 0.53453606]
   [0.47714257 0.5789774  0.6400147 ]
   [0.64719325 0.4863513  0.51602656]
   [0.68895626 0.47197172 0.4441938 ]]]]"
5,Firefly_Pose_or_Tittibhasana__image_1.jpg,"[[[[0.3505292  0.49838772 0.6630306 ]
   [0.33125833 0.5209069  0.8858661 ]
   [0.32941514 0.47532034 0.82001704]
   [0.35760438 0.54705244 0.74231154]
   [0.35425165 0.44106233 0.8998087 ]
   [0.46026832 0.58308506 0.70641166]
   [0.45022112 0.39791125 0.90755045]
   [0.6317071  0.66822577 0.86997044]
   [0.6154787  0.3129664  0.6386285 ]
   [0.7875454  0.667575   0.85132945]
   [0.7859216  0.2881179  0.93355906]
   [0.6874322  0.5440744  0.83460397]
   [0.6862388  0.4186242  0.8748705 ]
   [0.53733385 0.68831205 0.66829336]
   [0.5215936  0.25710928 0.63271606]
   [0.43152437 0.88468975 0.82032025]
   [0.43197978 0.10110165 0.84485734]]]]"
6,Firefly_Pose_or_Tittibhasana__image_176.jpg,"[[[[0.40486068 0.48377275 0.64793706]
   [0.38589376 0.5004975  0.70760715]
   [0.38583648 0.47382104 0.7639579 ]
   [0.35605925 0.5243323  0.44532904]
   [0.35011548 0.45046106 0.83811504]
   [0.38854373 0.55947834 0.6778368 ]
   [0.3852013  0.4157248  0.76050353]
   [0.5259253  0.6374048  0.8307876 ]
   [0.5255339  0.36228362 0.8722268 ]
   [0.6525064  0.61622787 0.80345196]
   [0.6520018  0.3668541  0.9159242 ]
   [0.47386876 0.54423743 0.6229325 ]
   [0.47441244 0.44001856 0.75912577]
   [0.48758748 0.6496479  0.3865494 ]
   [0.46245357 0.2622094  0.40212587]
   [0.57187384 0.6318682  0.19780973]
   [0.4736382  0.14362146 0.56150836]]]]"
7,Firefly_Pose_or_Tittibhasana__image_124.jpg,"[[[[0.4407585  0.41600296 0.643143  ]
   [0.42463648 0.40307087 0.6286868 ]
   [0.425944   0.400868   0.6622601 ]
   [0.36897326 0.4182703  0.7480148 ]
   [0.36993828 0.41559577 0.7376332 ]
   [0.37117535 0.49893996 0.65333897]
   [0.3631274  0.50159556 0.72455287]
   [0.51915544 0.619466   0.5687721 ]
   [0.5133569  0.6248505  0.6273236 ]
   [0.6689944  0.62761    0.7500666 ]
   [0.6551852  0.6308495  0.6443031 ]
   [0.3664765  0.7874938  0.7984036 ]
   [0.3591909  0.78088117 0.7327828 ]
   [0.45769104 0.5531091  0.4788226 ]
   [0.45794192 0.5684494  0.54707414]
   [0.6089364  0.3381633  0.7192826 ]
   [0.5819455  0.34089047 0.45696634]]]]"
8,Firefly_Pose_or_Tittibhasana__image_31.jpg,"[[[[0.31058776 0.5030395  0.6303973 ]
   [0.2773807  0.5226965  0.7363484 ]
   [0.27584413 0.47611597 0.9493592 ]
   [0.28097734 0.5264844  0.66659135]
   [0.2753166  0.41954926 0.8968453 ]
   [0.36792678 0.5432664  0.843498  ]
   [0.35380316 0.32639137 0.75544626]
   [0.5900504  0.56717366 0.8703639 ]
   [0.5876828  0.28786963 0.8710528 ]
   [0.75872254 0.5853044  0.9443287 ]
   [0.7603112  0.27269158 0.9600179 ]
   [0.47285622 0.41711956 0.7545001 ]
   [0.45425814 0.29320976 0.7216621 ]
   [0.45325112 0.6234258  0.3676229 ]
   [0.474765   0.1735898  0.6023906 ]
   [0.47491243 0.8519857  0.7459666 ]
   [0.45111576 0.10736274 0.3568095 ]]]]"
9,Firefly_Pose_or_Tittibhasana__image_172.jpg,"[[[[0.42964932 0.5590724  0.6668459 ]
   [0.40900382 0.5552172  0.67134005]
   [0.40876433 0.5395586  0.5340865 ]
   [0.41225863 0.5237748  0.49469253]
   [0.41421005 0.48567373 0.7532618 ]
   [0.52294916 0.5611727  0.47086248]
   [0.51214194 0.40522635 0.60207087]
   [0.6638862  0.5512693  0.3247475 ]
   [0.6262807  0.3893444  0.10624663]
   [0.7437961  0.53668565 0.33811444]
   [0.7914698  0.31789848 0.3880193 ]
   [0.71154463 0.411397   0.582795  ]
   [0.6999727  0.32976928 0.6405764 ]
   [0.52304083 0.59778005 0.34768826]
   [0.52089316 0.48616877 0.27242115]
   [0.52230966 0.5742467  0.16210113]
   [0.36929402 0.3787976  0.3209593 ]]]]"
10,Firefly_Pose_or_Tittibhasana__image_164.jpg,"[[[[0.342351   0.3084581  0.6982463 ]
   [0.32479194 0.33591375 0.6747083 ]
   [0.3280482  0.3083946  0.56532973]
   [0.3557906  0.38267517 0.70850116]
   [0.3480223  0.32606646 0.42124835]
   [0.4539454  0.41732377 0.6743393 ]
   [0.48302165 0.28701836 0.70704067]
   [0.5928584  0.47356653 0.3151025 ]
   [0.63079727 0.30900553 0.8258518 ]
   [0.7618829  0.51624846 0.60036856]
   [0.7393533  0.34205988 0.7707821 ]
   [0.7028785  0.5247527  0.81528157]
   [0.7174345  0.4472888  0.8095607 ]
   [0.47900188 0.42882136 0.5563185 ]
   [0.4989564  0.28804138 0.68410534]
   [0.28338042 0.45619807 0.24398607]
   [0.377173   0.18256295 0.23774177]]]]"
11,Firefly_Pose_or_Tittibhasana__image_55.jpg,"[[[[0.5570231  0.49370483 0.75201976]
   [0.5380008  0.5086589  0.70270205]
   [0.53924936 0.47997752 0.6780969 ]
   [0.5157155  0.5267614  0.52053344]
   [0.5189392  0.46105954 0.73649246]
   [0.5398997  0.5633911  0.60333586]
   [0.54932636 0.42137316 0.6005095 ]
   [0.63960284 0.6135527  0.7751179 ]
   [0.64140046 0.36580467 0.7516677 ]
   [0.74332476 0.6167706  0.74325407]
   [0.7332253  0.36395183 0.8637577 ]
   [0.5885498  0.5641944  0.4879353 ]
   [0.5945816  0.45437098 0.35312647]
   [0.5957753  0.65794694 0.4220991 ]
   [0.5953391  0.3450311  0.4331235 ]
   [0.67602277 0.7563818  0.6369437 ]
   [0.67377645 0.2460267  0.77328455]]]]"
12,Firefly_Pose_or_Tittibhasana__image_10.jpg,"[[[[0.40298933 0.5101729  0.67167   ]
   [0.38824376 0.52903855 0.57527786]
   [0.38215786 0.5015761  0.7239742 ]
   [0.39313528 0.5334617  0.4290118 ]
   [0.37927276 0.4725795  0.67201704]
   [0.44714963 0.51958555 0.6034182 ]
   [0.44373816 0.4335713  0.57550365]
   [0.44001457 0.62470263 0.34750298]
   [0.5651374  0.33481273 0.4075926 ]
   [0.42670134 0.6934202  0.36305845]
   [0.67671514 0.3106319  0.6907942 ]
   [0.5201428  0.40162915 0.11096141]
   [0.50730854 0.35775083 0.21961108]
   [0.45688692 0.42971173 0.09271076]
   [0.4399236  0.3727208  0.29355258]
   [0.45825666 0.4025149  0.06648963]
   [0.4563952  0.369906   0.14613037]]]]"
13,Firefly_Pose_or_Tittibhasana__image_47.jpg,"[[[[0.4086395  0.5437935  0.6855874 ]
   [0.39239272 0.54055125 0.4996618 ]
   [0.39505157 0.52297884 0.62208396]
   [0.4040465  0.5131691  0.41171983]
   [0.40703687 0.47456813 0.66212434]
   [0.4853461  0.5358414  0.7601685 ]
   [0.4854219  0.42962942 0.62920624]
   [0.60681486 0.54582316 0.7379103 ]
   [0.6128576  0.37007067 0.27075428]
   [0.71050507 0.5283086  0.86613584]
   [0.73302525 0.33671457 0.76243824]
   [0.67631674 0.4249836  0.6442986 ]
   [0.6691409  0.3509744  0.6922879 ]
   [0.5045839  0.5602367  0.5047522 ]
   [0.4980786  0.39570725 0.35738298]
   [0.48137397 0.5453348  0.11148029]
   [0.3777834  0.3872017  0.7156795 ]]]]"
