,image,score
0,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana__image_56.jpg,"[[[[0.55367094 0.17720343 0.3812799 ]
   [0.53491527 0.1540609  0.5156225 ]
   [0.544302   0.15651628 0.5062061 ]
   [0.48637894 0.15587428 0.51346165]
   [0.49603987 0.15613414 0.4501899 ]
   [0.45959866 0.21743146 0.7998921 ]
   [0.44013256 0.23167473 0.7733977 ]
   [0.5061228  0.3695281  0.83071846]
   [0.42387313 0.3596002  0.23989604]
   [0.6260294  0.36102712 0.90659904]
   [0.51473844 0.35082063 0.25838462]
   [0.46888965 0.52298236 0.7322436 ]
   [0.44329056 0.5214514  0.78898245]
   [0.50805134 0.7340813  0.67224306]
   [0.4738411  0.72392416 0.8220754 ]
   [0.535525   0.9347228  0.674446  ]
   [0.5029087  0.90367717 0.4989677 ]]]]"
1,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana__image_79.jpg,"[[[[0.58027065 0.16360879 0.5597619 ]
   [0.56442416 0.1581403  0.37741715]
   [0.5659167  0.15676679 0.45109403]
   [0.53115    0.18740746 0.53142637]
   [0.5328505  0.18403701 0.5404539 ]
   [0.53709435 0.24741963 0.52521914]
   [0.52431566 0.24444015 0.5682668 ]
   [0.54433244 0.38218495 0.6481841 ]
   [0.52392864 0.37296245 0.5530619 ]
   [0.64577526 0.37335864 0.69493127]
   [0.6077537  0.31157473 0.336544  ]
   [0.56540596 0.49415284 0.7056235 ]
   [0.5543662  0.4896276  0.7815167 ]
   [0.58630776 0.66146386 0.7427042 ]
   [0.57015675 0.64977795 0.7465767 ]
   [0.5785919  0.8142949  0.7293294 ]
   [0.5684185  0.7939347  0.68352985]]]]"
2,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana__image_9.jpg,"[[[[0.561536   0.11833311 0.7115251 ]
   [0.54165727 0.10286392 0.77920157]
   [0.54092896 0.10189197 0.7562901 ]
   [0.49676466 0.12660232 0.54365516]
   [0.49756038 0.12436077 0.6507579 ]
   [0.506613   0.20123747 0.82044333]
   [0.49184284 0.21078674 0.6288462 ]
   [0.52088267 0.33759674 0.68935674]
   [0.5114496  0.3416519  0.77351195]
   [0.62800306 0.2934538  0.853848  ]
   [0.6016517  0.29982117 0.61996686]
   [0.52498364 0.46884248 0.67498475]
   [0.5192889  0.47174636 0.84950465]
   [0.5642521  0.6881033  0.7397834 ]
   [0.55014366 0.6887294  0.77140695]
   [0.57403386 0.9083556  0.7639725 ]
   [0.5619513  0.89884955 0.738367  ]]]]"
3,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana__image_117.jpg,"[[[[0.4772477  0.99032074 0.6205709 ]
   [0.45196185 0.98960966 0.48262697]
   [0.45291612 0.9899117  0.6225869 ]
   [0.41866952 0.9426311  0.78891444]
   [0.4167609  0.93991095 0.7646048 ]
   [0.446155   0.84978426 0.62588364]
   [0.45169133 0.8470108  0.7541992 ]
   [0.48705325 0.65318197 0.75337315]
   [0.489855   0.6536446  0.71447134]
   [0.61898893 0.6635667  0.6348961 ]
   [0.6359298  0.6583493  0.66388804]
   [0.47651592 0.5225912  0.66986805]
   [0.487814   0.5138238  0.7410141 ]
   [0.49533033 0.2992148  0.8331653 ]
   [0.5168503  0.2798917  0.7053867 ]
   [0.5003156  0.13062908 0.36899796]
   [0.5522392  0.02729125 0.7674447 ]]]]"
4,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana__image_134.jpg,"[[[[0.34295475 0.7814649  0.26872352]
   [0.33005768 0.79532766 0.23406895]
   [0.32338572 0.7830158  0.21227184]
   [0.66039115 0.79725397 0.16427809]
   [0.26533815 0.7293761  0.42057508]
   [0.35236546 0.7165595  0.15514565]
   [0.6329025  0.6877169  0.21535708]
   [0.46370465 0.5465382  0.07156563]
   [0.46243992 0.54958874 0.1651828 ]
   [0.4517314  0.56229603 0.07034845]
   [0.80591613 0.5671065  0.3831761 ]
   [0.31636626 0.49943474 0.18289618]
   [0.3585229  0.5200362  0.15704836]
   [0.8078037  0.34983262 0.3643471 ]
   [0.3857233  0.32312882 0.49309796]
   [0.2577449  0.69337296 0.3124083 ]
   [0.39365178 0.13558815 0.44956568]]]]"
5,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana__image_60.jpg,"[[[[0.77046824 0.78641057 0.11602306]
   [0.7635306  0.78857934 0.22324345]
   [0.76377165 0.7845126  0.18897313]
   [0.7625828  0.7896881  0.12859033]
   [0.7621733  0.77887034 0.11527459]
   [0.42238152 0.4943712  0.02503931]
   [0.43206522 0.33511704 0.05191984]
   [0.48758382 0.59360206 0.02971718]
   [0.47326264 0.2994731  0.0297142 ]
   [0.82493734 0.74928206 0.1142775 ]
   [0.53784335 0.2716949  0.01348422]
   [0.7042261  0.46570608 0.043679  ]
   [0.7325309  0.3790281  0.04982799]
   [0.30315262 0.5077746  0.00961989]
   [0.5331437  0.28243065 0.13987733]
   [0.6688763  0.5544905  0.04017608]
   [0.7557049  0.4837475  0.07126868]]]]"
6,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana__image_19.jpg,"[[[[0.59606415 0.9087601  0.6164133 ]
   [0.57451224 0.91162467 0.79955757]
   [0.574368   0.9122474  0.7833453 ]
   [0.5495082  0.871562   0.6568277 ]
   [0.5489191  0.8725606  0.6575884 ]
   [0.5699367  0.81218207 0.69934875]
   [0.57259375 0.82024556 0.8426819 ]
   [0.58806074 0.6546138  0.62945217]
   [0.6031836  0.6580547  0.8437599 ]
   [0.7009349  0.65653086 0.4862412 ]
   [0.7176913  0.6587373  0.6394326 ]
   [0.5784325  0.5354701  0.7020128 ]
   [0.58172065 0.53120255 0.7689    ]
   [0.61462814 0.31875613 0.89383173]
   [0.6243516  0.3091039  0.8334119 ]
   [0.63500625 0.11120269 0.836268  ]
   [0.646739   0.10549718 0.81007636]]]]"
7,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana__image_82.jpg,"[[[[0.63252664 0.8578542  0.53602034]
   [0.61611027 0.8649769  0.67961305]
   [0.61573756 0.86394614 0.7241609 ]
   [0.5859033  0.83548075 0.81710166]
   [0.5869893  0.83389366 0.83403766]
   [0.5648823  0.7694961  0.60159725]
   [0.5898879  0.77144694 0.44599667]
   [0.58169484 0.6494075  0.60722595]
   [0.603482   0.6503695  0.880081  ]
   [0.677277   0.66701806 0.5483562 ]
   [0.70225984 0.6729951  0.66454905]
   [0.5816864  0.5135415  0.6962345 ]
   [0.59270155 0.51444846 0.7637922 ]
   [0.6177601  0.3403622  0.8003834 ]
   [0.6300602  0.32603365 0.7936839 ]
   [0.6354476  0.16318947 0.6268673 ]
   [0.65084064 0.14149491 0.80929   ]]]]"
8,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana__image_36.jpg,"[[[[0.5475445  0.79088837 0.5713821 ]
   [0.53394765 0.7999389  0.55970186]
   [0.5325321  0.79683334 0.5224619 ]
   [0.4956927  0.7849311  0.54125935]
   [0.49488348 0.77981853 0.5310465 ]
   [0.4885404  0.7501093  0.6052861 ]
   [0.4921596  0.7408432  0.5503561 ]
   [0.5007445  0.6219296  0.4783181 ]
   [0.5061269  0.6084648  0.6742611 ]
   [0.5235818  0.76069677 0.22335084]
   [0.5992751  0.62649065 0.69823027]
   [0.49585223 0.51197076 0.6966603 ]
   [0.50093406 0.50836545 0.7203793 ]
   [0.5272621  0.32968748 0.81463623]
   [0.5345602  0.3255584  0.6448762 ]
   [0.5370866  0.1739091  0.7467393 ]
   [0.5422255  0.16213496 0.58868575]]]]"
9,Four-Limbed_Staff_Pose_or_Chaturanga_Dandasana__image_53.jpg,"[[[[0.64281815 0.15996066 0.45924884]
   [0.61992246 0.15686655 0.523033  ]
   [0.62066936 0.1543769  0.6153545 ]
   [0.58269805 0.19315358 0.8196476 ]
   [0.5862968  0.18879767 0.64418334]
   [0.5731351  0.2703906  0.55010974]
   [0.5896519  0.24943015 0.7404138 ]
   [0.5836392  0.43312156 0.79405725]
   [0.5777721  0.34927228 0.18797623]
   [0.70353365 0.44275945 0.87092495]
   [0.67636126 0.32636943 0.2628588 ]
   [0.5893699  0.5191472  0.5226116 ]
   [0.59168565 0.5170848  0.69983846]
   [0.61253834 0.67689186 0.632211  ]
   [0.60967183 0.6558945  0.6740484 ]
   [0.6136512  0.8222698  0.63266754]
   [0.61742646 0.7907463  0.5335794 ]]]]"
