,image,score
0,Eagle_Pose_or_Garudasana__image_132.jpg,"[[[[0.20013188 0.42844227 0.20944458]
   [0.16005458 0.4623435  0.25432485]
   [0.22605395 0.36383566 0.24406438]
   [0.20502485 0.4357063  0.20233011]
   [0.2437209  0.40400657 0.193405  ]
   [0.38981822 0.43301544 0.1673737 ]
   [0.32442862 0.49237326 0.16932799]
   [0.33533213 0.4020231  0.04381141]
   [0.27598464 0.50897837 0.13555588]
   [0.0560489  0.43133023 0.41029525]
   [0.05734958 0.43095458 0.33637807]
   [0.5051253  0.47984958 0.27832258]
   [0.49998507 0.55342895 0.19794193]
   [0.6190237  0.46566817 0.29763332]
   [0.6160121  0.544741   0.16626659]
   [0.75128186 0.51176834 0.07643444]
   [0.6054379  0.4715581  0.01550057]]]]"
1,Eagle_Pose_or_Garudasana__image_133.jpg,"[[[[0.2664615  0.5545388  0.62615526]
   [0.24603744 0.54669136 0.5598008 ]
   [0.2460369  0.5458974  0.50665575]
   [0.24171123 0.50173926 0.41198897]
   [0.24247059 0.5028787  0.5673875 ]
   [0.3107198  0.45204604 0.72974855]
   [0.30333158 0.46171507 0.7196478 ]
   [0.39523333 0.6001304  0.6760654 ]
   [0.39937907 0.61058664 0.6987582 ]
   [0.242682   0.60377955 0.5157309 ]
   [0.24145062 0.6119037  0.63687736]
   [0.5683804  0.2461357  0.668091  ]
   [0.5646301  0.23626101 0.8047608 ]
   [0.63145804 0.4585482  0.37333575]
   [0.6280669  0.47269943 0.3098801 ]
   [0.8391721  0.51490927 0.28390014]
   [0.8732877  0.3511135  0.55962676]]]]"
2,Eagle_Pose_or_Garudasana__image_77.jpg,"[[[[0.1605471  0.39515    0.79453415]
   [0.14061539 0.41485605 0.75939417]
   [0.14029078 0.41212785 0.6951927 ]
   [0.16210973 0.47612536 0.9316002 ]
   [0.16083464 0.46469715 0.6940987 ]
   [0.28165534 0.47349447 0.8928395 ]
   [0.2750844  0.45802975 0.8839582 ]
   [0.41446272 0.37945214 0.84904593]
   [0.41285625 0.38803858 0.88074034]
   [0.2748744  0.3408936  0.60245675]
   [0.2824322  0.34809157 0.7601598 ]
   [0.56605387 0.64524996 0.8381642 ]
   [0.56097406 0.6188665  0.88501614]
   [0.6814117  0.4085101  0.7722744 ]
   [0.65908396 0.41534406 0.6300729 ]
   [0.9015901  0.5809503  0.6020526 ]
   [0.8154235  0.59255636 0.66498804]]]]"
3,Eagle_Pose_or_Garudasana__image_62.jpg,"[[[[0.2650499  0.6088986  0.56590617]
   [0.24848425 0.6198827  0.6216986 ]
   [0.24741958 0.60244757 0.7332277 ]
   [0.22928078 0.6040972  0.6317171 ]
   [0.22225043 0.56190395 0.81017363]
   [0.28127712 0.58385307 0.7021664 ]
   [0.27874345 0.479649   0.8043669 ]
   [0.36802518 0.6047716  0.40846682]
   [0.39724907 0.5597141  0.8919912 ]
   [0.3296235  0.6623512  0.7631781 ]
   [0.32955775 0.6452172  0.69687134]
   [0.4718198  0.4399814  0.8477538 ]
   [0.4670343  0.37613046 0.58771366]
   [0.61192864 0.48675248 0.7685913 ]
   [0.57996243 0.5274989  0.59760416]
   [0.70815665 0.40435827 0.5746793 ]
   [0.7855133  0.44677293 0.69402176]]]]"
4,Eagle_Pose_or_Garudasana__image_74.jpg,"[[[[0.20648788 0.46854284 0.6262775 ]
   [0.18408814 0.48888406 0.80022806]
   [0.18480928 0.44804096 0.82599664]
   [0.19397804 0.5173108  0.68584067]
   [0.19438204 0.41776535 0.8130136 ]
   [0.3075753  0.5608762  0.8561762 ]
   [0.31344718 0.3648067  0.74537075]
   [0.40843177 0.5092723  0.22697678]
   [0.452084   0.43256012 0.6096955 ]
   [0.31174028 0.48646134 0.30742154]
   [0.3082597  0.49559963 0.6841319 ]
   [0.5736585  0.50608367 0.8593752 ]
   [0.5635521  0.3819824  0.6847036 ]
   [0.7427045  0.43824482 0.4974745 ]
   [0.6273934  0.52930874 0.45758677]
   [0.82049775 0.3978832  0.67795014]
   [0.79366696 0.42011517 0.40104932]]]]"
5,Eagle_Pose_or_Garudasana__image_143.jpg,"[[[[0.33355683 0.46210515 0.8850405 ]
   [0.29282483 0.51344025 0.721741  ]
   [0.29190898 0.45439136 0.783266  ]
   [0.33002758 0.6365983  0.8134926 ]
   [0.31302178 0.49240613 0.51519454]
   [0.5930424  0.7284548  0.9248237 ]
   [0.5567608  0.42022958 0.7405592 ]
   [0.70298266 0.3937771  0.36877406]
   [0.7963416  0.33612093 0.6823136 ]
   [0.46675077 0.26676804 0.25764477]
   [0.48317984 0.27748132 0.47804275]
   [0.9974942  0.6822424  0.01206734]
   [0.9028602  0.4544306  0.0011031 ]
   [0.61202055 0.7189286  0.13119899]
   [0.6362376  0.28663597 0.00281763]
   [0.66774166 0.36965945 0.00774273]
   [0.45792934 0.26964065 0.05263958]]]]"
6,Eagle_Pose_or_Garudasana__image_137.jpg,"[[[[0.22997199 0.6027499  0.44894883]
   [0.22265081 0.611969   0.5666446 ]
   [0.2195754  0.5924782  0.5045647 ]
   [0.2378865  0.6297937  0.5927198 ]
   [0.23270945 0.57555324 0.5263046 ]
   [0.2907919  0.66891164 0.7524934 ]
   [0.302815   0.5375339  0.7828178 ]
   [0.23463191 0.6397817  0.35117018]
   [0.22228697 0.5830187  0.20283903]
   [0.1330054  0.61220086 0.25899678]
   [0.12645866 0.59235847 0.433271  ]
   [0.52159697 0.6512188  0.52261305]
   [0.52747893 0.5774381  0.7282089 ]
   [0.6730282  0.65054727 0.6243116 ]
   [0.6616179  0.62856334 0.5372039 ]
   [0.8561861  0.62090063 0.49589047]
   [0.70614415 0.63792855 0.1372977 ]]]]"
7,Eagle_Pose_or_Garudasana__image_2.jpg,"[[[[0.22170888 0.5042192  0.44737667]
   [0.21010174 0.4988019  0.22083178]
   [0.2089486  0.48169112 0.4409778 ]
   [0.22374806 0.46636266 0.28690383]
   [0.22748226 0.45608097 0.42588115]
   [0.28293407 0.4681996  0.42090622]
   [0.28771406 0.47228754 0.5995543 ]
   [0.28980654 0.56533414 0.29918438]
   [0.2984679  0.57004243 0.6819243 ]
   [0.18516472 0.55950636 0.23280618]
   [0.18072996 0.5262977  0.21319276]
   [0.50232863 0.46305406 0.5709938 ]
   [0.49976873 0.47622332 0.75165796]
   [0.58237034 0.57462966 0.6011548 ]
   [0.5788256  0.59607685 0.74242556]
   [0.72012013 0.5020614  0.48168972]
   [0.7465532  0.5062672  0.7086761 ]]]]"
8,Eagle_Pose_or_Garudasana__image_120.jpg,"[[[[0.5512062  0.5986376  0.40424392]
   [0.54301155 0.60668135 0.23838651]
   [0.5266848  0.5904465  0.23467323]
   [0.5389856  0.59856594 0.18689343]
   [0.52919626 0.55888456 0.09453531]
   [0.63951296 0.5798406  0.2007481 ]
   [0.56251395 0.5349061  0.31174177]
   [0.7184753  0.5494381  0.08086328]
   [0.68850964 0.54788417 0.08005474]
   [0.69949996 0.5554543  0.13800132]
   [0.6795004  0.55972564 0.18997309]
   [0.67956114 0.4979885  0.17274722]
   [0.6296148  0.46989176 0.15615039]
   [0.78827506 0.47393367 0.17993857]
   [0.6381884  0.52330023 0.05569092]
   [0.8863462  0.43497792 0.1390747 ]
   [0.69019175 0.52425575 0.04788207]]]]"
9,Eagle_Pose_or_Garudasana__image_5.jpg,"[[[[0.18902223 0.34920546 0.68725634]
   [0.15684569 0.37186527 0.575443  ]
   [0.15813003 0.32892784 0.57564574]
   [0.14515355 0.40136325 0.7533317 ]
   [0.13998783 0.30011377 0.6601914 ]
   [0.20769364 0.43629706 0.7987031 ]
   [0.22211072 0.25625023 0.7980117 ]
   [0.30827296 0.38642573 0.3583992 ]
   [0.3955516  0.3018332  0.50382626]
   [0.2918836  0.36287975 0.25818148]
   [0.32022414 0.36058888 0.7136582 ]
   [0.37675932 0.40374717 0.6252323 ]
   [0.3818607  0.31883192 0.68952185]
   [0.4844438  0.3470654  0.649498  ]
   [0.4942077  0.32341298 0.41040656]
   [0.59259015 0.3208004  0.54109997]
   [0.7102895  0.32588214 0.61430043]]]]"
