,image,score
0,Gate_Pose_or_Parighasana__image_84.jpg,"[[[[0.45866328 0.47739583 0.4566656 ]
   [0.45795903 0.47767153 0.37831312]
   [0.44928655 0.47622412 0.43412763]
   [0.4539134  0.49586725 0.5664435 ]
   [0.43066505 0.48438358 0.49763003]
   [0.5207339  0.5228185  0.5545259 ]
   [0.41113442 0.49055573 0.65600675]
   [0.5907028  0.46650636 0.6822411 ]
   [0.33857864 0.45939147 0.3807613 ]
   [0.6363151  0.5875868  0.43334946]
   [0.32496208 0.4330972  0.64918333]
   [0.51272494 0.58397585 0.5035105 ]
   [0.47614816 0.5624725  0.39278755]
   [0.63121384 0.5780012  0.51182336]
   [0.56530076 0.4750421  0.20602657]
   [0.6374731  0.5915487  0.29752815]
   [0.6246148  0.3950443  0.46546662]]]]"
1,Gate_Pose_or_Parighasana__image_76.jpg,"[[[[0.45285943 0.6052087  0.52233577]
   [0.44645858 0.60190666 0.4423324 ]
   [0.44915658 0.60267574 0.5098601 ]
   [0.44684604 0.6053372  0.4526741 ]
   [0.44969502 0.6091491  0.5109728 ]
   [0.4711711  0.63105106 0.46241376]
   [0.44635677 0.62661463 0.47113973]
   [0.5770799  0.585808   0.5049152 ]
   [0.56669927 0.5847376  0.4060122 ]
   [0.67160976 0.55471003 0.5833336 ]
   [0.66404694 0.554474   0.2969539 ]
   [0.58877957 0.6936698  0.6785589 ]
   [0.5843111  0.68424165 0.47202107]
   [0.65624505 0.5810564  0.44474712]
   [0.6936678  0.71300495 0.35686544]
   [0.7198535  0.5244383  0.33159798]
   [0.7239628  0.7406237  0.28301042]]]]"
2,Gate_Pose_or_Parighasana__image_51.jpg,"[[[[0.40669015 0.35499248 0.5664851 ]
   [0.39564773 0.34840247 0.6027487 ]
   [0.41485035 0.3454951  0.60020477]
   [0.39514711 0.35523632 0.5280203 ]
   [0.42862937 0.3483068  0.43643066]
   [0.39181328 0.42041197 0.5774871 ]
   [0.4839624  0.36629292 0.6034218 ]
   [0.3342198  0.359717   0.54543555]
   [0.5638268  0.34000617 0.7495474 ]
   [0.3073825  0.2827995  0.6710327 ]
   [0.6575519  0.26878238 0.6760383 ]
   [0.5403288  0.5173285  0.76575327]
   [0.55479217 0.4436167  0.59095174]
   [0.6928239  0.5211706  0.69666964]
   [0.62199163 0.35206407 0.62988275]
   [0.66687655 0.5214645  0.35659462]
   [0.6839725  0.2728258  0.32649213]]]]"
3,Gate_Pose_or_Parighasana__image_82.jpg,"[[[[0.38762704 0.56536704 0.71089286]
   [0.39936525 0.5721073  0.7032806 ]
   [0.39426744 0.57137865 0.6754654 ]
   [0.43569383 0.5398139  0.715746  ]
   [0.4243114  0.5463642  0.57369316]
   [0.46391052 0.52072465 0.8006956 ]
   [0.4177919  0.471056   0.6794323 ]
   [0.5743301  0.5745594  0.8809883 ]
   [0.3221377  0.5623364  0.65442914]
   [0.6569145  0.6452137  0.68924165]
   [0.30399054 0.6494608  0.7226226 ]
   [0.5799562  0.47043332 0.94555223]
   [0.579922   0.39633176 0.93215376]
   [0.6807897  0.6240577  0.7735823 ]
   [0.739179   0.34464145 0.8186168 ]
   [0.7435048  0.7441374  0.7854824 ]
   [0.73156136 0.383635   0.33619583]]]]"
4,Gate_Pose_or_Parighasana__image_77.jpg,"[[[[0.3945551  0.54143703 0.61028016]
   [0.37203178 0.5411459  0.5041911 ]
   [0.40060353 0.5232238  0.7532518 ]
   [0.3692447  0.557      0.65888983]
   [0.42304793 0.52147347 0.5667686 ]
   [0.38301143 0.6090892  0.5368062 ]
   [0.47316244 0.542787   0.6491836 ]
   [0.33792076 0.5757704  0.39616334]
   [0.5690345  0.50661665 0.47798425]
   [0.36546102 0.5437815  0.22152744]
   [0.5523712  0.4523691  0.4978215 ]
   [0.59254944 0.6889377  0.7712444 ]
   [0.5935816  0.61528885 0.85421044]
   [0.7613506  0.691949   0.65328914]
   [0.6651945  0.505314   0.6875937 ]
   [0.73837256 0.69014823 0.5161742 ]
   [0.7220533  0.38780692 0.4501585 ]]]]"
5,Gate_Pose_or_Parighasana__image_93.jpg,"[[[[0.3069933  0.5142029  0.7287179 ]
   [0.2911625  0.50478846 0.5040596 ]
   [0.3275794  0.48964125 0.6669156 ]
   [0.29634804 0.5232666  0.8248635 ]
   [0.3728334  0.49002126 0.32133266]
   [0.3103797  0.61036325 0.8129895 ]
   [0.45945817 0.52900386 0.62096834]
   [0.19624034 0.46828553 0.8838123 ]
   [0.5818491  0.46579564 0.7146705 ]
   [0.21262705 0.33040676 0.83189386]
   [0.7084898  0.38187376 0.88916266]
   [0.5980433  0.76831996 0.83773166]
   [0.59616804 0.64138734 0.9122624 ]
   [0.8277838  0.722388   0.7838691 ]
   [0.70476097 0.46884406 0.88375455]
   [0.7896754  0.7023912  0.8072013 ]
   [0.8238281  0.26814222 0.8764156 ]]]]"
6,Gate_Pose_or_Parighasana__image_89.jpg,"[[[[0.37512815 0.5030963  0.5625957 ]
   [0.37654492 0.49069595 0.6973775 ]
   [0.3934299  0.48627552 0.61278075]
   [0.39916885 0.49445328 0.51087993]
   [0.44304824 0.48522145 0.48769218]
   [0.38037392 0.5774109  0.5602431 ]
   [0.5092203  0.53154206 0.7539084 ]
   [0.2857702  0.49569118 0.839611  ]
   [0.63284594 0.48135737 0.83611894]
   [0.22052848 0.4043055  0.6349948 ]
   [0.7357492  0.3789799  0.6381856 ]
   [0.5725826  0.79301697 0.6634836 ]
   [0.59308326 0.7088077  0.82504064]
   [0.78729653 0.8215524  0.9026275 ]
   [0.66993487 0.50818104 0.68800193]
   [0.7974479  0.834642   0.07837775]
   [0.7701447  0.3638311  0.80080575]]]]"
7,Gate_Pose_or_Parighasana__image_24.jpg,"[[[[0.2905138  0.5071317  0.80071336]
   [0.27671444 0.4907316  0.5930812 ]
   [0.30384928 0.48503932 0.6348237 ]
   [0.28606966 0.4951309  0.6814016 ]
   [0.34888887 0.48425895 0.5463397 ]
   [0.28953284 0.586982   0.59105796]
   [0.44062707 0.5084396  0.57914335]
   [0.21396904 0.4832859  0.9006206 ]
   [0.54226387 0.45868477 0.5840886 ]
   [0.18767385 0.37148693 0.864681  ]
   [0.6547837  0.39189819 0.45447403]
   [0.49365413 0.7057795  0.5107714 ]
   [0.5411226  0.6177884  0.5044949 ]
   [0.52772826 0.71129537 0.60163385]
   [0.6557446  0.4303433  0.57031775]
   [0.729632   0.7058358  0.85172325]
   [0.74619913 0.29257256 0.26169762]]]]"
8,Gate_Pose_or_Parighasana__image_11.jpg,"[[[[0.26697028 0.5243993  0.57602584]
   [0.24243186 0.5072042  0.7099641 ]
   [0.2823736  0.49592838 0.64303595]
   [0.23277736 0.5006313  0.68130416]
   [0.31857383 0.4894933  0.5741523 ]
   [0.23044358 0.57696474 0.6378572 ]
   [0.39941034 0.5145082  0.75157917]
   [0.14380217 0.4716045  0.7257177 ]
   [0.56419516 0.46253443 0.8187892 ]
   [0.09023505 0.33316553 0.7484677 ]
   [0.6861582  0.40350786 0.7877351 ]
   [0.5073831  0.7358835  0.7712646 ]
   [0.5192583  0.6125234  0.9022185 ]
   [0.71331406 0.7009124  0.79696417]
   [0.681063   0.4880414  0.805522  ]
   [0.66841483 0.4925434  0.28218752]
   [0.8388694  0.3384047  0.73786443]]]]"
9,Gate_Pose_or_Parighasana__image_70.jpg,"[[[[0.33127496 0.4834398  0.6328359 ]
   [0.3359654  0.50259024 0.80477357]
   [0.32591796 0.5012065  0.6302246 ]
   [0.38171446 0.5049969  0.72782665]
   [0.3568033  0.5061616  0.7475811 ]
   [0.45986468 0.49446288 0.9051576 ]
   [0.36490577 0.41785982 0.8251105 ]
   [0.57855666 0.525863   0.9332113 ]
   [0.2757954  0.51196814 0.8581224 ]
   [0.67074865 0.5699502  0.80444825]
   [0.20733911 0.5854152  0.74663234]
   [0.58279115 0.40809646 0.8978481 ]
   [0.5701577  0.31839713 0.812174  ]
   [0.70301455 0.5604904  0.8232226 ]
   [0.776945   0.313715   0.7125702 ]
   [0.759721   0.6912057  0.82787454]
   [0.7534268  0.34797782 0.74332386]]]]"
