,image,score
0,Goddess_Pose_or_Utkata_Konasana_image_29.jpg,"[[[[0.2636837  0.48222825 0.5238574 ]
   [0.24448162 0.49868688 0.808194  ]
   [0.24704352 0.4656791  0.88614476]
   [0.25122687 0.5240996  0.85977465]
   [0.25734842 0.44306257 0.91524225]
   [0.3374133  0.58024174 0.9306073 ]
   [0.33283526 0.3976495  0.97112525]
   [0.30523393 0.7189134  0.9223165 ]
   [0.29829332 0.26004207 0.8005052 ]
   [0.17487024 0.73215616 0.70666045]
   [0.17632799 0.23578829 0.89659446]
   [0.59413505 0.541147   0.90836173]
   [0.595224   0.43017566 0.9475199 ]
   [0.68800056 0.7395914  0.9165188 ]
   [0.6916622  0.24272403 0.71774757]
   [0.88378465 0.7145154  0.7348656 ]
   [0.8761481  0.2793326  0.7057865 ]]]]"
1,Goddess_Pose_or_Utkata_Konasana_image_40.jpeg,"[[[[0.25327045 0.50114024 0.6997908 ]
   [0.24074396 0.5168226  0.82320285]
   [0.23829328 0.48868853 0.84946215]
   [0.26162663 0.53688234 0.8945281 ]
   [0.2596209  0.47452593 0.89453554]
   [0.3269546  0.56838214 0.82746464]
   [0.32436186 0.44679284 0.8231227 ]
   [0.21880114 0.6163849  0.832805  ]
   [0.20834552 0.39935195 0.72595775]
   [0.15182996 0.5252152  0.43030283]
   [0.15559049 0.4919297  0.6575143 ]
   [0.5451292  0.5477731  0.5752583 ]
   [0.53886294 0.4611961  0.7711619 ]
   [0.62456083 0.67559963 0.81171143]
   [0.6178665  0.30394346 0.9515331 ]
   [0.7847419  0.6773928  0.68629336]
   [0.7815618  0.31146982 0.8231922 ]]]]"
2,Goddess_Pose_or_Utkata_Konasana_image_20.jpg,"[[[[0.327711   0.4913264  0.5948579 ]
   [0.32011956 0.5010477  0.7407232 ]
   [0.31768167 0.48175263 0.83249265]
   [0.3331937  0.5150772  0.45407024]
   [0.33275247 0.46415418 0.7241031 ]
   [0.37543163 0.53899634 0.7250052 ]
   [0.38288274 0.43614224 0.5723084 ]
   [0.42986843 0.57495457 0.79032916]
   [0.43874687 0.39548528 0.64352685]
   [0.40360576 0.5251458  0.30019343]
   [0.41109142 0.44358444 0.35918579]
   [0.5225012  0.52485967 0.7733657 ]
   [0.5264367  0.46471348 0.8276921 ]
   [0.5402138  0.64564186 0.8039618 ]
   [0.5488436  0.34285325 0.9055234 ]
   [0.6568072  0.65059483 0.8470169 ]
   [0.663295   0.33716577 0.76823705]]]]"
3,Goddess_Pose_or_Utkata_Konasana_image_34.jpg,"[[[[0.23422816 0.47474483 0.42509013]
   [0.2205611  0.4648695  0.44989553]
   [0.22301209 0.48542425 0.42611256]
   [0.2370498  0.45344368 0.52696186]
   [0.23632023 0.49869218 0.5245719 ]
   [0.2729946  0.41624612 0.61696166]
   [0.27985165 0.527474   0.7684452 ]
   [0.22154868 0.4048643  0.44380817]
   [0.2096166  0.55074984 0.5695992 ]
   [0.13671444 0.416663   0.7169093 ]
   [0.13320301 0.5477672  0.80177   ]
   [0.47622943 0.44253552 0.9064825 ]
   [0.47786292 0.5238132  0.80110526]
   [0.54250425 0.30143175 0.80470777]
   [0.55307996 0.634525   0.93274367]
   [0.69274646 0.28117678 0.8361024 ]
   [0.70003265 0.6649215  0.86396235]]]]"
4,Goddess_Pose_or_Utkata_Konasana_image_47.jpeg,"[[[[0.37368295 0.5040681  0.67958134]
   [0.36320707 0.5175771  0.7054586 ]
   [0.36275536 0.5004376  0.62697566]
   [0.38747835 0.5380341  0.7874563 ]
   [0.38033283 0.50068325 0.66321176]
   [0.42899838 0.55401075 0.56865263]
   [0.4318934  0.47464538 0.6499777 ]
   [0.35633597 0.5921958  0.70645076]
   [0.3414661  0.44872132 0.81299883]
   [0.28362086 0.5359294  0.67891747]
   [0.2858104  0.5058796  0.6922145 ]
   [0.58537114 0.5493143  0.8347273 ]
   [0.58298826 0.4862866  0.7514005 ]
   [0.60033286 0.6717875  0.88273597]
   [0.6023609  0.36924538 0.81348723]
   [0.7192514  0.69208777 0.8772188 ]
   [0.7295835  0.36352447 0.79757833]]]]"
5,Goddess_Pose_or_Utkata_Konasana_image_28.jpeg,"[[[[0.2718768  0.5692338  0.8547563 ]
   [0.2587744  0.58214486 0.89665526]
   [0.2594188  0.55833197 0.9201931 ]
   [0.27177894 0.60354674 0.8612647 ]
   [0.27090636 0.5407646  0.8837472 ]
   [0.3464932  0.645712   0.86894345]
   [0.34666154 0.5066781  0.8897189 ]
   [0.44435018 0.67331123 0.73265386]
   [0.4579598  0.47529256 0.8441199 ]
   [0.40309083 0.5921309  0.79707175]
   [0.40792102 0.5617194  0.6045615 ]
   [0.55407864 0.61175257 0.69141126]
   [0.55692935 0.5296785  0.8068483 ]
   [0.56444776 0.7702671  0.7542575 ]
   [0.573515   0.37671515 0.8006136 ]
   [0.72591597 0.8038664  0.7709018 ]
   [0.73408306 0.34803146 0.8807232 ]]]]"
6,Goddess_Pose_or_Utkata_Konasana_image_12.jpg,"[[[[0.21660024 0.54094064 0.7919828 ]
   [0.20118716 0.5558628  0.83923954]
   [0.1994428  0.5250538  0.8526716 ]
   [0.20797816 0.57301116 0.8919423 ]
   [0.20827454 0.50201297 0.8620281 ]
   [0.29293308 0.6198742  0.8003349 ]
   [0.28854218 0.4499079  0.9103359 ]
   [0.35038278 0.7373827  0.7668011 ]
   [0.33840704 0.3283448  0.790082  ]
   [0.2529672  0.7644826  0.82757384]
   [0.2362048  0.3027599  0.8934112 ]
   [0.5341014  0.59044933 0.9199575 ]
   [0.53661436 0.47659385 0.8652937 ]
   [0.6390154  0.73751044 0.95009553]
   [0.6442547  0.3186977  0.74868655]
   [0.82122564 0.7769727  0.83146745]
   [0.8185913  0.3206113  0.92092437]]]]"
7,Goddess_Pose_or_Utkata_Konasana_image_15.jpg,"[[[[0.21125923 0.41198033 0.8080163 ]
   [0.19152273 0.42645344 0.66193205]
   [0.19211642 0.42661542 0.68566245]
   [0.20527479 0.46885294 0.6591311 ]
   [0.20358478 0.48469785 0.6623136 ]
   [0.26757422 0.46229854 0.72780275]
   [0.2684517  0.51210225 0.75589454]
   [0.3825602  0.38093638 0.6603828 ]
   [0.37736282 0.6329677  0.48723546]
   [0.46782696 0.2835133  0.6073336 ]
   [0.47087404 0.29410186 0.21999991]
   [0.49529657 0.5403003  0.69539624]
   [0.49787572 0.52170324 0.6971788 ]
   [0.5497918  0.79246247 0.80238134]
   [0.5174085  0.25333977 0.73588943]
   [0.7566212  0.71523917 0.7670863 ]
   [0.7469864  0.27519932 0.728412  ]]]]"
8,Goddess_Pose_or_Utkata_Konasana_image_13.jpg,"[[[[0.37656227 0.4984332  0.43691912]
   [0.36692357 0.5110156  0.78647685]
   [0.3664714  0.49071038 0.8169916 ]
   [0.3797243  0.5227782  0.74497706]
   [0.3778392  0.4835795  0.6998658 ]
   [0.41685915 0.5395253  0.6280445 ]
   [0.41598293 0.4608134  0.7295299 ]
   [0.317781   0.55155313 0.64787567]
   [0.3229659  0.44053173 0.7137641 ]
   [0.2396529  0.5128358  0.76157415]
   [0.23953341 0.48474008 0.5970016 ]
   [0.56387645 0.53152204 0.80243224]
   [0.5605623  0.47046518 0.75285697]
   [0.5932644  0.6448775  0.86783206]
   [0.594816   0.3515578  0.9113558 ]
   [0.70535916 0.66733515 0.6954904 ]
   [0.7031853  0.33988008 0.73056287]]]]"
9,Goddess_Pose_or_Utkata_Konasana_image_68.jpg,"[[[[0.37533417 0.4980729  0.5479733 ]
   [0.3576524  0.514872   0.6787405 ]
   [0.35610354 0.48494643 0.7475571 ]
   [0.37097496 0.53360564 0.9249925 ]
   [0.36773944 0.46416056 0.8792648 ]
   [0.42054603 0.562752   0.70758384]
   [0.42098168 0.43119398 0.82605195]
   [0.2863753  0.5583694  0.79968107]
   [0.292971   0.4400325  0.7352489 ]
   [0.1635725  0.53344274 0.82855374]
   [0.16346811 0.47058496 0.6577321 ]
   [0.6608526  0.54834443 0.9326605 ]
   [0.6576948  0.4339253  0.8880621 ]
   [0.7232355  0.7440704  0.945115  ]
   [0.7048767  0.24838476 0.92547816]
   [0.90160114 0.7390791  0.78784823]
   [0.8870432  0.24326435 0.83645284]]]]"
