,image,score
0,Cow_Face_Pose_or_Gomukhasana__image_88.jpg,"[[[[0.3076592  0.5192969  0.34320223]
   [0.29025608 0.51766086 0.47588816]
   [0.29125533 0.5203043  0.46746913]
   [0.30011502 0.50089186 0.47506675]
   [0.30088127 0.50120795 0.49250278]
   [0.40041083 0.557023   0.67045563]
   [0.413688   0.39606902 0.79036206]
   [0.39925492 0.56746095 0.17792633]
   [0.58382696 0.43506208 0.79476684]
   [0.4422299  0.4782753  0.3458335 ]
   [0.44937733 0.4786987  0.50466835]
   [0.6952984  0.55457747 0.6555415 ]
   [0.69540125 0.45024788 0.8498397 ]
   [0.60003436 0.5189936  0.44344258]
   [0.62951046 0.45764846 0.23062949]
   [0.7361978  0.57561576 0.3369557 ]
   [0.73840016 0.585094   0.7401941 ]]]]"
1,Cow_Face_Pose_or_Gomukhasana__image_101.jpg,"[[[[0.49427757 0.4940034  0.86240995]
   [0.47322774 0.5100907  0.8278228 ]
   [0.47387472 0.47717723 0.8208506 ]
   [0.4838249  0.53595626 0.6912588 ]
   [0.48417956 0.46037573 0.68726873]
   [0.5775342  0.59481734 0.8174787 ]
   [0.56571835 0.4203302  0.6465718 ]
   [0.7165046  0.6145379  0.8298919 ]
   [0.46837467 0.4354236  0.42572197]
   [0.6745037  0.5341012  0.30476585]
   [0.46158528 0.5019987  0.16570637]
   [0.8297578  0.55896574 0.66181   ]
   [0.8254976  0.42702448 0.49674615]
   [0.89841527 0.52297515 0.72698605]
   [0.7371954  0.4958245  0.44460386]
   [0.88479286 0.35619593 0.7301568 ]
   [0.88837254 0.65303266 0.83568895]]]]"
2,Cow_Face_Pose_or_Gomukhasana__image_165.jpg,"[[[[0.70022494 0.5038055  0.25484708]
   [0.69537586 0.4810664  0.26067743]
   [0.6914357  0.5230056  0.16028906]
   [0.7287186  0.4357952  0.36321566]
   [0.71936804 0.5306517  0.14305425]
   [0.77132195 0.4089441  0.15175693]
   [0.7545466  0.55164593 0.26833442]
   [0.6449173  0.4110775  0.17528786]
   [0.63727194 0.5854935  0.13275217]
   [0.46987832 0.5051957  0.19161911]
   [0.48973274 0.5070887  0.18716261]
   [0.8568581  0.4517797  0.25827438]
   [0.8488342  0.5544554  0.2180192 ]
   [0.8281894  0.5362446  0.15258749]
   [0.85631776 0.5785764  0.36348912]
   [0.86490136 0.64289856 0.5626298 ]
   [0.86688083 0.63481396 0.29935077]]]]"
3,Cow_Face_Pose_or_Gomukhasana__image_163.jpg,"[[[[0.22384647 0.47700208 0.9008678 ]
   [0.19642095 0.50179106 0.85601956]
   [0.19731022 0.45005646 0.890062  ]
   [0.21891904 0.539247   0.8048433 ]
   [0.22540694 0.42429358 0.84344697]
   [0.3790773  0.6169425  0.88642234]
   [0.34722027 0.3757396  0.8943696 ]
   [0.6235905  0.7115145  0.65026677]
   [0.10566335 0.40040538 0.6794673 ]
   [0.5696233  0.53933805 0.7736846 ]
   [0.11462169 0.40841103 0.19065781]
   [0.7690205  0.56164306 0.86191994]
   [0.7571303  0.37793794 0.6818088 ]
   [0.8363716  0.48841307 0.5527595 ]
   [0.60287374 0.43042296 0.6238362 ]
   [0.8373778  0.28489196 0.77635604]
   [0.843555   0.70586973 0.80256736]]]]"
4,Cow_Face_Pose_or_Gomukhasana__image_149.jpg,"[[[[0.16489728 0.51018107 0.87622625]
   [0.13358432 0.5388497  0.9082472 ]
   [0.13629347 0.47528446 0.8718298 ]
   [0.16025046 0.5769435  0.6703326 ]
   [0.16670598 0.4324781  0.8707223 ]
   [0.37470588 0.654073   0.9572548 ]
   [0.32230613 0.37715045 0.83744633]
   [0.63247615 0.6353751  0.83466095]
   [0.0514431  0.40855482 0.6513378 ]
   [0.6438895  0.48404747 0.3138178 ]
   [0.07874589 0.511576   0.06746189]
   [0.78296256 0.6391694  0.67967963]
   [0.7763146  0.41421175 0.6688902 ]
   [0.6574524  0.52072334 0.62946206]
   [0.9059038  0.45022693 0.84956694]
   [0.8957399  0.30017018 0.80261654]
   [0.9039743  0.7078626  0.8158118 ]]]]"
5,Cow_Face_Pose_or_Gomukhasana__image_38.jpg,"[[[[0.19641924 0.5279878  0.19414863]
   [0.1956721  0.3922975  0.07557019]
   [0.17034915 0.54505986 0.1899052 ]
   [0.21361376 0.3651013  0.55028635]
   [0.18983391 0.52193177 0.31005484]
   [0.37169054 0.36246732 0.45252535]
   [0.3077679  0.54111457 0.18957469]
   [0.552967   0.33147624 0.25878203]
   [0.4394103  0.49131474 0.09735582]
   [0.45763183 0.4674158  0.35323668]
   [0.25585943 0.5324869  0.2329    ]
   [0.7107276  0.42991614 0.22525825]
   [0.70518136 0.57968056 0.3328926 ]
   [0.8415759  0.39013112 0.05875605]
   [0.8892696  0.5801333  0.05693779]
   [0.9147476  0.38326138 0.04053836]
   [0.90569544 0.53948903 0.08656261]]]]"
6,Cow_Face_Pose_or_Gomukhasana__image_167.jpg,"[[[[0.31431776 0.49558133 0.6385387 ]
   [0.29434335 0.4812745  0.6211195 ]
   [0.2923539  0.5119116  0.55135876]
   [0.315794   0.43877584 0.68823415]
   [0.3144965  0.5401376  0.543801  ]
   [0.47124016 0.36504498 0.64062726]
   [0.42239073 0.5735163  0.5844662 ]
   [0.6471264  0.4005313  0.84725505]
   [0.20693883 0.59586465 0.6589726 ]
   [0.52246106 0.4958526  0.55467886]
   [0.36741233 0.51268315 0.33326194]
   [0.7852396  0.46402788 0.6423716 ]
   [0.7650162  0.58325076 0.755386  ]
   [0.6429107  0.42435342 0.16586737]
   [0.63106954 0.53448284 0.07457734]
   [0.84766364 0.42031965 0.53801304]
   [0.85706735 0.6447474  0.73187286]]]]"
7,Cow_Face_Pose_or_Gomukhasana__image_61.jpg,"[[[[0.1492552  0.47472474 0.7215111 ]
   [0.13562952 0.49216014 0.6931247 ]
   [0.13512003 0.45715055 0.62873375]
   [0.1543586  0.51076645 0.54608727]
   [0.152707   0.43933412 0.6679111 ]
   [0.25381547 0.5801639  0.90054935]
   [0.25130105 0.3869206  0.7048538 ]
   [0.40696508 0.68258846 0.33737317]
   [0.42260078 0.32872555 0.5697514 ]
   [0.5320862  0.724872   0.43958032]
   [0.5276374  0.21552233 0.36521205]
   [0.52387327 0.55912715 0.75810456]
   [0.52674675 0.42059636 0.75762343]
   [0.58509374 0.8739423  0.48800302]
   [0.53960556 0.23012373 0.3412036 ]
   [0.5959295  0.5466995  0.13694169]
   [0.6007438  0.5441458  0.34834087]]]]"
8,Cow_Face_Pose_or_Gomukhasana__image_140.jpg,"[[[[0.14224486 0.48409778 0.44193   ]
   [0.11548834 0.4660654  0.5758807 ]
   [0.11874235 0.50689584 0.4735406 ]
   [0.14169294 0.43718657 0.44966084]
   [0.14393535 0.544581   0.49272814]
   [0.28558856 0.37884402 0.70775646]
   [0.32595807 0.6278381  0.89239866]
   [0.036318   0.34007025 0.31773221]
   [0.57928956 0.6437317  0.8047088 ]
   [0.2230613  0.43972188 0.13559936]
   [0.40499339 0.5036422  0.43939424]
   [0.69571215 0.42899442 0.7916894 ]
   [0.68539697 0.57495993 0.6118575 ]
   [0.72341555 0.40344262 0.3639204 ]
   [0.7308948  0.57360995 0.17571063]
   [0.8420117  0.49559224 0.45700234]
   [0.83691055 0.49342006 0.4618426 ]]]]"
9,Cow_Face_Pose_or_Gomukhasana__image_159.jpg,"[[[[0.34674928 0.502224   0.7113242 ]
   [0.31763175 0.52262187 0.8968606 ]
   [0.31998846 0.47690544 0.89247584]
   [0.30801255 0.55097336 0.7793935 ]
   [0.30924243 0.4421969  0.82885766]
   [0.38600576 0.60172415 0.95264447]
   [0.39221647 0.39100483 0.8129906 ]
   [0.5450284  0.6576864  0.9217012 ]
   [0.5501767  0.35045496 0.91478634]
   [0.668063   0.73676485 0.8710112 ]
   [0.6908644  0.28714243 0.86244166]
   [0.64171755 0.56553406 0.9426806 ]
   [0.63533485 0.4306548  0.84865284]
   [0.8124958  0.5322684  0.5207602 ]
   [0.7102306  0.54112977 0.4896011 ]
   [0.712907   0.38402185 0.49064463]
   [0.71474314 0.64995307 0.62359494]]]]"
