,image,score
0,Plow_Pose_or_Halasana__image_30.jpg,"[[[[0.7057601  0.5558771  0.60831344]
   [0.7068662  0.56452644 0.5698158 ]
   [0.69599575 0.56382906 0.32723266]
   [0.7408991  0.5350855  0.6563339 ]
   [0.72185004 0.53885514 0.3547068 ]
   [0.7550101  0.47121328 0.7814837 ]
   [0.68721855 0.5172837  0.4409819 ]
   [0.7493388  0.3198182  0.47674984]
   [0.66704    0.33000946 0.39720038]
   [0.7590221  0.17240354 0.61369646]
   [0.645706   0.21561182 0.85360825]
   [0.44319338 0.4053503  0.80312634]
   [0.47186714 0.42478615 0.5609247 ]
   [0.5826124  0.59279764 0.7576535 ]
   [0.56788003 0.6021796  0.67326826]
   [0.5522569  0.8042483  0.6475516 ]
   [0.54969996 0.7981516  0.42087018]]]]"
1,Plow_Pose_or_Halasana__image_7.jpg,"[[[[0.67169034 0.5366794  0.3281104 ]
   [0.678716   0.5545546  0.6628839 ]
   [0.6747783  0.5497454  0.49014282]
   [0.7235951  0.55181557 0.73220414]
   [0.72160053 0.54897636 0.4511283 ]
   [0.74416167 0.4793619  0.83396196]
   [0.7244026  0.49225467 0.5617496 ]
   [0.74278396 0.32691625 0.69180405]
   [0.7278053  0.3439671  0.77460253]
   [0.7317403  0.23484099 0.73820186]
   [0.7044621  0.23794311 0.65028137]
   [0.49796683 0.47277325 0.82575315]
   [0.49600148 0.45789436 0.86478835]
   [0.60364723 0.66422445 0.73106754]
   [0.60081184 0.6576901  0.7669411 ]
   [0.6713332  0.8753423  0.5943112 ]
   [0.66887    0.8471719  0.7349875 ]]]]"
2,Plow_Pose_or_Halasana__image_42.jpg,"[[[[0.6579193  0.5742768  0.37114164]
   [0.65763927 0.58640546 0.1869644 ]
   [0.6581213  0.58546656 0.21210149]
   [0.676314   0.5498633  0.47547653]
   [0.678876   0.5430264  0.3859297 ]
   [0.6509845  0.47567746 0.556555  ]
   [0.62266445 0.4710154  0.5594824 ]
   [0.68687797 0.32559696 0.24682671]
   [0.65340126 0.32519948 0.33392113]
   [0.6922125  0.15184797 0.38366815]
   [0.6710886  0.14613119 0.64878637]
   [0.38714474 0.38365513 0.7752738 ]
   [0.39651862 0.3736263  0.8620914 ]
   [0.52171564 0.65598816 0.73074377]
   [0.5251031  0.6671687  0.76975673]
   [0.60247284 0.8973375  0.72316873]
   [0.60254765 0.89201975 0.7998325 ]]]]"
3,Plow_Pose_or_Halasana__image_100.jpg,"[[[[0.64235735 0.44989312 0.43408224]
   [0.65194535 0.44046682 0.5015437 ]
   [0.6533098  0.44539526 0.49625704]
   [0.6959815  0.43603098 0.49678853]
   [0.70229983 0.44089028 0.6394994 ]
   [0.6977655  0.5122212  0.6805087 ]
   [0.71153283 0.5149933  0.82525384]
   [0.7118589  0.65588766 0.6499561 ]
   [0.71436226 0.66157055 0.6100845 ]
   [0.71930546 0.82983696 0.5683846 ]
   [0.72867966 0.83092093 0.67484057]
   [0.4706159  0.5278111  0.7839868 ]
   [0.4695387  0.53278065 0.85136616]
   [0.5595291  0.30969495 0.80943274]
   [0.55895144 0.3177706  0.7799853 ]
   [0.6371681  0.10968889 0.9256873 ]
   [0.6392903  0.10364686 0.6680834 ]]]]"
4,Plow_Pose_or_Halasana__image_39.jpg,"[[[[0.01100423 0.38930947 0.01735421]
   [0.2294791  0.5657976  0.00691374]
   [0.21092622 0.39187863 0.00443978]
   [0.2108978  0.23758942 0.00412378]
   [0.5992684  0.07949763 0.01528754]
   [0.23482549 0.26390037 0.0784898 ]
   [0.26046333 0.22104818 0.05136006]
   [0.58805925 0.35217232 0.09877037]
   [0.5470442  0.29694057 0.03397797]
   [0.6451308  0.43774208 0.19142078]
   [0.5314764  0.30463755 0.04867255]
   [0.30294523 0.3709124  0.22304034]
   [0.28528288 0.35888892 0.28123486]
   [0.39406258 0.6621872  0.34758043]
   [0.3835727  0.66626364 0.3611544 ]
   [0.47960585 0.8744946  0.14769588]
   [0.48564422 0.8695812  0.284458  ]]]]"
5,Plow_Pose_or_Halasana__image_31.jpg,"[[[[0.6589814  0.38680622 0.45689297]
   [0.6781751  0.40041846 0.47426528]
   [0.6633402  0.40422156 0.5200724 ]
   [0.77112395 0.3761112  0.5411127 ]
   [0.7536296  0.38686153 0.49255005]
   [0.758121   0.2677789  0.5160441 ]
   [0.7345856  0.30274725 0.6673356 ]
   [0.7989763  0.10208853 0.33777788]
   [0.7868582  0.09865501 0.22858723]
   [0.7377996  0.10312213 0.04469882]
   [0.56950283 0.06234328 0.3347544 ]
   [0.27848795 0.22528456 0.80992025]
   [0.27027714 0.24396951 0.8986571 ]
   [0.48775727 0.5813388  0.428637  ]
   [0.46226883 0.55604494 0.30767098]
   [0.55919224 0.7750964  0.12382882]
   [0.53392977 0.5293075  0.02475518]]]]"
6,Plow_Pose_or_Halasana__image_106.jpg,"[[[[0.5387915  0.607299   0.5351408 ]
   [0.5521586  0.6285343  0.31877258]
   [0.54692954 0.62478834 0.3360596 ]
   [0.59175885 0.6250052  0.6118268 ]
   [0.58605105 0.61840636 0.57023257]
   [0.6052155  0.5623229  0.5995292 ]
   [0.57284755 0.5512809  0.64721566]
   [0.6377399  0.41343692 0.7806442 ]
   [0.580886   0.4099702  0.6304829 ]
   [0.6552279  0.28898203 0.8340851 ]
   [0.5727133  0.3213716  0.5637658 ]
   [0.39875475 0.465361   0.5811126 ]
   [0.38809323 0.46098605 0.67573905]
   [0.47575903 0.6438494  0.8007742 ]
   [0.46672764 0.6405014  0.4941647 ]
   [0.5380978  0.8264442  0.6519852 ]
   [0.5283163  0.8084317  0.5237094 ]]]]"
7,Plow_Pose_or_Halasana__image_26.jpg,"[[[[0.5234311  0.62406063 0.7655381 ]
   [0.53989005 0.64197934 0.6633628 ]
   [0.5303885  0.6388128  0.65629506]
   [0.59623915 0.63971996 0.83167034]
   [0.5854084  0.63322276 0.66531   ]
   [0.6135756  0.5653068  0.73462605]
   [0.5591313  0.56553674 0.2831702 ]
   [0.6529008  0.35430554 0.88715446]
   [0.56838423 0.38252658 0.8425735 ]
   [0.6756656  0.16338584 0.8620051 ]
   [0.57434326 0.25047317 0.48753154]
   [0.3714102  0.4845266  0.6983133 ]
   [0.36353865 0.47759202 0.7958675 ]
   [0.4659139  0.70174354 0.8015541 ]
   [0.4578341  0.7027929  0.6982575 ]
   [0.5343278  0.9526595  0.83934575]
   [0.5157538  0.9323769  0.501517  ]]]]"
8,Plow_Pose_or_Halasana__image_5.jpg,"[[[[0.5693275  0.4936491  0.5553165 ]
   [0.5667067  0.491488   0.46824864]
   [0.57460797 0.4805396  0.5463515 ]
   [0.6002693  0.4981547  0.58032423]
   [0.61234975 0.49904802 0.44032452]
   [0.6031679  0.5307165  0.6556956 ]
   [0.6353991  0.5593336  0.7086361 ]
   [0.6132351  0.42710492 0.75929487]
   [0.61731505 0.42286912 0.5403628 ]
   [0.61370367 0.30484006 0.6364832 ]
   [0.61957467 0.2943836  0.31522268]
   [0.41744208 0.6027702  0.81214046]
   [0.42312703 0.6020591  0.7901675 ]
   [0.47994307 0.3941175  0.7805658 ]
   [0.4879505  0.38244137 0.80401903]
   [0.5751773  0.22172254 0.56564736]
   [0.5781585  0.19281745 0.63600975]]]]"
9,Plow_Pose_or_Halasana__image_120.jpg,"[[[[0.5571486  0.38183096 0.39751238]
   [0.5593826  0.38445318 0.3443241 ]
   [0.58621    0.38170382 0.2707435 ]
   [0.6354441  0.41583514 0.26437908]
   [0.64928895 0.41748634 0.29615363]
   [0.5629795  0.50561017 0.21604212]
   [0.5827123  0.51677394 0.5732078 ]
   [0.569041   0.6655703  0.1771388 ]
   [0.6218931  0.67107415 0.4991929 ]
   [0.54969555 0.7277343  0.10010429]
   [0.66226554 0.8284267  0.5102366 ]
   [0.27419272 0.5320224  0.7938632 ]
   [0.27823895 0.55083776 0.84104854]
   [0.40150163 0.298499   0.6114946 ]
   [0.39872903 0.30921298 0.7227715 ]
   [0.49240106 0.08444464 0.7447043 ]
   [0.4907398  0.08555089 0.7200408 ]]]]"
