,image,score
0,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_13.jpg,"[[[[0.43512577 0.50827605 0.17810395]
   [0.4241044  0.5196783  0.4127048 ]
   [0.4358797  0.41841304 0.48082215]
   [0.41894844 0.5444535  0.42229772]
   [0.43407637 0.3814437  0.73416424]
   [0.46974376 0.5164571  0.5119489 ]
   [0.4783767  0.48310515 0.3520967 ]
   [0.5414771  0.63863885 0.37034374]
   [0.57163155 0.41969344 0.5325323 ]
   [0.61906195 0.6775524  0.14753495]
   [0.57350016 0.4559465  0.21366315]
   [0.6211887  0.5149097  0.3174753 ]
   [0.64688563 0.51895565 0.44654468]
   [0.5366107  0.61807984 0.33610457]
   [0.6470553  0.5456475  0.68877596]
   [0.6349396  0.68209    0.50728357]
   [0.63709825 0.6823139  0.6702089 ]]]]"
1,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_37.jpg,"[[[[0.3027535  0.50545895 0.8307847 ]
   [0.285235   0.5360678  0.7911324 ]
   [0.28335652 0.4998892  0.6371398 ]
   [0.30936655 0.58576274 0.81476045]
   [0.29280707 0.50312054 0.7457628 ]
   [0.40787596 0.63673794 0.89025456]
   [0.38263372 0.4075673  0.92741966]
   [0.5659849  0.7141012  0.760254  ]
   [0.54103494 0.30853832 0.9008348 ]
   [0.6987881  0.7431564  0.66101414]
   [0.62527347 0.39800334 0.5104787 ]
   [0.67966026 0.57952    0.688785  ]
   [0.6975237  0.44484138 0.858808  ]
   [0.53038895 0.6730177  0.23629302]
   [0.5680582  0.5783445  0.29201704]
   [0.67289776 0.61775947 0.24536198]
   [0.6710351  0.6292553  0.3040559 ]]]]"
2,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_181.jpg,"[[[[0.28624287 0.44497216 0.5680284 ]
   [0.25786674 0.47120294 0.54307073]
   [0.25908434 0.44001147 0.5663574 ]
   [0.261803   0.50259286 0.6899795 ]
   [0.26175725 0.4400613  0.3669106 ]
   [0.37011933 0.5766638  0.7041954 ]
   [0.3652146  0.3666387  0.8436271 ]
   [0.5282209  0.6537391  0.67983747]
   [0.53606856 0.33080655 0.8156248 ]
   [0.6512541  0.7373452  0.57430327]
   [0.68319416 0.256636   0.72440827]
   [0.6562356  0.54337925 0.84380484]
   [0.6762413  0.42976284 0.80635494]
   [0.6319281  0.6324383  0.15279247]
   [0.61204785 0.58921623 0.09568276]
   [0.6907896  0.5353877  0.30124786]
   [0.665906   0.5971753  0.20362268]]]]"
3,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_20.jpg,"[[[[0.32198444 0.6024841  0.8957769 ]
   [0.30203652 0.62261957 0.7296215 ]
   [0.30526447 0.5832552  0.8853286 ]
   [0.31768277 0.65186787 0.8365222 ]
   [0.32211033 0.5686912  0.8681352 ]
   [0.41525635 0.7018379  0.93565005]
   [0.39411217 0.528227   0.87758684]
   [0.5780782  0.700248   0.8920342 ]
   [0.55612355 0.44835937 0.7163739 ]
   [0.7273655  0.7180184  0.77086264]
   [0.70879674 0.43005437 0.86379   ]
   [0.70087475 0.6042444  0.75200593]
   [0.69527805 0.53296673 0.80037147]
   [0.46394703 0.41894105 0.8294412 ]
   [0.6784614  0.31128752 0.3987873 ]
   [0.69623333 0.37650806 0.48564228]
   [0.7131926  0.38574168 0.4205247 ]]]]"
4,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_185.jpg,"[[[[0.32439253 0.49798042 0.3086072 ]
   [0.29717305 0.52472323 0.6532861 ]
   [0.30262414 0.48327813 0.51757395]
   [0.30245522 0.57996756 0.76894647]
   [0.30506346 0.48350725 0.21977936]
   [0.39904127 0.6417819  0.5314289 ]
   [0.43309385 0.44466493 0.632273  ]
   [0.5329939  0.72277373 0.31635204]
   [0.62756693 0.36114883 0.43689218]
   [0.70824593 0.80782366 0.6503189 ]
   [0.78526855 0.26969323 0.8196252 ]
   [0.7412558  0.5637767  0.6905418 ]
   [0.74142146 0.4678302  0.7749548 ]
   [0.7691279  0.79461646 0.6457058 ]
   [0.53043604 0.7044476  0.82832706]
   [0.81491995 0.50379544 0.8869841 ]
   [0.7271232  0.80069    0.24893351]]]]"
5,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_216.jpg,"[[[[0.34322634 0.52913666 0.48994187]
   [0.3322005  0.52032006 0.43517974]
   [0.33439726 0.52171665 0.63223463]
   [0.34188014 0.49544826 0.2726906 ]
   [0.34321135 0.4954274  0.4930051 ]
   [0.41947564 0.51237947 0.46636614]
   [0.42395884 0.44600034 0.7183805 ]
   [0.5322814  0.5422586  0.5066948 ]
   [0.5481361  0.5100503  0.5187269 ]
   [0.62638    0.59710234 0.38316858]
   [0.6366592  0.6016831  0.32539466]
   [0.65089196 0.49623898 0.51892763]
   [0.6545513  0.43335104 0.48459798]
   [0.607294   0.48266035 0.06776391]
   [0.71983796 0.4656614  0.19155888]
   [0.7535187  0.33417684 0.6319275 ]
   [0.70465565 0.6162328  0.39736053]]]]"
6,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_114.jpg,"[[[[0.50874496 0.5735459  0.57412446]
   [0.503807   0.5753296  0.48146063]
   [0.50404793 0.56301564 0.5076673 ]
   [0.50701416 0.572472   0.5168501 ]
   [0.5080839  0.5426759  0.59662455]
   [0.5451608  0.5933888  0.5559732 ]
   [0.54563385 0.507195   0.40200254]
   [0.61259073 0.59994817 0.52101445]
   [0.6086582  0.49506885 0.4938633 ]
   [0.6385656  0.53825986 0.27856532]
   [0.6373216  0.49619704 0.2957793 ]
   [0.6652304  0.5757897  0.4809781 ]
   [0.66885495 0.5354186  0.48483604]
   [0.6266088  0.59849256 0.2957429 ]
   [0.6296261  0.48525703 0.26994145]
   [0.68490815 0.55555415 0.35896528]
   [0.6799018  0.52155274 0.21089834]]]]"
7,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_46.jpg,"[[[[0.2916636  0.6107237  0.7646963 ]
   [0.27187526 0.5950518  0.7643231 ]
   [0.27299666 0.585726   0.8341004 ]
   [0.2798998  0.5398495  0.70212746]
   [0.28622085 0.5204043  0.83002394]
   [0.38237542 0.6377443  0.88462734]
   [0.40171754 0.45245445 0.7512332 ]
   [0.5524886  0.69063735 0.721986  ]
   [0.53173846 0.35889447 0.8798615 ]
   [0.67657256 0.73725635 0.92715096]
   [0.6615215  0.25157735 0.5217855 ]
   [0.6943184  0.60155827 0.6589232 ]
   [0.6876217  0.5433893  0.60239446]
   [0.51694196 0.38711095 0.4546055 ]
   [0.6675966  0.2926833  0.78402764]
   [0.6866214  0.24564417 0.51323926]
   [0.719191   0.5518505  0.49927947]]]]"
8,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_128.jpg,"[[[[0.343415   0.38837415 0.5100012 ]
   [0.32456806 0.39823297 0.6410768 ]
   [0.32399255 0.40428367 0.52372473]
   [0.33918616 0.42748    0.83216923]
   [0.33773658 0.45273983 0.68037134]
   [0.43563354 0.3640336  0.9099043 ]
   [0.44015446 0.5411857  0.52207506]
   [0.58868986 0.3135712  0.8738489 ]
   [0.5384218  0.6521585  0.3062915 ]
   [0.7169419  0.23741835 0.8136063 ]
   [0.40995675 0.67010933 0.5551932 ]
   [0.7341868  0.4786189  0.6374982 ]
   [0.762855   0.48824137 0.70396256]
   [0.5393472  0.6556386  0.51297575]
   [0.713672   0.7520631  0.637718  ]
   [0.7385962  0.6130888  0.6419662 ]
   [0.74541193 0.61778116 0.4192351 ]]]]"
9,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_68.jpg,"[[[[0.4526137  0.2592834  0.7366373 ]
   [0.43862796 0.27953464 0.62428415]
   [0.4371838  0.27217376 0.66310567]
   [0.45038015 0.33447343 0.833858  ]
   [0.44772357 0.31962398 0.8002702 ]
   [0.5540744  0.39800188 0.87097126]
   [0.5342225  0.2277852  0.6928615 ]
   [0.67375284 0.48657733 0.5511693 ]
   [0.6610946  0.25850195 0.46502802]
   [0.75844467 0.574288   0.42705432]
   [0.7292942  0.35122573 0.11865319]
   [0.78120553 0.34665912 0.67069316]
   [0.7801051  0.26891348 0.71050024]
   [0.7454181  0.5419082  0.70367706]
   [0.71702516 0.47948515 0.17538747]
   [0.8284315  0.3341273  0.5820288 ]
   [0.76725304 0.5617733  0.21102741]]]]"
10,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_169.jpg,"[[[[0.24126354 0.520317   0.5095484 ]
   [0.21689627 0.526788   0.3563741 ]
   [0.2208727  0.5106828  0.4765426 ]
   [0.23567832 0.53872883 0.4475557 ]
   [0.24635036 0.5031716  0.48640767]
   [0.36715075 0.62416524 0.8777686 ]
   [0.35659146 0.42995742 0.81845874]
   [0.527919   0.6668355  0.8363207 ]
   [0.49405208 0.33826047 0.76311505]
   [0.6915794  0.74112326 0.82349426]
   [0.6076496  0.2543311  0.30775154]
   [0.7075591  0.5254395  0.5387635 ]
   [0.6920694  0.47256172 0.7461523 ]
   [0.52627355 0.35942754 0.11900645]
   [0.52806234 0.31525207 0.30134898]
   [0.682511   0.24198388 0.54907024]
   [0.71593153 0.42421007 0.15627909]]]]"
11,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_60.jpg,"[[[[0.39074436 0.42361796 0.5934839 ]
   [0.37605053 0.43881416 0.43045565]
   [0.3733277  0.43271765 0.51897854]
   [0.38107523 0.47849062 0.8430404 ]
   [0.3762865  0.4563996  0.61191136]
   [0.4574562  0.5105423  0.7209052 ]
   [0.440197   0.42994514 0.82508147]
   [0.53971016 0.48082614 0.66090304]
   [0.53171    0.45804572 0.44672176]
   [0.42113543 0.48362038 0.47692293]
   [0.4163258  0.48794186 0.45947754]
   [0.66297835 0.54626125 0.350009  ]
   [0.6571145  0.45822078 0.6760803 ]
   [0.68355876 0.60644364 0.6555651 ]
   [0.53106827 0.53018606 0.35331404]
   [0.6879256  0.6296968  0.14861071]
   [0.63466275 0.54356366 0.10893764]]]]"
12,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_224.jpg,"[[[[0.30006883 0.56440884 0.7280476 ]
   [0.2831169  0.5798147  0.77265894]
   [0.27839935 0.54910654 0.8752595 ]
   [0.29560718 0.5801963  0.77095014]
   [0.28219724 0.5140125  0.8112543 ]
   [0.40147132 0.59909207 0.83169264]
   [0.3691536  0.46699142 0.74575824]
   [0.5200426  0.57447445 0.5531808 ]
   [0.4956109  0.5362017  0.23452777]
   [0.33951232 0.53480357 0.32839337]
   [0.34308282 0.5351165  0.4680324 ]
   [0.6648816  0.57418686 0.7329941 ]
   [0.6451647  0.43007913 0.7811856 ]
   [0.4659019  0.46084425 0.82582134]
   [0.7232865  0.36971065 0.84497666]
   [0.71134067 0.26015654 0.8525962 ]
   [0.75744677 0.62111944 0.78488374]]]]"
13,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_155.jpg,"[[[[0.3297779  0.66923547 0.6793747 ]
   [0.30905548 0.6809856  0.8449415 ]
   [0.31004506 0.64659244 0.89001995]
   [0.3134168  0.6786114  0.727047  ]
   [0.32163793 0.5991111  0.8747954 ]
   [0.42174158 0.7284846  0.94062096]
   [0.40337133 0.5548144  0.8328292 ]
   [0.58960795 0.7356608  0.9554445 ]
   [0.5212502  0.47294515 0.49060205]
   [0.731067   0.76567566 0.7536118 ]
   [0.4225043  0.3908545  0.5940083 ]
   [0.7063181  0.6526953  0.86908895]
   [0.6883125  0.62048525 0.7468119 ]
   [0.5536233  0.4488812  0.42572033]
   [0.6710775  0.40999213 0.57993215]
   [0.6874907  0.21362868 0.26263183]
   [0.69164485 0.18214121 0.5391031 ]]]]"
14,Half_Lord_of_the_Fishes_Pose_or_Ardha_Matsyendrasana__image_51.jpg,"[[[[0.29691115 0.59262246 0.63715535]
   [0.2785253  0.5791235  0.7554864 ]
   [0.28152153 0.56442356 0.497201  ]
   [0.29264444 0.5320583  0.66627824]
   [0.30448052 0.49529457 0.89853746]
   [0.3902648  0.6412893  0.76334316]
   [0.42082894 0.4080258  0.77434015]
   [0.53778964 0.68425965 0.8618297 ]
   [0.54928875 0.29590937 0.75994325]
   [0.5257595  0.6003236  0.21521276]
   [0.6324556  0.20997722 0.708535  ]
   [0.6841469  0.5615018  0.8633581 ]
   [0.6892856  0.4642688  0.67804736]
   [0.50897366 0.3936725  0.63650334]
   [0.6423308  0.26232678 0.63164926]
   [0.650895   0.21624829 0.3117944 ]
   [0.74112684 0.41797277 0.8644864 ]]]]"
