,image,score
0,Intense_Side_Stretch_Pose_or_Parsvottanasana__image_64.jpg,"[[[[0.76125234 0.4407142  0.6764051 ]
   [0.7611949  0.41959906 0.62629014]
   [0.7625375  0.41781977 0.6857033 ]
   [0.7477571  0.3781044  0.62878853]
   [0.7513326  0.38251328 0.38253084]
   [0.7093577  0.37192982 0.78616285]
   [0.72079754 0.4069126  0.61271286]
   [0.80881506 0.32709625 0.6409072 ]
   [0.8178488  0.3762537  0.50291175]
   [0.87118125 0.2498865  0.7771706 ]
   [0.8665332  0.32632798 0.19579959]
   [0.5336792  0.5568913  0.85402924]
   [0.52624786 0.56326336 0.793955  ]
   [0.71035266 0.6424318  0.7744971 ]
   [0.7080499  0.64301485 0.48064467]
   [0.8610808  0.6920041  0.72415507]
   [0.85642135 0.68352395 0.32277808]]]]"
1,Intense_Side_Stretch_Pose_or_Parsvottanasana__image_47.jpg,"[[[[0.5511264  0.32597923 0.36994275]
   [0.5745561  0.30495816 0.60378474]
   [0.5661219  0.3112378  0.48998854]
   [0.51983666 0.27241355 0.603376  ]
   [0.5141041  0.26742193 0.5455882 ]
   [0.4557058  0.3072149  0.49512884]
   [0.41610548 0.25898245 0.62751997]
   [0.4961531  0.3900333  0.05988966]
   [0.26337677 0.4001709  0.3860881 ]
   [0.7039476  0.18169379 0.48814732]
   [0.36854354 0.37584645 0.11586954]
   [0.31737292 0.580261   0.76027805]
   [0.3116209  0.6203349  0.8447948 ]
   [0.5002163  0.37983465 0.56370544]
   [0.51489997 0.76187444 0.93149984]
   [0.70605874 0.19004387 0.87295973]
   [0.69606674 0.93654984 0.7861235 ]]]]"
2,Intense_Side_Stretch_Pose_or_Parsvottanasana__image_38.jpg,"[[[[0.54737496 0.26047608 0.74115866]
   [0.54236466 0.23453504 0.6350779 ]
   [0.54003096 0.23485762 0.5281059 ]
   [0.49362692 0.2240154  0.6231788 ]
   [0.49113765 0.22487678 0.5419261 ]
   [0.43004182 0.29832682 0.6911084 ]
   [0.40647313 0.26505214 0.84737223]
   [0.27773952 0.40181902 0.6394657 ]
   [0.3142614  0.32282847 0.42626843]
   [0.2618548  0.40237778 0.6280051 ]
   [0.25912008 0.37560898 0.37385857]
   [0.2492053  0.611762   0.8574331 ]
   [0.25205866 0.5694651  0.7396306 ]
   [0.5189292  0.70923    0.8112721 ]
   [0.49419674 0.45054036 0.7470156 ]
   [0.7210584  0.8144808  0.73289716]
   [0.70536506 0.3653431  0.9228443 ]]]]"
3,Intense_Side_Stretch_Pose_or_Parsvottanasana__image_65.jpg,"[[[[0.5617856  0.5919213  0.547668  ]
   [0.56925684 0.60457456 0.5395635 ]
   [0.5681858  0.60611624 0.6611312 ]
   [0.5451957  0.62810636 0.65404713]
   [0.5352956  0.62094605 0.4543392 ]
   [0.48921552 0.6323082  0.7170923 ]
   [0.47834152 0.61467963 0.5153889 ]
   [0.43279582 0.7102465  0.84537965]
   [0.42874002 0.71514577 0.2924094 ]
   [0.40196455 0.79695034 0.7999473 ]
   [0.40130687 0.79779816 0.6279515 ]
   [0.34360254 0.4617477  0.7080448 ]
   [0.3216042  0.45315316 0.8414129 ]
   [0.5217649  0.54568243 0.3024984 ]
   [0.50212336 0.36431447 0.9189841 ]
   [0.6453752  0.59939575 0.2984133 ]
   [0.6555684  0.30488923 0.9187065 ]]]]"
4,Intense_Side_Stretch_Pose_or_Parsvottanasana__image_94.jpg,"[[[[0.5575874  0.38087487 0.69669855]
   [0.54457396 0.37834284 0.6216397 ]
   [0.545432   0.37254864 0.5401727 ]
   [0.51212126 0.40687442 0.620047  ]
   [0.5148245  0.3886066  0.52980125]
   [0.48332894 0.48323765 0.65609354]
   [0.4667548  0.43065858 0.70061904]
   [0.53510314 0.5256745  0.72658867]
   [0.49860716 0.44171536 0.32618055]
   [0.68451023 0.4592235  0.5013423 ]
   [0.36595365 0.45298323 0.5116867 ]
   [0.32475457 0.64323014 0.82002145]
   [0.32404804 0.6008868  0.6827013 ]
   [0.51439613 0.6969193  0.8844206 ]
   [0.5246179  0.5195003  0.39255205]
   [0.68744147 0.75872815 0.8823267 ]
   [0.6727613  0.4632002  0.27671304]]]]"
5,Intense_Side_Stretch_Pose_or_Parsvottanasana__image_75.jpg,"[[[[0.55208373 0.5216213  0.22297952]
   [0.56073785 0.5213353  0.20477316]
   [0.5386248  0.49773574 0.29878846]
   [0.55213547 0.5325944  0.1667104 ]
   [0.5342564  0.48276156 0.27630818]
   [0.50084037 0.5932219  0.41196078]
   [0.48006722 0.4692164  0.40369612]
   [0.49361762 0.6338076  0.17887184]
   [0.47771522 0.49230462 0.2179499 ]
   [0.4830286  0.5015995  0.27177337]
   [0.4817918  0.49298483 0.3209654 ]
   [0.50635153 0.6460332  0.6835329 ]
   [0.52739006 0.5516347  0.25863343]
   [0.6240791  0.68367743 0.55833966]
   [0.6326541  0.50793624 0.46486422]
   [0.7280277  0.71458    0.6484225 ]
   [0.7400535  0.48388106 0.663098  ]]]]"
6,Intense_Side_Stretch_Pose_or_Parsvottanasana__image_63.jpg,"[[[[0.4188767  0.52249897 0.6468454 ]
   [0.40796793 0.51568025 0.4061655 ]
   [0.40841123 0.5134924  0.33376905]
   [0.3839919  0.53701967 0.71444243]
   [0.38518557 0.5336051  0.5841646 ]
   [0.39234748 0.5770743  0.6787976 ]
   [0.3866042  0.57828754 0.5801526 ]
   [0.4707961  0.57031983 0.7056283 ]
   [0.46370026 0.579828   0.27048382]
   [0.48623377 0.5012264  0.46147788]
   [0.4835267  0.50576943 0.46101227]
   [0.2290001  0.7171586  0.6841307 ]
   [0.23369807 0.73007756 0.5205716 ]
   [0.41614884 0.70581484 0.31422338]
   [0.40639162 0.7202497  0.42980492]
   [0.47517586 0.68715054 0.3215713 ]
   [0.4753087  0.68917364 0.37889588]]]]"
7,Intense_Side_Stretch_Pose_or_Parsvottanasana__image_10.jpg,"[[[[0.46366203 0.4728934  0.7301363 ]
   [0.47871906 0.45639676 0.6486574 ]
   [0.47973174 0.45548424 0.6607035 ]
   [0.44599754 0.39592028 0.74278647]
   [0.45616275 0.4061259  0.6865711 ]
   [0.32279184 0.3502362  0.6837141 ]
   [0.38107792 0.4454201  0.57212186]
   [0.48271513 0.26404002 0.6443984 ]
   [0.49464417 0.2537717  0.49256393]
   [0.6578842  0.1386092  0.6627072 ]
   [0.62685436 0.4320637  0.29812643]
   [0.12975332 0.60782254 0.7953717 ]
   [0.14854217 0.5971734  0.7556588 ]
   [0.37707803 0.7405488  0.77273154]
   [0.4113846  0.5278172  0.76806635]
   [0.59592724 0.88199997 0.85594213]
   [0.6597724  0.65669876 0.7815387 ]]]]"
8,Intense_Side_Stretch_Pose_or_Parsvottanasana__image_84.jpg,"[[[[0.4539201  0.6399109  0.446659  ]
   [0.44328177 0.6529675  0.38218096]
   [0.4402199  0.64178026 0.40872934]
   [0.43205926 0.650365   0.44619036]
   [0.42419812 0.62640876 0.50651884]
   [0.43688038 0.6112481  0.50060225]
   [0.43445694 0.5976662  0.6672697 ]
   [0.4862302  0.6104968  0.31561205]
   [0.51075834 0.59556484 0.30244878]
   [0.57566786 0.61783725 0.41429126]
   [0.587783   0.61601645 0.6513907 ]
   [0.4436944  0.4844334  0.6181409 ]
   [0.44142765 0.46764162 0.6022737 ]
   [0.5077397  0.42036936 0.42297927]
   [0.48345476 0.49427363 0.17369477]
   [0.58861434 0.3461992  0.67632324]
   [0.58052063 0.5926076  0.17208828]]]]"
9,Intense_Side_Stretch_Pose_or_Parsvottanasana__image_129.jpg,"[[[[0.83199453 0.56862473 0.3982622 ]
   [0.8364461  0.574621   0.38164797]
   [0.8342326  0.579718   0.26793984]
   [0.80997753 0.5845556  0.43883815]
   [0.81373465 0.5873603  0.34531096]
   [0.7636904  0.55619586 0.40653497]
   [0.77565974 0.5651383  0.45246604]
   [0.8324687  0.5681064  0.21328703]
   [0.83465564 0.5764818  0.1960237 ]
   [0.9192624  0.57817924 0.38132843]
   [0.9186671  0.5851323  0.2323311 ]
   [0.65641373 0.5231211  0.03509455]
   [0.67972887 0.5197108  0.03194342]
   [0.7767065  0.53923553 0.20141529]
   [0.8070539  0.5511694  0.06375013]
   [0.9132986  0.5688009  0.11202989]
   [0.9091128  0.58127666 0.07315992]]]]"
