,image,score
0,Noose_Pose_or_Pasasana__image_1.jpg,"[[[[0.49769756 0.5492026  0.32739392]
   [0.46814403 0.5504767  0.35920444]
   [0.49324962 0.5209638  0.43894497]
   [0.42736113 0.5459797  0.4514766 ]
   [0.4863951  0.48339337 0.4725194 ]
   [0.4524283  0.6232251  0.32538468]
   [0.5042675  0.45636517 0.26199168]
   [0.5322584  0.69121426 0.3017752 ]
   [0.5491566  0.44808033 0.29147714]
   [0.5353791  0.6393735  0.1960358 ]
   [0.5446583  0.4990896  0.23837692]
   [0.6441243  0.743198   0.6889095 ]
   [0.63959545 0.72767454 0.5655708 ]
   [0.6660935  0.526987   0.37187073]
   [0.67617315 0.47335204 0.59181744]
   [0.7474083  0.65676355 0.48485938]
   [0.7329906  0.6627257  0.40073526]]]]"
1,Noose_Pose_or_Pasasana__image_5.jpg,"[[[[0.2736647  0.5476385  0.5208365 ]
   [0.25391242 0.52238405 0.7321225 ]
   [0.2742206  0.5162962  0.53741354]
   [0.30403993 0.44309697 0.71374625]
   [0.3344159  0.42661458 0.61545   ]
   [0.31904557 0.5850882  0.8679456 ]
   [0.4785039  0.37358576 0.8122293 ]
   [0.5246668  0.5175592  0.16668689]
   [0.7405504  0.30874392 0.550262  ]
   [0.5426729  0.3421544  0.3646373 ]
   [0.7449585  0.30750874 0.07400875]
   [0.64802325 0.70328945 0.6705164 ]
   [0.6645997  0.6034262  0.7746408 ]
   [0.6293304  0.3675266  0.29970723]
   [0.6469478  0.2672867  0.7531427 ]
   [0.8464251  0.5865689  0.57343936]
   [0.8095892  0.5461043  0.34598324]]]]"
2,Noose_Pose_or_Pasasana__image_10.jpg,"[[[[0.37890008 0.5767825  0.55380166]
   [0.39209002 0.5920847  0.4822976 ]
   [0.37125236 0.5879193  0.6857424 ]
   [0.43470845 0.59914315 0.6774872 ]
   [0.39062825 0.58910435 0.567947  ]
   [0.50348103 0.55302477 0.5969714 ]
   [0.37841353 0.5016516  0.5746187 ]
   [0.6013501  0.5302381  0.42810032]
   [0.38832104 0.4121009  0.38482356]
   [0.6623556  0.40516368 0.51104593]
   [0.38224703 0.43112677 0.3617951 ]
   [0.54959285 0.34846956 0.7104283 ]
   [0.5216445  0.30920416 0.8538713 ]
   [0.5771501  0.5394039  0.24140705]
   [0.55392414 0.52715397 0.41800937]
   [0.66569215 0.39751145 0.5830066 ]
   [0.6653249  0.39093894 0.4980736 ]]]]"
3,Noose_Pose_or_Pasasana__image_17.jpg,"[[[[0.47111568 0.39023498 0.40863293]
   [0.46583426 0.3911776  0.5143117 ]
   [0.46962774 0.38147333 0.47914448]
   [0.4638166  0.38602734 0.5505025 ]
   [0.46940064 0.36168754 0.43780842]
   [0.47624183 0.3975355  0.61115354]
   [0.49175742 0.35236752 0.6837724 ]
   [0.53065634 0.42283604 0.33900002]
   [0.5477327  0.34908175 0.3443897 ]
   [0.560486   0.40798053 0.24950641]
   [0.57112795 0.36671704 0.2885729 ]
   [0.5432002  0.4145649  0.5685493 ]
   [0.55026966 0.3765749  0.47970825]
   [0.5543076  0.42110863 0.51880944]
   [0.5626568  0.38218248 0.30880573]
   [0.59441745 0.4029653  0.5136033 ]
   [0.6018806  0.37954968 0.43107703]]]]"
4,Noose_Pose_or_Pasasana__image_3.jpg,"[[[[0.20572856 0.5077051  0.57923585]
   [0.16444694 0.5005595  0.6388887 ]
   [0.19272405 0.54772955 0.6525388 ]
   [0.17042664 0.45579183 0.6041428 ]
   [0.22813639 0.58188844 0.58505625]
   [0.24049874 0.30236262 0.68786347]
   [0.39988852 0.6161432  0.7142812 ]
   [0.41061786 0.24928495 0.5094848 ]
   [0.5921689  0.6563537  0.58872205]
   [0.62481153 0.26862052 0.41668844]
   [0.7192074  0.43428156 0.24536219]
   [0.6703126  0.1567473  0.6323765 ]
   [0.684834   0.16284825 0.86800605]
   [0.44432142 0.4210758  0.28299737]
   [0.5224492  0.62624323 0.42564604]
   [0.8168297  0.3530512  0.44307223]
   [0.8333984  0.38246924 0.6835619 ]]]]"
5,Noose_Pose_or_Pasasana__image_29.jpg,"[[[[0.43421918 0.58955145 0.37592748]
   [0.44615144 0.6191285  0.43315262]
   [0.41143537 0.59863913 0.5340175 ]
   [0.4927131  0.68300873 0.6710259 ]
   [0.41379172 0.61873585 0.45496005]
   [0.581883   0.7180771  0.81011665]
   [0.446617   0.5072752  0.60125595]
   [0.69694334 0.7396961  0.6339988 ]
   [0.558025   0.44731838 0.3141423 ]
   [0.73879045 0.72434413 0.55044246]
   [0.70880765 0.4577247  0.4846868 ]
   [0.693537   0.56367487 0.7038167 ]
   [0.6852847  0.484236   0.6029652 ]
   [0.6043504  0.7605965  0.6559828 ]
   [0.5623879  0.4383998  0.5840819 ]
   [0.7243657  0.6298694  0.4824724 ]
   [0.7342223  0.47801045 0.52575177]]]]"
6,Noose_Pose_or_Pasasana__image_21.jpg,"[[[[0.24028395 0.8055362  0.87090564]
   [0.19820984 0.8019207  0.842196  ]
   [0.19912136 0.7725623  0.91065705]
   [0.19546613 0.7208925  0.72098327]
   [0.19913912 0.6649301  0.885916  ]
   [0.3565819  0.77621126 0.8118229 ]
   [0.37539995 0.49018905 0.7643285 ]
   [0.6304556  0.868207   0.8628624 ]
   [0.48622063 0.21152867 0.89766   ]
   [0.63821673 0.7407185  0.03779808]
   [0.5186335  0.41477218 0.30374527]
   [0.7006589  0.5110035  0.5135978 ]
   [0.7391367  0.37844926 0.31381443]
   [0.48064914 0.81139845 0.3202263 ]
   [0.51185614 0.7736357  0.44977254]
   [0.8376552  0.55889446 0.70814174]
   [0.85910356 0.5601931  0.47881418]]]]"
7,Noose_Pose_or_Pasasana__image_9.jpg,"[[[[0.4855536  0.46427274 0.688467  ]
   [0.47220087 0.49919638 0.72829   ]
   [0.46593538 0.47947064 0.5909907 ]
   [0.50967485 0.55542576 0.7982974 ]
   [0.49129573 0.5199763  0.6311053 ]
   [0.63534003 0.61015975 0.731306  ]
   [0.5617265  0.39824682 0.6911741 ]
   [0.78784466 0.6307169  0.8449373 ]
   [0.70556134 0.4026185  0.36342266]
   [0.91283226 0.48223    0.58473337]
   [0.84734195 0.46245104 0.09650375]
   [0.8597118  0.45710042 0.72629577]
   [0.847129   0.36310643 0.71490747]
   [0.7032688  0.6311536  0.5984251 ]
   [0.7056455  0.535272   0.2978585 ]
   [0.9231665  0.4803238  0.25909504]
   [0.92636424 0.46496683 0.2225797 ]]]]"
8,Noose_Pose_or_Pasasana__image_28.jpg,"[[[[0.31569245 0.3210143  0.6420885 ]
   [0.29886764 0.34480506 0.49149013]
   [0.28034684 0.8365537  0.14694524]
   [0.27027315 0.76122713 0.5009676 ]
   [0.28825364 0.83847654 0.58646464]
   [0.34390625 0.6826456  0.58825415]
   [0.39425674 0.83690673 0.40478715]
   [0.43662173 0.6301542  0.59027725]
   [0.5288044  0.88970816 0.27449146]
   [0.55127937 0.6395244  0.5300145 ]
   [0.65977985 0.80105275 0.25975648]
   [0.6004041  0.6160141  0.6886511 ]
   [0.60690737 0.69254667 0.4742853 ]
   [0.5150622  0.7467309  0.09083577]
   [0.526983   0.8997571  0.81700253]
   [0.70565736 0.7072853  0.4119827 ]
   [0.67818    0.7853453  0.31642765]]]]"
9,Noose_Pose_or_Pasasana__image_13.jpg,"[[[[0.19433434 0.64403975 0.5644133 ]
   [0.19374803 0.69210976 0.47245574]
   [0.14894697 0.66128224 0.5474348 ]
   [0.27030718 0.7647101  0.5528687 ]
   [0.15323152 0.66874313 0.23483364]
   [0.43766367 0.7473285  0.7786603 ]
   [0.269219   0.46925354 0.6303355 ]
   [0.6848813  0.792331   0.8148754 ]
   [0.4106228  0.3662641  0.20903076]
   [0.6508008  0.71011585 0.11051614]
   [0.45384854 0.46363366 0.05975892]
   [0.72922593 0.40970707 0.547738  ]
   [0.7069423  0.33449644 0.6363944 ]
   [0.56632966 0.7085495  0.4029297 ]
   [0.5574241  0.6908896  0.5418008 ]
   [0.8434199  0.49849793 0.70642805]
   [0.8477326  0.49740708 0.36848545]]]]"
