,image,score
0,images (4).jpg,"[[[[0.37071258 0.480648   0.77555805]
   [0.35273448 0.4937703  0.8238784 ]
   [0.35327464 0.46484387 0.80382437]
   [0.3576766  0.5134885  0.45889968]
   [0.36165893 0.44650742 0.6839963 ]
   [0.45462257 0.5596081  0.834464  ]
   [0.44989917 0.400045   0.8402825 ]
   [0.5800057  0.5772448  0.68991435]
   [0.57685596 0.38638905 0.86058897]
   [0.66338384 0.61651367 0.8589079 ]
   [0.66416633 0.34654242 0.6366932 ]
   [0.70294935 0.5115966  0.70163053]
   [0.70698637 0.43348497 0.8926095 ]
   [0.7089399  0.6250314  0.70848185]
   [0.72522634 0.35743463 0.5574611 ]
   [0.673608   0.4316435  0.618957  ]
   [0.7019417  0.5294894  0.3517688 ]]]]"
1,AnyConv.com__images (45).jpg,"[[[[0.25769806 0.52165675 0.86894846]
   [0.23522203 0.5412478  0.75225544]
   [0.2371478  0.49326283 0.85708344]
   [0.2609398  0.5699587  0.89934933]
   [0.26616016 0.46078    0.81170714]
   [0.37803033 0.6364195  0.93479174]
   [0.3716192  0.39868268 0.74150115]
   [0.5483378  0.6551299  0.849798  ]
   [0.55061114 0.3842533  0.9577741 ]
   [0.660251   0.7156804  0.91887075]
   [0.65987706 0.33063903 0.83791137]
   [0.6772028  0.5936052  0.9222715 ]
   [0.6760099  0.43762225 0.9107262 ]
   [0.78049916 0.7601998  0.9656294 ]
   [0.8010643  0.26782757 0.98219717]
   [0.70499015 0.47606558 0.7287969 ]
   [0.71099985 0.5424278  0.7623659 ]]]]"
2,images (12).jpg,"[[[[0.23394313 0.51859385 0.3833225 ]
   [0.21972436 0.5389329  0.17627499]
   [0.22393504 0.5037529  0.3316173 ]
   [0.24180543 0.5668237  0.66253304]
   [0.24091332 0.48988727 0.57891375]
   [0.3359522  0.6284347  0.9273293 ]
   [0.32870767 0.43320715 0.88514435]
   [0.48563203 0.6686864  0.8354292 ]
   [0.4614603  0.33271155 0.93323565]
   [0.4143998  0.5336845  0.71746475]
   [0.41296485 0.47910124 0.742851  ]
   [0.6183984  0.5934789  0.86659765]
   [0.6104865  0.4609121  0.8947155 ]
   [0.71698034 0.69542545 0.89027876]
   [0.6742723  0.28690773 0.84634453]
   [0.62488776 0.46205896 0.7328329 ]
   [0.6422189  0.54087543 0.46564868]]]]"
3,images (19).jpg,"[[[[0.33253023 0.47408313 0.70828825]
   [0.31843725 0.48907375 0.87382954]
   [0.3175566  0.45900407 0.838121  ]
   [0.33476937 0.51159054 0.8129105 ]
   [0.3346075  0.4409022  0.7980104 ]
   [0.42652056 0.5581493  0.9118857 ]
   [0.42595664 0.38983494 0.8156659 ]
   [0.5584588  0.58739567 0.6671323 ]
   [0.56101465 0.35071683 0.7966565 ]
   [0.6449178  0.62078446 0.7518107 ]
   [0.6380717  0.30852863 0.6944757 ]
   [0.67226976 0.535815   0.892382  ]
   [0.67700106 0.4209229  0.8149396 ]
   [0.718665   0.6178869  0.64906335]
   [0.71543026 0.30920187 0.8105995 ]
   [0.65984166 0.43746564 0.558718  ]
   [0.666031   0.50546235 0.719928  ]]]]"
4,images (29).jpg,"[[[[0.37830693 0.59788644 0.6925091 ]
   [0.36459687 0.6131493  0.8115624 ]
   [0.361258   0.5810144  0.59741557]
   [0.3771453  0.6294902  0.78228027]
   [0.3760271  0.55585283 0.62333435]
   [0.4690813  0.6690614  0.7839902 ]
   [0.4648715  0.5077339  0.78673506]
   [0.6002378  0.6968895  0.8121663 ]
   [0.58554006 0.46782258 0.7026617 ]
   [0.6853464  0.7222989  0.7595443 ]
   [0.67327905 0.44333288 0.7251251 ]
   [0.71402824 0.6334316  0.79119545]
   [0.7202621  0.53662217 0.81570154]
   [0.7640221  0.7291552  0.6975481 ]
   [0.7510129  0.45191583 0.76294017]
   [0.6971642  0.5659268  0.43650046]
   [0.70518255 0.6253053  0.66270715]]]]"
5,AnyConv.com__images (55).jpg,"[[[[0.37914297 0.47507313 0.790743  ]
   [0.36344776 0.49050203 0.80049455]
   [0.36235788 0.4591933  0.769175  ]
   [0.36859977 0.5127319  0.77295905]
   [0.36861628 0.43991837 0.8467295 ]
   [0.45281023 0.5684068  0.81818676]
   [0.47152922 0.3893337  0.88297194]
   [0.5900811  0.60258025 0.75427055]
   [0.61091495 0.3681295  0.5767946 ]
   [0.7046167  0.6599024  0.8609034 ]
   [0.7209737  0.3267324  0.48965633]
   [0.70662075 0.54619974 0.8099538 ]
   [0.7128566  0.4460819  0.9025313 ]
   [0.76803875 0.66119283 0.71364963]
   [0.76492906 0.32050085 0.80669975]
   [0.6942807  0.42994595 0.44877085]
   [0.7179317  0.5358852  0.56366175]]]]"
6,AnyConv.com__images (37).jpg,"[[[[0.22689722 0.5290627  0.8600537 ]
   [0.20177944 0.5529366  0.7975756 ]
   [0.2036342  0.51209706 0.7061304 ]
   [0.20677584 0.5985609  0.88837236]
   [0.21037157 0.5069123  0.82027936]
   [0.34392968 0.663731   0.7564857 ]
   [0.32087144 0.45315638 0.8445536 ]
   [0.54113156 0.69579273 0.95292455]
   [0.4919929  0.3882057  0.8819017 ]
   [0.48048618 0.5519167  0.62490755]
   [0.4772897  0.49673688 0.6043943 ]
   [0.60572034 0.60560095 0.8778195 ]
   [0.594562   0.4781818  0.9214118 ]
   [0.7610232  0.73429817 0.6691806 ]
   [0.68062377 0.27516004 0.9054861 ]
   [0.6436412  0.47758064 0.73997504]
   [0.6538629  0.5596558  0.6340077 ]]]]"
7,images (24).jpg,"[[[[0.2762801  0.49244884 0.9121661 ]
   [0.25642857 0.5090892  0.87185276]
   [0.2585058  0.47365373 0.8955508 ]
   [0.27914363 0.535777   0.68138266]
   [0.28266633 0.45318466 0.69487697]
   [0.39686605 0.5893464  0.9441915 ]
   [0.39307094 0.40603745 0.89911824]
   [0.5561797  0.627451   0.8010067 ]
   [0.56586    0.35215035 0.9215092 ]
   [0.69244576 0.6919255  0.93192464]
   [0.69332284 0.27084988 0.9125593 ]
   [0.6527869  0.5659645  0.8806625 ]
   [0.6562066  0.44702795 0.8893846 ]
   [0.75905377 0.69538945 0.81355935]
   [0.7282006  0.3099184  0.760826  ]
   [0.6884611  0.4654808  0.5852146 ]
   [0.6765291  0.54424816 0.7335805 ]]]]"
8,images (6).jpg,"[[[[0.4114874  0.5054871  0.734385  ]
   [0.3943545  0.52043116 0.8185775 ]
   [0.39428    0.48794436 0.75411814]
   [0.40687895 0.5438012  0.76775825]
   [0.41039595 0.46222016 0.8109006 ]
   [0.50569504 0.59202623 0.90427214]
   [0.5041059  0.42112494 0.7740194 ]
   [0.64528733 0.6103555  0.82975066]
   [0.6404875  0.39116582 0.86540014]
   [0.70220333 0.66123044 0.7946995 ]
   [0.70905215 0.3279501  0.76738834]
   [0.74741054 0.55613786 0.83031636]
   [0.7480396  0.44277474 0.82220465]
   [0.7753171  0.68494225 0.84831786]
   [0.78872925 0.3113665  0.87992144]
   [0.7317307  0.45286492 0.6587298 ]
   [0.74519324 0.5263272  0.49708608]]]]"
9,AnyConv.com__images (54).jpg,"[[[[0.24085017 0.62558556 0.8245912 ]
   [0.19806473 0.66314906 0.9208069 ]
   [0.20288867 0.5924823  0.67064387]
   [0.21546797 0.7182802  0.68772817]
   [0.21810198 0.5610028  0.85639906]
   [0.4215269  0.79080796 0.895893  ]
   [0.3846431  0.51162606 0.9298137 ]
   [0.6813524  0.7795349  0.8308712 ]
   [0.61475676 0.45945576 0.9299403 ]
   [0.8765341  0.7529908  0.8098488 ]
   [0.718925   0.30426726 0.7916431 ]
   [0.815952   0.7120578  0.8383099 ]
   [0.7859611  0.55605555 0.87689817]
   [0.915539   0.62921745 0.28865758]
   [0.7886962  0.28136852 0.7537996 ]
   [0.8741359  0.51265144 0.0996858 ]
   [0.8592605  0.6321553  0.3667915 ]]]]"
