,image,score
0,Peacock_Pose_or_Mayurasana__image_5.jpg,"[[[[0.48622778 0.8486632  0.56788725]
   [0.46800014 0.8660024  0.53646195]
   [0.46599236 0.8635915  0.50159585]
   [0.42501336 0.850303   0.85410124]
   [0.42599103 0.8482786  0.8632717 ]
   [0.39547637 0.7634822  0.48040834]
   [0.42098752 0.78410816 0.66280967]
   [0.39274836 0.6205143  0.595657  ]
   [0.41806608 0.6458296  0.7469662 ]
   [0.48792374 0.5915198  0.40363875]
   [0.5022654  0.5972875  0.4218207 ]
   [0.37273234 0.5267147  0.8859747 ]
   [0.3839007  0.525302   0.7381153 ]
   [0.39211202 0.32993796 0.51283675]
   [0.40613422 0.32960707 0.76115304]
   [0.3306724  0.13706194 0.8270255 ]
   [0.3308907  0.13444906 0.71284944]]]]"
1,Peacock_Pose_or_Mayurasana__image_119.jpg,"[[[[0.7155628  0.837927   0.53239995]
   [0.7006101  0.84904766 0.5989995 ]
   [0.700395   0.8493437  0.636507  ]
   [0.6708708  0.8285336  0.56909484]
   [0.6701174  0.82582426 0.64598006]
   [0.65295404 0.7561571  0.7605278 ]
   [0.65828145 0.7613174  0.80073035]
   [0.6580825  0.6177305  0.5835413 ]
   [0.657613   0.6110884  0.5060921 ]
   [0.75058776 0.57909966 0.6898104 ]
   [0.7582067  0.57593536 0.5320222 ]
   [0.6207167  0.51815146 0.5097392 ]
   [0.62359184 0.52391654 0.69506025]
   [0.65030473 0.35935238 0.80267346]
   [0.66377676 0.35644695 0.70556605]
   [0.6608872  0.19669366 0.6418705 ]
   [0.68604976 0.18769039 0.7950449 ]]]]"
2,Peacock_Pose_or_Mayurasana__image_72.jpg,"[[[[0.68529356 0.620254   0.40113592]
   [0.6822076  0.6296914  0.39518923]
   [0.67866004 0.6267897  0.32289886]
   [0.68439865 0.63163126 0.35291588]
   [0.67808044 0.62681323 0.40872437]
   [0.68782866 0.6062015  0.2994968 ]
   [0.6905207  0.5911259  0.40385625]
   [0.708183   0.60661095 0.24920958]
   [0.7132736  0.5850826  0.4068761 ]
   [0.7091822  0.60457444 0.1721637 ]
   [0.71654725 0.59453624 0.2301309 ]
   [0.6915551  0.49491853 0.4357724 ]
   [0.68923223 0.49282324 0.4383217 ]
   [0.66601104 0.41912276 0.39798966]
   [0.67464375 0.4115658  0.15369996]
   [0.5983571  0.33120322 0.40879756]
   [0.5840402  0.3188991  0.34134588]]]]"
3,Peacock_Pose_or_Mayurasana__image_90.jpg,"[[[[0.622954   0.7017348  0.6616668 ]
   [0.61042655 0.7123504  0.46681726]
   [0.60782164 0.7101271  0.6526904 ]
   [0.5607193  0.7073182  0.7029557 ]
   [0.5537774  0.6903039  0.7007012 ]
   [0.5025976  0.68329513 0.72289586]
   [0.5401699  0.61947054 0.5449016 ]
   [0.5103564  0.7764764  0.7068548 ]
   [0.55821615 0.5047359  0.6180763 ]
   [0.5235145  0.8737062  0.6930427 ]
   [0.66793996 0.4977013  0.617765  ]
   [0.49853286 0.43774128 0.48313627]
   [0.51015675 0.407639   0.65168786]
   [0.4983474  0.29873008 0.6011681 ]
   [0.5266529  0.278333   0.4885049 ]
   [0.46786982 0.17392816 0.67399645]
   [0.5070544  0.10671499 0.7259776 ]]]]"
4,Peacock_Pose_or_Mayurasana__image_58.jpg,"[[[[0.6976046  0.06213882 0.63679004]
   [0.6791298  0.04956527 0.6669474 ]
   [0.6801287  0.05088466 0.71921134]
   [0.6385156  0.08178444 0.5893263 ]
   [0.64006287 0.07908417 0.6462181 ]
   [0.61044437 0.15784979 0.628995  ]
   [0.5945065  0.1602621  0.66824824]
   [0.6180576  0.3052301  0.44383183]
   [0.59180427 0.3066024  0.38191944]
   [0.72105515 0.35123032 0.7466187 ]
   [0.71855664 0.357577   0.65014464]
   [0.55921304 0.4236425  0.73272336]
   [0.54917896 0.41886625 0.7356711 ]
   [0.5706366  0.6523668  0.7830649 ]
   [0.5587215  0.6401879  0.74101615]
   [0.47479698 0.84686303 0.846115  ]
   [0.47000587 0.8442463  0.67615795]]]]"
5,Peacock_Pose_or_Mayurasana__image_10.jpg,"[[[[0.5532709  0.06325191 0.58984244]
   [0.53077465 0.05704379 0.6591526 ]
   [0.53074133 0.05867431 0.6074686 ]
   [0.5116348  0.09534163 0.7065627 ]
   [0.512009   0.09450808 0.61793077]
   [0.5204016  0.19734795 0.73765224]
   [0.5204414  0.18742941 0.5412556 ]
   [0.5264744  0.36208254 0.7600431 ]
   [0.5267461  0.36882886 0.7348533 ]
   [0.63920367 0.40915862 0.52152544]
   [0.6362421  0.41449267 0.68430877]
   [0.48889688 0.45853606 0.5541324 ]
   [0.49116018 0.45794573 0.67864054]
   [0.5131416  0.6705824  0.78279877]
   [0.50912905 0.65908426 0.5778957 ]
   [0.49653968 0.8758925  0.70689446]
   [0.5018062  0.87239236 0.75670505]]]]"
6,Peacock_Pose_or_Mayurasana__image_2.jpg,"[[[[0.6434693  0.06876246 0.652052  ]
   [0.62107295 0.06311184 0.49793634]
   [0.6221982  0.06492901 0.55373305]
   [0.5977229  0.10670277 0.86679876]
   [0.60101724 0.10569812 0.8196158 ]
   [0.6073572  0.18875782 0.7146966 ]
   [0.60646266 0.20331718 0.76237273]
   [0.616583   0.36407763 0.80690753]
   [0.62525314 0.34863228 0.6598327 ]
   [0.74201316 0.40324718 0.51204425]
   [0.743206   0.40705055 0.6579188 ]
   [0.520435   0.4330996  0.58817273]
   [0.5319187  0.43339753 0.74494755]
   [0.44606924 0.6466261  0.7621365 ]
   [0.4478391  0.63525873 0.5503748 ]
   [0.2779083  0.83108836 0.79460806]
   [0.27506375 0.8305044  0.3227185 ]]]]"
7,Peacock_Pose_or_Mayurasana__image_24.jpg,"[[[[0.6408809  0.12401562 0.61513144]
   [0.62556446 0.10576924 0.5705465 ]
   [0.6254394  0.10418802 0.59374976]
   [0.5815269  0.11840269 0.82868415]
   [0.5836688  0.11637802 0.8383106 ]
   [0.53165966 0.1990312  0.72662425]
   [0.53262085 0.197289   0.7717789 ]
   [0.5346676  0.36105224 0.8295636 ]
   [0.5288876  0.35989705 0.74454534]
   [0.661707   0.37967685 0.8670938 ]
   [0.6551425  0.3864529  0.6180114 ]
   [0.46622944 0.42488194 0.6105789 ]
   [0.4714612  0.42893952 0.6660058 ]
   [0.4230935  0.63350147 0.53961897]
   [0.4190776  0.6383982  0.7340874 ]
   [0.34500116 0.8645155  0.5280629 ]
   [0.34640056 0.8582487  0.7996024 ]]]]"
8,Peacock_Pose_or_Mayurasana__image_89.jpg,"[[[[0.53773266 0.20825943 0.73899597]
   [0.51889735 0.21025097 0.7647175 ]
   [0.5191784  0.2075459  0.7292966 ]
   [0.5050805  0.2519289  0.8482898 ]
   [0.5065461  0.24891472 0.653225  ]
   [0.5182181  0.34563926 0.7261734 ]
   [0.5172937  0.3018624  0.7991085 ]
   [0.53683484 0.44600746 0.7565375 ]
   [0.544058   0.36188424 0.37231427]
   [0.6387136  0.4512028  0.7743745 ]
   [0.6195455  0.3921642  0.6917205 ]
   [0.4708375  0.52975285 0.6824313 ]
   [0.47311684 0.50580126 0.6982873 ]
   [0.45500326 0.6366969  0.45274276]
   [0.46513003 0.6097334  0.37475395]
   [0.32967177 0.74318653 0.5991783 ]
   [0.32931226 0.73591614 0.4956946 ]]]]"
9,Peacock_Pose_or_Mayurasana__image_57.jpg,"[[[[0.6034599  0.65837646 0.8035721 ]
   [0.58674216 0.6670306  0.7413349 ]
   [0.5884667  0.65353    0.5837345 ]
   [0.5592535  0.6394139  0.46568716]
   [0.56411207 0.607079   0.6047626 ]
   [0.51090354 0.6168537  0.59849304]
   [0.5504264  0.5244627  0.43617445]
   [0.5098136  0.44468042 0.1811674 ]
   [0.5322441  0.41492137 0.7174298 ]
   [0.5896919  0.4468868  0.33183366]
   [0.6192929  0.3957499  0.80936277]
   [0.44518214 0.40826917 0.8253726 ]
   [0.47364414 0.3586943  0.58102816]
   [0.417756   0.30228347 0.5465121 ]
   [0.43433705 0.262106   0.43601865]
   [0.33414614 0.21486935 0.8882748 ]
   [0.33907902 0.19165303 0.79625994]]]]"
