,image,score
0,Plank_Pose_or_Kumbhakasana__image_20.jpg,"[[[[0.46935356 0.28375828 0.47369456]
   [0.45675325 0.280367   0.50597286]
   [0.45846683 0.27797633 0.5442067 ]
   [0.43848246 0.30237153 0.6465963 ]
   [0.44419008 0.29944873 0.55404824]
   [0.46256015 0.3438718  0.63689035]
   [0.46790996 0.3495708  0.80156803]
   [0.5770991  0.34577662 0.8163133 ]
   [0.57463205 0.35477713 0.69456273]
   [0.66025454 0.34931082 0.7136128 ]
   [0.65516317 0.35374215 0.59420824]
   [0.507837   0.52541834 0.5549545 ]
   [0.513368   0.53228015 0.65939546]
   [0.5708751  0.64819354 0.65548825]
   [0.56931216 0.6505733  0.7719568 ]
   [0.6084079  0.7481288  0.68351614]
   [0.6027189  0.744846   0.6961611 ]]]]"
1,Plank_Pose_or_Kumbhakasana__image_2.jpg,"[[[[0.37170458 0.31481594 0.5772498 ]
   [0.34065226 0.3303061  0.851132  ]
   [0.34849492 0.30034965 0.84207535]
   [0.3150466  0.39802018 0.8846826 ]
   [0.33817798 0.32721114 0.7149953 ]
   [0.3630355  0.5213899  0.8820265 ]
   [0.4128334  0.3448464  0.8507415 ]
   [0.5754232  0.5632511  0.52591145]
   [0.5685193  0.34926653 0.88945323]
   [0.7439671  0.5454231  0.7803475 ]
   [0.72373986 0.30725583 0.7970954 ]
   [0.47937298 0.70316124 0.77582055]
   [0.5196663  0.6204296  0.9248241 ]
   [0.5882501  0.8115388  0.7364121 ]
   [0.5984409  0.7277796  0.8031668 ]
   [0.6336638  0.9265445  0.67859244]
   [0.64102125 0.799097   0.594163  ]]]]"
2,Plank_Pose_or_Kumbhakasana__image_30.jpg,"[[[[0.41704756 0.10082282 0.8136867 ]
   [0.39829338 0.08764853 0.8376306 ]
   [0.39820626 0.08781876 0.8692943 ]
   [0.35633296 0.11477269 0.8191244 ]
   [0.3574397  0.1112231  0.5942465 ]
   [0.38748974 0.21760184 0.857518  ]
   [0.38467687 0.21236008 0.55682296]
   [0.56635284 0.23226917 0.8287812 ]
   [0.5644851  0.23015672 0.8811741 ]
   [0.71278316 0.22832307 0.6623027 ]
   [0.70371807 0.22345461 0.55414516]
   [0.45432183 0.45924535 0.71570265]
   [0.4467531  0.46389705 0.8034412 ]
   [0.5690557  0.7072364  0.9271783 ]
   [0.55844927 0.7043284  0.88596773]
   [0.6485357  0.93650424 0.9052133 ]
   [0.6349035  0.9197605  0.45121026]]]]"
3,Plank_Pose_or_Kumbhakasana__image_14.jpg,"[[[[0.5960979  0.28224772 0.33871734]
   [0.587776   0.26974344 0.4236057 ]
   [0.5881427  0.26883012 0.41957432]
   [0.57340986 0.2795999  0.46603015]
   [0.57428306 0.27942497 0.42829844]
   [0.57489747 0.33682817 0.81052405]
   [0.5701756  0.32730836 0.7475216 ]
   [0.67789656 0.3331715  0.7140928 ]
   [0.67275    0.3355839  0.78863835]
   [0.76309115 0.34125632 0.55600166]
   [0.75583464 0.3422633  0.73724705]
   [0.5923153  0.51303595 0.64129007]
   [0.5964354  0.51864564 0.825596  ]
   [0.6688632  0.61461127 0.27412796]
   [0.66868454 0.61803603 0.24159129]
   [0.7117855  0.72516596 0.7423175 ]
   [0.70896983 0.7255843  0.8211673 ]]]]"
4,Plank_Pose_or_Kumbhakasana__image_32.jpg,"[[[[0.37730497 0.08380058 0.5868421 ]
   [0.3565008  0.07059095 0.8328471 ]
   [0.35656026 0.0720715  0.78967214]
   [0.29818124 0.0913619  0.6252652 ]
   [0.29870445 0.09362026 0.7762429 ]
   [0.32600123 0.18676342 0.8758323 ]
   [0.312349   0.20346263 0.8049711 ]
   [0.5274344  0.18359792 0.93630975]
   [0.52292067 0.19184539 0.9337736 ]
   [0.7123239  0.1714013  0.8265378 ]
   [0.66383827 0.1872129  0.761294  ]
   [0.4271277  0.47014254 0.89233315]
   [0.4215488  0.47686797 0.81660825]
   [0.5494731  0.69540876 0.90500194]
   [0.54744995 0.6911417  0.872623  ]
   [0.633571   0.93274575 0.81893194]
   [0.62523407 0.91363585 0.74973875]]]]"
5,Plank_Pose_or_Kumbhakasana__image_24.jpg,"[[[[0.48224702 0.8943334  0.5670332 ]
   [0.4630683  0.9106334  0.7292362 ]
   [0.46462578 0.9129486  0.81521696]
   [0.42184934 0.8950174  0.72867507]
   [0.42424926 0.8979327  0.84538925]
   [0.4242555  0.7723593  0.6173892 ]
   [0.45294368 0.84002864 0.8190485 ]
   [0.5981424  0.74345565 0.6784755 ]
   [0.63535535 0.8220842  0.9187965 ]
   [0.71411157 0.73150194 0.80774957]
   [0.7925017  0.8205442  0.9361936 ]
   [0.5076021  0.54139584 0.7663433 ]
   [0.5268702  0.553101   0.8143285 ]
   [0.6121609  0.3098756  0.8786591 ]
   [0.6249818  0.30906826 0.9197322 ]
   [0.69060665 0.07760459 0.9068667 ]
   [0.7086865  0.06605349 0.9129945 ]]]]"
6,Plank_Pose_or_Kumbhakasana__image_26.jpg,"[[[[0.570685   0.5796491  0.6463481 ]
   [0.5625971  0.58471423 0.5172717 ]
   [0.5635773  0.58287936 0.54108715]
   [0.5617123  0.5759706  0.39353207]
   [0.5613545  0.57114935 0.48852867]
   [0.5845547  0.53000146 0.6913928 ]
   [0.5877331  0.54017717 0.7219651 ]
   [0.6661562  0.5093706  0.4309548 ]
   [0.66911227 0.514575   0.5796263 ]
   [0.7444536  0.5016496  0.52069235]
   [0.7458459  0.50509447 0.59945834]
   [0.6173517  0.38354683 0.74489594]
   [0.61691386 0.39094034 0.68790907]
   [0.6663359  0.26883402 0.5082495 ]
   [0.6716271  0.27299836 0.69531095]
   [0.72149694 0.1758509  0.7130865 ]
   [0.7275096  0.17083092 0.65327144]]]]"
7,Plank_Pose_or_Kumbhakasana__image_44.jpg,"[[[[0.4624347  0.836676   0.84347385]
   [0.44050437 0.8454875  0.6316751 ]
   [0.44293132 0.84546256 0.66638917]
   [0.41811106 0.81757164 0.75653005]
   [0.42154002 0.81502247 0.7154312 ]
   [0.4490048  0.7253839  0.7761626 ]
   [0.473556   0.74500597 0.86031836]
   [0.58434963 0.679614   0.6768715 ]
   [0.61894035 0.71641105 0.9372453 ]
   [0.7024545  0.6829051  0.6988102 ]
   [0.7430284  0.7033591  0.8674871 ]
   [0.47734925 0.5079348  0.7006329 ]
   [0.4854911  0.5124761  0.7706842 ]
   [0.57250416 0.3292553  0.87380344]
   [0.58364284 0.32913083 0.8889298 ]
   [0.64468277 0.16949493 0.7257593 ]
   [0.6687454  0.14401597 0.8627815 ]]]]"
8,Plank_Pose_or_Kumbhakasana__image_13.jpg,"[[[[0.36654532 0.17634065 0.84596545]
   [0.34431818 0.17806892 0.78445417]
   [0.34529814 0.17531306 0.7497506 ]
   [0.3161614  0.22438616 0.84678286]
   [0.31889087 0.2121784  0.83697844]
   [0.3732034  0.33484414 0.88247657]
   [0.38239977 0.2577724  0.9164167 ]
   [0.55477035 0.32124874 0.8152096 ]
   [0.52259195 0.26773983 0.85658056]
   [0.68817884 0.30263314 0.911114  ]
   [0.6292904  0.24635944 0.95406413]
   [0.45509148 0.56110096 0.8522718 ]
   [0.45437086 0.53999114 0.86475974]
   [0.5267223  0.733393   0.6953081 ]
   [0.51623267 0.7024637  0.64244574]
   [0.58141816 0.911013   0.69726425]
   [0.5616574  0.8447703  0.7901065 ]]]]"
9,Plank_Pose_or_Kumbhakasana__image_36.jpg,"[[[[0.55295473 0.5767181  0.43764016]
   [0.5466948  0.59055746 0.40292704]
   [0.5367781  0.57162976 0.5714801 ]
   [0.54844725 0.5880434  0.2761141 ]
   [0.5267371  0.5515699  0.59266186]
   [0.57381135 0.558533   0.39119074]
   [0.5529862  0.5181239  0.5787147 ]
   [0.63220924 0.5744193  0.61913574]
   [0.6601328  0.5019272  0.40803578]
   [0.6626648  0.6008819  0.40786022]
   [0.73333    0.5012673  0.5664044 ]
   [0.6079287  0.39182338 0.33577722]
   [0.5951529  0.3799899  0.5321691 ]
   [0.63259166 0.27440435 0.33041373]
   [0.6279497  0.27493504 0.5200967 ]
   [0.6539627  0.19083647 0.60936356]
   [0.6511439  0.17605329 0.6066933 ]]]]"
