,image,score
0,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II_image_81.jpg,"[[[[0.5238496  0.8792195  0.8126265 ]
   [0.5017441  0.88748795 0.5188647 ]
   [0.49914765 0.881855   0.5930785 ]
   [0.47447598 0.85409254 0.56541187]
   [0.47065926 0.8422042  0.661532  ]
   [0.49019063 0.80715597 0.69467384]
   [0.4686507  0.7371396  0.5649295 ]
   [0.48107398 0.6586187  0.31033677]
   [0.45322022 0.60474706 0.5028453 ]
   [0.5719681  0.6049493  0.25543922]
   [0.5761936  0.576491   0.84085345]
   [0.4184328  0.56365293 0.69241554]
   [0.41115338 0.52596754 0.70151603]
   [0.47849512 0.3697225  0.5177009 ]
   [0.47169936 0.33160383 0.5744563 ]
   [0.4426133  0.23938364 0.16906123]
   [0.43150064 0.14577161 0.79511607]]]]"
1,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II_image_80.jpg,"[[[[0.5438551  0.5504113  0.8351978 ]
   [0.52162313 0.57376575 0.71487796]
   [0.5160734  0.5288818  0.76669556]
   [0.51176953 0.56405807 0.38498932]
   [0.49725392 0.47053477 0.5894672 ]
   [0.4650208  0.56461775 0.529539  ]
   [0.5552614  0.3713027  0.5860107 ]
   [0.45448288 0.6362455  0.2940392 ]
   [0.49567404 0.26246238 0.79439545]
   [0.4934711  0.8532273  0.39011663]
   [0.62711287 0.24179772 0.92673206]
   [0.3414605  0.34789228 0.7099994 ]
   [0.40130708 0.2573046  0.5960093 ]
   [0.4373359  0.59030837 0.37216315]
   [0.4228306  0.150248   0.6527667 ]
   [0.48448843 0.5628877  0.07801172]
   [0.38797048 0.07408266 0.6960978 ]]]]"
2,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II_image_55.jpg,"[[[[0.6563281  0.78292316 0.4739233 ]
   [0.6386345  0.78608555 0.6911717 ]
   [0.6362228  0.78936875 0.7148641 ]
   [0.59650886 0.7626856  0.63376456]
   [0.59649444 0.7713057  0.6726697 ]
   [0.58345073 0.669298   0.40494668]
   [0.5745731  0.722131   0.8248845 ]
   [0.589858   0.49877527 0.17259836]
   [0.56484455 0.5957074  0.4452242 ]
   [0.6893609  0.5401024  0.6446167 ]
   [0.69758326 0.5682167  0.48839256]
   [0.53702396 0.48025003 0.7690357 ]
   [0.5322691  0.5344247  0.49671087]
   [0.4704671  0.31620234 0.8393714 ]
   [0.5582636  0.59639066 0.4394219 ]
   [0.37275016 0.15226507 0.8108737 ]
   [0.629945   0.5353456  0.3168184 ]]]]"
3,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II_image_14.jpg,"[[[[0.57062787 0.30926505 0.5122345 ]
   [0.5699094  0.3244107  0.33666104]
   [0.5691776  0.32372078 0.36304715]
   [0.5318408  0.33187306 0.491824  ]
   [0.5315033  0.32447413 0.48036665]
   [0.4972888  0.2944654  0.46820924]
   [0.5049811  0.28458795 0.59175706]
   [0.50304794 0.14359085 0.26180896]
   [0.505645   0.13392752 0.7265521 ]
   [0.595102   0.17622463 0.08124426]
   [0.59017205 0.10374733 0.54524815]
   [0.39884332 0.16417295 0.3920301 ]
   [0.40946162 0.15934522 0.33608508]
   [0.49237892 0.12273879 0.21150982]
   [0.49768633 0.12747021 0.24092257]
   [0.5797251  0.0773086  0.19771202]
   [0.584331   0.07401851 0.23539616]]]]"
4,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II_image_72.jpg,"[[[[0.6157498  0.4659727  0.21299598]
   [0.6425831  0.4782363  0.20918888]
   [0.6781522  0.40874994 0.16439272]
   [0.6362503  0.46401963 0.13691087]
   [0.6760765  0.36359414 0.14910579]
   [0.52516305 0.4605595  0.37048146]
   [0.5799635  0.27490523 0.22595343]
   [0.6128852  0.53319794 0.41091   ]
   [0.597091   0.25727108 0.50596386]
   [0.71575165 0.5213935  0.7140522 ]
   [0.72556144 0.25891766 0.64758855]
   [0.47204435 0.4177231  0.14314608]
   [0.48174226 0.3187841  0.18544096]
   [0.5203854  0.61548465 0.2995074 ]
   [0.5946932  0.25695226 0.37209493]
   [0.4955268  0.84838676 0.29673913]
   [0.7185778  0.26010367 0.2639331 ]]]]"
5,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II_image_4.jpg,"[[[[0.54787576 0.19896674 0.5337026 ]
   [0.53348196 0.20376816 0.62508595]
   [0.5292002  0.19728093 0.49254045]
   [0.51823854 0.2370185  0.5879263 ]
   [0.49531204 0.22474805 0.47326753]
   [0.55237174 0.32804057 0.74074054]
   [0.4395247  0.28534627 0.6149729 ]
   [0.49950883 0.45310763 0.87397647]
   [0.40385038 0.28412876 0.49163714]
   [0.59746695 0.4325383  0.7542022 ]
   [0.4003862  0.14065856 0.6821497 ]
   [0.49163294 0.55189526 0.4738019 ]
   [0.43703252 0.50675625 0.4471485 ]
   [0.49509925 0.733965   0.71961   ]
   [0.39489186 0.29977354 0.55623716]
   [0.510378   0.9039772  0.91117966]
   [0.5079203  0.44653514 0.24295504]]]]"
6,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II_image_31.jpg,"[[[[0.6219061  0.20132019 0.57212454]
   [0.5900705  0.1985257  0.6428452 ]
   [0.62207955 0.17973767 0.50532407]
   [0.5571414  0.21709602 0.57921576]
   [0.6110054  0.19016495 0.40038252]
   [0.5658996  0.32569644 0.6153623 ]
   [0.59638196 0.24318002 0.5030056 ]
   [0.5986217  0.5140095  0.41805825]
   [0.5671832  0.36311823 0.282161  ]
   [0.732019   0.50693476 0.86578465]
   [0.7020997  0.3816229  0.60523987]
   [0.52290833 0.497341   0.522965  ]
   [0.53898066 0.49581352 0.35299897]
   [0.5474677  0.48510343 0.3775663 ]
   [0.53722656 0.68874633 0.74326974]
   [0.56818306 0.56087667 0.08378399]
   [0.45649812 0.82703906 0.8583166 ]]]]"
7,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II_image_34.jpg,"[[[[0.80879277 0.71657366 0.4674635 ]
   [0.80460006 0.7256109  0.46727693]
   [0.7984693  0.7161258  0.4935294 ]
   [0.7871821  0.7152923  0.31770843]
   [0.7775673  0.6909247  0.39224735]
   [0.75064325 0.67806226 0.42573303]
   [0.7541865  0.63583964 0.38856778]
   [0.7763938  0.637804   0.16108622]
   [0.72508025 0.5431346  0.5485955 ]
   [0.8393455  0.58750623 0.23378515]
   [0.84089994 0.537571   0.4832113 ]
   [0.7196246  0.5074101  0.3504308 ]
   [0.71627504 0.47654277 0.45982563]
   [0.71084595 0.3250858  0.14744069]
   [0.71229655 0.31482843 0.32197848]
   [0.65354276 0.12906046 0.23809206]
   [0.6514088  0.1231555  0.43431926]]]]"
8,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II_image_28.jpg,"[[[[0.6672038  0.530906   0.49966857]
   [0.6523637  0.5361626  0.4304902 ]
   [0.654497   0.5287876  0.426577  ]
   [0.6426012  0.5276383  0.36647576]
   [0.6458276  0.5120205  0.5047132 ]
   [0.6359923  0.50159305 0.45185965]
   [0.64460313 0.47709963 0.4896698 ]
   [0.62135386 0.45446154 0.19567245]
   [0.6322152  0.3832246  0.33265847]
   [0.6721464  0.52798116 0.2016243 ]
   [0.70167667 0.39048302 0.23193842]
   [0.57421005 0.36078668 0.32687053]
   [0.58647466 0.35876983 0.43800697]
   [0.61239904 0.30208996 0.25783452]
   [0.63489336 0.37578547 0.14909226]
   [0.58333474 0.1656194  0.45878106]
   [0.5828319  0.16694282 0.38242182]]]]"
9,Pose_Dedicated_to_the_Sage_Koundinya_or_Eka_Pada_Koundinyanasana_I_and_II_image_47.jpg,"[[[[0.5305466  0.7290237  0.6632994 ]
   [0.5309743  0.7528849  0.594257  ]
   [0.49827826 0.7377856  0.51791877]
   [0.5377704  0.7386959  0.6840027 ]
   [0.45956534 0.7046881  0.62965155]
   [0.5389824  0.6566086  0.41784072]
   [0.4708813  0.60850954 0.5476951 ]
   [0.4957548  0.5294588  0.596154  ]
   [0.49132296 0.41457078 0.4400522 ]
   [0.61630267 0.50469303 0.69091094]
   [0.6216117  0.42275107 0.68704903]
   [0.44132775 0.47409117 0.5794979 ]
   [0.3889955  0.4524993  0.5587893 ]
   [0.48484203 0.36932462 0.27760383]
   [0.47547904 0.3194442  0.7211689 ]
   [0.5241072  0.23122494 0.44544813]
   [0.5336116  0.21476834 0.4249084 ]]]]"
