,image,score
0,Rajakapotasana_image_180.jpg,"[[[[0.3794658  0.573409   0.48892787]
   [0.37142003 0.5836348  0.5699218 ]
   [0.36862576 0.5758086  0.50851816]
   [0.38535506 0.62728024 0.4340825 ]
   [0.37942392 0.6065503  0.34851947]
   [0.45103666 0.6905098  0.44497484]
   [0.41837215 0.57628864 0.49732885]
   [0.49486017 0.7899304  0.21189886]
   [0.30685842 0.58391327 0.37405172]
   [0.43058148 0.7688801  0.502827  ]
   [0.35209578 0.6834769  0.28030503]
   [0.66432446 0.70632863 0.4231474 ]
   [0.6768054  0.64801043 0.29955092]
   [0.7069475  0.8880859  0.9241759 ]
   [0.69161934 0.48440427 0.60922927]
   [0.52807224 0.8180018  0.7767714 ]
   [0.7037955  0.68451667 0.5905731 ]]]]"
1,Rajakapotasana_image_50.jpg,"[[[[0.77863514 0.64498556 0.12841506]
   [0.7743882  0.6551489  0.04617653]
   [0.77181727 0.6413232  0.10734766]
   [0.778899   0.65900207 0.02829252]
   [0.77525616 0.6334512  0.09225544]
   [0.6500064  0.5350309  0.08006229]
   [0.6217549  0.46009666 0.13805361]
   [0.7693099  0.63161314 0.0291992 ]
   [0.66357297 0.43531537 0.03204206]
   [0.7890688  0.43907702 0.05393248]
   [0.61464596 0.3892405  0.07249416]
   [0.6777086  0.5219772  0.29857498]
   [0.6567019  0.45739916 0.24913941]
   [0.79324144 0.4609533  0.07981259]
   [0.77804685 0.39632827 0.05638163]
   [0.746716   0.41802976 0.12532352]
   [0.7044727  0.3681607  0.09707089]]]]"
2,Rajakapotasana_image_7.jpg,"[[[[0.04196271 0.5846009  0.37416604]
   [0.03596964 0.5868088  0.3961049 ]
   [0.03612981 0.5732187  0.30717608]
   [0.06154573 0.58797264 0.30303538]
   [0.05828992 0.5618937  0.26777667]
   [0.10782778 0.6226087  0.47571954]
   [0.09371928 0.5442264  0.3736552 ]
   [0.26775238 0.6500355  0.25136262]
   [0.21940306 0.5504476  0.11980745]
   [0.31530142 0.666775   0.47449723]
   [0.31400642 0.65852714 0.4971919 ]
   [0.3586079  0.5490805  0.27036345]
   [0.3661479  0.4761215  0.31126747]
   [0.6261902  0.63972    0.11944697]
   [0.76712096 0.07195957 0.6233313 ]
   [0.7177044  0.86879444 0.2868041 ]
   [0.88504213 0.39579484 0.6092025 ]]]]"
3,Rajakapotasana_image_181.jpg,"[[[[0.49301142 0.5927023  0.6921074 ]
   [0.50283134 0.59617186 0.42091662]
   [0.5046488  0.5984954  0.54250896]
   [0.54975617 0.55823326 0.32372442]
   [0.54886466 0.56464124 0.47136527]
   [0.5512726  0.5159699  0.7463886 ]
   [0.55177444 0.50065434 0.5047171 ]
   [0.42738613 0.5947692  0.81206244]
   [0.427458   0.5985     0.43914273]
   [0.54506165 0.6272588  0.42426574]
   [0.5399728  0.6315493  0.5867985 ]
   [0.76700747 0.47111383 0.66906965]
   [0.76300085 0.41859728 0.5190643 ]
   [0.8407382  0.67511445 0.8407465 ]
   [0.68708754 0.3169051  0.81370705]
   [0.6778205  0.6285329  0.41023168]
   [0.825004   0.3923095  0.6226235 ]]]]"
4,Rajakapotasana_image_156.jpg,"[[[[0.05934817 0.3471273  0.4411124 ]
   [0.0520704  0.32081532 0.33835226]
   [0.0635289  0.28921416 0.3639862 ]
   [0.15408736 0.24274889 0.22405554]
   [0.1661528  0.22651458 0.32367942]
   [0.31631607 0.53206474 0.12743267]
   [0.2922179  0.23557998 0.0480479 ]
   [0.4978138  0.62482554 0.14385314]
   [0.5290629  0.19317418 0.06800543]
   [0.6788687  0.5924466  0.03103811]
   [0.61207736 0.3587762  0.01966185]
   [0.62372077 0.5674907  0.03765717]
   [0.63083357 0.38957798 0.02284615]
   [0.7775395  0.643244   0.02136854]
   [0.73178226 0.31698483 0.09536777]
   [0.94954056 0.505832   0.05286575]
   [0.92740256 0.34111065 0.05133016]]]]"
5,Rajakapotasana_image_43.jpg,"[[[[0.40902537 0.50528413 0.6442696 ]
   [0.40479624 0.51745224 0.48430207]
   [0.4032693  0.4892183  0.750613  ]
   [0.41015083 0.523633   0.49033782]
   [0.4073816  0.46621895 0.48339385]
   [0.44306    0.53560275 0.6325744 ]
   [0.44505346 0.4532603  0.6690753 ]
   [0.51009136 0.5845092  0.4245632 ]
   [0.52134794 0.53156334 0.24901502]
   [0.5233494  0.5890655  0.6078129 ]
   [0.52120197 0.58250326 0.22755684]
   [0.60856825 0.5422681  0.668978  ]
   [0.6218102  0.49320045 0.5766515 ]
   [0.66052264 0.6652102  0.7797071 ]
   [0.6523127  0.3569753  0.7569078 ]
   [0.63535994 0.5320686  0.23017292]
   [0.66243374 0.51887876 0.46821007]]]]"
6,Rajakapotasana_image_120.jpg,"[[[[0.3112229  0.5300469  0.70336324]
   [0.31354594 0.55338186 0.7055555 ]
   [0.31638685 0.553971   0.6457739 ]
   [0.35422623 0.5632604  0.633128  ]
   [0.35375068 0.5621203  0.7951253 ]
   [0.41054946 0.52424353 0.69108844]
   [0.40613332 0.5163443  0.86747384]
   [0.29697546 0.62943447 0.84963346]
   [0.29888442 0.6229495  0.60206854]
   [0.39962828 0.6434486  0.4198552 ]
   [0.39376563 0.6420652  0.5889835 ]
   [0.68383473 0.49549535 0.60292536]
   [0.68072337 0.46436134 0.8059719 ]
   [0.7109456  0.71992624 0.8321778 ]
   [0.70027876 0.2535545  0.8778548 ]
   [0.5460685  0.65800023 0.8391076 ]
   [0.7219297  0.43641695 0.8109362 ]]]]"
7,Rajakapotasana_image_136.jpg,"[[[[0.35497892 0.42659366 0.7698265 ]
   [0.3633805  0.42306775 0.5612011 ]
   [0.37502766 0.41991615 0.3893543 ]
   [0.38876754 0.457041   0.69643265]
   [0.40724373 0.45414677 0.5260236 ]
   [0.37028497 0.5326631  0.5948233 ]
   [0.4346334  0.5024625  0.5090198 ]
   [0.26434436 0.4433752  0.80127704]
   [0.5201775  0.45053422 0.38506022]
   [0.37635097 0.38670695 0.35073426]
   [0.39500886 0.37725937 0.7571802 ]
   [0.645562   0.5686382  0.5444458 ]
   [0.6403286  0.5417675  0.40133247]
   [0.6411794  0.73686504 0.8201554 ]
   [0.70450443 0.30549538 0.7164932 ]
   [0.6872583  0.6139011  0.5247452 ]
   [0.47867522 0.40559426 0.4248558 ]]]]"
8,Rajakapotasana_image_9.jpg,"[[[[0.21684769 0.46145052 0.67367256]
   [0.21858865 0.4888988  0.75819385]
   [0.22013003 0.4882059  0.6547995 ]
   [0.26561767 0.5084445  0.759536  ]
   [0.2626822  0.50111556 0.69604725]
   [0.3599139  0.48385966 0.80300635]
   [0.3643198  0.44146207 0.82443273]
   [0.19248688 0.5792038  0.7480917 ]
   [0.53908145 0.52536535 0.48900005]
   [0.3624487  0.5954221  0.09656369]
   [0.6161487  0.51539254 0.36532554]
   [0.6780201  0.49761435 0.8903487 ]
   [0.68698007 0.41866264 0.829421  ]
   [0.7421024  0.7695874  0.8557941 ]
   [0.7087469  0.19536367 0.870547  ]
   [0.4973135  0.65721387 0.8078263 ]
   [0.74638665 0.42486477 0.8326792 ]]]]"
9,Rajakapotasana_image_190.jpg,"[[[[0.390873   0.4089603  0.38909414]
   [0.3772347  0.40781668 0.40514663]
   [0.37737125 0.40489414 0.35255828]
   [0.39486936 0.42025542 0.4573164 ]
   [0.39371774 0.42332807 0.34531456]
   [0.46973535 0.4319116  0.1883559 ]
   [0.4391546  0.47203493 0.21526833]
   [0.34037608 0.43626046 0.27247983]
   [0.3984478  0.42343304 0.11715309]
   [0.3426455  0.4294201  0.46876898]
   [0.34332615 0.42746016 0.26911056]
   [0.6677046  0.45641044 0.32218853]
   [0.6260015  0.51375943 0.3826028 ]
   [0.5591329  0.37702486 0.20103204]
   [0.51150656 0.4121095  0.2813911 ]
   [0.50502765 0.35027057 0.143355  ]
   [0.44535497 0.39473662 0.06466728]]]]"
10,Rajakapotasana_image_34.jpg,"[[[[0.22920644 0.5439241  0.78481   ]
   [0.25858542 0.5711925  0.8318527 ]
   [0.25856665 0.57055444 0.7954127 ]
   [0.32082003 0.5439134  0.78578335]
   [0.31876543 0.5501648  0.6195857 ]
   [0.37284064 0.43163064 0.6732883 ]
   [0.35621426 0.47260293 0.8050047 ]
   [0.5392904  0.30004796 0.7723031 ]
   [0.22447243 0.6271703  0.4706401 ]
   [0.6459355  0.15609688 0.87127954]
   [0.29324228 0.64181995 0.1890338 ]
   [0.67944014 0.46026444 0.94321936]
   [0.6589518  0.5280762  0.7805167 ]
   [0.7259577  0.1653769  0.8572346 ]
   [0.73272073 0.7404067  0.8123696 ]
   [0.72531164 0.40142867 0.66399676]
   [0.4828456  0.7223276  0.8718472 ]]]]"
11,Rajakapotasana_image_15.jpg,"[[[[0.3166308  0.5575345  0.8264955 ]
   [0.3054179  0.5481565  0.75877523]
   [0.30401823 0.5382559  0.8747297 ]
   [0.31966123 0.5171395  0.66648805]
   [0.32281953 0.49398005 0.8406829 ]
   [0.41848516 0.5691575  0.6031845 ]
   [0.3770103  0.46887434 0.7121891 ]
   [0.47638765 0.6566178  0.8652832 ]
   [0.2744749  0.40380403 0.64967513]
   [0.39837566 0.66374683 0.79434144]
   [0.29006982 0.39709353 0.4221081 ]
   [0.6368382  0.5077049  0.66517025]
   [0.626      0.45554492 0.7948658 ]
   [0.6577996  0.7028681  0.7891402 ]
   [0.66229296 0.24722815 0.8974546 ]
   [0.6804097  0.51222706 0.90118843]
   [0.47963223 0.33095327 0.84202766]]]]"
12,Rajakapotasana_image_146.jpg,"[[[[0.35906538 0.54188824 0.47108105]
   [0.35830724 0.546298   0.35430077]
   [0.36370763 0.5426723  0.54355943]
   [0.40689084 0.5191903  0.39299908]
   [0.42298698 0.5109429  0.50270605]
   [0.45068115 0.5255849  0.21231066]
   [0.4551745  0.43706006 0.46805567]
   [0.26866195 0.56325597 0.480759  ]
   [0.2766633  0.56634057 0.46604174]
   [0.3989984  0.6763798  0.47210738]
   [0.4012075  0.672696   0.38104936]
   [0.56061816 0.52918005 0.02879477]
   [0.57300407 0.48471344 0.03639435]
   [0.6634389  0.73402965 0.38464302]
   [0.6171166  0.5534041  0.20167921]
   [0.44344977 0.66329855 0.08509013]
   [0.44467926 0.6685092  0.18836461]]]]"
