,image,score
0,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana__image_77.jpg,"[[[[0.5900888  0.83260685 0.85044503]
   [0.60374594 0.85625654 0.74944204]
   [0.6009485  0.85339177 0.71386576]
   [0.66317785 0.863711   0.90669864]
   [0.64997005 0.85940284 0.7742824 ]
   [0.70625675 0.797032   0.937099  ]
   [0.6533723  0.76214087 0.8149629 ]
   [0.7760602  0.6607289  0.9053867 ]
   [0.6788333  0.6269367  0.61503214]
   [0.8191679  0.52093476 0.9088752 ]
   [0.6954849  0.51075596 0.29910687]
   [0.71267587 0.49439552 0.8432919 ]
   [0.6526868  0.49829134 0.7806352 ]
   [0.4957834  0.57040364 0.706281  ]
   [0.629444   0.3085283  0.8026717 ]
   [0.26646063 0.6661955  0.7631562 ]
   [0.66257757 0.11761522 0.82022554]]]]"
1,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana__image_102.jpg,"[[[[0.39612067 0.1423074  0.77142924]
   [0.41041043 0.12383772 0.66480803]
   [0.41706252 0.12336539 0.7298353 ]
   [0.45423752 0.13370304 0.78977513]
   [0.47552907 0.13500832 0.7563493 ]
   [0.39515334 0.2313375  0.9018762 ]
   [0.5098422  0.22576056 0.7075957 ]
   [0.35587046 0.21738693 0.8027928 ]
   [0.60615057 0.22909136 0.68881315]
   [0.28156963 0.20057157 0.9111895 ]
   [0.695468   0.20148972 0.62144446]
   [0.38503495 0.51202726 0.7887454 ]
   [0.47820517 0.46990642 0.6968285 ]
   [0.4101681  0.7249936  0.87313783]
   [0.5770601  0.38206258 0.79129255]
   [0.42521396 0.919718   0.88019234]
   [0.69337267 0.22545305 0.45796463]]]]"
2,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana__image_31.jpg,"[[[[0.56992525 0.13522986 0.6705762 ]
   [0.5825229  0.11125872 0.5837868 ]
   [0.5842008  0.11395925 0.6315671 ]
   [0.628326   0.11524296 0.74474645]
   [0.63249093 0.11665303 0.73562485]
   [0.6070267  0.2181908  0.735855  ]
   [0.6278021  0.20591581 0.7439019 ]
   [0.61062866 0.2834466  0.41281742]
   [0.63474274 0.29287207 0.46661684]
   [0.58799547 0.35402888 0.34390837]
   [0.61693954 0.33161208 0.4329419 ]
   [0.59238344 0.49827585 0.6159789 ]
   [0.61748946 0.49190134 0.58080626]
   [0.6273001  0.7190287  0.7027351 ]
   [0.6596745  0.5173765  0.13132092]
   [0.6366747  0.90552837 0.88536197]
   [0.64047873 0.9070363  0.12143946]]]]"
3,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana__image_7.jpg,"[[[[0.62747127 0.8317749  0.5296025 ]
   [0.6414892  0.8521403  0.53264487]
   [0.637687   0.8456945  0.70000213]
   [0.6818945  0.847054   0.66676575]
   [0.6756093  0.8400752  0.62000465]
   [0.6809815  0.7865592  0.7931358 ]
   [0.65581304 0.7539014  0.70542186]
   [0.55820316 0.669098   0.8914875 ]
   [0.55215895 0.65994006 0.7336533 ]
   [0.45069093 0.59272707 0.5929509 ]
   [0.45109192 0.5846277  0.34559926]
   [0.6903657  0.520921   0.852782  ]
   [0.6714877  0.5207507  0.92601115]
   [0.45624042 0.506174   0.8642124 ]
   [0.6950787  0.3033784  0.9206056 ]
   [0.27958012 0.40393576 0.5537496 ]
   [0.71574134 0.11004584 0.875862  ]]]]"
4,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana__image_78.jpg,"[[[[0.57906044 0.13412398 0.5730626 ]
   [0.5936562  0.11664534 0.742103  ]
   [0.59258556 0.11783675 0.55693173]
   [0.6354451  0.12430748 0.60986453]
   [0.63523096 0.12868847 0.42805055]
   [0.62674356 0.22178921 0.78502464]
   [0.645132   0.20510776 0.8406577 ]
   [0.49893424 0.33606783 0.73733735]
   [0.49540535 0.21094057 0.49923366]
   [0.47503904 0.32929182 0.03885137]
   [0.43725643 0.15864757 0.32331324]
   [0.63325655 0.4862557  0.67685753]
   [0.6434077  0.46632162 0.8499881 ]
   [0.6279841  0.7103205  0.917244  ]
   [0.48661348 0.33693543 0.33446866]
   [0.63721746 0.90366894 0.78358084]
   [0.3693931  0.16579993 0.46223256]]]]"
5,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana__image_100.jpg,"[[[[0.33594042 0.5079099  0.6513171 ]
   [0.3140355  0.5303495  0.5514609 ]
   [0.59791523 0.24231735 0.86952275]
   [0.31838363 0.5647953  0.61008555]
   [0.64245594 0.24107464 0.78393555]
   [0.4030079  0.5973617  0.6140946 ]
   [0.6483991  0.27381483 0.80886185]
   [0.5010113  0.6043229  0.69449353]
   [0.48347658 0.32752755 0.8105502 ]
   [0.60629326 0.6316577  0.4971962 ]
   [0.34794647 0.33347878 0.5255195 ]
   [0.6279838  0.5495082  0.68327254]
   [0.64423335 0.5326127  0.8207479 ]
   [0.64905244 0.7361437  0.5363322 ]
   [0.45502773 0.4606806  0.5943161 ]
   [0.6785654  0.9409869  0.84380364]
   [0.32699946 0.33612257 0.48587728]]]]"
6,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana__image_70.jpg,"[[[[0.35686493 0.90578187 0.7721933 ]
   [0.36805314 0.93171996 0.813496  ]
   [0.36297593 0.9271005  0.7664461 ]
   [0.42033535 0.93888944 0.81514436]
   [0.40574    0.932744   0.79027957]
   [0.49127078 0.8713292  0.8533682 ]
   [0.36927152 0.8198031  0.60861254]
   [0.5620437  0.85167056 0.6432929 ]
   [0.34106228 0.7556746  0.82106787]
   [0.6642259  0.84159887 0.8415911 ]
   [0.27937624 0.75061756 0.7881573 ]
   [0.44642928 0.58675617 0.5416995 ]
   [0.3367271  0.55401224 0.74815494]
   [0.51896805 0.32827523 0.7907027 ]
   [0.5068119  0.63547915 0.60734963]
   [0.5576313  0.08622245 0.8973583 ]
   [0.7098058  0.7463096  0.75611806]]]]"
7,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana__image_8.jpg,"[[[[0.64085305 0.9163395  0.7761377 ]
   [0.6631305  0.93532723 0.76088005]
   [0.6552734  0.9328496  0.7187158 ]
   [0.7243438  0.9227307  0.7250768 ]
   [0.7098318  0.92321783 0.7610145 ]
   [0.7489198  0.84872305 0.89181465]
   [0.6770756  0.82514256 0.7585636 ]
   [0.7940839  0.678223   0.81608284]
   [0.68927795 0.69833004 0.25066605]
   [0.6472523  0.7206539  0.76305735]
   [0.5851329  0.71088016 0.610224  ]
   [0.71149355 0.5562223  0.51110715]
   [0.61548203 0.5736946  0.7875928 ]
   [0.6888123  0.2911362  0.8628513 ]
   [0.44258544 0.55606705 0.8102043 ]
   [0.70059144 0.08185948 0.82261   ]
   [0.26692718 0.4332821  0.65488166]]]]"
8,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana__image_85.jpg,"[[[[0.54960954 0.52050877 0.4269009 ]
   [0.57272846 0.525259   0.48727193]
   [0.5669815  0.5296073  0.53846663]
   [0.6076392  0.48977518 0.4936056 ]
   [0.6058755  0.51328135 0.5098971 ]
   [0.48345584 0.43515483 0.4722922 ]
   [0.56085867 0.45445743 0.5438053 ]
   [0.6699107  0.456301   0.3246201 ]
   [0.64097434 0.6023401  0.31585258]
   [0.8043735  0.5105171  0.88911694]
   [0.75424397 0.6741248  0.4221815 ]
   [0.35822055 0.35100448 0.25395247]
   [0.4141865  0.33718798 0.5252108 ]
   [0.2749055  0.37074804 0.5317834 ]
   [0.31662416 0.3354521  0.19249369]
   [0.09565112 0.45333427 0.5176216 ]
   [0.23884782 0.32036573 0.15460637]]]]"
9,Reclining_Hand-to-Big-Toe_Pose_or_Supta_Padangusthasana__image_9.jpg,"[[[[0.3561345  0.83322984 0.83319765]
   [0.3694493  0.85654414 0.7570364 ]
   [0.34873873 0.8442652  0.62011206]
   [0.42039126 0.8534371  0.82557124]
   [0.3774232  0.8359376  0.6676969 ]
   [0.45764104 0.80420417 0.7780499 ]
   [0.3544457  0.7426021  0.8923936 ]
   [0.5613974  0.7733391  0.7770724 ]
   [0.35322213 0.6783833  0.37531373]
   [0.6236524  0.7563985  0.77535003]
   [0.4037661  0.6048183  0.1465268 ]
   [0.4503504  0.5164236  0.81572515]
   [0.35570788 0.51154333 0.7534509 ]
   [0.4831112  0.27016342 0.9128247 ]
   [0.42789182 0.5405465  0.26123878]
   [0.5791048  0.05240777 0.42044085]
   [0.60349333 0.58172894 0.77310055]]]]"
