,image,score
0,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana__image_54.jpg,"[[[[0.611944   0.5799551  0.4514971 ]
   [0.6082006  0.5904779  0.40998197]
   [0.60315883 0.58571655 0.31134382]
   [0.5762818  0.59395415 0.47105417]
   [0.57217336 0.58702767 0.45670295]
   [0.54360175 0.55130464 0.4573356 ]
   [0.5439759  0.55726045 0.42151973]
   [0.5845926  0.639036   0.40934685]
   [0.6055439  0.59152126 0.268199  ]
   [0.61264116 0.7373699  0.38002124]
   [0.6283574  0.75123113 0.65285265]
   [0.6347468  0.37931594 0.50615317]
   [0.6357837  0.36646298 0.6555042 ]
   [0.60942876 0.5719196  0.30174604]
   [0.620788   0.5815419  0.29671186]
   [0.66149455 0.4490996  0.07972255]
   [0.66410047 0.7450842  0.5659705 ]]]]"
1,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana__image_1.jpg,"[[[[0.63034487 0.46458316 0.4957161 ]
   [0.6211594  0.465408   0.52807206]
   [0.6251616  0.4531982  0.2998744 ]
   [0.6069212  0.48046708 0.4955835 ]
   [0.61581403 0.45353737 0.33895752]
   [0.6178947  0.54153854 0.35799456]
   [0.6340421  0.4749236  0.2866636 ]
   [0.7104516  0.44240877 0.43365154]
   [0.7084068  0.44343486 0.32042927]
   [0.7247718  0.32771876 0.36546558]
   [0.71743876 0.31456536 0.31069157]
   [0.68106014 0.6184523  0.615468  ]
   [0.6836566  0.5685615  0.483298  ]
   [0.70814574 0.6766792  0.21783952]
   [0.7210104  0.4658306  0.22373958]
   [0.70699704 0.75275886 0.33549798]
   [0.718562   0.4387309  0.11525208]]]]"
2,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana__image_130.jpg,"[[[[0.60444665 0.29364944 0.4131785 ]
   [0.6069442  0.28533858 0.4174857 ]
   [0.61034334 0.2782479  0.41264746]
   [0.5640981  0.28295383 0.33297563]
   [0.56097156 0.27067178 0.31311977]
   [0.54209954 0.37965605 0.46769837]
   [0.51448077 0.29862812 0.33963686]
   [0.7729715  0.33201355 0.42768222]
   [0.6594084  0.2874229  0.25117323]
   [0.7492382  0.1447971  0.53699267]
   [0.7386628  0.14946032 0.32635927]
   [0.53506994 0.5554058  0.2936076 ]
   [0.5253705  0.4809161  0.4189281 ]
   [0.7554893  0.93180335 0.49574986]
   [0.6292704  0.33975157 0.13689503]
   [0.72468513 0.51245344 0.08225605]
   [0.7036871  0.30508092 0.06492352]]]]"
3,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana__image_104.jpg,"[[[[0.5938195  0.73560435 0.24835256]
   [0.59725857 0.73637956 0.2861304 ]
   [0.589115   0.73335075 0.26075408]
   [0.5590635  0.71468717 0.3768984 ]
   [0.5515126  0.70689464 0.2897289 ]
   [0.5246391  0.67974585 0.2823022 ]
   [0.4993236  0.6915601  0.18832205]
   [0.663052   0.6110499  0.1079552 ]
   [0.7081597  0.66471225 0.14343408]
   [0.6500272  0.826264   0.29711768]
   [0.65085596 0.83128697 0.20904279]
   [0.45623243 0.49569505 0.34583607]
   [0.45606387 0.5170194  0.29963353]
   [0.6842506  0.6389098  0.1528798 ]
   [0.68990135 0.6719879  0.26535934]
   [0.7188295  0.59363073 0.04462589]
   [0.6960117  0.47221774 0.12924556]]]]"
4,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana__image_2.jpg,"[[[[0.4251507  0.45818764 0.6960286 ]
   [0.42011714 0.44010553 0.6264447 ]
   [0.4384551  0.43312663 0.6888812 ]
   [0.4567669  0.4402815  0.63467157]
   [0.48783228 0.43403947 0.4912968 ]
   [0.43000048 0.54706454 0.70366955]
   [0.58733404 0.47663832 0.7642648 ]
   [0.3299607  0.44116575 0.8701018 ]
   [0.7273008  0.42830262 0.9598486 ]
   [0.24612266 0.32708374 0.83755505]
   [0.7448097  0.2685761  0.6885157 ]
   [0.6581032  0.7629545  0.7610504 ]
   [0.66803545 0.6169238  0.6998765 ]
   [0.7284972  0.8382216  0.93795633]
   [0.72747856 0.4464878  0.7540289 ]
   [0.72875243 0.6434044  0.89132077]
   [0.74191517 0.2534097  0.5576509 ]]]]"
5,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana__image_37.jpg,"[[[[0.4095708  0.57093036 0.5422585 ]
   [0.43892464 0.5800705  0.32906824]
   [0.41432723 0.5823223  0.48015442]
   [0.4946759  0.574686   0.54983115]
   [0.43197486 0.5848399  0.52915275]
   [0.5193045  0.55205166 0.8539059 ]
   [0.3633796  0.5106085  0.86610866]
   [0.6362056  0.62211853 0.8175373 ]
   [0.39194202 0.69170094 0.7314302 ]
   [0.5504708  0.7520403  0.77298385]
   [0.494393   0.7747227  0.6763721 ]
   [0.5712756  0.35336837 0.80408156]
   [0.5341658  0.22497573 0.78452253]
   [0.63506794 0.61187166 0.6602033 ]
   [0.6585341  0.12226963 0.9365837 ]
   [0.6092161  0.7776661  0.8356265 ]
   [0.62805027 0.31656858 0.83846253]]]]"
6,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana__image_136.jpg,"[[[[0.51004946 0.62628204 0.65296274]
   [0.537013   0.64379483 0.37141502]
   [0.5120075  0.6442827  0.39909115]
   [0.5790292  0.6419038  0.5774588 ]
   [0.5131459  0.658033   0.6613896 ]
   [0.59679925 0.6103067  0.7514088 ]
   [0.45321327 0.57745296 0.83116764]
   [0.6960559  0.6985034  0.7104054 ]
   [0.4739098  0.7371417  0.71162283]
   [0.60360235 0.8334254  0.52000326]
   [0.58234036 0.8367718  0.67572474]
   [0.62733865 0.4549111  0.6603306 ]
   [0.6203978  0.3398216  0.7989375 ]
   [0.6701088  0.6469982  0.5678488 ]
   [0.6769414  0.16839057 0.88978964]
   [0.6816682  0.8336265  0.52180904]
   [0.6875309  0.39107504 0.8796886 ]]]]"
7,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana__image_133.jpg,"[[[[0.21135624 0.6481761  0.5635808 ]
   [0.22878599 0.59776145 0.36890405]
   [0.2593081  0.65182567 0.36380127]
   [0.2737736  0.49393776 0.41969633]
   [0.349985   0.62999463 0.25105703]
   [0.15835252 0.5852664  0.6774183 ]
   [0.43113554 0.6656848  0.5831059 ]
   [0.08074588 0.35578156 0.82557434]
   [0.63301426 0.7445118  0.57791924]
   [0.3472002  0.19763604 0.65338916]
   [0.49322957 0.4261685  0.3369233 ]
   [0.4149843  0.7061926  0.07425251]
   [0.5890498  0.83915025 0.61785483]
   [0.52274346 0.44779012 0.10662392]
   [0.48008993 0.6382131  0.08153617]
   [0.48602107 0.42055857 0.31687295]
   [0.47588885 0.42174038 0.38307285]]]]"
8,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana__image_114.jpg,"[[[[0.3872915  0.3368341  0.5946073 ]
   [0.39707947 0.32129762 0.50955784]
   [0.41387188 0.32580453 0.3109122 ]
   [0.41567725 0.33309147 0.47625875]
   [0.45055136 0.34841117 0.42133886]
   [0.3451198  0.40290383 0.83435404]
   [0.47923806 0.3941454  0.6862846 ]
   [0.3648244  0.22975387 0.926299  ]
   [0.5778953  0.312439   0.79112816]
   [0.46744737 0.16383328 0.67163336]
   [0.51582116 0.17594174 0.7009757 ]
   [0.47545934 0.67509615 0.87179816]
   [0.5140235  0.5795407  0.7336562 ]
   [0.538357   0.90875554 0.9372446 ]
   [0.55632794 0.3453827  0.6956439 ]
   [0.55000716 0.6797836  0.8675281 ]
   [0.55179983 0.17450859 0.78895897]]]]"
9,Revolved_Head-to-Knee_Pose_or_Parivrtta_Janu_Sirsasana__image_117.jpg,"[[[[0.44021213 0.5517205  0.6132998 ]
   [0.4596427  0.55549544 0.30036226]
   [0.44212386 0.55842257 0.56447357]
   [0.49820969 0.54595363 0.5820608 ]
   [0.45179573 0.56376785 0.46536157]
   [0.49887818 0.51831967 0.60673034]
   [0.41484505 0.5127443  0.6308918 ]
   [0.56791925 0.5461867  0.20271486]
   [0.41175953 0.6440219  0.7663444 ]
   [0.47491807 0.7110886  0.4886851 ]
   [0.46168885 0.7175175  0.5417067 ]
   [0.55465937 0.42226002 0.53178626]
   [0.5404517  0.33445787 0.74785423]
   [0.5595747  0.5698039  0.63270015]
   [0.56748986 0.3126439  0.74270123]
   [0.5781727  0.7283405  0.38785866]
   [0.584538   0.4403017  0.23321995]]]]"
