,image,score
0,Scorpion_pose_or_vrischikasana_image_2.jpg,"[[[[0.82332015 0.4199105  0.6105357 ]
   [0.8011328  0.4106457  0.59928817]
   [0.80251753 0.41104725 0.569682  ]
   [0.76557714 0.44667426 0.7310293 ]
   [0.76695186 0.4475743  0.7858882 ]
   [0.74020797 0.56068516 0.73447526]
   [0.7322242  0.5487082  0.8507865 ]
   [0.9473442  0.5970721  0.9532497 ]
   [0.8551296  0.5622863  0.7170807 ]
   [0.9070049  0.44582218 0.89817894]
   [0.88177663 0.45359394 0.659132  ]
   [0.41795915 0.64615756 0.7735638 ]
   [0.41598052 0.61680293 0.79727995]
   [0.0920182  0.57047784 0.9111696 ]
   [0.10432752 0.5592887  0.6891301 ]
   [0.25907317 0.32235852 0.7578165 ]
   [0.27723932 0.32789785 0.380417  ]]]]"
1,Scorpion_pose_or_vrischikasana_image_160.jpg,"[[[[0.67006564 0.693317   0.5845293 ]
   [0.66041756 0.70551074 0.4193878 ]
   [0.6555105  0.7009258  0.35936594]
   [0.63976693 0.6912064  0.5479183 ]
   [0.6406221  0.680327   0.6517804 ]
   [0.61808276 0.6404395  0.76386267]
   [0.6129596  0.6413792  0.5917163 ]
   [0.7132226  0.58686346 0.28630447]
   [0.7283436  0.58164555 0.5795844 ]
   [0.72616893 0.6635926  0.18345885]
   [0.7362329  0.66722786 0.39041993]
   [0.47121808 0.5683674  0.68902284]
   [0.46657866 0.5604866  0.69648457]
   [0.2996055  0.62184453 0.64990485]
   [0.29695177 0.616006   0.8622415 ]
   [0.33620358 0.788435   0.5573081 ]
   [0.337764   0.7883029  0.59370697]]]]"
2,Scorpion_pose_or_vrischikasana_image_6.jpg,"[[[[0.66411763 0.32762364 0.74201083]
   [0.645275   0.33603808 0.6073604 ]
   [0.64464575 0.33579504 0.613622  ]
   [0.61458963 0.30480996 0.7448348 ]
   [0.61618656 0.2989174  0.74157315]
   [0.5753506  0.21595533 0.7519334 ]
   [0.5865012  0.20724548 0.7462082 ]
   [0.7148599  0.18382525 0.45997962]
   [0.7337211  0.18206799 0.7764381 ]
   [0.7316153  0.29171494 0.22721237]
   [0.7400071  0.29986313 0.5528345 ]
   [0.419107   0.15306678 0.51246566]
   [0.4109934  0.1450013  0.64606935]
   [0.25691894 0.29286885 0.71272755]
   [0.25089073 0.2900919  0.62282616]
   [0.46170092 0.3256363  0.3972051 ]
   [0.46305507 0.3293227  0.32787502]]]]"
3,Scorpion_pose_or_vrischikasana_image_106.jpg,"[[[[0.69957405 0.4647984  0.64942545]
   [0.68612456 0.4862454  0.4595794 ]
   [0.6872118  0.483437   0.43620428]
   [0.66215056 0.48710138 0.5546975 ]
   [0.66529703 0.48257127 0.72289336]
   [0.62389845 0.41692197 0.69812596]
   [0.64755625 0.43411577 0.4948452 ]
   [0.71553725 0.40435076 0.5834897 ]
   [0.74589145 0.40717608 0.7997507 ]
   [0.7151788  0.48988146 0.38022667]
   [0.73315036 0.50502026 0.4070737 ]
   [0.42066216 0.38090515 0.61793226]
   [0.4201483  0.39234164 0.6069241 ]
   [0.21907426 0.4217423  0.80080056]
   [0.21622387 0.42082223 0.73676157]
   [0.25604278 0.55531096 0.30972216]
   [0.21809396 0.60985523 0.56879485]]]]"
4,Scorpion_pose_or_vrischikasana_image_73.jpg,"[[[[0.33568877 0.71772105 0.30006868]
   [0.32878467 0.7169586  0.20716481]
   [0.3293004  0.7191734  0.32560638]
   [0.33668047 0.6835983  0.09869013]
   [0.3356845  0.7025008  0.18764237]
   [0.32803333 0.5941509  0.15265958]
   [0.34593236 0.6443254  0.29804203]
   [0.5008663  0.5485969  0.17285904]
   [0.36057955 0.65458006 0.21097153]
   [0.5083374  0.55456823 0.06521066]
   [0.31630653 0.7470895  0.26388618]
   [0.43794125 0.5562107  0.3849485 ]
   [0.43572888 0.60456663 0.36526364]
   [0.5398714  0.5532942  0.40261367]
   [0.54450035 0.58842176 0.3682933 ]
   [0.650326   0.53216296 0.5682182 ]
   [0.6507725  0.6068722  0.29279986]]]]"
5,Scorpion_pose_or_vrischikasana_image_112.jpg,"[[[[0.5330062  0.38443998 0.5497062 ]
   [0.5199364  0.3942452  0.64890623]
   [0.5168805  0.3902466  0.51613176]
   [0.5079794  0.44454902 0.7497876 ]
   [0.500972   0.44137484 0.46825445]
   [0.5681302  0.5105449  0.53283584]
   [0.5254192  0.5097954  0.46080446]
   [0.7022241  0.58768237 0.9019187 ]
   [0.55074996 0.5127118  0.46581465]
   [0.712917   0.45466676 0.8789492 ]
   [0.56880754 0.490361   0.39633876]
   [0.425364   0.66055673 0.59574825]
   [0.38217893 0.6378614  0.65062   ]
   [0.2511043  0.4300433  0.94490206]
   [0.25224096 0.4276457  0.80428314]
   [0.3863292  0.262706   0.50191706]
   [0.3906712  0.2561533  0.6807301 ]]]]"
6,Scorpion_pose_or_vrischikasana_image_45.jpg,"[[[[0.7455711  0.44494805 0.13663045]
   [0.75020355 0.5144911  0.06592368]
   [0.74904954 0.5144532  0.10656527]
   [0.78992933 0.41058898 0.02916845]
   [0.7957969  0.40274167 0.04612144]
   [0.74125755 0.40327927 0.24671982]
   [0.74681246 0.39463335 0.32121515]
   [0.7434178  0.56483024 0.06460737]
   [0.7418655  0.55411404 0.04894584]
   [0.7457328  0.563927   0.02699724]
   [0.7440544  0.5575117  0.03366983]
   [0.43093544 0.40269485 0.7302114 ]
   [0.4256393  0.39443275 0.80116427]
   [0.2507637  0.46004266 0.11450309]
   [0.24294567 0.4566022  0.24818555]
   [0.37031388 0.63749087 0.33174366]
   [0.37068942 0.6415327  0.4583187 ]]]]"
7,Scorpion_pose_or_vrischikasana_image_137.jpg,"[[[[0.5496034  0.6174959  0.36552325]
   [0.54009295 0.61496973 0.40028784]
   [0.54029953 0.6191793  0.3211482 ]
   [0.5376998  0.58502346 0.39669824]
   [0.53805846 0.5938443  0.29977334]
   [0.53245395 0.54804873 0.30810198]
   [0.5290185  0.55663717 0.27428812]
   [0.5915043  0.5495818  0.14953053]
   [0.5846393  0.55652255 0.19016033]
   [0.6882126  0.51407427 0.26886034]
   [0.62939644 0.60705626 0.08397115]
   [0.4340976  0.5247993  0.3011129 ]
   [0.42830288 0.5178435  0.4099262 ]
   [0.5208214  0.6123042  0.328805  ]
   [0.29642066 0.68436986 0.4459201 ]
   [0.49157885 0.64677835 0.1279462 ]
   [0.4857384  0.65749943 0.09349514]]]]"
8,Scorpion_pose_or_vrischikasana_image_125.jpg,"[[[[0.5143657  0.5682598  0.17179288]
   [0.50208545 0.60932827 0.07956374]
   [0.5061321  0.5699659  0.17250665]
   [0.42392132 0.5139592  0.064465  ]
   [0.5077481  0.55659956 0.31449538]
   [0.26414332 0.4118361  0.20768374]
   [0.4118557  0.36282134 0.1874755 ]
   [0.2582008  0.6392787  0.18903247]
   [0.5167917  0.370298   0.14429075]
   [0.4496405  0.5784376  0.05458933]
   [0.51590055 0.37273628 0.22490163]
   [0.43324232 0.4160018  0.2829788 ]
   [0.46648717 0.39380562 0.35555127]
   [0.4638138  0.489579   0.06579166]
   [0.51721245 0.466476   0.05586279]
   [0.46853954 0.45449886 0.06172565]
   [0.49284485 0.40946227 0.09624415]]]]"
9,Scorpion_pose_or_vrischikasana_image_165.jpg,"[[[[0.775225   0.45154855 0.33927786]
   [0.76947606 0.46396995 0.33865392]
   [0.76274914 0.45832124 0.19154812]
   [0.72628254 0.45172137 0.31044132]
   [0.72570306 0.43003094 0.3359296 ]
   [0.67716247 0.40397814 0.3564573 ]
   [0.69096065 0.34828952 0.5712777 ]
   [0.78634906 0.3880671  0.37344313]
   [0.7987748  0.30484426 0.29823142]
   [0.8283143  0.4458804  0.46014202]
   [0.87318325 0.30086493 0.5446191 ]
   [0.48974887 0.33937338 0.31206688]
   [0.48352805 0.31901142 0.55135196]
   [0.35964835 0.46388155 0.22980659]
   [0.34447324 0.44225243 0.44110796]
   [0.4555864  0.58218145 0.4902276 ]
   [0.45714647 0.58538646 0.50153047]]]]"
