,image,score
0,Seated_Forward_Bend_pose_or_Paschimottanasana__image_28.jpg,"[[[[0.57633793 0.7144386  0.38591805]
   [0.5712038  0.7337557  0.4303199 ]
   [0.56441575 0.73082274 0.38540933]
   [0.5800848  0.7250382  0.3780092 ]
   [0.5602982  0.71597636 0.5793985 ]
   [0.6302813  0.63421994 0.48355392]
   [0.5911086  0.6227287  0.41194633]
   [0.7089787  0.59880143 0.252153  ]
   [0.6538207  0.573953   0.16501324]
   [0.75695264 0.6231906  0.4473738 ]
   [0.63516325 0.61909676 0.08992797]
   [0.61580366 0.45416507 0.11618893]
   [0.5560567  0.42468518 0.2888866 ]
   [0.6985028  0.554732   0.12045797]
   [0.68159366 0.5094337  0.08391821]
   [0.61344033 0.37853354 0.36285102]
   [0.61841613 0.39506212 0.35137662]]]]"
1,Seated_Forward_Bend_pose_or_Paschimottanasana__image_118.jpg,"[[[[0.5624487  0.7157316  0.281937  ]
   [0.53037155 0.7405127  0.29591   ]
   [0.5257517  0.6794781  0.287907  ]
   [0.44758427 0.79372245 0.56860536]
   [0.43717653 0.6281103  0.57752484]
   [0.3365463  0.9057917  0.7645898 ]
   [0.33600143 0.53759366 0.8748418 ]
   [0.6226556  0.89427143 0.86980534]
   [0.5928073  0.48643672 0.6193387 ]
   [0.7092532  0.7983514  0.5835448 ]
   [0.69368577 0.4970416  0.14041388]
   [0.53466266 0.82932603 0.5935151 ]
   [0.5699334  0.5876767  0.5967803 ]
   [0.58712965 0.8084182  0.3443784 ]
   [0.5758961  0.63339645 0.37772912]
   [0.69995695 0.79179114 0.32570893]
   [0.64340913 0.6529536  0.20795602]]]]"
2,Seated_Forward_Bend_pose_or_Paschimottanasana__image_94.jpg,"[[[[0.36975867 0.5201356  0.7893012 ]
   [0.34900543 0.53743064 0.72275573]
   [0.34721228 0.53538454 0.69020736]
   [0.29434776 0.50983113 0.66542435]
   [0.29196492 0.5063584  0.83183056]
   [0.25630718 0.42339692 0.64726907]
   [0.26509255 0.41593307 0.7621324 ]
   [0.4206706  0.28122604 0.6650487 ]
   [0.44745195 0.28513587 0.6373558 ]
   [0.5785026  0.2940391  0.20957811]
   [0.5773562  0.30350167 0.42435998]
   [0.260994   0.13540472 0.78802145]
   [0.2644574  0.12613538 0.7736303 ]
   [0.49308774 0.28298146 0.75965273]
   [0.50031126 0.28696454 0.735587  ]
   [0.74760616 0.18079458 0.77674556]
   [0.7688827  0.17746067 0.6795997 ]]]]"
3,Seated_Forward_Bend_pose_or_Paschimottanasana__image_52.jpg,"[[[[ 0.5195244   0.14356206  0.46592346]
   [ 0.51114106  0.15893476  0.32936984]
   [ 0.51267934  0.15824631  0.37323987]
   [ 0.4679225   0.15775056  0.30316228]
   [ 0.46801412  0.14773843  0.3507163 ]
   [ 0.4270996   0.1057467   0.4698616 ]
   [ 0.43529072  0.09000454  0.5359418 ]
   [ 0.5404208   0.21347314  0.37958577]
   [ 0.5577399   0.22431093  0.5885757 ]
   [ 0.4973579   0.31436437  0.44845724]
   [ 0.5105087   0.32844684  0.37166372]
   [ 0.47821134 -0.00472265  0.03567265]
   [ 0.4916945  -0.00393635  0.04718031]
   [ 0.5583727   0.05609043  0.1571864 ]
   [ 0.56010586  0.15902509  0.21487297]
   [ 0.5079772   0.32155177  0.29172483]
   [ 0.5515537   0.33003795  0.34757376]]]]"
4,Seated_Forward_Bend_pose_or_Paschimottanasana__image_60.jpg,"[[[[ 0.4381717   0.14260645  0.15697464]
   [ 0.40248376  0.19669612  0.15691738]
   [ 0.40702862  0.11987445  0.18492663]
   [ 0.3387169   0.20260791  0.2900074 ]
   [ 0.35100245  0.05142016  0.09910251]
   [ 0.3622558   0.24722484  0.258596  ]
   [ 0.36892408  0.01299783  0.04740473]
   [ 0.5415874   0.42533946  0.1812923 ]
   [ 0.6352971   0.38901234  0.09453071]
   [ 0.5798472   0.47257733  0.10529935]
   [ 0.6554791   0.40294644  0.69265926]
   [ 0.35934666  0.10967839  0.01970167]
   [ 0.3879907  -0.00453137  0.0238295 ]
   [ 0.48612693  0.1311626   0.12098242]
   [ 0.42681238  0.06723043  0.06783017]
   [ 0.55208963  0.25287107  0.04327503]
   [ 0.6545237   0.3975337   0.3893625 ]]]]"
5,Seated_Forward_Bend_pose_or_Paschimottanasana__image_129.jpg,"[[[[0.48480177 0.6793494  0.4129407 ]
   [0.4671449  0.71037394 0.26852602]
   [0.4703866  0.65941423 0.35772657]
   [0.40180343 0.7514981  0.45572805]
   [0.41431755 0.61242056 0.5078752 ]
   [0.40471804 0.81413084 0.7531641 ]
   [0.42238852 0.56422514 0.642652  ]
   [0.5740487  0.8460435  0.83238435]
   [0.60340464 0.5500574  0.63157755]
   [0.64272773 0.8078402  0.35457802]
   [0.61342657 0.57065    0.36430752]
   [0.6043041  0.7572664  0.64883167]
   [0.60256255 0.61165315 0.7138149 ]
   [0.5847419  0.77019584 0.23069304]
   [0.5775574  0.6101457  0.15483478]
   [0.67055917 0.76181525 0.4121467 ]
   [0.66371983 0.6190384  0.55247724]]]]"
6,Seated_Forward_Bend_pose_or_Paschimottanasana__image_26.jpg,"[[[[0.450215   0.4066377  0.21105391]
   [0.45366937 0.4357564  0.16212775]
   [0.47017112 0.44056278 0.11498991]
   [0.39249116 0.44707987 0.6913355 ]
   [0.39293182 0.42586756 0.72614795]
   [0.2829341  0.48200148 0.32353225]
   [0.31870365 0.32121825 0.7914087 ]
   [0.46287775 0.6616645  0.24470584]
   [0.5526776  0.5020628  0.60536283]
   [0.52604    0.82948744 0.40902194]
   [0.58232325 0.7936778  0.815888  ]
   [0.4937889  0.02285232 0.21590254]
   [0.4783782  0.01688841 0.26038352]
   [0.44044614 0.6356321  0.42376947]
   [0.5494128  0.43103394 0.7757233 ]
   [0.56810695 0.82161045 0.39417845]
   [0.6035723  0.79458076 0.56932193]]]]"
7,Seated_Forward_Bend_pose_or_Paschimottanasana__image_73.jpg,"[[[[0.82696575 0.448227   0.4524386 ]
   [0.8407135  0.46396267 0.57814014]
   [0.84119034 0.4686629  0.4843561 ]
   [0.8211608  0.46724606 0.6354982 ]
   [0.8175524  0.46962512 0.44127446]
   [0.7281319  0.4497085  0.730212  ]
   [0.7327637  0.4235444  0.5641842 ]
   [0.80639964 0.5740862  0.5064794 ]
   [0.821926   0.5850516  0.6730897 ]
   [0.84033227 0.6964713  0.3788616 ]
   [0.85413086 0.71018463 0.62031895]
   [0.8435234  0.22026435 0.70704997]
   [0.85753334 0.18994768 0.757142  ]
   [0.87111086 0.45115027 0.36258462]
   [0.9015112  0.45220172 0.5792636 ]
   [0.91918933 0.6831027  0.24400248]
   [0.9343591  0.67474294 0.40077415]]]]"
8,Seated_Forward_Bend_pose_or_Paschimottanasana__image_121.jpg,"[[[[0.6507225  0.58688164 0.2742375 ]
   [0.6446297  0.6007638  0.4347714 ]
   [0.64679116 0.596642   0.4181227 ]
   [0.62669474 0.5969932  0.37069294]
   [0.628435   0.5896343  0.43283936]
   [0.5921065  0.5584772  0.6142149 ]
   [0.6044261  0.5570284  0.7505914 ]
   [0.6779904  0.6138135  0.46032292]
   [0.69417876 0.61361444 0.58809114]
   [0.66344136 0.70866597 0.41470876]
   [0.67715293 0.7122133  0.5798712 ]
   [0.69663715 0.3839863  0.57561094]
   [0.70259714 0.38056985 0.48676306]
   [0.6658571  0.5868157  0.4162608 ]
   [0.6914776  0.59835935 0.53456306]
   [0.6950246  0.61347115 0.0966779 ]
   [0.6971912  0.6160791  0.11498771]]]]"
9,Seated_Forward_Bend_pose_or_Paschimottanasana__image_62.jpg,"[[[[0.2752391  0.5329245  0.74652946]
   [0.26241672 0.51157016 0.8497395 ]
   [0.2634483  0.51207066 0.84493154]
   [0.28789094 0.45335093 0.7618437 ]
   [0.29151013 0.45722672 0.7918846 ]
   [0.39750153 0.4314407  0.6929582 ]
   [0.40414965 0.43565232 0.87747276]
   [0.53226966 0.5920519  0.6446255 ]
   [0.5405623  0.5990107  0.7723786 ]
   [0.5746258  0.75689304 0.5986365 ]
   [0.5770443  0.76448965 0.7107819 ]
   [0.66493875 0.23303038 0.6291287 ]
   [0.680605   0.23024835 0.8208141 ]
   [0.67354673 0.506949   0.761859  ]
   [0.6815152  0.51399916 0.70515424]
   [0.6986697  0.7882097  0.50713146]
   [0.70837384 0.79614234 0.53675646]]]]"
