,image,score
0,Bridge_Pose_or_Setu_Bandha_Sarvangasana__image_124.jpg,"[[[[0.5757799  0.40100414 0.34780475]
   [0.5842207  0.387044   0.6152292 ]
   [0.5856268  0.38836172 0.5665462 ]
   [0.6203752  0.39002094 0.670899  ]
   [0.62665105 0.39010623 0.4101238 ]
   [0.60388756 0.44470978 0.47710407]
   [0.6265634  0.43845558 0.7302242 ]
   [0.6193176  0.55948067 0.4237561 ]
   [0.640506   0.57006055 0.67673343]
   [0.618242   0.6608687  0.6146964 ]
   [0.63347155 0.6634038  0.6252054 ]
   [0.51802146 0.6358836  0.596677  ]
   [0.5280098  0.6414483  0.42946252]
   [0.4704718  0.75176406 0.6497959 ]
   [0.47038066 0.7577534  0.7990544 ]
   [0.6039531  0.78461146 0.7166487 ]
   [0.6236439  0.78913295 0.68510526]]]]"
1,Bridge_Pose_or_Setu_Bandha_Sarvangasana__image_189.jpg,"[[[[0.6034179  0.774618   0.67345744]
   [0.6165249  0.7929622  0.73039865]
   [0.6104661  0.7891118  0.607362  ]
   [0.6536115  0.7942947  0.65237975]
   [0.6457837  0.783388   0.6783992 ]
   [0.67083573 0.74339163 0.6067918 ]
   [0.6342058  0.7203218  0.710929  ]
   [0.69067824 0.6011189  0.32725203]
   [0.66098213 0.5850731  0.37888926]
   [0.69859385 0.5260581  0.5104131 ]
   [0.6779208  0.5200269  0.274547  ]
   [0.5349921  0.5017254  0.70627624]
   [0.52475166 0.50593084 0.57608503]
   [0.5041977  0.34276444 0.64066035]
   [0.50548476 0.34524944 0.85820323]
   [0.6792204  0.3559131  0.81047505]
   [0.67543566 0.35805625 0.6195672 ]]]]"
2,Bridge_Pose_or_Setu_Bandha_Sarvangasana__image_190.jpg,"[[[[0.5189241  0.14772958 0.68984455]
   [0.5359389  0.11884675 0.7368942 ]
   [0.53914917 0.11801189 0.82989913]
   [0.60563475 0.11169941 0.7192581 ]
   [0.6149901  0.11320302 0.7859159 ]
   [0.6065566  0.25533715 0.7186426 ]
   [0.6468789  0.21570809 0.6900909 ]
   [0.6208193  0.46637085 0.7928263 ]
   [0.67802274 0.45451698 0.4867006 ]
   [0.6177061  0.6266026  0.7628786 ]
   [0.67116684 0.6466568  0.41048327]
   [0.36673173 0.49310392 0.8637129 ]
   [0.4007028  0.49899137 0.75014925]
   [0.33357534 0.84184927 0.6196991 ]
   [0.3405405  0.88088566 0.9285018 ]
   [0.6148421  0.8092062  0.7627085 ]
   [0.6448624  0.8441339  0.7223868 ]]]]"
3,Bridge_Pose_or_Setu_Bandha_Sarvangasana__image_118.jpg,"[[[[0.4975189  0.56024754 0.1939011 ]
   [0.4963265  0.5810834  0.2513229 ]
   [0.4959411  0.5452997  0.19360825]
   [0.52246433 0.5993869  0.22453578]
   [0.53682655 0.50755465 0.11046194]
   [0.5570907  0.6287308  0.22594544]
   [0.61003214 0.37763405 0.12179958]
   [0.5284697  0.6712492  0.12066731]
   [0.63673735 0.36984992 0.06779312]
   [0.5206691  0.56218916 0.02143066]
   [0.55967194 0.33204624 0.12961048]
   [0.51059526 0.506895   0.05327935]
   [0.4440531  0.33621716 0.33279032]
   [0.41973796 0.5624706  0.04527522]
   [0.5741468  0.23357448 0.13987896]
   [0.539572   0.33324668 0.20298271]
   [0.5322633  0.33775938 0.11201771]]]]"
4,Bridge_Pose_or_Setu_Bandha_Sarvangasana__image_73.jpg,"[[[[0.56023616 0.77108026 0.66339505]
   [0.5774811  0.7993017  0.606853  ]
   [0.5770479  0.795204   0.7316304 ]
   [0.6372716  0.8053661  0.7773516 ]
   [0.62991464 0.80027384 0.75879586]
   [0.65129346 0.7397259  0.8632563 ]
   [0.6268948  0.7147705  0.87227   ]
   [0.6805836  0.55446774 0.84283257]
   [0.63697153 0.5414441  0.5679259 ]
   [0.5748159  0.4251706  0.76065916]
   [0.5716505  0.42121506 0.6665653 ]
   [0.45023286 0.44386154 0.6505155 ]
   [0.4461719  0.4460069  0.80531764]
   [0.28840694 0.15596779 0.895882  ]
   [0.2976013  0.1883908  0.63058764]
   [0.5997252  0.12594503 0.6350829 ]
   [0.5633209  0.20916083 0.6405942 ]]]]"
5,Bridge_Pose_or_Setu_Bandha_Sarvangasana__image_164.jpg,"[[[[0.6953599  0.8186279  0.6968271 ]
   [0.7116409  0.84924394 0.7130016 ]
   [0.7122892  0.84826446 0.7522517 ]
   [0.7812183  0.86085105 0.62534827]
   [0.7758099  0.861961   0.4917651 ]
   [0.7927002  0.7485276  0.7121081 ]
   [0.7581414  0.70620674 0.75637656]
   [0.7971889  0.59541774 0.2335163 ]
   [0.77965426 0.44354293 0.34183437]
   [0.85310644 0.5434127  0.07113595]
   [0.814329   0.33632854 0.2680859 ]
   [0.5686187  0.46624443 0.61636335]
   [0.5645867  0.4683882  0.59506506]
   [0.49641803 0.12311866 0.7643513 ]
   [0.50306904 0.13034539 0.25790882]
   [0.7847384  0.15403889 0.7651418 ]
   [0.778352   0.15896387 0.38085505]]]]"
6,Bridge_Pose_or_Setu_Bandha_Sarvangasana__image_62.jpg,"[[[[0.7337609  0.2521713  0.7387787 ]
   [0.73600906 0.24192761 0.8188615 ]
   [0.76055574 0.23070191 0.75968367]
   [0.7679253  0.25565684 0.81689984]
   [0.8150757  0.23935673 0.48503283]
   [0.75003356 0.3376367  0.7676616 ]
   [0.83080536 0.28939477 0.7929337 ]
   [0.8223095  0.42730537 0.37949452]
   [0.9011597  0.4094131  0.8635928 ]
   [0.75092876 0.42900455 0.49173963]
   [0.761628   0.42502347 0.76495653]
   [0.62440836 0.5419788  0.8500868 ]
   [0.65759295 0.5339054  0.67620456]
   [0.6065176  0.77438366 0.8077749 ]
   [0.43782875 0.51158917 0.24413998]
   [0.8227726  0.70634854 0.5816874 ]
   [0.8241344  0.6913401  0.24989639]]]]"
7,Bridge_Pose_or_Setu_Bandha_Sarvangasana__image_7.jpg,"[[[[0.29405218 0.6244005  0.67613363]
   [0.30971333 0.6546655  0.55335504]
   [0.2886327  0.642102   0.60421383]
   [0.37801194 0.673601   0.5654692 ]
   [0.33522686 0.65178466 0.339802  ]
   [0.4202168  0.61688894 0.76588917]
   [0.32575616 0.57251424 0.7147632 ]
   [0.82548064 0.65831345 0.6857102 ]
   [0.2957431  0.4136324  0.32833904]
   [0.8795417  0.49814513 0.6414865 ]
   [0.3456311  0.284573   0.21943049]
   [0.3193643  0.3408369  0.77025735]
   [0.24586277 0.33928558 0.4808344 ]
   [0.21667047 0.13314141 0.6335992 ]
   [0.1518028  0.10497918 0.89197904]
   [0.82626516 0.22234479 0.8620645 ]
   [0.40446824 0.13239785 0.5543816 ]]]]"
8,Bridge_Pose_or_Setu_Bandha_Sarvangasana__image_49.jpg,"[[[[0.62075526 0.6927338  0.4018572 ]
   [0.62425464 0.66512287 0.53456914]
   [0.6276297  0.69729203 0.5764281 ]
   [0.6597656  0.651813   0.4789111 ]
   [0.69004023 0.71902305 0.6342803 ]
   [0.6491968  0.61163235 0.3149366 ]
   [0.69650364 0.77327585 0.68052304]
   [0.6475998  0.5303816  0.18590039]
   [0.69778407 0.9453337  0.35257688]
   [0.6359479  0.6426357  0.10440547]
   [0.66913027 0.98720556 0.44342047]
   [0.5375636  0.8012079  0.56732404]
   [0.57161623 0.86290544 0.38850135]
   [0.4046361  0.8004148  0.39805645]
   [0.49417385 0.9776696  0.25497425]
   [0.22751425 0.7984385  0.7989345 ]
   [0.54414296 0.9355767  0.14360714]]]]"
9,Bridge_Pose_or_Setu_Bandha_Sarvangasana__image_102.jpg,"[[[[0.6490212  0.83206475 0.8228906 ]
   [0.67484295 0.8619088  0.78145605]
   [0.6502346  0.85730314 0.7779387 ]
   [0.7428745  0.8586588  0.8565796 ]
   [0.6964143  0.85452235 0.76174426]
   [0.7747463  0.7572445  0.8829661 ]
   [0.67430097 0.7444108  0.7506966 ]
   [0.8238278  0.5716456  0.7821594 ]
   [0.68485796 0.5497642  0.77520216]
   [0.8550243  0.39008656 0.93155664]
   [0.6616041  0.38331544 0.6725376 ]
   [0.5670702  0.47827244 0.8409523 ]
   [0.4948628  0.50472045 0.72980535]
   [0.40221962 0.1929234  0.82386434]
   [0.26632437 0.39044788 0.9742692 ]
   [0.70115817 0.17188165 0.7508925 ]
   [0.29690745 0.13159938 0.8387807 ]]]]"
