,image,score
0,Staff_Pose_or_Dandasana__image_48.jpg,"[[[[0.21427104 0.6611333  0.8711134 ]
   [0.18753324 0.6912678  0.81318384]
   [0.18680808 0.67192805 0.59687895]
   [0.2151757  0.7730896  0.8084366 ]
   [0.20746623 0.7403105  0.69365704]
   [0.3806422  0.80847347 0.9316126 ]
   [0.3568574  0.7182536  0.6296908 ]
   [0.6228618  0.8412681  0.86326796]
   [0.56740904 0.73738825 0.44523692]
   [0.8320777  0.84796166 0.9115692 ]
   [0.72810316 0.7424351  0.20101047]
   [0.72279966 0.7532266  0.89324677]
   [0.67049253 0.6735246  0.64519376]
   [0.72038436 0.4529559  0.72383446]
   [0.6741288  0.42797178 0.79863065]
   [0.75769526 0.13556103 0.7992156 ]
   [0.71462953 0.16009082 0.7400978 ]]]]"
1,Staff_Pose_or_Dandasana__image_12.jpg,"[[[[0.42747274 0.4193487  0.61123323]
   [0.4086593  0.41092962 0.5749078 ]
   [0.40835848 0.40349317 0.38198695]
   [0.41993788 0.37799117 0.59945476]
   [0.4172028  0.36793748 0.70847285]
   [0.48302594 0.36251724 0.7090459 ]
   [0.47927204 0.35528076 0.74242467]
   [0.3547129  0.37796247 0.78719234]
   [0.35251543 0.3753043  0.65344644]
   [0.25444964 0.3754969  0.80052793]
   [0.24934691 0.3728553  0.64622986]
   [0.72027516 0.35131136 0.8284463 ]
   [0.71615475 0.3424875  0.83517927]
   [0.7299588  0.54290944 0.5875646 ]
   [0.7321244  0.5399251  0.73992515]
   [0.7395926  0.7198906  0.7692573 ]
   [0.74370426 0.72426224 0.52940017]]]]"
2,Staff_Pose_or_Dandasana__image_3.jpg,"[[[[0.28636494 0.42050874 0.84649175]
   [0.2658287  0.4066441  0.63221055]
   [0.26694766 0.40273345 0.7451925 ]
   [0.2810548  0.35831913 0.63324994]
   [0.28351825 0.3535951  0.73078954]
   [0.39744186 0.34131682 0.9069481 ]
   [0.40114087 0.33246124 0.88037544]
   [0.57957965 0.31609693 0.8730559 ]
   [0.579922   0.3165382  0.8966876 ]
   [0.7240421  0.3060953  0.74493736]
   [0.7355841  0.30185598 0.75984883]
   [0.6736775  0.35571334 0.5879567 ]
   [0.6793142  0.34595296 0.86676013]
   [0.70408523 0.59070945 0.90379053]
   [0.7090243  0.58805007 0.850479  ]
   [0.7126419  0.84026176 0.7581504 ]
   [0.7267302  0.8469969  0.8103922 ]]]]"
3,Staff_Pose_or_Dandasana__image_42.jpg,"[[[[0.1256653  0.49182576 0.77841705]
   [0.10081717 0.51701796 0.8744731 ]
   [0.10087761 0.46601465 0.91739917]
   [0.12787943 0.5521315  0.8461788 ]
   [0.12615801 0.42971554 0.8454447 ]
   [0.2569377  0.63716596 0.959932  ]
   [0.26091042 0.33851475 0.89103043]
   [0.4177264  0.67254996 0.6783249 ]
   [0.4258873  0.33007702 0.88764584]
   [0.5771482  0.62763137 0.7390631 ]
   [0.5676853  0.37870353 0.74514484]
   [0.5518107  0.57559335 0.9381438 ]
   [0.5578498  0.40951103 0.8882487 ]
   [0.7137876  0.55712736 0.72733396]
   [0.7107394  0.41716838 0.7946236 ]
   [0.8839092  0.5654463  0.6447891 ]
   [0.874587   0.40388045 0.58831257]]]]"
4,Staff_Pose_or_Dandasana__image_49.jpg,"[[[[0.22601585 0.25511473 0.7835189 ]
   [0.1965225  0.25394157 0.62764025]
   [0.19616021 0.2334781  0.60453993]
   [0.20381348 0.19884841 0.60059315]
   [0.20667799 0.16557965 0.57984906]
   [0.37065047 0.18767186 0.78651524]
   [0.36774346 0.15104419 0.6877775 ]
   [0.621881   0.19706792 0.67831933]
   [0.63542    0.12958103 0.9470592 ]
   [0.8265328  0.22179577 0.2617674 ]
   [0.8680076  0.20150116 0.685873  ]
   [0.7649666  0.1934902  0.82416016]
   [0.79826045 0.1596258  0.7400305 ]
   [0.7267132  0.5257371  0.7350734 ]
   [0.7471869  0.5243105  0.83139366]
   [0.7597793  0.8465756  0.23799656]
   [0.76499724 0.8362957  0.49516582]]]]"
5,Staff_Pose_or_Dandasana__image_21.jpg,"[[[[0.31626537 0.6611441  0.7451622 ]
   [0.29730132 0.6804919  0.65784067]
   [0.30511507 0.64735687 0.85958546]
   [0.31675622 0.7155776  0.7560027 ]
   [0.3241357  0.6491151  0.7878668 ]
   [0.4066645  0.72472924 0.73714995]
   [0.40878785 0.70249796 0.68843776]
   [0.56354403 0.68161774 0.82776725]
   [0.5593884  0.6687102  0.8610618 ]
   [0.5223825  0.5411081  0.64827013]
   [0.5244549  0.54199475 0.55095994]
   [0.6788917  0.7201169  0.83599   ]
   [0.6718702  0.6976037  0.83222514]
   [0.7058723  0.5176304  0.5409816 ]
   [0.68944776 0.49636573 0.49304545]
   [0.7437277  0.29718235 0.53656924]
   [0.7256922  0.3075918  0.6164397 ]]]]"
6,Staff_Pose_or_Dandasana__image_58.jpg,"[[[[0.30668554 0.64368355 0.02287056]
   [0.19879773 0.65181375 0.02920282]
   [0.19919433 0.6486715  0.03517312]
   [0.21300441 0.64924085 0.1147773 ]
   [0.2542144  0.53873503 0.03277582]
   [0.34879822 0.6995928  0.07556543]
   [0.36767572 0.5370283  0.10840334]
   [0.5488488  0.76705366 0.02652681]
   [0.5696503  0.4623887  0.0396758 ]
   [0.680058   0.70627344 0.04227354]
   [0.7473228  0.6198598  0.09821537]
   [0.73584425 0.68135995 0.06224876]
   [0.7485612  0.58170426 0.13885415]
   [0.77220714 0.5991785  0.06010651]
   [0.7598866  0.56894875 0.0915188 ]
   [0.77400494 0.52599305 0.04956039]
   [0.7637197  0.6059487  0.05324794]]]]"
7,Staff_Pose_or_Dandasana__image_1.jpg,"[[[[0.29314423 0.62420994 0.4260273 ]
   [0.2759047  0.64136136 0.46979758]
   [0.2750701  0.6152304  0.4918372 ]
   [0.2814896  0.67353886 0.50503206]
   [0.27685162 0.61137754 0.5595334 ]
   [0.3566054  0.7016828  0.6611371 ]
   [0.35006642 0.61357164 0.80189013]
   [0.45684054 0.75722307 0.791306  ]
   [0.46206936 0.6238991  0.44522288]
   [0.55719286 0.7272449  0.8646671 ]
   [0.5150677  0.58495146 0.49017748]
   [0.5300551  0.69577366 0.6054369 ]
   [0.50912684 0.6455629  0.7730281 ]
   [0.59088135 0.582969   0.5797453 ]
   [0.5571935  0.5517162  0.4235898 ]
   [0.64710975 0.48074663 0.41880512]
   [0.587205   0.5327555  0.24054195]]]]"
8,Staff_Pose_or_Dandasana__image_34.jpg,"[[[[0.46639007 0.38169116 0.25683215]
   [0.42490622 0.3681079  0.18350007]
   [0.4268951  0.37079147 0.18571402]
   [0.47503495 0.34700987 0.21031578]
   [0.46888846 0.3620555  0.23285498]
   [0.47462532 0.3352102  0.11862672]
   [0.46728012 0.34125623 0.10290648]
   [0.44452533 0.3667009  0.11904223]
   [0.4449518  0.37305075 0.13916145]
   [0.46066183 0.41233042 0.06772174]
   [0.45854038 0.383284   0.05701165]
   [0.7431033  0.34484965 0.12003393]
   [0.7483489  0.3491225  0.10407201]
   [0.77093965 0.4449279  0.1433104 ]
   [0.76660776 0.4389433  0.1541302 ]
   [0.85753155 0.4427448  0.04757868]
   [0.84309316 0.4352257  0.04087138]]]]"
9,Staff_Pose_or_Dandasana__image_27.jpg,"[[[[0.31902617 0.36770695 0.7617462 ]
   [0.3013947  0.35022652 0.70322925]
   [0.30612072 0.33940497 0.8491907 ]
   [0.3176521  0.29213294 0.6584267 ]
   [0.32603306 0.27492636 0.48431247]
   [0.40708584 0.32466233 0.60971886]
   [0.4200344  0.24978    0.85836536]
   [0.53082854 0.2991072  0.42080858]
   [0.53543186 0.2315367  0.6296358 ]
   [0.66880566 0.286721   0.34616533]
   [0.6953566  0.2429351  0.7712194 ]
   [0.6788648  0.30425578 0.8185679 ]
   [0.69460404 0.27159426 0.7012157 ]
   [0.66660064 0.5292884  0.55634105]
   [0.6818792  0.52357006 0.66320866]
   [0.6900703  0.79009116 0.4691819 ]
   [0.7000835  0.7902275  0.48922974]]]]"
