,image,score
0,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_199.jpg,"[[[[0.8112361  0.4275489  0.570295  ]
   [0.8181373  0.40719694 0.60445714]
   [0.82063794 0.41130832 0.6189217 ]
   [0.86912686 0.40391883 0.5303093 ]
   [0.8761406  0.4107186  0.5672996 ]
   [0.87176955 0.48666596 0.90461594]
   [0.88345504 0.5057453  0.6573442 ]
   [0.88025486 0.63336736 0.64109635]
   [0.90167874 0.65199953 0.83684266]
   [0.7969611  0.5814075  0.6103758 ]
   [0.7975144  0.58928037 0.61287403]
   [0.62218744 0.5170377  0.6660963 ]
   [0.62161857 0.5264987  0.6592686 ]
   [0.4175452  0.5083722  0.7908168 ]
   [0.4275346  0.5080311  0.5802275 ]
   [0.22825605 0.5125056  0.7521481 ]
   [0.2229579  0.51354706 0.7509257 ]]]]"
1,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_132.jpg,"[[[[0.7963798  0.4237371  0.54098094]
   [0.802989   0.40512025 0.7002416 ]
   [0.8094741  0.40235847 0.5335029 ]
   [0.85180545 0.40126327 0.6150733 ]
   [0.86634624 0.40491143 0.7043906 ]
   [0.84447545 0.50203305 0.7321244 ]
   [0.8771769  0.49306354 0.8383305 ]
   [0.87897706 0.6274824  0.39978865]
   [0.923909   0.64039797 0.8996747 ]
   [0.78452283 0.6012715  0.48034644]
   [0.7927533  0.5975275  0.69422114]
   [0.6586098  0.52956903 0.57873315]
   [0.6646145  0.5388011  0.6303886 ]
   [0.42165425 0.5199193  0.62942004]
   [0.48548207 0.51568687 0.4831738 ]
   [0.20214047 0.51301533 0.5834122 ]
   [0.20237224 0.5155852  0.56392574]]]]"
2,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_83.jpg,"[[[[0.91671264 0.5135911  0.50651836]
   [0.92532253 0.490281   0.74829644]
   [0.9379624  0.4944651  0.78486127]
   [0.9736079  0.48711923 0.2921867 ]
   [0.9913829  0.47685868 0.20672877]
   [0.9551845  0.5697019  0.14241463]
   [0.990453   0.58171093 0.18605343]
   [0.96405077 0.8056557  0.3146618 ]
   [0.9684206  0.8064435  0.17588797]
   [0.8694007  0.7029461  0.3672221 ]
   [0.89257205 0.7211433  0.38539624]
   [0.7076503  0.6212594  0.6760578 ]
   [0.71386534 0.6356861  0.5080445 ]
   [0.339604   0.6055412  0.7486822 ]
   [0.33690682 0.6108841  0.6834054 ]
   [0.06320567 0.60111314 0.49599206]
   [0.06601942 0.5987438  0.3772066 ]]]]"
3,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_149.jpg,"[[[[0.83454865 0.5211088  0.29644537]
   [0.8122673  0.5416919  0.21680763]
   [0.82076555 0.5386176  0.240725  ]
   [0.84379154 0.5259116  0.2809423 ]
   [0.8534998  0.54022044 0.30691287]
   [0.8616504  0.53410846 0.2915941 ]
   [0.8688507  0.5354914  0.33307984]
   [0.8847642  0.56741387 0.22846016]
   [0.88646954 0.5806468  0.23148504]
   [0.89330125 0.72252846 0.4408643 ]
   [0.8920928  0.7217375  0.54968256]
   [0.73937774 0.5241406  0.15993613]
   [0.72211766 0.5397435  0.21835159]
   [0.5613184  0.5576971  0.19351603]
   [0.56477165 0.54897875 0.19289249]
   [0.35073972 0.5617255  0.22682147]
   [0.35376152 0.5633571  0.5156126 ]]]]"
4,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_162.jpg,"[[[[0.6945657  0.47204664 0.25319323]
   [0.6612397  0.47121328 0.25605172]
   [0.6657769  0.4530313  0.25780627]
   [0.63865316 0.45427135 0.25789958]
   [0.6542165  0.40675092 0.22985658]
   [0.65012026 0.52528477 0.14985326]
   [0.7055725  0.38529179 0.0811094 ]
   [0.6336517  0.57382977 0.04243892]
   [0.7037133  0.40866995 0.03910409]
   [0.7800305  0.549121   0.02885047]
   [0.8224249  0.45160186 0.0189966 ]
   [0.777376   0.556854   0.01548178]
   [0.81204826 0.49460077 0.01002716]
   [0.6474304  0.5708898  0.02299523]
   [0.686859   0.5585087  0.01560559]
   [0.2446883  0.51277894 0.2568021 ]
   [0.24413902 0.5115527  0.40440518]]]]"
5,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_87.jpg,"[[[[0.676691   0.28116912 0.49321464]
   [0.68132025 0.27197543 0.5583412 ]
   [0.6779773  0.2869437  0.58187485]
   [0.71386623 0.2667264  0.43470696]
   [0.70897067 0.2949414  0.48510975]
   [0.7040997  0.22723089 0.36071965]
   [0.6960797  0.36457208 0.6046761 ]
   [0.6640933  0.19802333 0.24338235]
   [0.6720087  0.40370938 0.8521392 ]
   [0.6896437  0.1916778  0.44760454]
   [0.65609026 0.36534816 0.31892374]
   [0.4712576  0.27051562 0.43290904]
   [0.47308236 0.3337407  0.6612317 ]
   [0.41215652 0.10383464 0.69978064]
   [0.40790454 0.47172675 0.35691434]
   [0.318537   0.3127545  0.35695544]
   [0.31409043 0.30910656 0.69251233]]]]"
6,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_15.jpg,"[[[[0.7918291  0.5637855  0.5889432 ]
   [0.8002426  0.57802856 0.47442177]
   [0.7990535  0.5779959  0.39610958]
   [0.8346419  0.5797471  0.52908593]
   [0.83284754 0.57837    0.6334421 ]
   [0.842772   0.52116215 0.5182294 ]
   [0.8414495  0.49830258 0.41588283]
   [0.86242557 0.49719015 0.08669272]
   [0.8761696  0.37737182 0.41266495]
   [0.8441619  0.5173351  0.11759406]
   [0.87882507 0.5364495  0.07726181]
   [0.70749253 0.39278585 0.2668559 ]
   [0.72779655 0.3914861  0.18890457]
   [0.47981784 0.40328833 0.25845778]
   [0.48125872 0.40403613 0.33630902]
   [0.22515763 0.41685468 0.31176117]
   [0.2234904  0.40533227 0.5830603 ]]]]"
7,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_81.jpg,"[[[[0.8156426  0.42576572 0.73321754]
   [0.83255017 0.40572476 0.6649638 ]
   [0.8348168  0.40542448 0.74438643]
   [0.9062715  0.40520787 0.60922796]
   [0.91515076 0.40557322 0.724435  ]
   [0.9005085  0.5314767  0.780299  ]
   [0.9586966  0.5180167  0.4209864 ]
   [0.94677234 0.722348   0.57715815]
   [0.97484016 0.72523785 0.5560109 ]
   [0.79437137 0.7401991  0.6817209 ]
   [0.82017523 0.7496695  0.7985074 ]
   [0.67496806 0.76259667 0.59966   ]
   [0.68522704 0.77411854 0.86938804]
   [0.43916696 0.52952737 0.8071157 ]
   [0.43846044 0.52428997 0.82646763]
   [0.22018485 0.31118333 0.78845954]
   [0.21990292 0.31109655 0.4145737 ]]]]"
8,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_180.jpg,"[[[[0.7153057  0.86759543 0.4505745 ]
   [0.72825134 0.88386554 0.6465073 ]
   [0.72614974 0.88446426 0.690584  ]
   [0.76377034 0.86979914 0.61474925]
   [0.76210827 0.87645954 0.6168081 ]
   [0.76209366 0.8200856  0.5507645 ]
   [0.7463811  0.8398945  0.48506108]
   [0.78719497 0.73623264 0.7107696 ]
   [0.7792562  0.7384405  0.40185377]
   [0.70307815 0.76049465 0.5520354 ]
   [0.7369029  0.85086614 0.1779465 ]
   [0.61230344 0.7698956  0.21094404]
   [0.6007593  0.7887747  0.39466363]
   [0.46656495 0.79666847 0.5321053 ]
   [0.46006578 0.79658437 0.6084231 ]
   [0.33753735 0.8034278  0.49544674]
   [0.33754766 0.80572766 0.47361723]]]]"
9,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_185.jpg,"[[[[0.5136601  0.7206614  0.08737198]
   [0.50855035 0.6804128  0.06101346]
   [0.3772767  0.47621882 0.02288589]
   [0.5042641  0.6986565  0.05114079]
   [0.38411662 0.44201654 0.01143305]
   [0.45821804 0.6965773  0.0378977 ]
   [0.47991163 0.34221208 0.03226953]
   [0.61884177 0.7824166  0.01511248]
   [0.5872793  0.30215633 0.05428008]
   [0.71150804 0.61101115 0.02247176]
   [0.61647683 0.38499635 0.02324607]
   [0.62137276 0.5263855  0.07766519]
   [0.6214134  0.33762097 0.07416062]
   [0.64543515 0.5185252  0.02366374]
   [0.6840411  0.38373086 0.02415188]
   [0.7045774  0.4074564  0.05079875]
   [0.7092232  0.36974633 0.09777065]]]]"
10,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_191.jpg,"[[[[0.7851241  0.358043   0.53191465]
   [0.7852857  0.3343226  0.48440945]
   [0.7948906  0.3592191  0.5307976 ]
   [0.7909248  0.314607   0.41911438]
   [0.8092303  0.36081442 0.5844928 ]
   [0.7399913  0.27305928 0.5972467 ]
   [0.78102785 0.41350746 0.54959756]
   [0.7954088  0.19497499 0.53347737]
   [0.8013634  0.4427171  0.5704641 ]
   [0.7708142  0.22757748 0.2112473 ]
   [0.80489266 0.4340646  0.0852976 ]
   [0.60308564 0.31415394 0.65073764]
   [0.63265866 0.3816271  0.6043234 ]
   [0.38976547 0.33484685 0.8465705 ]
   [0.68730885 0.5782657  0.3099945 ]
   [0.7492181  0.76628625 0.5141598 ]
   [0.7426816  0.73874366 0.22924381]]]]"
11,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_167.jpg,"[[[[0.8405866  0.56442195 0.8758473 ]
   [0.8564406  0.59346956 0.64300126]
   [0.8529742  0.5896339  0.7620452 ]
   [0.9247614  0.58865494 0.76183164]
   [0.916307   0.58901405 0.86521566]
   [0.93676776 0.49365568 0.75183845]
   [0.9142163  0.4953775  0.83694   ]
   [0.96625286 0.2881017  0.6941413 ]
   [0.93725264 0.27825576 0.7586027 ]
   [0.7870551  0.30969372 0.5694504 ]
   [0.7755297  0.3142708  0.496027  ]
   [0.66411847 0.30825585 0.77187556]
   [0.6512558  0.31452605 0.88723755]
   [0.49211392 0.55346924 0.7268863 ]
   [0.4421656  0.44442344 0.4659166 ]
   [0.30733272 0.46894753 0.08702619]
   [0.3042034  0.45674834 0.2602851 ]]]]"
12,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_134.jpg,"[[[[0.6786568  0.26645392 0.7035774 ]
   [0.6902208  0.25401083 0.61211073]
   [0.6923121  0.25431085 0.60012376]
   [0.7392208  0.25857848 0.8966136 ]
   [0.7429896  0.26122633 0.8174596 ]
   [0.7486133  0.32350904 0.88389194]
   [0.756359   0.3238336  0.76319855]
   [0.77177763 0.46387023 0.8218473 ]
   [0.787059   0.4624704  0.9104061 ]
   [0.6767331  0.45718452 0.57677734]
   [0.67687464 0.44639224 0.5231942 ]
   [0.5468445  0.43228576 0.6426215 ]
   [0.5468811  0.44176427 0.6704538 ]
   [0.39363202 0.408755   0.5642733 ]
   [0.39439347 0.40692422 0.638065  ]
   [0.20541349 0.41408977 0.7194355 ]
   [0.20372182 0.41545647 0.7404909 ]]]]"
13,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_116.jpg,"[[[[0.71440727 0.5438684  0.76199085]
   [0.7221587  0.5660344  0.69016117]
   [0.7231189  0.5708126  0.7016886 ]
   [0.7843767  0.5529662  0.62601614]
   [0.78880566 0.5770938  0.7190608 ]
   [0.8115767  0.45024985 0.80941325]
   [0.78411645 0.5163434  0.63648075]
   [0.81734824 0.2618474  0.82851464]
   [0.76498353 0.4254516  0.36527354]
   [0.6702862  0.34999815 0.7927427 ]
   [0.66549367 0.36135897 0.42314902]
   [0.48591173 0.38063905 0.86881036]
   [0.49202538 0.47244328 0.7630951 ]
   [0.24693719 0.44985846 0.7759059 ]
   [0.2447881  0.5430096  0.8336943 ]
   [0.4005406  0.47509655 0.55121326]
   [0.39258116 0.5108463  0.44220468]]]]"
14,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_179.jpg,"[[[[0.68385905 0.3995956  0.5383439 ]
   [0.68928045 0.3801556  0.56038   ]
   [0.6927516  0.38192227 0.5407944 ]
   [0.7301315  0.37965748 0.7131419 ]
   [0.73710567 0.38573942 0.71928173]
   [0.7323087  0.4587807  0.7903028 ]
   [0.7482349  0.47005442 0.79158705]
   [0.7458531  0.6066254  0.68590957]
   [0.76925313 0.6075372  0.86247545]
   [0.66047436 0.5558244  0.5693998 ]
   [0.661646   0.5579141  0.60239875]
   [0.52002525 0.5062009  0.6490629 ]
   [0.5174929  0.50996596 0.8414852 ]
   [0.3173292  0.49512964 0.77097994]
   [0.31834865 0.49889788 0.7970565 ]
   [0.12234658 0.51016897 0.6171807 ]
   [0.11543211 0.51073486 0.68248117]]]]"
15,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_104.jpg,"[[[[0.7005714  0.5730088  0.8088543 ]
   [0.7137439  0.59615594 0.6732383 ]
   [0.7088129  0.5933661  0.56267786]
   [0.76755583 0.59398264 0.73025334]
   [0.7563364  0.59264463 0.6848203 ]
   [0.7836622  0.50845224 0.7309696 ]
   [0.7512581  0.5047122  0.78518456]
   [0.80274713 0.34542775 0.85823035]
   [0.758793   0.35522026 0.46780413]
   [0.6616917  0.35575873 0.6821143 ]
   [0.65375036 0.35922596 0.82994986]
   [0.53097296 0.34150302 0.73085886]
   [0.52329844 0.35608277 0.6191882 ]
   [0.38510776 0.5189235  0.68170404]
   [0.3796529  0.5152634  0.46320298]
   [0.19140399 0.5813845  0.26983833]
   [0.24656194 0.39207828 0.33590385]]]]"
16,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_72.jpg,"[[[[0.70401764 0.4524561  0.44839194]
   [0.7100664  0.4396774  0.4446872 ]
   [0.7144058  0.4392093  0.35300863]
   [0.7450123  0.4374319  0.56327736]
   [0.7538102  0.439612   0.62988454]
   [0.7342954  0.48226213 0.54350984]
   [0.757982   0.49071234 0.5846882 ]
   [0.7683864  0.58831644 0.4181093 ]
   [0.7817964  0.5922643  0.60728025]
   [0.6914843  0.55475336 0.45420662]
   [0.6955999  0.5607469  0.6057202 ]
   [0.60383046 0.52942634 0.24760704]
   [0.60594255 0.5333175  0.2735953 ]
   [0.49927548 0.5143841  0.22362022]
   [0.5332962  0.5082611  0.26258078]
   [0.3072506  0.5044653  0.59516317]
   [0.3090643  0.5040515  0.78115827]]]]"
17,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_93.jpg,"[[[[0.77247465 0.5952338  0.7001894 ]
   [0.79234326 0.60153836 0.62949616]
   [0.78131807 0.61708045 0.6947599 ]
   [0.848243   0.5798891  0.69627285]
   [0.8353311  0.6269406  0.6230083 ]
   [0.85567373 0.47599164 0.5715142 ]
   [0.81264544 0.6259519  0.58317655]
   [0.80980253 0.38584232 0.70924   ]
   [0.7512936  0.49599603 0.14206944]
   [0.7423233  0.4232911  0.19687738]
   [0.71050334 0.4810399  0.26012278]
   [0.5781373  0.50179225 0.6294181 ]
   [0.57653403 0.576794   0.63631934]
   [0.36066753 0.50893867 0.6033359 ]
   [0.36335295 0.5661774  0.82083917]
   [0.1583511  0.53944063 0.71505857]
   [0.15794864 0.56910694 0.803322  ]]]]"
18,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_29.jpg,"[[[[0.6594379  0.37783104 0.49920756]
   [0.6706512  0.36118728 0.46564522]
   [0.67013055 0.3638072  0.54185534]
   [0.71357256 0.35768047 0.7412426 ]
   [0.7173322  0.35834578 0.43840572]
   [0.71025836 0.42446345 0.8582196 ]
   [0.70954925 0.42100176 0.7146987 ]
   [0.7294625  0.55480796 0.73360515]
   [0.7414199  0.5599876  0.569139  ]
   [0.68317115 0.5637695  0.31719977]
   [0.680351   0.5618815  0.24590501]
   [0.57876444 0.59217393 0.54386735]
   [0.5730304  0.60801816 0.5151363 ]
   [0.4109635  0.5957445  0.69108176]
   [0.4105773  0.59988344 0.70350754]
   [0.2551413  0.59142977 0.73993474]
   [0.25572145 0.5953318  0.70332205]]]]"
19,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_61.jpg,"[[[[0.7094022  0.5325299  0.31116077]
   [0.7024896  0.5384964  0.23399492]
   [0.70623606 0.5311957  0.30341282]
   [0.7039308  0.5350941  0.07669511]
   [0.71127677 0.52055705 0.16153584]
   [0.4740454  0.47748518 0.05575614]
   [0.4795608  0.42047608 0.05808726]
   [0.47429278 0.43987215 0.19441569]
   [0.48204407 0.42160848 0.10063443]
   [0.46632367 0.43757197 0.22847192]
   [0.46772018 0.43074232 0.18294717]
   [0.4764283  0.45895034 0.6555418 ]
   [0.48170918 0.43656224 0.7798341 ]
   [0.6011026  0.42019624 0.31010717]
   [0.6038864  0.41642722 0.30358827]
   [0.6092839  0.40601274 0.1828231 ]
   [0.61106807 0.40871224 0.23022203]]]]"
20,Supported_Shoulderstand_pose_or_Salamba_Sarvangasana__image_110.jpg,"[[[[0.8425133  0.44600308 0.7117476 ]
   [0.8557387  0.47341272 0.5410835 ]
   [0.85348415 0.47077316 0.70719796]
   [0.9024922  0.47114682 0.61723673]
   [0.89483273 0.47078204 0.58686525]
   [0.9218944  0.38965222 0.8279578 ]
   [0.89679354 0.3873344  0.8252727 ]
   [0.9500806  0.23289496 0.87043977]
   [0.91601914 0.23110548 0.6248609 ]
   [0.81475663 0.2575559  0.6487041 ]
   [0.8090516  0.25462663 0.72992325]
   [0.6807814  0.3039255  0.51135665]
   [0.6715223  0.30970353 0.7527692 ]
   [0.4316523  0.34822175 0.88497865]
   [0.4317244  0.33650872 0.774296  ]
   [0.21147443 0.33442685 0.55572075]
   [0.21060303 0.3319307  0.77081287]]]]"
