,image,score
0,Supta_Baddha_Konasana__image_50.jpg,"[[[[0.3753655  0.69807374 0.67279047]
   [0.38842878 0.7300191  0.7573024 ]
   [0.37142318 0.69500655 0.7804574 ]
   [0.4529151  0.74651074 0.7699864 ]
   [0.405978   0.68472254 0.72598916]
   [0.5131926  0.71975535 0.797303  ]
   [0.45939782 0.58118814 0.8626829 ]
   [0.68018013 0.6784786  0.9288065 ]
   [0.52434933 0.46648332 0.52087784]
   [0.7544452  0.62501734 0.7093373 ]
   [0.62391967 0.44773957 0.1692107 ]
   [0.6365614  0.4552235  0.71939886]
   [0.57013786 0.36046797 0.7588316 ]
   [0.75905764 0.46791404 0.77417195]
   [0.5719975  0.11655274 0.91758454]
   [0.7674522  0.2287458  0.8626511 ]
   [0.7371061  0.17581539 0.4591601 ]]]]"
1,Supta_Baddha_Konasana__image_175.jpg,"[[[[0.49063858 0.33925512 0.7439974 ]
   [0.4861666  0.31715596 0.5292465 ]
   [0.5126558  0.32495928 0.6127514 ]
   [0.50946325 0.30854404 0.78790027]
   [0.57517284 0.33306032 0.59696066]
   [0.4672703  0.33551374 0.6406364 ]
   [0.5885148  0.4447608  0.767125  ]
   [0.48351607 0.21423061 0.74870324]
   [0.66414386 0.28281495 0.9528607 ]
   [0.6098507  0.12004022 0.82260567]
   [0.6336702  0.13312027 0.7282832 ]
   [0.41065982 0.5998801  0.6411495 ]
   [0.45906678 0.68329656 0.76851666]
   [0.2677523  0.6335883  0.8573364 ]
   [0.5010877  0.9441298  0.7485865 ]
   [0.4105274  0.73694843 0.6662249 ]
   [0.43079728 0.77061033 0.4978838 ]]]]"
2,Supta_Baddha_Konasana__image_209.jpg,"[[[[0.4519548  0.8124863  0.7174461 ]
   [0.4740827  0.83466905 0.7733764 ]
   [0.45435098 0.83142775 0.62011194]
   [0.53387004 0.8245007  0.699679  ]
   [0.49441397 0.8242932  0.724191  ]
   [0.55799586 0.7561817  0.88170266]
   [0.46843183 0.69592243 0.8314793 ]
   [0.63291854 0.6154965  0.7704558 ]
   [0.46823883 0.58675563 0.69958717]
   [0.71650916 0.50801843 0.8619402 ]
   [0.43088827 0.5022213  0.7163526 ]
   [0.5433915  0.43837705 0.79438263]
   [0.4604162  0.43052065 0.68674135]
   [0.5961251  0.1955806  0.7048048 ]
   [0.36052772 0.29865405 0.85773176]
   [0.55262756 0.16789913 0.6162286 ]
   [0.5124892  0.18394852 0.7919046 ]]]]"
3,Supta_Baddha_Konasana__image_166.jpg,"[[[[0.07527212 0.5859693  0.02601575]
   [0.05736525 0.6366019  0.0222801 ]
   [0.05887686 0.5598654  0.02837296]
   [0.06189626 0.63709426 0.02042296]
   [0.06312135 0.6259981  0.06599112]
   [0.06958779 0.63451785 0.06391351]
   [0.13335803 0.37422234 0.02478344]
   [0.388461   0.73937774 0.11948933]
   [0.30654067 0.37771133 0.06487582]
   [0.43442494 0.66561323 0.05893242]
   [0.27936277 0.43490452 0.05219958]
   [0.72343653 0.55634075 0.03410825]
   [0.69542545 0.3932159  0.03633729]
   [0.9769203  0.54820466 0.08034161]
   [0.8527277  0.5158378  0.0292415 ]
   [0.973573   0.43171445 0.04048884]
   [0.97593325 0.38161868 0.04055715]]]]"
4,Supta_Baddha_Konasana__image_198.jpg,"[[[[0.4106297  0.26327476 0.67281795]
   [0.4200314  0.24821953 0.61515456]
   [0.427814   0.24979225 0.6937422 ]
   [0.45746028 0.2624223  0.5729702 ]
   [0.47621697 0.26560488 0.38559437]
   [0.44110575 0.3459294  0.82858115]
   [0.4925043  0.33649737 0.75644934]
   [0.4439111  0.36391902 0.47504106]
   [0.5621267  0.36047482 0.8402215 ]
   [0.41547024 0.37686267 0.462465  ]
   [0.6060341  0.36631057 0.8125273 ]
   [0.4421773  0.58081204 0.6010279 ]
   [0.49189875 0.58695436 0.6735143 ]
   [0.37461805 0.6587485  0.74237746]
   [0.4985162  0.72461724 0.43955597]
   [0.47896367 0.7339549  0.6945931 ]
   [0.5054145  0.7580107  0.6833063 ]]]]"
5,Supta_Baddha_Konasana__image_153.jpg,"[[[[0.54161346 0.1866689  0.4998781 ]
   [0.5388756  0.17398164 0.5815015 ]
   [0.5596959  0.16603237 0.5445147 ]
   [0.5702225  0.17805597 0.40686738]
   [0.6165376  0.16900423 0.52139777]
   [0.54924846 0.27626455 0.48314127]
   [0.66418844 0.24346225 0.7721275 ]
   [0.5575807  0.35555217 0.3227378 ]
   [0.7565566  0.3370275  0.7560468 ]
   [0.5399408  0.45001826 0.49839675]
   [0.8637542  0.39890414 0.77218753]
   [0.57202876 0.49864668 0.24560383]
   [0.6773248  0.5034638  0.6707979 ]
   [0.60744846 0.61680114 0.11966155]
   [0.681194   0.63133615 0.24380124]
   [0.66081244 0.63673574 0.41352895]
   [0.6863553  0.6485667  0.48119766]]]]"
6,Supta_Baddha_Konasana__image_128.jpg,"[[[[0.36734653 0.7218657  0.625187  ]
   [0.3798     0.74765617 0.51349807]
   [0.37775669 0.744684   0.59756744]
   [0.4333319  0.74988747 0.6334464 ]
   [0.42101428 0.74556357 0.54868275]
   [0.44697586 0.6712369  0.40442923]
   [0.4208392  0.6539529  0.5908466 ]
   [0.48375878 0.7165806  0.25485644]
   [0.46646068 0.6745332  0.44471884]
   [0.49467456 0.90248454 0.8458423 ]
   [0.39971414 0.7550162  0.2087534 ]
   [0.40996498 0.3414509  0.47458878]
   [0.4153931  0.34010708 0.50465417]
   [0.34542617 0.17100309 0.6274678 ]
   [0.32841468 0.31563538 0.18655847]
   [0.35182184 0.29243577 0.14055413]
   [0.3738944  0.2624709  0.12295938]]]]"
7,Supta_Baddha_Konasana__image_53.jpg,"[[[[0.41565776 0.33301988 0.503206  ]
   [0.41259277 0.31499717 0.39891863]
   [0.42714992 0.30517942 0.6956615 ]
   [0.45550206 0.3098815  0.25413918]
   [0.48672062 0.30007398 0.62294424]
   [0.4682823  0.4304882  0.5570896 ]
   [0.5608146  0.4179046  0.51516724]
   [0.50533736 0.5642145  0.15817045]
   [0.64332443 0.5468755  0.6578889 ]
   [0.51900893 0.7049927  0.17290126]
   [0.69583976 0.679917   0.7906029 ]
   [0.51089066 0.6977346  0.66973215]
   [0.572333   0.6864971  0.58285594]
   [0.48240364 0.84072715 0.4427492 ]
   [0.6060357  0.9335076  0.688061  ]
   [0.53996974 0.79074264 0.20806172]
   [0.5771722  0.8053227  0.10303742]]]]"
8,Supta_Baddha_Konasana__image_226.jpg,"[[[[0.39506885 0.25189197 0.73034424]
   [0.394969   0.24215248 0.596422  ]
   [0.4135489  0.23618004 0.747616  ]
   [0.4230085  0.23927209 0.5881795 ]
   [0.46754247 0.23426913 0.6634691 ]
   [0.41771477 0.32405075 0.8801414 ]
   [0.49570248 0.28856173 0.9170244 ]
   [0.39617836 0.362181   0.62530494]
   [0.6202689  0.3177005  0.90434486]
   [0.38401344 0.38081655 0.16480282]
   [0.6938494  0.23930573 0.96270055]
   [0.4435231  0.5739723  0.8822309 ]
   [0.51529443 0.56069744 0.81769586]
   [0.37677088 0.66416615 0.8342279 ]
   [0.58062655 0.7312016  0.7653959 ]
   [0.4821328  0.72731346 0.6898586 ]
   [0.54115105 0.73494315 0.35958767]]]]"
9,Supta_Baddha_Konasana__image_3.jpg,"[[[[0.6599028  0.4970635  0.70245934]
   [0.6729217  0.4842074  0.57150775]
   [0.6688143  0.5117631  0.5910259 ]
   [0.655318   0.46583277 0.80712646]
   [0.6492818  0.5313787  0.7487013 ]
   [0.5922137  0.42681766 0.8472536 ]
   [0.6099991  0.58330756 0.87430334]
   [0.5866796  0.29774407 0.85701156]
   [0.6114852  0.71904844 0.81212854]
   [0.59112024 0.18554409 0.8897027 ]
   [0.64607656 0.8373817  0.8956673 ]
   [0.35054076 0.4679402  0.87164074]
   [0.34291393 0.5845275  0.9158677 ]
   [0.28237912 0.31797364 0.8802498 ]
   [0.2693196  0.69068336 0.84779745]
   [0.2805647  0.4686714  0.6281283 ]
   [0.27159068 0.53500783 0.6425129 ]]]]"
