,image,score
0,Supta_Virasana_Vajrasana_image_132.jpg,"[[[[0.5767338  0.21135758 0.56404907]
   [0.59618807 0.18500185 0.5355499 ]
   [0.6008264  0.18893294 0.5238592 ]
   [0.6579529  0.1956302  0.6009828 ]
   [0.66465616 0.1982814  0.7721075 ]
   [0.66500205 0.31203565 0.73996335]
   [0.6798294  0.31706673 0.4439219 ]
   [0.6622007  0.14444256 0.35235548]
   [0.70573497 0.07468951 0.40459037]
   [0.6806491  0.06519131 0.3615961 ]
   [0.70168865 0.04764008 0.31310946]
   [0.6074279  0.65920144 0.761549  ]
   [0.61652774 0.65297174 0.7775222 ]
   [0.68675745 0.6970145  0.042119  ]
   [0.6957261  0.70296973 0.09723572]
   [0.7010811  0.6977327  0.5842795 ]
   [0.70891815 0.6948853  0.6275109 ]]]]"
1,Supta_Virasana_Vajrasana_image_165.jpg,"[[[[0.43791848 0.3995741  0.4413953 ]
   [0.4542868  0.36767915 0.63697183]
   [0.45858872 0.37242168 0.74566793]
   [0.538568   0.37453195 0.64391303]
   [0.5496587  0.3802509  0.7450984 ]
   [0.52322376 0.48779    0.54112595]
   [0.56747097 0.49352252 0.35894558]
   [0.5919388  0.1943673  0.80328876]
   [0.62096876 0.2025047  0.8433785 ]
   [0.61324346 0.03198332 0.44646314]
   [0.61614823 0.03339246 0.4314564 ]
   [0.46248108 0.9424747  0.18092152]
   [0.51842535 0.92150915 0.1334505 ]
   [0.45722336 0.92455643 0.08545987]
   [0.62256074 0.88267    0.2064258 ]
   [0.6163077  0.89143676 0.31526652]
   [0.62993777 0.8951884  0.1605265 ]]]]"
2,Supta_Virasana_Vajrasana_image_41.jpg,"[[[[0.5185126  0.22615473 0.6264362 ]
   [0.5296407  0.19526562 0.71480066]
   [0.5347317  0.19940542 0.67844516]
   [0.59059596 0.19062689 0.577588  ]
   [0.6043397  0.1984485  0.57635033]
   [0.5879556  0.2994616  0.6089241 ]
   [0.6164293  0.29421046 0.50334275]
   [0.5835898  0.18205167 0.2696424 ]
   [0.6114025  0.08544482 0.37679508]
   [0.59994495 0.07375365 0.4499959 ]
   [0.6125284  0.06471975 0.48821893]
   [0.5556946  0.63667136 0.8457179 ]
   [0.5702878  0.6288244  0.625569  ]
   [0.60178864 0.95780027 0.6517593 ]
   [0.6084639  0.96630126 0.73974603]
   [0.6348158  0.7413662  0.5981681 ]
   [0.6366212  0.73520696 0.5156654 ]]]]"
3,Supta_Virasana_Vajrasana_image_155.jpg,"[[[[0.6367683  0.78714585 0.5940813 ]
   [0.6283566  0.7946033  0.32097927]
   [0.63063264 0.78917706 0.4897795 ]
   [0.62805814 0.77735555 0.30753765]
   [0.6260547  0.7735062  0.5337135 ]
   [0.62795246 0.73785824 0.58508795]
   [0.6442419  0.745749   0.60613096]
   [0.65806466 0.7413357  0.4243072 ]
   [0.71198094 0.7236038  0.5741938 ]
   [0.7284043  0.7410984  0.23147629]
   [0.7491569  0.73309755 0.48597714]
   [0.6597642  0.5075462  0.75048506]
   [0.6786103  0.50466543 0.70199347]
   [0.6829675  0.55916584 0.1013677 ]
   [0.69879025 0.559035   0.08119689]
   [0.6920929  0.54849243 0.11698055]
   [0.7035685  0.55973333 0.16961929]]]]"
4,Supta_Virasana_Vajrasana_image_160.jpg,"[[[[0.5358997  0.3342456  0.3611635 ]
   [0.5394229  0.32219106 0.29429805]
   [0.54534316 0.32289484 0.22400108]
   [0.5667528  0.30976912 0.3345514 ]
   [0.5797031  0.31699434 0.2670769 ]
   [0.56527567 0.33999443 0.2614266 ]
   [0.5847088  0.34345034 0.23178133]
   [0.5657589  0.37315693 0.2600315 ]
   [0.5757025  0.38430673 0.27217367]
   [0.55337673 0.29548046 0.20637523]
   [0.5487691  0.29841918 0.10089502]
   [0.56107545 0.4217196  0.10539877]
   [0.57162184 0.43124548 0.15628064]
   [0.5724003  0.3890309  0.33168772]
   [0.5776114  0.38526934 0.25168845]
   [0.5786546  0.36585134 0.21362808]
   [0.59604764 0.3777875  0.11208627]]]]"
5,Supta_Virasana_Vajrasana_image_32.jpg,"[[[[0.6488565  0.07245383 0.638576  ]
   [0.6651293  0.08655284 0.5390802 ]
   [0.6653555  0.08779546 0.4554366 ]
   [0.63617563 0.15024206 0.84550166]
   [0.6364034  0.14874148 0.6642233 ]
   [0.5166419  0.23240888 0.72172576]
   [0.5407431  0.19819903 0.7910488 ]
   [0.6567286  0.38007775 0.5366128 ]
   [0.7098473  0.34973907 0.79373986]
   [0.69197553 0.5655352  0.6010086 ]
   [0.7157129  0.5701769  0.7631445 ]
   [0.6064792  0.6053876  0.75658536]
   [0.61646473 0.5886206  0.7553038 ]
   [0.6661097  0.9515605  0.813199  ]
   [0.6800368  0.9486301  0.87917113]
   [0.6925011  0.6801634  0.26842046]
   [0.7137646  0.60624814 0.38198406]]]]"
6,Supta_Virasana_Vajrasana_image_169.jpg,"[[[[0.33485705 0.2844987  0.6829752 ]
   [0.3332772  0.26985848 0.73303485]
   [0.35805583 0.25831035 0.53704447]
   [0.35947475 0.28154203 0.49217424]
   [0.41385376 0.25629053 0.394183  ]
   [0.3428547  0.37234542 0.81402516]
   [0.467639   0.29491037 0.79595333]
   [0.31473672 0.280227   0.5425889 ]
   [0.3983617  0.1857216  0.4589286 ]
   [0.3456545  0.16834347 0.7450719 ]
   [0.35753226 0.09464417 0.59441   ]
   [0.5033272  0.670094   0.78853744]
   [0.58911    0.57062715 0.78183436]
   [0.6861164  0.9096959  0.8887551 ]
   [0.75074303 0.8838565  0.8221087 ]
   [0.65949404 0.64923155 0.529675  ]
   [0.7147193  0.6027732  0.7151589 ]]]]"
7,Supta_Virasana_Vajrasana_image_218.jpg,"[[[[0.7430394  0.3847631  0.61892813]
   [0.74465275 0.35636607 0.5356774 ]
   [0.7559231  0.35676745 0.6341231 ]
   [0.7815616  0.35515812 0.57900786]
   [0.80198437 0.35900897 0.42174602]
   [0.789254   0.42807466 0.66461945]
   [0.81677216 0.42776516 0.5830044 ]
   [0.79463494 0.2905006  0.51575613]
   [0.82643855 0.2851798  0.82371926]
   [0.8051232  0.16559231 0.28553772]
   [0.8410745  0.15140645 0.6051753 ]
   [0.7463904  0.6433552  0.4989583 ]
   [0.8009696  0.65903515 0.47754455]
   [0.8322367  0.90736717 0.51271516]
   [0.84043217 0.9069796  0.84109217]
   [0.86289966 0.726021   0.27518585]
   [0.8887961  0.7169824  0.38096356]]]]"
8,Supta_Virasana_Vajrasana_image_9.jpg,"[[[[0.5900358  0.05869702 0.64594436]
   [0.61634403 0.0667006  0.78247315]
   [0.61664265 0.06637394 0.7860265 ]
   [0.63981503 0.14052476 0.74306506]
   [0.6382548  0.14035101 0.78473765]
   [0.55440116 0.23620835 0.8263548 ]
   [0.569136   0.22832614 0.7527416 ]
   [0.56378984 0.46566013 0.6250679 ]
   [0.58975506 0.47831032 0.7969936 ]
   [0.52627075 0.66015947 0.7593538 ]
   [0.5567408  0.6699826  0.8350981 ]
   [0.5717744  0.60047317 0.6793611 ]
   [0.61529046 0.5868721  0.85543996]
   [0.6104933  0.94535655 0.7019132 ]
   [0.6659063  0.95315367 0.8394645 ]
   [0.564941   0.75298494 0.12523617]
   [0.72349066 0.6475126  0.6307692 ]]]]"
9,Supta_Virasana_Vajrasana_image_40.jpg,"[[[[0.34402615 0.76461565 0.6137901 ]
   [0.34541917 0.79785573 0.7198654 ]
   [0.33514848 0.77999395 0.59249043]
   [0.39975545 0.83013004 0.80360013]
   [0.37484562 0.80516744 0.43443474]
   [0.45569143 0.8075552  0.92723256]
   [0.40268084 0.7113536  0.8147539 ]
   [0.5682583  0.64819455 0.8249483 ]
   [0.4887473  0.58283323 0.59823453]
   [0.6007753  0.49505204 0.69659173]
   [0.514377   0.44229808 0.38275042]
   [0.46852195 0.47034764 0.8479478 ]
   [0.41796744 0.43569708 0.41659576]
   [0.55193615 0.12779507 0.8091227 ]
   [0.49591756 0.11688368 0.47635168]
   [0.57844824 0.42348322 0.38495916]
   [0.52600276 0.39288124 0.52658594]]]]"
