,image,score
0,Tortoise_Pose_image_58.jpg,"[[[[0.6146328  0.5188774  0.29896113]
   [0.60271484 0.55041045 0.24202126]
   [0.6092613  0.48761335 0.27822852]
   [0.5777193  0.5990226  0.36125782]
   [0.5938887  0.46427217 0.34404656]
   [0.54012644 0.64724445 0.30167973]
   [0.5695458  0.41673622 0.24695885]
   [0.51651686 0.75676644 0.17495719]
   [0.5866369  0.4017075  0.03283265]
   [0.63636816 0.70792884 0.08406271]
   [0.6732148  0.47864914 0.35190734]
   [0.3895987  0.60596794 0.2623334 ]
   [0.34209642 0.5135408  0.4865747 ]
   [0.5444045  0.5867187  0.04125184]
   [0.5353293  0.40990552 0.05452458]
   [0.69080997 0.58998287 0.16748442]
   [0.67000526 0.48707828 0.24714237]]]]"
1,Tortoise_Pose_image_17.jpg,"[[[[0.7864828  0.67110234 0.20526782]
   [0.7735842  0.68083286 0.22402927]
   [0.7747037  0.67271817 0.25486875]
   [0.7518509  0.6338047  0.17226951]
   [0.75094557 0.62386274 0.30189055]
   [0.748336   0.5399711  0.16519351]
   [0.7509005  0.55981594 0.2367105 ]
   [0.8131292  0.6851672  0.08925737]
   [0.812358   0.6608432  0.1229249 ]
   [0.8176274  0.81045693 0.08738617]
   [0.8210624  0.8141922  0.19773658]
   [0.8032696  0.18333407 0.3702494 ]
   [0.8073498  0.18461725 0.4952109 ]
   [0.7932095  0.5021336  0.12785241]
   [0.7835774  0.58505446 0.06055244]
   [0.8805968  0.4492987  0.12474906]
   [0.8569309  0.47448528 0.06732969]]]]"
2,Tortoise_Pose_image_41.jpg,"[[[[0.5923202  0.3254618  0.22333936]
   [0.59789103 0.30942482 0.29372826]
   [0.6053167  0.30616468 0.18256843]
   [0.54901224 0.33383167 0.24599852]
   [0.5488902  0.32490796 0.23426934]
   [0.49050695 0.42222756 0.6481206 ]
   [0.48539588 0.43044156 0.53040266]
   [0.6472705  0.5690687  0.6283443 ]
   [0.6316669  0.563642   0.32843181]
   [0.65965134 0.80080265 0.19367501]
   [0.67967606 0.8128046  0.4312579 ]
   [0.55698967 0.76718277 0.7058999 ]
   [0.5601273  0.752304   0.66639435]
   [0.46805733 0.42174953 0.7197115 ]
   [0.46899912 0.42022923 0.29010224]
   [0.5800562  0.17018433 0.46779415]
   [0.57286006 0.18703148 0.3592056 ]]]]"
3,Tortoise_Pose_image_104.jpg,"[[[[0.6536409  0.46960697 0.5447804 ]
   [0.6757764  0.4819362  0.5337243 ]
   [0.67409694 0.45538867 0.6178376 ]
   [0.65306383 0.50864094 0.5491127 ]
   [0.6402392  0.42915887 0.7156633 ]
   [0.55895114 0.5809003  0.84302086]
   [0.5511479  0.38261855 0.72788656]
   [0.46044856 0.695467   0.1803553 ]
   [0.46721473 0.3309796  0.18495944]
   [0.37155542 0.7828037  0.29459387]
   [0.5789861  0.12229886 0.0994728 ]
   [0.29617578 0.5583085  0.7120985 ]
   [0.29557326 0.44137812 0.9132036 ]
   [0.4675456  0.7139851  0.7525274 ]
   [0.45394877 0.3063036  0.86063653]
   [0.59339213 0.87755144 0.85511976]
   [0.581851   0.11869512 0.7866308 ]]]]"
4,Tortoise_Pose_image_70.jpg,"[[[[0.7909293  0.371721   0.3520848 ]
   [0.41231796 0.27879867 0.10353471]
   [0.42086214 0.28049743 0.06847108]
   [0.41716874 0.27193138 0.14743854]
   [0.48689985 0.28408366 0.0859556 ]
   [0.39392325 0.33235395 0.27749926]
   [0.4606447  0.2862166  0.41442567]
   [0.3793403  0.47359684 0.3274735 ]
   [0.5783499  0.45335415 0.32855245]
   [0.42619252 0.6265639  0.2591451 ]
   [0.53197396 0.6604154  0.18872674]
   [0.44621894 0.58041036 0.5124853 ]
   [0.5389106  0.60248595 0.40050027]
   [0.45248926 0.6998453  0.11628304]
   [0.56352293 0.7526495  0.06562132]
   [0.431816   0.7830467  0.451479  ]
   [0.58072335 0.86060214 0.05155922]]]]"
5,Tortoise_Pose_image_61.jpg,"[[[[0.286944   0.5743599  0.06937842]
   [0.2986664  0.56992376 0.05838237]
   [0.2992806  0.5286162  0.02853247]
   [0.3725173  0.5530991  0.21695852]
   [0.34633577 0.46232936 0.11206251]
   [0.4206229  0.6513547  0.45184216]
   [0.41990784 0.3855944  0.70464116]
   [0.57015026 0.7712271  0.5765928 ]
   [0.5451555  0.3005363  0.6477259 ]
   [0.5902299  0.6458151  0.47384316]
   [0.57481617 0.42740357 0.39764017]
   [0.7724352  0.6432686  0.7701891 ]
   [0.7697723  0.42943716 0.70695394]
   [0.4283974  0.7074861  0.3074363 ]
   [0.3886728  0.41864187 0.16046272]
   [0.32986408 0.6172121  0.1613514 ]
   [0.31254846 0.42745864 0.24084403]]]]"
6,Tortoise_Pose_image_49.jpg,"[[[[0.5710161  0.5773474  0.10885565]
   [0.5643872  0.5488338  0.21168217]
   [0.5605203  0.5950026  0.29528046]
   [0.58422285 0.52825296 0.30051994]
   [0.578686   0.6398503  0.26550272]
   [0.6257005  0.48622558 0.2970434 ]
   [0.64837354 0.67516273 0.14351533]
   [0.5589113  0.38977692 0.09895868]
   [0.65833974 0.86714506 0.5145353 ]
   [0.60738707 0.40848145 0.42918086]
   [0.6049988  0.7625173  0.530535  ]
   [0.6012896  0.5159518  0.38815486]
   [0.5310458  0.68871605 0.27945837]
   [0.5004282  0.38991818 0.39162514]
   [0.48049447 0.8005677  0.5175379 ]
   [0.5809957  0.510183   0.10842165]
   [0.5657781  0.70040137 0.09157923]]]]"
7,Tortoise_Pose_image_31.jpg,"[[[[0.26519164 0.48764274 0.06774625]
   [0.29785058 0.44693014 0.01309146]
   [0.2575184  0.49836853 0.06169942]
   [0.32613713 0.43204707 0.07232208]
   [0.14589548 0.56586254 0.37670362]
   [0.43167615 0.37016293 0.15155016]
   [0.12700231 0.57601506 0.42065305]
   [0.29658163 0.21576835 0.30948555]
   [0.3174627  0.73329115 0.51428443]
   [0.10689081 0.4048281  0.39037344]
   [0.14800179 0.60862947 0.3258906 ]
   [0.56530833 0.46099484 0.07898321]
   [0.48394227 0.57639897 0.03425678]
   [0.58923566 0.39615244 0.12441467]
   [0.45944417 0.5770256  0.05442365]
   [0.6971847  0.40233907 0.256064  ]
   [0.6847139  0.48811197 0.13490881]]]]"
8,Tortoise_Pose_image_20.jpg,"[[[[0.37421426 0.28996453 0.4668267 ]
   [0.37357536 0.27690673 0.55595046]
   [0.3729488  0.2732232  0.53677547]
   [0.34496433 0.25004667 0.6493969 ]
   [0.34555063 0.24390286 0.69504446]
   [0.31266135 0.2887461  0.64193857]
   [0.3148711  0.27013713 0.48398656]
   [0.41896006 0.3545185  0.41987404]
   [0.40451467 0.3338272  0.43987024]
   [0.523578   0.3715348  0.2956199 ]
   [0.46334144 0.32461718 0.467317  ]
   [0.2911768  0.46077132 0.63534117]
   [0.3006611  0.43616387 0.5997745 ]
   [0.42304868 0.38673404 0.5062913 ]
   [0.41753772 0.37313884 0.2733033 ]
   [0.5423702  0.37592867 0.36687618]
   [0.5197543  0.37838987 0.32984707]]]]"
9,Tortoise_Pose_image_85.jpg,"[[[[0.33072495 0.4420519  0.50131303]
   [0.31055582 0.44837648 0.58595556]
   [0.3092293  0.46160123 0.19001637]
   [0.3177553  0.47900584 0.6294713 ]
   [0.32310697 0.5583577  0.28990954]
   [0.40775478 0.41868207 0.7615874 ]
   [0.41420266 0.60488987 0.694238  ]
   [0.525398   0.29155606 0.55938005]
   [0.53154135 0.73170674 0.32502872]
   [0.6152763  0.18450627 0.64916086]
   [0.62891513 0.808688   0.704057  ]
   [0.6724697  0.44517243 0.7592259 ]
   [0.6806354  0.56674963 0.71604514]
   [0.52035683 0.28769937 0.65266234]
   [0.5287934  0.724575   0.5276379 ]
   [0.4084871  0.07325473 0.60366374]
   [0.4358053  0.91137534 0.3600235 ]]]]"
