,image,score
0,Tree_Pose_or_Vrksasana__image_113.jpg,"[[[[0.29094565 0.49191365 0.5549286 ]
   [0.27712753 0.48079142 0.47694355]
   [0.2812397  0.49839163 0.41229448]
   [0.29726034 0.46789858 0.54355586]
   [0.29881826 0.51059014 0.61587334]
   [0.35039556 0.4345508  0.5866903 ]
   [0.33822194 0.5336087  0.49219954]
   [0.22777393 0.4534265  0.70702004]
   [0.21362332 0.5215214  0.44551593]
   [0.1406275  0.4652853  0.58750534]
   [0.13691586 0.49095762 0.6518655 ]
   [0.56004894 0.46468407 0.72086847]
   [0.5415392  0.5211962  0.76997685]
   [0.7360363  0.49392602 0.7136071 ]
   [0.6216324  0.6644207  0.8561475 ]
   [0.89344215 0.51399964 0.767634  ]
   [0.5832411  0.5334574  0.4492755 ]]]]"
1,Tree_Pose_or_Vrksasana__image_195.jpg,"[[[[0.38888338 0.46184614 0.717263  ]
   [0.38578644 0.46889752 0.6693393 ]
   [0.38523054 0.45383957 0.65508294]
   [0.40325055 0.48143923 0.5878115 ]
   [0.40074366 0.44476813 0.68319243]
   [0.44101292 0.4949202  0.50939965]
   [0.4353523  0.42854849 0.7634197 ]
   [0.39884877 0.5572177  0.7474384 ]
   [0.38655025 0.37316516 0.5833315 ]
   [0.35810798 0.5903446  0.71335065]
   [0.33523914 0.34489653 0.7019041 ]
   [0.5722059  0.47699043 0.49021217]
   [0.5675948  0.43914467 0.69702685]
   [0.6778881  0.4623582  0.6231091 ]
   [0.6563351  0.3914589  0.5715568 ]
   [0.75587445 0.4580352  0.55659044]
   [0.73425335 0.45187637 0.1481437 ]]]]"
2,Tree_Pose_or_Vrksasana__image_232.jpg,"[[[[0.2868084  0.5020265  0.7968694 ]
   [0.2697717  0.5189311  0.8534191 ]
   [0.26901388 0.48891425 0.82172716]
   [0.28402445 0.5409198  0.8883514 ]
   [0.28603202 0.4720019  0.8563797 ]
   [0.35238162 0.5777849  0.8875865 ]
   [0.3488977  0.4349478  0.8490707 ]
   [0.2572614  0.6546548  0.8031961 ]
   [0.26879215 0.36909047 0.90261626]
   [0.12931497 0.67378646 0.71264654]
   [0.1519683  0.32533425 0.74753743]
   [0.5918033  0.55858165 0.91018647]
   [0.57200855 0.45242202 0.8508227 ]
   [0.76605093 0.5301349  0.8231572 ]
   [0.6724004  0.31343755 0.9393745 ]
   [0.91936964 0.5050017  0.82316655]
   [0.6603118  0.47253183 0.7330744 ]]]]"
3,Tree_Pose_or_Vrksasana__image_82.jpg,"[[[[0.33157146 0.41628498 0.7404895 ]
   [0.321648   0.43087426 0.6769599 ]
   [0.3222558  0.41190338 0.59019464]
   [0.3363719  0.45299676 0.6218982 ]
   [0.33383623 0.41197482 0.63931423]
   [0.3772219  0.47709295 0.6197553 ]
   [0.38285872 0.40058777 0.7690315 ]
   [0.30574948 0.48142907 0.52923346]
   [0.32194906 0.35519108 0.9164004 ]
   [0.2360054  0.41648975 0.6662144 ]
   [0.23196355 0.39455438 0.4072139 ]
   [0.5390805  0.46541333 0.7422226 ]
   [0.5478832  0.40953597 0.665675  ]
   [0.5972017  0.51578015 0.84313303]
   [0.6734806  0.42808092 0.6609415 ]
   [0.6103026  0.44781798 0.49664962]
   [0.8007151  0.458151   0.6897322 ]]]]"
4,Tree_Pose_or_Vrksasana__image_73.jpg,"[[[[0.33184755 0.5561073  0.66562754]
   [0.32593226 0.56474626 0.6520633 ]
   [0.32429817 0.54962003 0.5892827 ]
   [0.3292201  0.5802056  0.4514702 ]
   [0.33226803 0.53827864 0.5831323 ]
   [0.37838238 0.5970158  0.44889784]
   [0.3704465  0.5190372  0.44320118]
   [0.40062785 0.6520478  0.51462567]
   [0.39040044 0.46185875 0.399792  ]
   [0.36522877 0.7116068  0.38143462]
   [0.35708174 0.41428462 0.3710948 ]
   [0.5043086  0.56458193 0.65603566]
   [0.48921227 0.5212815  0.6163838 ]
   [0.6218285  0.54521394 0.57821584]
   [0.5320941  0.42603195 0.4294085 ]
   [0.7167179  0.52870816 0.3412956 ]
   [0.55090046 0.52826613 0.5197952 ]]]]"
5,Tree_Pose_or_Vrksasana__image_91.jpg,"[[[[0.33166414 0.46333116 0.70078546]
   [0.3268291  0.47260553 0.45012048]
   [0.3239683  0.45699257 0.46458408]
   [0.33825943 0.48113552 0.71532226]
   [0.33598468 0.4450658  0.66675746]
   [0.37715042 0.49277487 0.47348282]
   [0.3702287  0.42825842 0.75905305]
   [0.3196237  0.54305065 0.75584203]
   [0.32945204 0.38021594 0.51318485]
   [0.28230482 0.5618721  0.49486804]
   [0.26380622 0.3592878  0.53057474]
   [0.50988394 0.48088494 0.63513565]
   [0.49949676 0.43416253 0.4890339 ]
   [0.58804446 0.47727874 0.6166379 ]
   [0.5453936  0.36902687 0.54771924]
   [0.7155224  0.4606778  0.61806995]
   [0.5643001  0.45668045 0.234755  ]]]]"
6,Tree_Pose_or_Vrksasana__image_234.jpg,"[[[[0.13203327 0.48868296 0.79970896]
   [0.11539172 0.50456625 0.8870475 ]
   [0.1160876  0.47272232 0.8226783 ]
   [0.13217595 0.5263615  0.8703954 ]
   [0.13349766 0.4513142  0.71311873]
   [0.23234183 0.56888986 0.68600047]
   [0.22754434 0.4057645  0.9490374 ]
   [0.32986537 0.64474535 0.82830966]
   [0.33093342 0.3325605  0.926565  ]
   [0.33993587 0.5391068  0.6451066 ]
   [0.34168932 0.4299813  0.72619903]
   [0.48551628 0.5160135  0.8952558 ]
   [0.47495604 0.42222953 0.8507053 ]
   [0.7239128  0.49680817 0.770459  ]
   [0.5740891  0.25009808 0.8540826 ]
   [0.91811043 0.45400423 0.9149307 ]
   [0.58078843 0.43964097 0.67203367]]]]"
7,Tree_Pose_or_Vrksasana__image_156.jpg,"[[[[0.3598679  0.65071636 0.56100696]
   [0.35470584 0.662196   0.42946783]
   [0.35403338 0.6423255  0.4198998 ]
   [0.37718886 0.67493093 0.5780961 ]
   [0.37439775 0.62839323 0.60722876]
   [0.4091365  0.6804615  0.54109484]
   [0.40755588 0.61548245 0.6093123 ]
   [0.32160327 0.6817117  0.42838523]
   [0.32687816 0.61943924 0.7137079 ]
   [0.2666793  0.6591405  0.6593043 ]
   [0.2659379  0.64139557 0.46931034]
   [0.5459923  0.66267395 0.737574  ]
   [0.5361423  0.62477356 0.73038185]
   [0.6376293  0.6573995  0.6689995 ]
   [0.58413017 0.52836037 0.76741606]
   [0.72705716 0.6396719  0.58596885]
   [0.5932581  0.6454959  0.26967648]]]]"
8,Tree_Pose_or_Vrksasana__image_184.jpg,"[[[[0.49981725 0.5064791  0.6142044 ]
   [0.4911926  0.5216774  0.66207594]
   [0.49150705 0.49823987 0.46524554]
   [0.50894576 0.530731   0.48051688]
   [0.50428987 0.48159465 0.6239073 ]
   [0.57543397 0.54715097 0.5331071 ]
   [0.55026716 0.45816812 0.54406166]
   [0.6599262  0.5813265  0.7417969 ]
   [0.46421796 0.44960216 0.58287513]
   [0.7284077  0.5992987  0.34083834]
   [0.38524622 0.44998172 0.70229983]
   [0.72371    0.5319005  0.6971497 ]
   [0.725545   0.47291514 0.540542  ]
   [0.7843214  0.64411056 0.7635875 ]
   [0.8606431  0.49987167 0.77240735]
   [0.79010653 0.52922887 0.4387442 ]
   [0.9743292  0.50998694 0.51225126]]]]"
9,Tree_Pose_or_Vrksasana__image_109.jpg,"[[[[0.4596241  0.49483567 0.5992141 ]
   [0.4521937  0.50341076 0.5180915 ]
   [0.45213634 0.48450872 0.35035953]
   [0.4554055  0.5190265  0.56007683]
   [0.46224856 0.47483274 0.677913  ]
   [0.5003091  0.5519123  0.63401365]
   [0.51022965 0.46184313 0.45561388]
   [0.5866468  0.57523084 0.5319745 ]
   [0.58266455 0.41208404 0.6629854 ]
   [0.53689265 0.50829476 0.4975878 ]
   [0.5321028  0.4667522  0.5242754 ]
   [0.6690654  0.54165727 0.5435617 ]
   [0.6785526  0.47940108 0.460777  ]
   [0.7671664  0.6120784  0.35247734]
   [0.8133021  0.504487   0.53752476]
   [0.7484555  0.6184736  0.36040288]
   [0.9373549  0.5191631  0.6638478 ]]]]"
