,image,score
0,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana__image_42.jpg,"[[[[0.73515475 0.38867524 0.45137605]
   [0.73517543 0.3988095  0.573251  ]
   [0.73563796 0.39608747 0.5270768 ]
   [0.69748265 0.41161826 0.47650307]
   [0.6952757  0.4025904  0.22059208]
   [0.6353258  0.40216434 0.49376273]
   [0.6421016  0.39178935 0.59569824]
   [0.7871065  0.36634848 0.6379486 ]
   [0.7884542  0.34989786 0.8947044 ]
   [0.89137965 0.36997652 0.50702566]
   [0.9161516  0.36203012 0.77399385]
   [0.52242565 0.5577389  0.7119388 ]
   [0.5246604  0.54275185 0.70742697]
   [0.69333684 0.6475307  0.6729502 ]
   [0.32327628 0.559005   0.43443042]
   [0.84323215 0.58542955 0.6486336 ]
   [0.16045736 0.5833348  0.33414865]]]]"
1,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana__image_35.jpg,"[[[[0.49304894 0.24665897 0.28426543]
   [0.48794493 0.2410476  0.19701605]
   [0.51177543 0.22965561 0.17351376]
   [0.45146197 0.24082142 0.09904143]
   [0.51603216 0.22705956 0.132398  ]
   [0.37383747 0.2731011  0.02643411]
   [0.5231603  0.23990414 0.19817477]
   [0.38345522 0.28098968 0.05218405]
   [0.58122504 0.24242815 0.10211413]
   [0.44660795 0.27779496 0.16950756]
   [0.5149334  0.24691632 0.1453185 ]
   [0.44638875 0.30666614 0.03598419]
   [0.5378587  0.26707935 0.11312307]
   [0.53180397 0.26650637 0.04799354]
   [0.5959368  0.2626063  0.08806334]
   [0.46109885 0.23695531 0.12840632]
   [0.7669872  0.2597618  0.0540662 ]]]]"
2,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana__image_155.jpg,"[[[[0.51724404 0.68368834 0.49787393]
   [0.51496524 0.6741361  0.4660409 ]
   [0.5132362  0.67163295 0.53214794]
   [0.4895271  0.6524864  0.40304533]
   [0.49159777 0.65383935 0.6176903 ]
   [0.42792764 0.664306   0.48777398]
   [0.43032563 0.66985804 0.734428  ]
   [0.55089027 0.7117006  0.84169996]
   [0.54623127 0.7075819  0.61768377]
   [0.6666686  0.71226084 0.7458123 ]
   [0.6493726  0.7081131  0.30833122]
   [0.27230167 0.54988354 0.8265052 ]
   [0.26704228 0.5549867  0.8290662 ]
   [0.42968583 0.36300048 0.8884428 ]
   [0.42494285 0.35915452 0.6999147 ]
   [0.6281144  0.42433575 0.6949528 ]
   [0.62146044 0.42172492 0.74961066]]]]"
3,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana__image_153.jpg,"[[[[0.5057609  0.8864826  0.62898517]
   [0.51859945 0.8660004  0.42044318]
   [0.51607025 0.8653251  0.73988336]
   [0.4874978  0.82958627 0.6259764 ]
   [0.48829034 0.83276635 0.7450021 ]
   [0.38340104 0.8482717  0.760992  ]
   [0.38200697 0.8638954  0.7062447 ]
   [0.5922497  0.8896933  0.7078244 ]
   [0.57206106 0.8750625  0.6907934 ]
   [0.77307814 0.842928   0.8101129 ]
   [0.7381842  0.83052814 0.72859496]
   [0.3226567  0.5601878  0.8099647 ]
   [0.32291403 0.57020223 0.90156907]
   [0.52869457 0.36828533 0.7965944 ]
   [0.5329802  0.37198982 0.79593134]
   [0.7367407  0.18727458 0.7042334 ]
   [0.74932176 0.18970998 0.697141  ]]]]"
4,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana__image_178.jpg,"[[[[0.41132537 0.49168006 0.32624757]
   [0.40976685 0.4945287  0.35276714]
   [0.41203904 0.48890203 0.31832346]
   [0.38843355 0.5167052  0.32123244]
   [0.3946812  0.49616894 0.27698296]
   [0.3906449  0.55109566 0.32897955]
   [0.38917106 0.47329548 0.389161  ]
   [0.46771935 0.60964817 0.46231374]
   [0.48125285 0.50335586 0.08115641]
   [0.5532036  0.63281876 0.28109786]
   [0.5416523  0.36623654 0.33151898]
   [0.37687388 0.5626686  0.39941242]
   [0.37855092 0.51044667 0.24365644]
   [0.47292995 0.60475236 0.4304006 ]
   [0.48733488 0.5566795  0.22949566]
   [0.5603968  0.6318909  0.57157993]
   [0.54837894 0.3658945  0.5377831 ]]]]"
5,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana__image_248.jpg,"[[[[0.6652146  0.34694138 0.6265946 ]
   [0.67782974 0.3602642  0.6810886 ]
   [0.67826295 0.3580893  0.6418663 ]
   [0.6535738  0.38892877 0.6891055 ]
   [0.6527919  0.38589567 0.77970374]
   [0.58422005 0.38251218 0.71239626]
   [0.5805453  0.37692273 0.61288005]
   [0.689794   0.34851965 0.7088004 ]
   [0.70503944 0.31525    0.78420246]
   [0.8013932  0.33856443 0.44932595]
   [0.8355913  0.29681385 0.8127487 ]
   [0.4630611  0.54005516 0.7742167 ]
   [0.45408005 0.52844626 0.6052371 ]
   [0.6313138  0.665478   0.7951202 ]
   [0.31796944 0.62553686 0.77031374]
   [0.8228539  0.6172762  0.68744266]
   [0.822372   0.6126837  0.36715797]]]]"
6,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana__image_187.jpg,"[[[[0.53700316 0.8033904  0.6179632 ]
   [0.5382626  0.78568226 0.6109098 ]
   [0.5373308  0.8028471  0.64553297]
   [0.5152158  0.74071634 0.48316398]
   [0.50614375 0.7777637  0.42422223]
   [0.42180744 0.67074144 0.3606989 ]
   [0.40246385 0.8110219  0.6959822 ]
   [0.56963867 0.7260412  0.85820323]
   [0.5721893  0.8918663  0.71567476]
   [0.75919724 0.72745246 0.88958466]
   [0.7385086  0.9079222  0.69337904]
   [0.34632546 0.41567433 0.64099365]
   [0.3414886  0.45700985 0.64895916]
   [0.48137444 0.24763195 0.8415739 ]
   [0.5058966  0.41591674 0.38255668]
   [0.75590813 0.2543084  0.7453522 ]
   [0.7365943  0.43996653 0.6222444 ]]]]"
7,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana__image_181.jpg,"[[[[0.5430307  0.90511477 0.6754747 ]
   [0.5744881  0.8802861  0.48340237]
   [0.5747955  0.8788522  0.61364114]
   [0.5475121  0.8230014  0.5711629 ]
   [0.54666835 0.8236491  0.6898344 ]
   [0.43087092 0.78809494 0.8180079 ]
   [0.4116889  0.7987928  0.6364965 ]
   [0.6442644  0.8893447  0.6984673 ]
   [0.62922215 0.8645473  0.6312808 ]
   [0.82173425 0.90836656 0.72014207]
   [0.79951125 0.890767   0.7378812 ]
   [0.32639918 0.48735374 0.76824594]
   [0.32425267 0.49310467 0.89304304]
   [0.503872   0.20059268 0.9007596 ]
   [0.50369537 0.20784412 0.93251485]
   [0.80827534 0.1686347  0.8487099 ]
   [0.78100145 0.18640153 0.6545253 ]]]]"
8,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana__image_144.jpg,"[[[[0.352626   0.43970498 0.4332349 ]
   [0.3645311  0.44814724 0.42225027]
   [0.36888677 0.44854274 0.46267915]
   [0.3608466  0.4887292  0.5111441 ]
   [0.36283338 0.4958634  0.6128219 ]
   [0.31065944 0.4825763  0.3339435 ]
   [0.32500222 0.51767015 0.32367367]
   [0.3936654  0.4211467  0.6156243 ]
   [0.4103128  0.40247107 0.46930856]
   [0.46478128 0.47580776 0.47227016]
   [0.5159013  0.3652504  0.7594737 ]
   [0.19942187 0.6372411  0.70202374]
   [0.22478464 0.63254863 0.6896995 ]
   [0.3791383  0.77244765 0.4627013 ]
   [0.39007193 0.7760813  0.57710916]
   [0.5465425  0.7669841  0.3442884 ]
   [0.5663071  0.76952624 0.35813874]]]]"
9,Upward_Bow_(Wheel)_Pose_or_Urdhva_Dhanurasana__image_82.jpg,"[[[[0.36857888 0.28782773 0.59744054]
   [0.37923735 0.30474654 0.6689737 ]
   [0.377862   0.30200273 0.66396576]
   [0.3600668  0.33727568 0.77799857]
   [0.35644698 0.33526272 0.83095634]
   [0.29461485 0.35251173 0.80754876]
   [0.286121   0.34445375 0.76127666]
   [0.39617574 0.2949678  0.77708894]
   [0.40077105 0.26780725 0.7917957 ]
   [0.5095046  0.28585428 0.5699433 ]
   [0.5213651  0.25203627 0.78270626]
   [0.21623185 0.5581152  0.7218522 ]
   [0.22151582 0.55431545 0.61389816]
   [0.31821927 0.6815367  0.85625625]
   [0.31404173 0.6962347  0.8919067 ]
   [0.4898354  0.6719665  0.75302863]
   [0.50396097 0.7001291  0.75627315]]]]"
