,image,score
0,Upward_Plank_Pose_or_Purvottanasana__image_76.jpg,"[[[[0.6418364  0.27692077 0.58339566]
   [0.6405767  0.27463847 0.53119445]
   [0.63900054 0.2762439  0.5381881 ]
   [0.6179463  0.30063438 0.6232217 ]
   [0.621462   0.29922888 0.51974434]
   [0.5881374  0.32534164 0.6061773 ]
   [0.59220666 0.3294739  0.6402387 ]
   [0.6734443  0.3144859  0.57185847]
   [0.6628419  0.31418252 0.37800696]
   [0.7614321  0.31134808 0.5978018 ]
   [0.7268749  0.3118276  0.27612445]
   [0.61690825 0.5271701  0.7641899 ]
   [0.616474   0.5268804  0.7378839 ]
   [0.6760223  0.64088196 0.65386915]
   [0.67612904 0.6353481  0.38778713]
   [0.7413465  0.7349533  0.57759464]
   [0.73604035 0.7280747  0.26750728]]]]"
1,Upward_Plank_Pose_or_Purvottanasana__image_18.jpg,"[[[[0.45970735 0.10583593 0.264021  ]
   [0.44920093 0.08724155 0.20485336]
   [0.45302543 0.08747707 0.18722446]
   [0.4480673  0.0975493  0.2745433 ]
   [0.45125166 0.09924822 0.30063134]
   [0.40761387 0.21872589 0.6311022 ]
   [0.40685198 0.2261743  0.7374211 ]
   [0.57548964 0.2203992  0.67570007]
   [0.57717466 0.22642046 0.7061801 ]
   [0.7094252  0.22216187 0.5056171 ]
   [0.7164144  0.22591913 0.56933886]
   [0.44958532 0.46225917 0.7329373 ]
   [0.44790226 0.4625181  0.806294  ]
   [0.5594894  0.6633293  0.86547136]
   [0.5519629  0.66359085 0.7270755 ]
   [0.69253004 0.8377843  0.81029356]
   [0.69510114 0.8243878  0.3440393 ]]]]"
2,Upward_Plank_Pose_or_Purvottanasana__image_98.jpg,"[[[[0.25305212 0.2750151  0.6948749 ]
   [0.24691008 0.25186035 0.7546813 ]
   [0.24717945 0.25260293 0.7369371 ]
   [0.28356093 0.21477412 0.58979833]
   [0.2848369  0.22378711 0.7556989 ]
   [0.3817711  0.24999318 0.6189916 ]
   [0.38334313 0.27896205 0.6267278 ]
   [0.5595369  0.26305586 0.79103065]
   [0.5751616  0.30290085 0.7302818 ]
   [0.69284356 0.27520207 0.7260394 ]
   [0.74903333 0.29697534 0.8771991 ]
   [0.4061254  0.5057102  0.7323183 ]
   [0.41584244 0.544603   0.81407213]
   [0.45885688 0.7338161  0.5982773 ]
   [0.45673198 0.8232158  0.96357775]
   [0.6718624  0.68018645 0.76185024]
   [0.7022997  0.7606635  0.7756001 ]]]]"
3,Upward_Plank_Pose_or_Purvottanasana__image_150.jpg,"[[[[0.41807812 0.4603449  0.09740226]
   [0.4169199  0.21458071 0.43501455]
   [0.4331479  0.45641837 0.13656317]
   [0.3562179  0.22249173 0.6004336 ]
   [0.38361236 0.46821767 0.29381838]
   [0.3030713  0.33123663 0.6066186 ]
   [0.38669845 0.656494   0.7860569 ]
   [0.51764226 0.31642315 0.6123407 ]
   [0.5553334  0.54034454 0.28549135]
   [0.704741   0.30192187 0.55118847]
   [0.72683144 0.49793613 0.3391005 ]
   [0.4511883  0.8856896  0.44099477]
   [0.501479   0.81292033 0.46546012]
   [0.5305592  0.74410796 0.07863382]
   [0.5308475  0.7674583  0.3960069 ]
   [0.5847535  0.98224926 0.1911072 ]
   [0.60524446 0.89430535 0.5399016 ]]]]"
4,Upward_Plank_Pose_or_Purvottanasana__image_157.jpg,"[[[[0.46351188 0.918094   0.73672885]
   [0.48143858 0.9146809  0.68759155]
   [0.47885704 0.91455466 0.7829319 ]
   [0.49480578 0.8652586  0.89217895]
   [0.49131635 0.86663204 0.88529646]
   [0.46049094 0.7953993  0.85759515]
   [0.4497255  0.793976   0.80049706]
   [0.6045687  0.80276257 0.7680988 ]
   [0.5827278  0.8013943  0.85842764]
   [0.72081804 0.82119703 0.907234  ]
   [0.69270587 0.81699455 0.6910521 ]
   [0.49343425 0.52883005 0.89355886]
   [0.48712456 0.52504987 0.79397404]
   [0.5944471  0.33770496 0.82914424]
   [0.58995724 0.3340829  0.72829705]
   [0.6958854  0.1567447  0.7807145 ]
   [0.69143677 0.1622224  0.6059927 ]]]]"
5,Upward_Plank_Pose_or_Purvottanasana__image_106.jpg,"[[[[0.5033337  0.05405258 0.605439  ]
   [0.5131205  0.04883531 0.4625375 ]
   [0.52313685 0.04885823 0.49961907]
   [0.5339491  0.07950811 0.5761926 ]
   [0.56171316 0.08263717 0.51108605]
   [0.49626657 0.16295421 0.9053363 ]
   [0.5264688  0.16218403 0.8473808 ]
   [0.5966689  0.16197233 0.39414835]
   [0.65223604 0.14629883 0.8804119 ]
   [0.6527508  0.167646   0.2391028 ]
   [0.74495363 0.12598194 0.8065082 ]
   [0.5443748  0.41669136 0.694571  ]
   [0.5657983  0.446674   0.68412733]
   [0.60018694 0.5605132  0.49836582]
   [0.6053553  0.5928224  0.3065952 ]
   [0.6735762  0.7182241  0.1659612 ]
   [0.67014664 0.704674   0.5882956 ]]]]"
6,Upward_Plank_Pose_or_Purvottanasana__image_120.jpg,"[[[[0.496859   0.6092947  0.16850963]
   [0.4960055  0.610658   0.13506654]
   [0.5074331  0.6101261  0.19778891]
   [0.47142774 0.61356145 0.08976428]
   [0.4854403  0.6060878  0.11318093]
   [0.4580811  0.59147966 0.16339833]
   [0.4574582  0.6000891  0.12189467]
   [0.49443945 0.58189356 0.22614688]
   [0.46460325 0.46792954 0.10059863]
   [0.49457332 0.58550084 0.18934679]
   [0.5387275  0.3144897  0.31925693]
   [0.4577066  0.5618406  0.20628878]
   [0.45761925 0.5456266  0.20261022]
   [0.49218374 0.58136016 0.1719278 ]
   [0.5162467  0.59594464 0.16161522]
   [0.5428134  0.5968077  0.30530265]
   [0.5456874  0.6115721  0.40212464]]]]"
7,Upward_Plank_Pose_or_Purvottanasana__image_26.jpg,"[[[[0.41482335 0.9676611  0.7101663 ]
   [0.43396348 0.95995766 0.4845543 ]
   [0.434939   0.9596185  0.53891397]
   [0.4376966  0.91539496 0.7472528 ]
   [0.43815708 0.90990233 0.79096097]
   [0.39532056 0.84118104 0.79331326]
   [0.3903954  0.8260021  0.7802418 ]
   [0.5539884  0.8237889  0.6870194 ]
   [0.54099303 0.82673377 0.8339874 ]
   [0.67823476 0.83269006 0.6881176 ]
   [0.66591233 0.8447849  0.68391424]
   [0.45960513 0.5393757  0.8988101 ]
   [0.4438472  0.5330963  0.796702  ]
   [0.54264456 0.34009486 0.85738957]
   [0.53723115 0.33682844 0.7980145 ]
   [0.6597521  0.1398877  0.77403194]
   [0.6582738  0.14723068 0.73733485]]]]"
8,Upward_Plank_Pose_or_Purvottanasana__image_134.jpg,"[[[[0.4361539  0.8649122  0.48195142]
   [0.42622772 0.87369365 0.5154192 ]
   [0.4278287  0.8757182  0.525156  ]
   [0.3991191  0.8428397  0.42978874]
   [0.40010807 0.8447266  0.5589914 ]
   [0.380172   0.75683224 0.8313825 ]
   [0.37383357 0.7656401  0.6193702 ]
   [0.5154196  0.75698936 0.35393927]
   [0.5098363  0.7748758  0.7860051 ]
   [0.62656397 0.7500394  0.46949837]
   [0.65687656 0.83113796 0.74816406]
   [0.45802522 0.48735568 0.79688007]
   [0.45531166 0.48395896 0.7113886 ]
   [0.5149553  0.34275156 0.21517752]
   [0.54186815 0.33424157 0.44432363]
   [0.5676692  0.25776276 0.27278098]
   [0.69513255 0.39538342 0.3273045 ]]]]"
9,Upward_Plank_Pose_or_Purvottanasana__image_77.jpg,"[[[[0.54274756 0.2481152  0.5917243 ]
   [0.5468541  0.2537929  0.64108944]
   [0.5483333  0.2506677  0.688534  ]
   [0.54658455 0.28704908 0.6456137 ]
   [0.550175   0.28731683 0.42751113]
   [0.514788   0.32040194 0.70567733]
   [0.5177492  0.3228375  0.7570793 ]
   [0.59854054 0.34456807 0.6895925 ]
   [0.59585553 0.34817925 0.61028314]
   [0.6959774  0.35602924 0.6832587 ]
   [0.69814783 0.35729226 0.72793126]
   [0.5115163  0.50872606 0.7622429 ]
   [0.5251262  0.514667   0.697458  ]
   [0.4230126  0.60630745 0.723975  ]
   [0.57524145 0.58187616 0.14110854]
   [0.32994452 0.69377667 0.6774818 ]
   [0.67472    0.725508   0.749346  ]]]]"
