,image,score
0,Warrior_III_Pose_or_Virabhadrasana_III__image_171.jpg,"[[[[0.3907797  0.31819367 0.5673762 ]
   [0.38364968 0.30729005 0.7577363 ]
   [0.38560164 0.30454937 0.72192156]
   [0.3600258  0.32673764 0.6655838 ]
   [0.36288562 0.31916764 0.68465346]
   [0.35075828 0.37112293 0.61252594]
   [0.35658383 0.35414788 0.7420215 ]
   [0.40195793 0.30490008 0.45196682]
   [0.3988037  0.30107498 0.6296482 ]
   [0.40117005 0.19731928 0.7036437 ]
   [0.3981647  0.2029081  0.634728  ]
   [0.38560256 0.56037265 0.7064239 ]
   [0.38870946 0.5586783  0.7793446 ]
   [0.39874664 0.6831235  0.71296793]
   [0.54803413 0.5414594  0.76953197]
   [0.36044118 0.8297206  0.6610655 ]
   [0.6793399  0.5287878  0.5525855 ]]]]"
1,Warrior_III_Pose_or_Virabhadrasana_III__image_13.jpg,"[[[[0.35911328 0.7384965  0.7338325 ]
   [0.3459299  0.74454635 0.69175035]
   [0.34261206 0.7426475  0.44419366]
   [0.31046543 0.72433925 0.7756313 ]
   [0.30665392 0.7219831  0.83996975]
   [0.3197354  0.6811373  0.84908736]
   [0.30996656 0.6610309  0.77274454]
   [0.33248907 0.78824294 0.6884772 ]
   [0.3372358  0.78595036 0.65398926]
   [0.3157655  0.8805777  0.3840693 ]
   [0.3232118  0.8856067  0.76012355]
   [0.38519526 0.48558933 0.7979618 ]
   [0.3557016  0.47125387 0.84462476]
   [0.5541267  0.48772228 0.78482586]
   [0.35600471 0.26786292 0.89719623]
   [0.7238228  0.48406276 0.9114838 ]
   [0.35611483 0.11139622 0.87415063]]]]"
2,Warrior_III_Pose_or_Virabhadrasana_III__image_162.jpg,"[[[[0.46025944 0.7328574  0.62675273]
   [0.4501256  0.7376739  0.5119768 ]
   [0.44426423 0.7317249  0.6022041 ]
   [0.42540783 0.72090566 0.61073345]
   [0.41919354 0.70996344 0.5757254 ]
   [0.42899203 0.6851533  0.7019116 ]
   [0.41957542 0.6785473  0.67226475]
   [0.45076543 0.77625567 0.5030316 ]
   [0.45146036 0.77767736 0.56844455]
   [0.45023265 0.86196005 0.34423187]
   [0.45179662 0.85723346 0.30820426]
   [0.4443766  0.49284974 0.69807935]
   [0.44389677 0.48740217 0.8381913 ]
   [0.4589831  0.39017138 0.54325247]
   [0.63017607 0.4646422  0.36833835]
   [0.42285442 0.2327764  0.36235726]
   [0.75803506 0.48490742 0.55241764]]]]"
3,Warrior_III_Pose_or_Virabhadrasana_III__image_32.jpg,"[[[[0.32645825 0.3358173  0.5486083 ]
   [0.32414111 0.3409659  0.4831647 ]
   [0.32166052 0.33790734 0.6123918 ]
   [0.32434657 0.34006667 0.3233429 ]
   [0.32114995 0.33406904 0.6157489 ]
   [0.33027628 0.31267995 0.44682202]
   [0.33129922 0.3106761  0.35970792]
   [0.3367795  0.3167063  0.36868724]
   [0.3407233  0.31013247 0.36157283]
   [0.3447257  0.35001096 0.4085543 ]
   [0.33868694 0.32714748 0.23009473]
   [0.3583207  0.26375663 0.5242514 ]
   [0.35794824 0.2629958  0.62076175]
   [0.36208266 0.25392592 0.38323927]
   [0.36532438 0.25838047 0.49964792]
   [0.37214035 0.23653233 0.14726856]
   [0.39114186 0.25209233 0.19645835]]]]"
4,Warrior_III_Pose_or_Virabhadrasana_III__image_196.jpg,"[[[[0.3749789  0.6369836  0.36336032]
   [0.3679124  0.6432337  0.16726643]
   [0.36647132 0.64136827 0.24884652]
   [0.35508925 0.63265544 0.16839372]
   [0.35296097 0.6329654  0.23800878]
   [0.3653653  0.6015622  0.40262967]
   [0.35269395 0.60194594 0.44422245]
   [0.3820917  0.6511982  0.21514802]
   [0.3810788  0.6433979  0.29412183]
   [0.38503334 0.72996956 0.34932727]
   [0.38725477 0.72288406 0.37282708]
   [0.39514235 0.49593732 0.45473346]
   [0.3766518  0.48268807 0.5329343 ]
   [0.49840117 0.47229978 0.5059673 ]
   [0.384683   0.36510688 0.5114587 ]
   [0.57872653 0.47734198 0.47621033]
   [0.38828757 0.27219215 0.5359402 ]]]]"
5,Warrior_III_Pose_or_Virabhadrasana_III__image_129.jpg,"[[[[0.956569   0.9169385  0.03646473]
   [0.7139042  0.21686842 0.01623537]
   [0.71363354 0.20400134 0.02407033]
   [0.69951683 0.18145382 0.01181957]
   [0.7192323  0.1507087  0.00659214]
   [0.22406664 0.6611229  0.00514916]
   [0.7090253  0.14133677 0.0665133 ]
   [0.31499332 0.87982744 0.0171812 ]
   [0.31376877 0.17215815 0.00308829]
   [0.3814126  0.7267837  0.0627422 ]
   [0.7878534  0.0082095  0.08748838]
   [0.3294724  0.36890578 0.05571462]
   [0.35051203 0.349461   0.04809656]
   [0.37518138 0.38483053 0.04485514]
   [0.69552183 0.9029956  0.07661244]
   [0.37302724 0.43036163 0.14535551]
   [0.98325413 0.26674423 0.05896715]]]]"
6,Warrior_III_Pose_or_Virabhadrasana_III__image_1.jpg,"[[[[0.36599764 0.79403466 0.04579604]
   [0.34691083 0.7956603  0.02318736]
   [0.3468041  0.7950844  0.03138097]
   [0.36763796 0.79335964 0.04109329]
   [0.36113462 0.72775036 0.04187123]
   [0.48283473 0.7219594  0.19018719]
   [0.46802422 0.6897368  0.22153221]
   [0.5094103  0.68125415 0.01994363]
   [0.51618576 0.559305   0.0282385 ]
   [0.4404796  0.5918174  0.0151285 ]
   [0.4335325  0.5342395  0.02226544]
   [0.73324543 0.5421323  0.04690879]
   [0.6118937  0.4852065  0.22044793]
   [0.54349226 0.3466681  0.2860831 ]
   [0.5469229  0.3336754  0.17585658]
   [0.50948805 0.22677648 0.11219903]
   [0.5058469  0.21099637 0.15905346]]]]"
7,Warrior_III_Pose_or_Virabhadrasana_III__image_115.jpg,"[[[[0.4610422  0.5382014  0.6709815 ]
   [0.45171395 0.55306    0.5758874 ]
   [0.44961908 0.5296468  0.53398633]
   [0.44194105 0.5636343  0.5573869 ]
   [0.4405987  0.51200384 0.5104906 ]
   [0.45060614 0.5784323  0.5668503 ]
   [0.4636923  0.4831624  0.630882  ]
   [0.45009196 0.6326901  0.64189553]
   [0.4614053  0.39903206 0.5683248 ]
   [0.44198263 0.7071681  0.49495733]
   [0.46346453 0.3163738  0.45645323]
   [0.51868033 0.5354861  0.33041042]
   [0.51617604 0.48343214 0.35553372]
   [0.5879584  0.53259706 0.12996092]
   [0.59129333 0.5042574  0.534564  ]
   [0.6645006  0.5193085  0.11112039]
   [0.68546546 0.5124572  0.659414  ]]]]"
8,Warrior_III_Pose_or_Virabhadrasana_III__image_65.jpg,"[[[[0.59612024 0.6715296  0.59103847]
   [0.58779615 0.6708764  0.43168873]
   [0.5855279  0.66909206 0.5477063 ]
   [0.5738926  0.6619251  0.2005345 ]
   [0.5692453  0.6507656  0.6149669 ]
   [0.56879646 0.61169726 0.5064607 ]
   [0.5795591  0.6140828  0.43342176]
   [0.5628239  0.5537701  0.31786892]
   [0.58278835 0.53027487 0.27046862]
   [0.5728822  0.53527266 0.33255956]
   [0.5796327  0.5262324  0.34091967]
   [0.61059874 0.50793165 0.5245014 ]
   [0.6159329  0.5160498  0.5131116 ]
   [0.6335764  0.42156273 0.26920426]
   [0.70990634 0.5195127  0.3992478 ]
   [0.6226183  0.3569944  0.44769165]
   [0.7982399  0.50470054 0.5450154 ]]]]"
9,Warrior_III_Pose_or_Virabhadrasana_III__image_132.jpg,"[[[[0.42258966 0.7285775  0.73110306]
   [0.41584688 0.7341052  0.64540744]
   [0.40975547 0.73076713 0.7148641 ]
   [0.38575125 0.71950954 0.58315873]
   [0.37642974 0.71392024 0.62015945]
   [0.38088655 0.6804937  0.8100576 ]
   [0.366192   0.66528785 0.8707548 ]
   [0.40571603 0.7888091  0.57992893]
   [0.40194103 0.7927148  0.50420046]
   [0.40685377 0.87765986 0.38192853]
   [0.40373036 0.8938538  0.71798944]
   [0.40729684 0.4772392  0.6543772 ]
   [0.3734866  0.46321684 0.7399712 ]
   [0.57873106 0.46918744 0.670668  ]
   [0.3473694  0.30148408 0.87955266]
   [0.71066725 0.4816186  0.8371873 ]
   [0.326231   0.16109619 0.913903  ]]]]"
