,image,score
0,Warrior_II_Pose_or_Virabhadrasana_II__image_13.jpg,"[[[[0.3366469  0.33185685 0.7415393 ]
   [0.3186227  0.3411669  0.6335208 ]
   [0.31759325 0.34126163 0.6802601 ]
   [0.3284248  0.37945268 0.790355  ]
   [0.3281887  0.37563035 0.5475347 ]
   [0.4025096  0.4464481  0.7811568 ]
   [0.4141814  0.32921714 0.83203703]
   [0.4075992  0.55831903 0.8085143 ]
   [0.4153789  0.24432069 0.6252601 ]
   [0.4119106  0.667805   0.8279228 ]
   [0.4045737  0.15543182 0.35786757]
   [0.6243453  0.43408918 0.8261706 ]
   [0.62398964 0.35804507 0.77461636]
   [0.7406619  0.55208296 0.91374326]
   [0.6839347  0.21560436 0.9151453 ]
   [0.8506912  0.6701806  0.64912164]
   [0.8545565  0.18745403 0.7482153 ]]]]"
1,Warrior_II_Pose_or_Virabhadrasana_II__image_85.jpg,"[[[[0.36297718 0.36199734 0.7355676 ]
   [0.34490165 0.37825412 0.6933933 ]
   [0.34559646 0.37135914 0.67132604]
   [0.34389862 0.43317002 0.6597721 ]
   [0.34928986 0.40931422 0.773456  ]
   [0.4203664  0.53986186 0.8632135 ]
   [0.4401141  0.35558933 0.8433372 ]
   [0.4403384  0.67092115 0.77277255]
   [0.46280497 0.24608105 0.7827673 ]
   [0.4339844  0.8112803  0.88156664]
   [0.43914124 0.13497196 0.89459187]
   [0.67849976 0.53601676 0.8011638 ]
   [0.6816531  0.42301035 0.90879744]
   [0.75426495 0.63404197 0.04840215]
   [0.7385467  0.2417245  0.8999125 ]
   [0.7586002  0.64119273 0.00171065]
   [0.7372153  0.25299913 0.00627514]]]]"
2,Warrior_II_Pose_or_Virabhadrasana_II__image_36.jpg,"[[[[0.30829906 0.33369264 0.4107496 ]
   [0.29712713 0.32595956 0.46346   ]
   [0.29515558 0.30969626 0.6091627 ]
   [0.264123   0.34958667 0.13444075]
   [0.30693737 0.25980517 0.7136369 ]
   [0.38125047 0.31560916 0.26858124]
   [0.355219   0.2987113  0.2631346 ]
   [0.19553141 0.75227606 0.3358372 ]
   [0.39130804 0.3688731  0.15591344]
   [0.19793768 0.8249449  0.21194077]
   [0.38248515 0.36470202 0.07435207]
   [0.61741805 0.30720922 0.49954864]
   [0.63172233 0.2135565  0.6340504 ]
   [0.68126273 0.47020942 0.53127223]
   [0.687438   0.4590575  0.18237261]
   [0.8642028  0.5040529  0.53916734]
   [0.7559622  0.6181737  0.48916468]]]]"
3,Warrior_II_Pose_or_Virabhadrasana_II__image_86.jpg,"[[[[0.3716379  0.2710107  0.46145326]
   [0.36665827 0.2746926  0.5713293 ]
   [0.36400664 0.26399022 0.428806  ]
   [0.37162104 0.26590258 0.12838201]
   [0.36972606 0.23474975 0.5094189 ]
   [0.41414154 0.2764017  0.47536528]
   [0.4127171  0.21078886 0.5996049 ]
   [0.42132983 0.3320985  0.261338  ]
   [0.4230785  0.14824279 0.3649727 ]
   [0.4188206  0.4062662  0.34079668]
   [0.41840297 0.11125682 0.2613266 ]
   [0.5418639  0.2512632  0.5884875 ]
   [0.54080397 0.20179188 0.69160664]
   [0.5766363  0.3421149  0.4447123 ]
   [0.6125929  0.13707162 0.48236534]
   [0.6865844  0.3495244  0.40727898]
   [0.6756299  0.06621303 0.4113979 ]]]]"
4,Warrior_II_Pose_or_Virabhadrasana_II__image_63.jpg,"[[[[0.366285   0.5814118  0.7178747 ]
   [0.353978   0.5946515  0.5558457 ]
   [0.35621807 0.5718165  0.75615585]
   [0.3578381  0.617004   0.7007852 ]
   [0.36172688 0.5706236  0.443746  ]
   [0.41577876 0.63406307 0.81088835]
   [0.40461132 0.574082   0.5219    ]
   [0.46947137 0.636064   0.52104765]
   [0.45385197 0.5969265  0.2699971 ]
   [0.41197369 0.5898415  0.43576908]
   [0.3998697  0.5769688  0.25997627]
   [0.5712634  0.6066343  0.6379438 ]
   [0.563403   0.5625827  0.5758987 ]
   [0.6796704  0.5728417  0.35685351]
   [0.6663623  0.58093405 0.56542534]
   [0.83771133 0.5723876  0.65496796]
   [0.72579354 0.62348545 0.54762506]]]]"
5,Warrior_II_Pose_or_Virabhadrasana_II__image_4.jpg,"[[[[0.42125207 0.69327646 0.6347439 ]
   [0.41585416 0.70276684 0.63344747]
   [0.41440767 0.6934001  0.6794185 ]
   [0.42530498 0.72256    0.6381669 ]
   [0.42494604 0.6972618  0.3252818 ]
   [0.4592336  0.7441757  0.6635058 ]
   [0.45785666 0.6742333  0.5432462 ]
   [0.4564361  0.79989433 0.5003048 ]
   [0.45556968 0.6137459  0.33882242]
   [0.44786996 0.8627049  0.38959956]
   [0.45455495 0.56200856 0.27047172]
   [0.5711659  0.7356462  0.6418484 ]
   [0.5737222  0.6950563  0.50130963]
   [0.6449553  0.7947025  0.5288114 ]
   [0.6154612  0.61755484 0.5516334 ]
   [0.7093587  0.85863584 0.4421406 ]
   [0.71109605 0.6283135  0.46608984]]]]"
6,Warrior_II_Pose_or_Virabhadrasana_II__image_59.jpg,"[[[[0.17174014 0.56044257 0.497683  ]
   [0.1533855  0.56076396 0.46552765]
   [0.15530667 0.54356664 0.65858847]
   [0.14848036 0.5494342  0.53009886]
   [0.15468715 0.50088453 0.5210229 ]
   [0.23819126 0.6017225  0.4311407 ]
   [0.26123387 0.40719658 0.30823702]
   [0.31116    0.6163467  0.0257837 ]
   [0.2833278  0.24816309 0.4446444 ]
   [0.25633907 0.66894555 0.00584953]
   [0.26185718 0.12562293 0.23721458]
   [0.53622013 0.5385727  0.39924386]
   [0.53552383 0.40866116 0.643393  ]
   [0.58780164 0.76822853 0.48149306]
   [0.7186266  0.278564   0.51835364]
   [0.859073   0.7911052  0.5024866 ]
   [0.8690296  0.08786549 0.22292954]]]]"
7,Warrior_II_Pose_or_Virabhadrasana_II__image_91.jpg,"[[[[0.2874291  0.5170372  0.72711885]
   [0.27608702 0.507859   0.9086075 ]
   [0.27756327 0.49952352 0.72964126]
   [0.2870344  0.47700006 0.8519711 ]
   [0.2944271  0.46224582 0.85407406]
   [0.35324508 0.5431983  0.8260017 ]
   [0.36426806 0.40732315 0.82620627]
   [0.34250012 0.6402567  0.7336498 ]
   [0.3597577  0.28950003 0.948355  ]
   [0.3384836  0.7525773  0.95412993]
   [0.3596692  0.18250275 0.81321853]
   [0.55410457 0.5290806  0.8119968 ]
   [0.5580241  0.44590232 0.8961848 ]
   [0.5902905  0.680105   0.89198375]
   [0.6648603  0.3176668  0.84644693]
   [0.75637805 0.6991178  0.7176407 ]
   [0.7537187  0.17687856 0.77247554]]]]"
8,Warrior_II_Pose_or_Virabhadrasana_II__image_157.jpg,"[[[[0.2744556  0.48850974 0.8419225 ]
   [0.26349318 0.50661856 0.826673  ]
   [0.26090336 0.4992059  0.7802674 ]
   [0.27111226 0.556224   0.7729334 ]
   [0.26694483 0.53704286 0.6194201 ]
   [0.34751007 0.6150068  0.9382152 ]
   [0.31990445 0.47371492 0.88963735]
   [0.36271214 0.7381291  0.65484613]
   [0.3355801  0.36318776 0.7273928 ]
   [0.37560305 0.84203094 0.6440281 ]
   [0.340435   0.23037872 0.88691866]
   [0.57690614 0.5985995  0.94307524]
   [0.57558584 0.49750254 0.8611714 ]
   [0.67095095 0.7439278  0.85586745]
   [0.6510629  0.3661047  0.85995823]
   [0.7676994  0.8449397  0.93624085]
   [0.7919568  0.39729252 0.9414152 ]]]]"
9,Warrior_II_Pose_or_Virabhadrasana_II__image_158.jpg,"[[[[0.24934265 0.53201556 0.6058161 ]
   [0.23490642 0.5313439  0.6027322 ]
   [0.23315847 0.5195617  0.76966566]
   [0.23774749 0.5025695  0.8130521 ]
   [0.24037781 0.47732845 0.9307299 ]
   [0.32381994 0.54476625 0.85020435]
   [0.3284309  0.41950846 0.8294795 ]
   [0.31673327 0.6499011  0.9198626 ]
   [0.31385496 0.30232814 0.93301964]
   [0.3021079  0.76317406 0.8508191 ]
   [0.30551538 0.19488552 0.8625217 ]
   [0.5205193  0.5210963  0.77705616]
   [0.5178807  0.42800972 0.84142274]
   [0.55592155 0.68943727 0.9564898 ]
   [0.6402807  0.30642217 0.9319918 ]
   [0.7428281  0.69565773 0.83183557]
   [0.7446405  0.15617065 0.86500126]]]]"
