,image,score
0,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana__image_135.jpg,"[[[[0.5256792  0.36537006 0.69489294]
   [0.51820135 0.37778234 0.5285374 ]
   [0.5219273  0.34734103 0.67830974]
   [0.46977317 0.42271152 0.72899747]
   [0.47020492 0.3513043  0.50361997]
   [0.4353539  0.510939   0.6279784 ]
   [0.41413555 0.34539133 0.77383804]
   [0.55273336 0.42757025 0.78356576]
   [0.48622414 0.27342185 0.46639436]
   [0.5924762  0.30362278 0.8077801 ]
   [0.5358774  0.1389683  0.5522961 ]
   [0.37968734 0.61642647 0.6465216 ]
   [0.36547112 0.50183177 0.37126246]
   [0.49003983 0.73667145 0.8920609 ]
   [0.4603362  0.31844568 0.4463762 ]
   [0.5478371  0.8893718  0.851161  ]
   [0.54508185 0.13726333 0.35822096]]]]"
1,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana__image_33.jpg,"[[[[0.5090886  0.48510417 0.74600965]
   [0.49086055 0.5051415  0.62459964]
   [0.49818873 0.4712081  0.4425711 ]
   [0.47153533 0.5194157  0.5547732 ]
   [0.4724915  0.45097077 0.563584  ]
   [0.43566352 0.5305559  0.39080438]
   [0.43418232 0.41371557 0.43121234]
   [0.40905288 0.6420249  0.49957144]
   [0.40524784 0.3410523  0.64969957]
   [0.40569472 0.71077657 0.37883252]
   [0.4056319  0.26709548 0.50929797]
   [0.39012468 0.5152253  0.6261564 ]
   [0.39045662 0.4474918  0.6570465 ]
   [0.48627532 0.53278863 0.11505087]
   [0.3979435  0.3500085  0.58736235]
   [0.49528244 0.52833456 0.30818346]
   [0.5132279  0.47045642 0.209869  ]]]]"
2,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana__image_113.jpg,"[[[[0.31122735 0.7312811  0.6493212 ]
   [0.29272774 0.72490454 0.8505224 ]
   [0.2940146  0.712867   0.8636473 ]
   [0.29542947 0.6749873  0.5570658 ]
   [0.3022362  0.6467851  0.87851906]
   [0.38354582 0.64891446 0.8304702 ]
   [0.39299294 0.5768994  0.8482026 ]
   [0.5190914  0.6290376  0.83738315]
   [0.57948995 0.52173096 0.93388903]
   [0.5857431  0.7178321  0.6912752 ]
   [0.62499434 0.68164223 0.4890159 ]
   [0.5039023  0.40273955 0.8292739 ]
   [0.5121173  0.36210793 0.8429386 ]
   [0.61830807 0.44100112 0.10540219]
   [0.6219177  0.3258875  0.56051123]
   [0.6182439  0.3096672  0.16568717]
   [0.74100065 0.283081   0.6562123 ]]]]"
3,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana__image_28.jpg,"[[[[0.5606603  0.48398972 0.81645834]
   [0.5366093  0.50564146 0.7443386 ]
   [0.5373087  0.46418154 0.7766269 ]
   [0.52621615 0.5403384  0.48969713]
   [0.5298519  0.44947693 0.43867573]
   [0.5502773  0.57872105 0.6671042 ]
   [0.5377049  0.42433196 0.53375477]
   [0.5624258  0.71339655 0.7617076 ]
   [0.5577533  0.28879598 0.87178713]
   [0.5644907  0.8579052  0.51986176]
   [0.55609185 0.11954323 0.71770483]
   [0.5262331  0.60236907 0.46030322]
   [0.49741676 0.4854138  0.45966095]
   [0.5495056  0.71004474 0.3095977 ]
   [0.5187126  0.4372881  0.11423372]
   [0.5620983  0.8626447  0.14972046]
   [0.5647464  0.1046412  0.16267817]]]]"
4,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana__image_105.jpg,"[[[[0.2665658  0.46254262 0.75535566]
   [0.24744676 0.4836704  0.6759468 ]
   [0.24436335 0.44813806 0.89726436]
   [0.26081085 0.5071815  0.85454947]
   [0.25314742 0.42939714 0.8090442 ]
   [0.33640438 0.5532546  0.6410448 ]
   [0.34815794 0.38845974 0.774214  ]
   [0.45948932 0.5254621  0.6905524 ]
   [0.46004722 0.4491579  0.73263514]
   [0.34350657 0.5050345  0.5065584 ]
   [0.44550508 0.5066602  0.30640888]
   [0.4306488  0.5287304  0.74234563]
   [0.43460083 0.42879814 0.70879495]
   [0.44422713 0.70745564 0.912153  ]
   [0.4398364  0.28511822 0.7736728 ]
   [0.45087433 0.899858   0.8955479 ]
   [0.46527392 0.08592823 0.9065345 ]]]]"
5,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana__image_80.jpg,"[[[[0.55712837 0.48770556 0.68656343]
   [0.5422774  0.510779   0.6827912 ]
   [0.54063034 0.47277752 0.6287638 ]
   [0.5175223  0.5385749  0.54113543]
   [0.520123   0.44882262 0.4499686 ]
   [0.5182602  0.5696362  0.6997681 ]
   [0.5187073  0.40474916 0.47468707]
   [0.5948038  0.7235563  0.60252714]
   [0.57703155 0.25820008 0.58892435]
   [0.60376287 0.5640574  0.73897463]
   [0.5888144  0.40531912 0.6017714 ]
   [0.5153947  0.54923844 0.6760732 ]
   [0.5139682  0.4036844  0.45294052]
   [0.57568216 0.72063845 0.69985384]
   [0.56359345 0.2485278  0.2806533 ]
   [0.5836593  0.5673651  0.23379147]
   [0.5589279  0.06517415 0.84674346]]]]"
6,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana__image_58.jpg,"[[[[0.87322146 0.50453025 0.45552546]
   [0.857103   0.5210909  0.5368757 ]
   [0.86268216 0.47988555 0.49621278]
   [0.82068425 0.55238247 0.38393435]
   [0.81779987 0.44563496 0.6083141 ]
   [0.75963366 0.58357525 0.66389763]
   [0.7692486  0.41123903 0.508836  ]
   [0.7635405  0.7223189  0.7802171 ]
   [0.7637997  0.2693106  0.7538466 ]
   [0.7444067  0.85464704 0.45280883]
   [0.74689835 0.1419323  0.41258058]
   [0.78006846 0.57926995 0.5513596 ]
   [0.78716445 0.4349944  0.33809248]
   [0.7827658  0.60827523 0.11185775]
   [0.7860014  0.4178904  0.05755953]
   [0.80408055 0.92200524 0.25796366]
   [0.8076005  0.07267667 0.22051905]]]]"
7,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana__image_148.jpg,"[[[[0.54831463 0.5013224  0.59657675]
   [0.53587323 0.5216274  0.64875394]
   [0.53937423 0.48582777 0.46882463]
   [0.48876888 0.557383   0.67970294]
   [0.49792427 0.45338497 0.55360866]
   [0.4417798  0.57911456 0.76886743]
   [0.44445857 0.40828285 0.522868  ]
   [0.5164999  0.64434654 0.6480422 ]
   [0.5037825  0.36862183 0.6266918 ]
   [0.5704374  0.65687835 0.6242915 ]
   [0.5727748  0.34263295 0.8131686 ]
   [0.40601006 0.55807996 0.4939349 ]
   [0.4097064  0.43380797 0.661358  ]
   [0.45978838 0.66201425 0.56834006]
   [0.45767394 0.35424235 0.57970494]
   [0.4918749  0.9032899  0.8722909 ]
   [0.49257457 0.08737927 0.8500165 ]]]]"
8,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana__image_108.jpg,"[[[[0.55040413 0.4730568  0.41948643]
   [0.55066085 0.49372846 0.3802924 ]
   [0.55403876 0.45283392 0.35568035]
   [0.51577955 0.53241813 0.26247573]
   [0.52971905 0.43144944 0.46649593]
   [0.48561937 0.57977474 0.6386577 ]
   [0.48369145 0.40073812 0.5758523 ]
   [0.58452684 0.68871826 0.6195974 ]
   [0.56937873 0.31937385 0.7127538 ]
   [0.62244076 0.58356345 0.6139824 ]
   [0.6125378  0.39634874 0.8235615 ]
   [0.48663187 0.5636111  0.80481875]
   [0.46741125 0.44451275 0.5086415 ]
   [0.5483404  0.7040068  0.552277  ]
   [0.54223436 0.3858405  0.10987554]
   [0.57886004 0.92396384 0.4713913 ]
   [0.5961252  0.408889   0.16924804]]]]"
9,Wide-Angle_Seated_Forward_Bend_pose_or_Upavistha_Konasana__image_24.jpg,"[[[[0.46249196 0.52797467 0.6013007 ]
   [0.45086965 0.52100265 0.41251484]
   [0.4502485  0.54256916 0.42891672]
   [0.45965493 0.5044247  0.5644642 ]
   [0.46226084 0.55355823 0.55736005]
   [0.5176525  0.45254323 0.5729897 ]
   [0.52106684 0.5833967  0.58085424]
   [0.42630064 0.37915275 0.63726324]
   [0.4323715  0.651947   0.79819363]
   [0.32520753 0.30142808 0.8342468 ]
   [0.33723614 0.73656493 0.7484955 ]
   [0.74417835 0.48896423 0.72198784]
   [0.74200666 0.53062433 0.78332734]
   [0.63344264 0.3665919  0.32311442]
   [0.6432811  0.7177202  0.56342447]
   [0.3271561  0.3043495  0.41076073]
   [0.5927248  0.8997928  0.3543597 ]]]]"
