,image,score
0,Wind_Relieving_pose_or_Pawanmuktasana_image_91.jpg,"[[[[0.61716455 0.7387447  0.7375322 ]
   [0.6407095  0.7614767  0.6303535 ]
   [0.6364794  0.758523   0.77314115]
   [0.70155835 0.7534899  0.656822  ]
   [0.6914632  0.7523085  0.6252406 ]
   [0.6905829  0.6820577  0.6599534 ]
   [0.67839074 0.66129655 0.74126524]
   [0.57031447 0.6087085  0.17613772]
   [0.5779671  0.5641662  0.2810394 ]
   [0.4789833  0.6132384  0.448767  ]
   [0.46633014 0.5621482  0.24900529]
   [0.6651332  0.3600715  0.80081224]
   [0.6473469  0.34978732 0.8441183 ]
   [0.5003504  0.61962974 0.75810134]
   [0.5630279  0.5538254  0.24314743]
   [0.4642822  0.36356336 0.7956995 ]
   [0.46323133 0.36619282 0.7151446 ]]]]"
1,Wind_Relieving_pose_or_Pawanmuktasana_image_59.jpg,"[[[[0.4612602  0.23864919 0.7272088 ]
   [0.45086887 0.22465074 0.71335775]
   [0.46543834 0.21789527 0.6593369 ]
   [0.47949597 0.20535268 0.5117003 ]
   [0.5153168  0.18395549 0.5544286 ]
   [0.47421217 0.26999515 0.4872066 ]
   [0.5800669  0.20878647 0.8599171 ]
   [0.46521133 0.38184315 0.25533056]
   [0.65007895 0.34696203 0.6473781 ]
   [0.4659615  0.47915003 0.20220558]
   [0.5172398  0.37363908 0.34180477]
   [0.5513926  0.4666946  0.64669496]
   [0.61423707 0.4263491  0.518292  ]
   [0.4927199  0.62628263 0.45404547]
   [0.481564   0.3352288  0.378181  ]
   [0.4083122  0.82109797 0.84823895]
   [0.4710907  0.47546372 0.22585106]]]]"
2,Wind_Relieving_pose_or_Pawanmuktasana_image_4.jpg,"[[[[0.5717583  0.73194903 0.7238508 ]
   [0.5884877  0.75604844 0.832561  ]
   [0.5838258  0.7541724  0.66015923]
   [0.6531687  0.76707286 0.59136856]
   [0.64033604 0.76364696 0.5268484 ]
   [0.6626014  0.6537585  0.7752696 ]
   [0.62989694 0.6354364  0.641286  ]
   [0.5140614  0.5562054  0.15263495]
   [0.49612316 0.53973824 0.46552706]
   [0.44292003 0.5496775  0.32783288]
   [0.4299322  0.5265683  0.45178115]
   [0.65512556 0.27662158 0.7841952 ]
   [0.62864786 0.2727259  0.86946297]
   [0.46201333 0.557229   0.54813904]
   [0.4772866  0.53542304 0.4606387 ]
   [0.44871336 0.26682457 0.80469   ]
   [0.4458149  0.27356288 0.62869745]]]]"
3,Wind_Relieving_pose_or_Pawanmuktasana_image_116.jpg,"[[[[0.7126057  0.25421438 0.52984154]
   [0.7123413  0.23110731 0.3877037 ]
   [0.72412336 0.2314947  0.4334772 ]
   [0.75539917 0.2319676  0.26878828]
   [0.7795104  0.2320355  0.3735496 ]
   [0.75622773 0.32350627 0.5271003 ]
   [0.78863245 0.3399178  0.38013163]
   [0.6851878  0.4903462  0.19351672]
   [0.7417274  0.49033952 0.33517134]
   [0.6261195  0.56542253 0.2796993 ]
   [0.63238853 0.48648447 0.5911863 ]
   [0.730836   0.60283047 0.31413597]
   [0.759687   0.5921237  0.34653082]
   [0.76773864 0.67918307 0.17477927]
   [0.7769823  0.6690073  0.2385708 ]
   [0.77926487 0.8452247  0.46651265]
   [0.7874473  0.79929525 0.21142559]]]]"
4,Wind_Relieving_pose_or_Pawanmuktasana_image_6.jpg,"[[[[0.30076522 0.39140418 0.5299077 ]
   [0.2921331  0.37144005 0.4410635 ]
   [0.29666469 0.36835665 0.5113075 ]
   [0.33078593 0.32747793 0.70090044]
   [0.33814406 0.32315293 0.7290214 ]
   [0.39513358 0.3736214  0.6325638 ]
   [0.43893403 0.34334877 0.63375676]
   [0.28430292 0.46049303 0.3366957 ]
   [0.29517677 0.4643357  0.4365351 ]
   [0.20410053 0.49188924 0.30102095]
   [0.20337333 0.48488116 0.4015449 ]
   [0.4265928  0.7138459  0.76871765]
   [0.46772897 0.7178034  0.67662734]
   [0.2350842  0.4434996  0.37125012]
   [0.26337743 0.43107876 0.55205834]
   [0.2621931  0.7021546  0.8141175 ]
   [0.2628327  0.7051848  0.6022759 ]]]]"
5,Wind_Relieving_pose_or_Pawanmuktasana_image_18.jpg,"[[[[0.5868069  0.08432663 0.88090867]
   [0.6184314  0.07124481 0.67051786]
   [0.632164   0.0776823  0.6411427 ]
   [0.6865148  0.13921867 0.7351074 ]
   [0.7027975  0.15426072 0.61165416]
   [0.58443326 0.2619229  0.66202563]
   [0.7086607  0.33618584 0.7583005 ]
   [0.5142573  0.5370021  0.4703435 ]
   [0.5352889  0.5543293  0.8466395 ]
   [0.24975821 0.51197493 0.34482217]
   [0.25607607 0.54073286 0.7876059 ]
   [0.55422854 0.7216334  0.7834069 ]
   [0.6092703  0.7633909  0.59968984]
   [0.30842242 0.44442186 0.7047917 ]
   [0.33954835 0.4490883  0.5863234 ]
   [0.3177391  0.85890424 0.52154833]
   [0.3372268  0.86774623 0.7966104 ]]]]"
6,Wind_Relieving_pose_or_Pawanmuktasana_image_14.jpg,"[[[[0.56275004 0.381301   0.58658814]
   [0.54212683 0.3674448  0.6777535 ]
   [0.54634    0.3578407  0.48417062]
   [0.5502936  0.28051102 0.62425005]
   [0.55991167 0.2683186  0.75542694]
   [0.62081105 0.31481144 0.48438558]
   [0.6744034  0.25723746 0.87519085]
   [0.5338249  0.47638765 0.1719567 ]
   [0.59170896 0.49741098 0.8148844 ]
   [0.41023502 0.4882478  0.6048165 ]
   [0.4071714  0.48520175 0.59933233]
   [0.711859   0.69086087 0.522212  ]
   [0.73388195 0.71152025 0.7830212 ]
   [0.45647228 0.4350602  0.603832  ]
   [0.45804375 0.44150457 0.5942244 ]
   [0.5175897  0.76272976 0.5978182 ]
   [0.5266822  0.76914394 0.808877  ]]]]"
7,Wind_Relieving_pose_or_Pawanmuktasana_image_15.jpg,"[[[[0.4778772  0.20268981 0.7487416 ]
   [0.50228333 0.1753112  0.71106   ]
   [0.5104189  0.17602603 0.7493152 ]
   [0.58078897 0.19109663 0.6801522 ]
   [0.5966565  0.1913275  0.75725883]
   [0.5339908  0.33348706 0.63606846]
   [0.58561814 0.2950997  0.77792275]
   [0.48873675 0.542855   0.48086804]
   [0.5159946  0.5487755  0.8717952 ]
   [0.34892106 0.67389584 0.5321532 ]
   [0.34624705 0.68388015 0.5032618 ]
   [0.57479084 0.74172705 0.88445675]
   [0.61154747 0.7440675  0.7876434 ]
   [0.333927   0.44071412 0.6324393 ]
   [0.33170483 0.42257905 0.7295931 ]
   [0.3821643  0.7956443  0.6149968 ]
   [0.38413635 0.77629787 0.506727  ]]]]"
8,Wind_Relieving_pose_or_Pawanmuktasana_image_9.jpg,"[[[[0.4880709  0.61510617 0.7394863 ]
   [0.48193294 0.6334817  0.57588047]
   [0.47902814 0.62855494 0.6681029 ]
   [0.5079702  0.6743039  0.8038307 ]
   [0.5011105  0.66661274 0.5883537 ]
   [0.5862191  0.6338131  0.5288076 ]
   [0.54044396 0.62160134 0.58333033]
   [0.52576137 0.50608987 0.6467209 ]
   [0.51575875 0.5108994  0.47529116]
   [0.43274957 0.4900447  0.61023724]
   [0.43975496 0.49244606 0.4966203 ]
   [0.5928101  0.34592572 0.5527756 ]
   [0.57460064 0.35421285 0.54245913]
   [0.48235297 0.52390367 0.12829489]
   [0.51780546 0.5067838  0.23206738]
   [0.45295683 0.35897008 0.40812293]
   [0.45264143 0.36274645 0.34346867]]]]"
9,Wind_Relieving_pose_or_Pawanmuktasana_image_62.jpg,"[[[[5.4329735e-01 8.9699715e-01 1.4332125e-02]
   [5.3926861e-01 8.9291495e-01 9.3852505e-03]
   [6.3732195e-01 9.7327328e-01 9.2912829e-03]
   [4.4942197e-01 1.0386330e-01 1.8573436e-03]
   [4.6408686e-01 1.0339233e-01 9.4557536e-04]
   [3.8230219e-01 2.0646849e-01 6.7691449e-03]
   [5.6772751e-01 1.4110593e-01 3.1567324e-02]
   [5.0628793e-01 3.0540764e-01 5.9391636e-02]
   [5.1401842e-01 2.6747143e-01 3.8052421e-02]
   [5.3441954e-01 3.0960062e-01 6.3881077e-02]
   [5.4031783e-01 2.2177489e-01 7.9867616e-02]
   [4.1298351e-01 3.8978612e-01 1.2907290e-01]
   [4.4371298e-01 4.3021470e-01 1.2770753e-01]
   [5.7216698e-01 5.6407225e-01 1.9791906e-01]
   [5.7555372e-01 5.7339066e-01 3.5257345e-01]
   [5.5631155e-01 8.1122977e-01 1.9597414e-01]
   [5.5448544e-01 8.1266850e-01 1.9487822e-01]]]]"
