,image,score
0,Yogic_sleep_pose_image_2.jpg,"[[[[0.00844819 0.34723264 0.03510581]
   [0.6802276  0.42991862 0.0107578 ]
   [0.5080329  0.7698527  0.012719  ]
   [0.7558989  0.5255642  0.01553407]
   [0.43727344 0.7669895  0.01468096]
   [0.29638952 0.69398624 0.02805068]
   [0.3432967  0.7666489  0.05854178]
   [0.86854357 0.58808154 0.02745084]
   [0.3561304  0.7681112  0.06387775]
   [0.49340743 0.37774998 0.02600677]
   [0.35143813 0.76596195 0.07920219]
   [0.64654136 0.43368402 0.0123393 ]
   [0.63096374 0.43643776 0.00897228]
   [0.85692966 0.69646406 0.1021857 ]
   [0.26316494 0.42004922 0.06120284]
   [0.8660002  0.6879782  0.07946698]
   [0.8544268  0.5536801  0.04735586]]]]"
1,Yogic_sleep_pose_image_1.jpg,"[[[[0.72194314 0.7808528  0.35422662]
   [0.7210187  0.7990384  0.25593117]
   [0.7137167  0.7959487  0.26918614]
   [0.7592318  0.84161276 0.2391912 ]
   [0.7461353  0.8373598  0.20951432]
   [0.80856127 0.8190424  0.36556888]
   [0.7921519  0.79850394 0.2946998 ]
   [0.74517864 0.7589951  0.18874589]
   [0.74177384 0.7549844  0.17699163]
   [0.73940676 0.76616603 0.1882489 ]
   [0.7370036  0.7627921  0.17880493]
   [0.85410976 0.657536   0.18566194]
   [0.8236269  0.6274487  0.24435154]
   [0.89653987 0.6774493  0.28165323]
   [0.76575726 0.58965313 0.20241544]
   [0.6712987  0.52178377 0.17132692]
   [0.67039365 0.51855856 0.14201248]]]]"
2,Yogic_sleep_pose_image_47.jpg,"[[[[0.28486848 0.6613179  0.7368944 ]
   [0.31037226 0.7142263  0.6724941 ]
   [0.2796675  0.68822294 0.6861225 ]
   [0.41195092 0.7222199  0.5742658 ]
   [0.33560687 0.6815909  0.49991643]
   [0.48358768 0.5925222  0.8014312 ]
   [0.37561324 0.50892335 0.5688164 ]
   [0.720665   0.37650278 0.9298274 ]
   [0.38671187 0.35894027 0.4224555 ]
   [0.5974852  0.18292043 0.12394902]
   [0.5735284  0.15935063 0.64380413]
   [0.57441837 0.26319483 0.07944087]
   [0.475563   0.19615535 0.20288213]
   [0.39250726 0.47012866 0.16085096]
   [0.2821458  0.18297185 0.460665  ]
   [0.3507665  0.46781096 0.24814038]
   [0.57746184 0.15099509 0.13800631]]]]"
3,Yogic_sleep_pose_image_17.jpg,"[[[[0.32617006 0.61076754 0.5598089 ]
   [0.29217938 0.6215903  0.771895  ]
   [0.28992385 0.5720761  0.89977986]
   [0.30165616 0.5996344  0.5418233 ]
   [0.30096254 0.49352518 0.79224837]
   [0.42916605 0.6789508  0.7376623 ]
   [0.43573594 0.40610343 0.6294527 ]
   [0.5707176  0.5581013  0.12467327]
   [0.63251275 0.4130618  0.7008877 ]
   [0.41987062 0.48529804 0.33275306]
   [0.4505007  0.45395452 0.29335326]
   [0.82132876 0.5575828  0.6443404 ]
   [0.8177537  0.41378698 0.6190837 ]
   [0.43122903 0.6811827  0.41179022]
   [0.4340879  0.22875085 0.74777204]
   [0.6274197  0.4692533  0.13157082]
   [0.4524992  0.2269627  0.07071429]]]]"
4,Yogic_sleep_pose_image_50.jpg,"[[[[0.5257389  0.42652708 0.4530302 ]
   [0.5412321  0.3980167  0.6720832 ]
   [0.55539817 0.41642246 0.648606  ]
   [0.584235   0.37271655 0.34188065]
   [0.6364657  0.42682832 0.33104694]
   [0.5250025  0.39938343 0.46365216]
   [0.6483604  0.58708584 0.61774284]
   [0.46882713 0.40115085 0.68472546]
   [0.5720031  0.7258153  0.6457568 ]
   [0.49106693 0.3821405  0.29810587]
   [0.56237006 0.7247964  0.4154617 ]
   [0.40033686 0.58960736 0.49075764]
   [0.43830663 0.6843613  0.63707525]
   [0.4751435  0.41930726 0.54851305]
   [0.49620026 0.54821825 0.05015504]
   [0.51254797 0.38564628 0.2175997 ]
   [0.54258215 0.6986975  0.18001406]]]]"
5,Yogic_sleep_pose_image_28.jpg,"[[[[0.57486147 0.42503056 0.48625147]
   [0.56396085 0.4214671  0.41322798]
   [0.5658276  0.4136341  0.36558378]
   [0.5630829  0.4108278  0.26633567]
   [0.5711391  0.3914283  0.40580076]
   [0.5952161  0.42339778 0.40437683]
   [0.6098663  0.39143437 0.34671536]
   [0.60490406 0.4040769  0.12531641]
   [0.6595672  0.38036376 0.23411907]
   [0.55138654 0.35458112 0.31006783]
   [0.6113633  0.37222624 0.17156248]
   [0.6622102  0.4445303  0.2682539 ]
   [0.66191417 0.42839342 0.38413128]
   [0.5829994  0.541458   0.5231501 ]
   [0.5861432  0.5472124  0.6090357 ]
   [0.5979635  0.38874364 0.2019776 ]
   [0.5645736  0.3665742  0.2631258 ]]]]"
6,Yogic_sleep_pose_image_7.jpg,"[[[[0.2722397  0.5649982  0.83012664]
   [0.2409942  0.6146169  0.95080537]
   [0.23014778 0.55428225 0.6625784 ]
   [0.27241895 0.70500696 0.81075686]
   [0.24157193 0.5618794  0.64204717]
   [0.34248942 0.8239458  0.76990634]
   [0.3672801  0.43303263 0.90299046]
   [0.41725183 0.9083861  0.74955356]
   [0.43836343 0.1804272  0.5888703 ]
   [0.58717394 0.9107167  0.7349552 ]
   [0.4668411  0.0131098  0.09908506]
   [0.77638257 0.70331717 0.33239216]
   [0.8019664  0.43926445 0.6633021 ]
   [0.41880053 0.71719694 0.22384138]
   [0.4787992  0.3347029  0.60851276]
   [0.59898907 0.29621127 0.08394907]
   [0.59968454 0.30119574 0.02711163]]]]"
7,Yogic_sleep_pose_image_34.jpg,"[[[[0.5570349  0.68683994 0.40275452]
   [0.5571612  0.6991349  0.572078  ]
   [0.55793864 0.696217   0.54177344]
   [0.5883049  0.70280725 0.3490745 ]
   [0.5887194  0.7050171  0.4497111 ]
   [0.6245574  0.6600689  0.47500837]
   [0.6177284  0.662975   0.5540855 ]
   [0.64610714 0.57060134 0.36014092]
   [0.6404089  0.56759816 0.4299447 ]
   [0.6564462  0.46612343 0.63535696]
   [0.6508272  0.47062528 0.50568074]
   [0.6161027  0.46451238 0.43497068]
   [0.6131271  0.47365108 0.42117625]
   [0.637388   0.6004842  0.13999666]
   [0.5861647  0.48265857 0.34174606]
   [0.64779687 0.46434978 0.13656674]
   [0.64232874 0.46445474 0.1587451 ]]]]"
8,Yogic_sleep_pose_image_24.jpg,"[[[[0.53443587 0.23735388 0.51381296]
   [0.5220276  0.2252842  0.48937815]
   [0.5298769  0.21548443 0.44544774]
   [0.54753596 0.19026108 0.23085715]
   [0.55633414 0.17394835 0.49742836]
   [0.5991604  0.2427068  0.4255176 ]
   [0.6440254  0.20959564 0.4098373 ]
   [0.45804882 0.26649708 0.6981247 ]
   [0.58563703 0.12399271 0.29897046]
   [0.48251683 0.21156068 0.24028085]
   [0.5881834  0.10946615 0.2593001 ]
   [0.56763816 0.43381643 0.6779578 ]
   [0.5794368  0.43575013 0.618965  ]
   [0.5541842  0.42898467 0.23889552]
   [0.5541426  0.2769546  0.2587876 ]
   [0.5548395  0.39630064 0.04152929]
   [0.5515322  0.36657703 0.04848742]]]]"
9,Yogic_sleep_pose_image_55.jpg,"[[[[0.5550011  0.45218518 0.40704077]
   [0.5488273  0.43830585 0.34043437]
   [0.5520356  0.43038955 0.47720754]
   [0.57164496 0.42262012 0.4673615 ]
   [0.58342105 0.41274235 0.60885245]
   [0.61235213 0.5150806  0.54529643]
   [0.6367869  0.46679935 0.48022673]
   [0.6079106  0.53277713 0.3130409 ]
   [0.65204567 0.38632852 0.23301603]
   [0.5866825  0.41883335 0.2120729 ]
   [0.6491495  0.34192348 0.52056897]
   [0.59650975 0.7810102  0.6788602 ]
   [0.6045879  0.7774305  0.635502  ]
   [0.62022495 0.5440143  0.20612164]
   [0.62961006 0.5529294  0.12786038]
   [0.6029547  0.5822908  0.09506852]
   [0.6087213  0.59924287 0.18562865]]]]"
