,image,score
0,half_boat_pose_22.jpg,"[[[[0.3861514  0.7579934  0.91336983]
   [0.3659988  0.7764305  0.82193065]
   [0.36409166 0.76498014 0.6802873 ]
   [0.3673883  0.8348368  0.9157447 ]
   [0.36634746 0.8151351  0.8354414 ]
   [0.46181786 0.8644549  0.80804855]
   [0.43907404 0.76486385 0.7938982 ]
   [0.48392388 0.7000444  0.818588  ]
   [0.46186215 0.6003989  0.5001975 ]
   [0.4637425  0.54080456 0.7294477 ]
   [0.44405803 0.4847228  0.24228148]
   [0.7330083  0.6853542  0.7202737 ]
   [0.70603704 0.6648123  0.8833454 ]
   [0.49735355 0.54534054 0.38521644]
   [0.47498682 0.50591475 0.5326326 ]
   [0.49670172 0.28364787 0.699268  ]
   [0.48947734 0.29618427 0.81885713]]]]"
1,half_boat_pose_29.jpg,"[[[[0.5320468  0.6651634  0.41842732]
   [0.5288804  0.6848423  0.42761454]
   [0.52313447 0.683639   0.6929616 ]
   [0.5622456  0.715014   0.6272578 ]
   [0.5560692  0.7113727  0.7038084 ]
   [0.61897635 0.68791884 0.8211596 ]
   [0.58809257 0.6661849  0.7245481 ]
   [0.619228   0.56301856 0.45581782]
   [0.59822375 0.5367008  0.4578428 ]
   [0.58569914 0.4704808  0.5162803 ]
   [0.57647777 0.46065077 0.27296507]
   [0.7477882  0.57292664 0.6588774 ]
   [0.72568    0.56314665 0.6025657 ]
   [0.5939343  0.503576   0.31332326]
   [0.58443075 0.49219796 0.36204565]
   [0.58807164 0.4677869  0.2642875 ]
   [0.58156824 0.34114367 0.75173396]]]]"
2,half_boat_pose_14.jpg,"[[[[0.3596264  0.70059526 0.68065697]
   [0.3348009  0.7150315  0.68610275]
   [0.33323318 0.71428806 0.67066854]
   [0.34940246 0.7695879  0.82992476]
   [0.34504026 0.7660707  0.7065471 ]
   [0.47079802 0.79076767 0.8405881 ]
   [0.4205208  0.71410793 0.80866796]
   [0.46282044 0.56252444 0.76092046]
   [0.42035732 0.5495518  0.58669764]
   [0.42655292 0.41512826 0.5367685 ]
   [0.39883494 0.40765348 0.44173333]
   [0.71821153 0.59142965 0.7184312 ]
   [0.6642465  0.57262105 0.6469364 ]
   [0.47599497 0.45932263 0.27587882]
   [0.43299085 0.4680749  0.45451942]
   [0.4057808  0.19458541 0.31714138]
   [0.39027527 0.20020355 0.3727865 ]]]]"
3,half_boat_pose_10.jpg,"[[[[0.30104834 0.33191472 0.57908666]
   [0.28183573 0.3126556  0.75922287]
   [0.2836777  0.31109282 0.7746619 ]
   [0.30090997 0.25375262 0.88258463]
   [0.30454168 0.2527013  0.8528572 ]
   [0.40373975 0.30937204 0.5324259 ]
   [0.42885157 0.23949033 0.7555949 ]
   [0.43931618 0.4824028  0.2625535 ]
   [0.46347436 0.47896096 0.61894476]
   [0.4777452  0.6279321  0.4075726 ]
   [0.4907981  0.6226481  0.63410413]
   [0.70150965 0.41597676 0.8732327 ]
   [0.7164187  0.4053559  0.7816419 ]
   [0.39991534 0.4900613  0.7597938 ]
   [0.40754095 0.47595927 0.6428216 ]
   [0.33658773 0.7613698  0.837405  ]
   [0.334119   0.7552155  0.70336497]]]]"
4,half_boat_pose_24.jpg,"[[[[0.46486843 0.67810774 0.76579356]
   [0.45227978 0.69505787 0.7758543 ]
   [0.45086205 0.69169927 0.7580955 ]
   [0.466101   0.73394006 0.6269701 ]
   [0.46235883 0.72796875 0.7576765 ]
   [0.5447168  0.73336124 0.79209006]
   [0.5321151  0.70696545 0.6682893 ]
   [0.54227835 0.5889194  0.75459015]
   [0.5351732  0.5874992  0.6705802 ]
   [0.53331226 0.5051529  0.4789183 ]
   [0.5298583  0.4896546  0.46972248]
   [0.72872597 0.59378165 0.7072288 ]
   [0.7177149  0.59416056 0.76816064]
   [0.53250045 0.5259491  0.36372733]
   [0.52965266 0.48756403 0.28964135]
   [0.5156824  0.4179232  0.19972178]
   [0.48494148 0.33551633 0.6462125 ]]]]"
5,half_boat_pose_44.jpg,"[[[[0.42897213 0.81891525 0.86160344]
   [0.4150463  0.83842856 0.8855958 ]
   [0.41307598 0.83404654 0.8872326 ]
   [0.4393854  0.8888909  0.74578923]
   [0.43497768 0.8835649  0.79316956]
   [0.52310497 0.873934   0.5249702 ]
   [0.5003325  0.82684654 0.3981531 ]
   [0.52230763 0.68336403 0.6089448 ]
   [0.50356156 0.65131134 0.5113534 ]
   [0.5023691  0.5611615  0.52782965]
   [0.5015759  0.43583134 0.05112135]
   [0.73137325 0.7014505  0.72766626]
   [0.71365595 0.69335216 0.7374871 ]
   [0.4721617  0.60223156 0.56748146]
   [0.46873432 0.5898094  0.29323098]
   [0.49812067 0.5400853  0.6564177 ]
   [0.46227166 0.29258785 0.3671033 ]]]]"
6,half_boat_pose_18.jpg,"[[[[0.31983608 0.23538521 0.70853925]
   [0.30607083 0.21612985 0.8348215 ]
   [0.30812174 0.21271104 0.9141425 ]
   [0.32606933 0.16517062 0.6738432 ]
   [0.33274758 0.15842547 0.81895053]
   [0.42525423 0.21050014 0.76513696]
   [0.43738657 0.17908752 0.898037  ]
   [0.45030946 0.3375777  0.7987294 ]
   [0.4565986  0.33172143 0.80725   ]
   [0.46051097 0.48515758 0.5907803 ]
   [0.46605885 0.48903412 0.78697646]
   [0.62338126 0.40362293 0.8758985 ]
   [0.64427334 0.39883    0.9061356 ]
   [0.45632175 0.57508683 0.5716837 ]
   [0.4582771  0.55162144 0.51037824]
   [0.46099088 0.74954724 0.26970637]
   [0.458833   0.74111396 0.29795566]]]]"
7,half_boat_pose_70.jpg,"[[[[0.40635562 0.527888   0.57941294]
   [0.3929476  0.55182624 0.6969956 ]
   [0.3900715  0.5319643  0.62367976]
   [0.40171322 0.60037917 0.60825944]
   [0.39990062 0.55540884 0.67667454]
   [0.4810179  0.6281338  0.750812  ]
   [0.45029706 0.48881805 0.7730841 ]
   [0.5403255  0.4876151  0.821817  ]
   [0.46044597 0.3851444  0.81547195]
   [0.53748727 0.35562268 0.64996344]
   [0.44913772 0.32015797 0.22616999]
   [0.7360735  0.494063   0.7212553 ]
   [0.7290916  0.41941872 0.7420219 ]
   [0.50206006 0.44725332 0.22688553]
   [0.47827622 0.3434419  0.3243235 ]
   [0.5387067  0.32203525 0.3985069 ]
   [0.526819   0.14904892 0.50669914]]]]"
8,half_boat_pose_11.jpg,"[[[[0.30886433 0.29672116 0.5165638 ]
   [0.2938583  0.27471778 0.8357909 ]
   [0.29431346 0.2754152  0.8152453 ]
   [0.3157667  0.22263776 0.8363241 ]
   [0.32008517 0.22502102 0.86965567]
   [0.42735094 0.26230103 0.824508  ]
   [0.44433862 0.23246728 0.7974703 ]
   [0.4659848  0.41618288 0.75553614]
   [0.47423658 0.42155534 0.92807156]
   [0.44450483 0.5658311  0.5621149 ]
   [0.4608409  0.5806963  0.8399646 ]
   [0.6924481  0.38532612 0.7467272 ]
   [0.71005553 0.38166094 0.8583433 ]
   [0.48531708 0.5762987  0.62135625]
   [0.49234235 0.57699096 0.623693  ]
   [0.460977   0.84184194 0.53347105]
   [0.47357625 0.8492979  0.73018795]]]]"
9,half_boat_pose_26.jpg,"[[[[0.33117115 0.702289   0.6342652 ]
   [0.3123851  0.72586864 0.75833625]
   [0.31005403 0.7234042  0.82910776]
   [0.33905378 0.7892929  0.87923443]
   [0.33564067 0.78567946 0.83614475]
   [0.47969732 0.77757734 0.77907574]
   [0.45772552 0.756497   0.7262386 ]
   [0.6199989  0.61551875 0.938738  ]
   [0.6039928  0.6156172  0.60576415]
   [0.5559816  0.4677532  0.81582755]
   [0.5471479  0.47344434 0.46720538]
   [0.74508995 0.5860364  0.8739703 ]
   [0.74088526 0.57842916 0.886405  ]
   [0.45680442 0.454227   0.68943435]
   [0.45078638 0.45587465 0.57655966]
   [0.48703796 0.18077762 0.7581647 ]
   [0.47175735 0.19264036 0.80173874]]]]"
